MM:DD:YYYY hh:mm:ss,Library_Version,Session_Type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time,Elapsed_Time,Binary_Pellets,Interpellet_Intervals,Binary_Left_Pokes,Binary_Right_Pokes,Correct_Poke,Concat_#,Mode
5/14/2024 7:28,1.17.0,PRexp,2,3.93,,1,Poke,Left,9583,699,1386,0,,,0.27,4 days 22:29:00.000000000,0,,1,0,1,1,PR
5/14/2024 7:28,1.17.0,PRexp,2,3.93,1,1,Pellet,Left,9583,699,1387,1,0.24,4671,,4 days 22:29:00.000000000,1,78,0,0,,1,PR
5/14/2024 7:28,1.17.0,PRexp,2,3.93,,1,Poke,Left,9584,699,1387,1,,,0.31,4 days 22:29:00.000000000,0,,1,0,1,1,PR
5/14/2024 7:28,1.17.0,PRexp,2,3.93,1,1,Pellet,Left,9584,699,1388,2,0.36,42,,4 days 22:29:00.000000000,1,0,0,0,,1,PR
5/14/2024 7:29,1.17.0,PRexp,2,3.93,,2,Poke,Left,9585,699,1388,2,,,0.18,4 days 22:30:00.000000000,0,,1,0,1,1,PR
5/14/2024 7:29,1.17.0,PRexp,2,3.93,,2,Poke,Left,9586,699,1388,2,,,0.15,4 days 22:30:00.000000000,0,,1,0,1,1,PR
5/14/2024 7:29,1.17.0,PRexp,2,3.93,2,2,Pellet,Left,9586,699,1389,3,11.09,50,,4 days 22:30:00.000000000,1,1,0,0,,1,PR
5/14/2024 7:30,1.17.0,PRexp,2,3.93,,2,Poke,Left,9587,699,1389,3,,,0,4 days 22:31:00.000000000,0,,1,0,1,1,PR
5/14/2024 7:30,1.17.0,PRexp,2,3.93,,2,Poke,Left,9588,699,1389,3,,,0.19,4 days 22:31:00.000000000,0,,1,0,1,1,PR
5/14/2024 7:30,1.17.0,PRexp,2,3.93,1,2,Pellet,Left,9588,699,1390,4,0.12,41,,4 days 22:31:00.000000000,1,1,0,0,,1,PR
5/14/2024 7:30,1.17.0,PRexp,2,3.92,,3,Poke,Left,9589,699,1390,4,,,0.17,4 days 22:31:00.000000000,0,,1,0,1,1,PR
5/14/2024 7:30,1.17.0,PRexp,2,3.93,,3,Poke,Left,9590,699,1390,4,,,0.2,4 days 22:31:00.000000000,0,,1,0,1,1,PR
5/14/2024 7:30,1.17.0,PRexp,2,3.93,,3,Poke,Left,9591,699,1390,4,,,0.47,4 days 22:31:00.000000000,0,,1,0,1,1,PR
5/14/2024 7:30,1.17.0,PRexp,2,3.93,2,3,Pellet,Left,9591,699,1391,5,0.06,32,,4 days 22:31:00.000000000,1,0,0,0,,1,PR
5/14/2024 7:31,1.17.0,PRexp,2,3.93,,4,Poke,Left,9592,699,1391,5,,,0.13,4 days 22:32:00.000000000,0,,1,0,1,1,PR
5/14/2024 7:31,1.17.0,PRexp,2,3.93,,4,Poke,Left,9593,699,1391,5,,,0.12,4 days 22:32:00.000000000,0,,1,0,1,1,PR
5/14/2024 7:31,1.17.0,PRexp,2,3.93,,4,Poke,Left,9594,699,1391,5,,,0.2,4 days 22:32:00.000000000,0,,1,0,1,1,PR
5/14/2024 7:31,1.17.0,PRexp,2,3.93,,4,Poke,Left,9595,699,1391,5,,,0.16,4 days 22:32:00.000000000,0,,1,0,1,1,PR
5/14/2024 7:31,1.17.0,PRexp,2,3.93,2,4,Pellet,Left,9595,699,1392,6,0.06,37,,4 days 22:32:00.000000000,1,1,0,0,,1,PR
5/14/2024 7:31,1.17.0,PRexp,2,3.93,,5,Poke,Left,9596,699,1392,6,,,0.45,4 days 22:32:00.000000000,0,,1,0,1,1,PR
5/14/2024 7:31,1.17.0,PRexp,2,3.93,,5,Poke,Left,9597,699,1392,6,,,0,4 days 22:32:00.000000000,0,,1,0,1,1,PR
5/14/2024 7:31,1.17.0,PRexp,2,3.93,,5,Poke,Left,9598,699,1392,6,,,0.18,4 days 22:32:00.000000000,0,,1,0,1,1,PR
5/14/2024 7:31,1.17.0,PRexp,2,3.93,,5,Poke,Left,9599,699,1392,6,,,0.14,4 days 22:32:00.000000000,0,,1,0,1,1,PR
5/14/2024 7:32,1.17.0,PRexp,2,3.93,,5,Poke,Left,9600,699,1392,6,,,0.23,4 days 22:33:00.000000000,0,,1,0,1,1,PR
5/14/2024 7:32,1.17.0,PRexp,2,3.93,1,5,Pellet,Left,9600,699,1393,7,0.24,40,,4 days 22:33:00.000000000,1,1,0,0,,1,PR
5/14/2024 7:32,1.17.0,PRexp,2,3.93,,6,Poke,Left,9601,699,1393,7,,,0.26,4 days 22:33:00.000000000,0,,1,0,1,1,PR
5/14/2024 7:32,1.17.0,PRexp,2,3.93,,6,Poke,Left,9602,699,1393,7,,,0.11,4 days 22:33:00.000000000,0,,1,0,1,1,PR
5/14/2024 7:32,1.17.0,PRexp,2,3.93,,6,Poke,Left,9603,699,1393,7,,,0.02,4 days 22:33:00.000000000,0,,1,0,1,1,PR
5/14/2024 7:32,1.17.0,PRexp,2,3.92,,6,Poke,Left,9604,699,1393,7,,,0.04,4 days 22:33:00.000000000,0,,1,0,1,1,PR
5/14/2024 8:43,1.17.0,PRexp,2,3.92,,1,Poke,Left,9605,699,1393,0,,,0.24,4 days 23:44:00.000000000,0,,1,0,1,1,PR
5/14/2024 8:44,1.17.0,PRexp,2,3.93,1,1,Pellet,Left,9605,699,1394,1,0.18,4317,,4 days 23:45:00.000000000,1,72,0,0,,1,PR
5/14/2024 8:44,1.17.0,PRexp,2,3.92,,1,Poke,Left,9606,699,1394,1,,,0.17,4 days 23:45:00.000000000,0,,1,0,1,1,PR
5/14/2024 8:44,1.17.0,PRexp,2,3.92,1,1,Pellet,Left,9606,699,1395,2,0.24,29,,4 days 23:45:00.000000000,1,0,0,0,,1,PR
5/14/2024 8:45,1.17.0,PRexp,2,3.92,,2,Poke,Left,9607,699,1395,2,,,0.12,4 days 23:46:00.000000000,0,,1,0,1,1,PR
5/14/2024 8:45,1.17.0,PRexp,2,3.92,,2,Poke,Left,9608,699,1395,2,,,0.28,4 days 23:46:00.000000000,0,,1,0,1,1,PR
5/14/2024 8:45,1.17.0,PRexp,2,3.93,1,2,Pellet,Left,9608,699,1396,3,0.12,44,,4 days 23:46:00.000000000,1,1,0,0,,1,PR
5/14/2024 8:47,1.17.0,PRexp,2,3.92,,2,Poke,Left,9609,699,1396,3,,,0.18,4 days 23:48:00.000000000,0,,1,0,1,1,PR
5/14/2024 8:47,1.17.0,PRexp,2,3.92,,2,Poke,Left,9610,699,1396,3,,,0.17,4 days 23:48:00.000000000,0,,1,0,1,1,PR
5/14/2024 8:47,1.17.0,PRexp,2,3.93,1,2,Pellet,Left,9610,699,1397,4,0.18,117,,4 days 23:48:00.000000000,1,2,0,0,,1,PR
5/14/2024 8:47,1.17.0,PRexp,2,3.93,,3,Poke,Left,9611,699,1397,4,,,0.13,4 days 23:48:00.000000000,0,,1,0,1,1,PR
5/14/2024 8:47,1.17.0,PRexp,2,3.92,,3,Poke,Left,9612,699,1397,4,,,0.07,4 days 23:48:00.000000000,0,,1,0,1,1,PR
5/14/2024 8:48,1.17.0,PRexp,2,3.93,,3,Poke,Left,9613,699,1397,4,,,0.21,4 days 23:49:00.000000000,0,,1,0,1,1,PR
5/14/2024 8:48,1.17.0,PRexp,2,3.93,2,3,Pellet,Left,9613,699,1398,5,0.06,53,,4 days 23:49:00.000000000,1,1,0,0,,1,PR
5/14/2024 8:48,1.17.0,PRexp,2,3.92,,4,Poke,Left,9614,699,1398,5,,,0.13,4 days 23:49:00.000000000,0,,1,0,1,1,PR
5/14/2024 8:48,1.17.0,PRexp,2,3.92,,4,Poke,Left,9615,699,1398,5,,,0.4,4 days 23:49:00.000000000,0,,1,0,1,1,PR
5/14/2024 8:48,1.17.0,PRexp,2,3.93,,4,Poke,Left,9616,699,1398,5,,,0.28,4 days 23:49:00.000000000,0,,1,0,1,1,PR
5/14/2024 8:48,1.17.0,PRexp,2,3.92,,4,Poke,Left,9617,699,1398,5,,,0.09,4 days 23:49:00.000000000,0,,1,0,1,1,PR
