MM:DD:YYYY hh:mm:ss,Library_Version,Session_Type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time,Elapsed_Time,Binary_Pellets,Interpellet_Intervals,Binary_Left_Pokes,Binary_Right_Pokes,Correct_Poke,Concat_#,Mode
5/25/2024 7:07,1.17.0,PRexp,27,3.63,,7,Poke,Left,8261,318,545,8,,,0.35,3 days 12:45:01.000000000,0,,1,0,1,0,PR
5/25/2024 7:07,1.17.0,PRexp,27,3.63,,7,Poke,Left,8262,318,545,8,,,0.56,3 days 12:45:05.000000000,0,,1,0,1,0,PR
5/25/2024 7:07,1.17.0,PRexp,27,3.63,,7,Poke,Left,8263,318,545,8,,,0,3 days 12:45:05.000000000,0,,1,0,1,0,PR
5/25/2024 7:07,1.17.0,PRexp,27,3.63,,7,Poke,Left,8264,318,545,8,,,0.4,3 days 12:45:08.000000000,0,,1,0,1,0,PR
5/25/2024 7:08,1.17.0,PRexp,27,3.63,,7,Poke,Left,8265,318,545,8,,,0.74,3 days 12:45:16.000000000,0,,1,0,1,0,PR
5/25/2024 7:08,1.17.0,PRexp,27,3.63,,7,Poke,Left,8266,318,545,8,,,0.55,3 days 12:45:18.000000000,0,,1,0,1,0,PR
5/25/2024 7:08,1.17.0,PRexp,27,3.63,,7,Poke,Left,8267,318,545,8,,,0.64,3 days 12:45:25.000000000,0,,1,0,1,0,PR
5/25/2024 7:08,1.17.0,PRexp,27,3.63,2,7,Pellet,Left,8267,318,546,9,0.18,1601,,3 days 12:45:27.000000000,1,26.683333333333334,0,0,,0,PR
5/25/2024 7:08,1.17.0,PRexp,27,3.63,,9,Poke,Left,8268,318,546,9,,,0.04,3 days 12:46:03.000000000,0,,1,0,1,0,PR
5/25/2024 7:08,1.17.0,PRexp,27,3.63,,9,Poke,Left,8269,318,546,9,,,0,3 days 12:46:04.000000000,0,,1,0,1,0,PR
5/25/2024 7:08,1.17.0,PRexp,27,3.63,,9,Poke,Left,8270,318,546,9,,,0,3 days 12:46:06.000000000,0,,1,0,1,0,PR
5/25/2024 7:08,1.17.0,PRexp,27,3.63,,9,Poke,Left,8271,318,546,9,,,0.03,3 days 12:46:07.000000000,0,,1,0,1,0,PR
