MM:DD:YYYY hh:mm:ss,Library_Version,Session_Type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time,Elapsed_Time,Binary_Pellets,Interpellet_Intervals,Binary_Left_Pokes,Binary_Right_Pokes,Correct_Poke,Concat_#,Mode
5/25/2024 7:31,1.17.0,PRexp,34,3.62,,1,Poke,Left,3981,164,548,0,,,0.1,3 days 12:54:40.000000000,0,,1,0,1,0,PR
5/25/2024 7:31,1.17.0,PRexp,34,3.63,1,1,Pellet,Left,3981,164,549,1,0.18,2861,,3 days 12:54:42.000000000,1,47.68333333333333,0,0,,0,PR
5/25/2024 7:31,1.17.0,PRexp,34,3.62,,1,Poke,Left,3982,164,549,1,,,0.06,3 days 12:54:57.000000000,0,,1,0,1,0,PR
5/25/2024 7:31,1.17.0,PRexp,34,3.62,1,1,Pellet,Left,3982,164,550,2,0.36,17,,3 days 12:54:59.000000000,1,0.2833333333333333,0,0,,0,PR
5/25/2024 7:31,1.17.0,PRexp,34,3.62,,2,Poke,Left,3983,164,550,2,,,0.08,3 days 12:55:20.000000000,0,,1,0,1,0,PR
5/25/2024 7:31,1.17.0,PRexp,34,3.63,,2,Poke,Left,3984,164,550,2,,,0.02,3 days 12:55:23.000000000,0,,1,0,1,0,PR
5/25/2024 7:32,1.17.0,PRexp,34,3.62,2,2,Pellet,Left,3984,164,551,3,0.12,26,,3 days 12:55:25.000000000,1,0.43333333333333335,0,0,,0,PR
5/25/2024 7:32,1.17.0,PRexp,34,3.62,,2,Poke,Left,3985,164,551,3,,,0.09,3 days 12:55:44.000000000,0,,1,0,1,0,PR
5/25/2024 7:32,1.17.0,PRexp,34,3.62,,2,Poke,Left,3986,164,551,3,,,0.2,3 days 12:55:53.000000000,0,,1,0,1,0,PR
5/25/2024 7:32,1.17.0,PRexp,34,3.62,2,2,Pellet,Left,3986,164,552,4,0.49,32,,3 days 12:55:57.000000000,1,0.5333333333333333,0,0,,0,PR
