MM:DD:YYYY hh:mm:ss,Library_Version,Session_Type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time,Elapsed_Time,Binary_Pellets,Interpellet_Intervals,Binary_Left_Pokes,Binary_Right_Pokes,Correct_Poke,Concat_#,Mode
1/11/2001 11:39,1.17.0,PRexp,11,4.03,,1,Poke,Left,5800,800,852,0,,,0.94,0 days 00:00:00.000000000,0,,1,0,1,1,PR
1/11/2001 11:44,1.17.0,PRexp,11,4.03,,1,Poke,Left,5801,800,852,1,,,0.12,0 days 00:05:00.000000000,0,,1,0,1,1,PR
1/11/2001 11:44,1.17.0,PRexp,11,4.04,,1,Poke,Left,5801,801,852,1,,,0.3,0 days 00:05:25.000000000,0,,0,1,0,1,PR
1/11/2001 11:44,1.17.0,PRexp,11,4.03,3,1,Pellet,Left,5801,801,853,1,,,,0 days 00:05:28.000000000,1,,0,0,,1,PR
1/11/2001 11:45,1.17.0,PRexp,11,4.03,,1,Poke,Left,5802,801,853,1,,,0.19,0 days 00:06:12.000000000,0,,1,0,1,1,PR
1/11/2001 11:47,1.17.0,PRexp,11,4.03,2,1,Pellet,Left,5802,801,854,2,,200,,0 days 00:08:48.000000000,1,3.3333333333333335,0,0,,1,PR
1/11/2001 11:49,1.17.0,PRexp,11,4.03,,2,Poke,Left,5803,801,854,2,,,0.18,0 days 00:10:34.000000000,0,,1,0,1,1,PR
1/11/2001 11:56,1.17.0,PRexp,11,4.03,,2,Poke,Left,5804,801,854,2,,,0.17,0 days 00:17:23.000000000,0,,1,0,1,1,PR
1/11/2001 11:56,1.17.0,PRexp,11,4.03,1,2,Pellet,Left,5804,801,855,3,0.42,517,,0 days 00:17:25.000000000,1,8.616666666666667,0,0,,1,PR
1/11/2001 11:57,1.17.0,PRexp,11,4.04,,2,Poke,Left,5805,801,855,3,,,0.05,0 days 00:17:56.000000000,0,,1,0,1,1,PR
1/11/2001 11:57,1.17.0,PRexp,11,4.03,,2,Poke,Left,5806,801,855,3,,,0.11,0 days 00:17:58.000000000,0,,1,0,1,1,PR
1/11/2001 11:57,1.17.0,PRexp,11,4.03,1,2,Pellet,Left,5806,801,856,4,0.24,36,,0 days 00:18:01.000000000,1,0.6,0,0,,1,PR
1/11/2001 11:57,1.17.0,PRexp,11,4.03,,3,Poke,Left,5807,801,856,4,,,0.23,0 days 00:18:33.000000000,0,,1,0,1,1,PR
1/11/2001 12:08,1.17.0,PRexp,11,4.03,,3,Poke,Left,5808,801,856,4,,,0.23,0 days 00:29:41.000000000,0,,1,0,1,1,PR
1/11/2001 12:08,1.17.0,PRexp,11,4.03,,3,Poke,Left,5809,801,856,4,,,0.13,0 days 00:29:45.000000000,0,,1,0,1,1,PR
1/11/2001 12:08,1.17.0,PRexp,11,4.03,1,3,Pellet,Left,5809,801,857,5,0.3,706,,0 days 00:29:47.000000000,1,11.766666666666667,0,0,,1,PR
1/11/2001 12:09,1.17.0,PRexp,11,4.03,,4,Poke,Left,5810,801,857,5,,,0.21,0 days 00:30:03.000000000,0,,1,0,1,1,PR
1/11/2001 12:09,1.17.0,PRexp,11,4.03,,4,Poke,Left,5811,801,857,5,,,0.09,0 days 00:30:08.000000000,0,,1,0,1,1,PR
1/11/2001 12:09,1.17.0,PRexp,11,4.03,,4,Poke,Left,5812,801,857,5,,,0,0 days 00:30:15.000000000,0,,1,0,1,1,PR
1/11/2001 12:11,1.17.0,PRexp,11,4.03,,4,Poke,Left,5813,801,857,5,,,0.19,0 days 00:31:51.000000000,0,,1,0,1,1,PR
1/11/2001 12:11,1.17.0,PRexp,11,4.04,2,4,Pellet,Left,5813,801,858,6,1.58,130,,0 days 00:31:57.000000000,1,2.1666666666666665,0,0,,1,PR
1/11/2001 12:11,1.17.0,PRexp,11,4.03,,5,Poke,Left,5814,801,858,6,,,0.26,0 days 00:32:15.000000000,0,,1,0,1,1,PR
1/11/2001 12:11,1.17.0,PRexp,11,4.03,,5,Poke,Left,5815,801,858,6,,,0.19,0 days 00:32:27.000000000,0,,1,0,1,1,PR
1/11/2001 12:11,1.17.0,PRexp,11,4.03,,5,Poke,Left,5816,801,858,6,,,0.04,0 days 00:32:30.000000000,0,,1,0,1,1,PR
1/11/2001 12:11,1.17.0,PRexp,11,4.03,,5,Poke,Left,5817,801,858,6,,,0.23,0 days 00:32:33.000000000,0,,1,0,1,1,PR
1/11/2001 12:11,1.17.0,PRexp,11,4.03,,5,Poke,Left,5818,801,858,6,,,0,0 days 00:32:34.000000000,0,,1,0,1,1,PR
1/11/2001 12:11,1.17.0,PRexp,11,4.03,,5,Poke,Left,5819,801,858,7,,,0.75,0 days 00:32:36.000000000,0,,1,0,1,1,PR
1/11/2001 12:11,1.17.0,PRexp,11,4.03,,5,Poke,Left,5820,801,858,7,,,0.01,0 days 00:32:37.000000000,0,,1,0,1,1,PR
1/11/2001 12:11,1.17.0,PRexp,11,4.03,,5,Poke,Left,5821,801,858,7,,,0.22,0 days 00:32:37.000000000,0,,1,0,1,1,PR
1/11/2001 12:11,1.17.0,PRexp,11,4.04,,5,Poke,Left,5822,801,858,7,,,0.01,0 days 00:32:40.000000000,0,,1,0,1,1,PR
1/11/2001 12:11,1.17.0,PRexp,11,4.03,,5,Poke,Left,5823,801,858,7,,,0.02,0 days 00:32:43.000000000,0,,1,0,1,1,PR
1/11/2001 12:11,1.17.0,PRexp,11,4.04,,5,Poke,Left,5824,801,858,7,,,0.4,0 days 00:32:46.000000000,0,,1,0,1,1,PR
1/11/2001 12:11,1.17.0,PRexp,11,4.03,,5,Poke,Left,5825,801,858,7,,,0.1,0 days 00:32:47.000000000,0,,1,0,1,1,PR
1/11/2001 12:11,1.17.0,PRexp,11,4.03,3,5,Pellet,Left,5825,801,859,7,4.78,51,,0 days 00:32:48.000000000,1,0.85,0,0,,1,PR
1/11/2001 12:12,1.17.0,PRexp,11,4.04,,6,Poke,Left,5826,801,859,7,,,0.11,0 days 00:33:09.000000000,0,,1,0,1,1,PR
1/11/2001 12:12,1.17.0,PRexp,11,4.04,,6,Poke,Left,5827,801,859,7,,,0.23,0 days 00:33:12.000000000,0,,1,0,1,1,PR
1/11/2001 12:12,1.17.0,PRexp,11,4.03,,6,Poke,Left,5828,801,859,7,,,0,0 days 00:33:13.000000000,0,,1,0,1,1,PR
1/11/2001 12:12,1.17.0,PRexp,11,4.03,,6,Poke,Left,5829,801,859,7,,,0.5,0 days 00:33:18.000000000,0,,1,0,1,1,PR
1/11/2001 12:12,1.17.0,PRexp,11,4.03,,6,Poke,Left,5830,801,859,7,,,0.05,0 days 00:33:21.000000000,0,,1,0,1,1,PR
1/11/2001 12:12,1.17.0,PRexp,11,4.03,,6,Poke,Left,5831,801,859,7,,,0.14,0 days 00:33:31.000000000,0,,1,0,1,1,PR
1/11/2001 12:12,1.17.0,PRexp,11,4.03,2,6,Pellet,Left,5831,801,860,8,0.18,45,,0 days 00:33:33.000000000,1,0.75,0,0,,1,PR
1/11/2001 12:13,1.17.0,PRexp,11,4.03,,7,Poke,Left,5832,801,860,8,,,0.05,0 days 00:33:59.000000000,0,,1,0,1,1,PR
1/11/2001 12:13,1.17.0,PRexp,11,4.03,,7,Poke,Left,5832,802,860,8,,,0.24,0 days 00:34:22.000000000,0,,0,1,0,1,PR
1/11/2001 12:13,1.17.0,PRexp,11,4.03,,7,Poke,Left,5832,803,860,8,,,0,0 days 00:34:23.000000000,0,,0,1,0,1,PR
1/11/2001 12:14,1.17.0,PRexp,11,4.04,,7,Poke,Left,5833,803,860,8,,,0.24,0 days 00:34:59.000000000,0,,1,0,1,1,PR
1/11/2001 12:14,1.17.0,PRexp,11,4.03,,7,Poke,Left,5834,803,860,8,,,0.12,0 days 00:35:03.000000000,0,,1,0,1,1,PR
1/11/2001 12:14,1.17.0,PRexp,11,4.03,,7,Poke,Left,5835,803,860,8,,,0.1,0 days 00:35:08.000000000,0,,1,0,1,1,PR
1/11/2001 12:14,1.17.0,PRexp,11,4.03,,7,Poke,Left,5836,803,860,8,,,0.19,0 days 00:35:10.000000000,0,,1,0,1,1,PR
1/11/2001 12:15,1.17.0,PRexp,11,4.03,,7,Poke,Left,5837,803,860,8,,,0.14,0 days 00:35:50.000000000,0,,1,0,1,1,PR
1/11/2001 12:15,1.17.0,PRexp,11,4.03,,7,Poke,Left,5838,803,860,8,,,0.24,0 days 00:35:51.000000000,0,,1,0,1,1,PR
1/11/2001 12:15,1.17.0,PRexp,11,4.03,1,7,Pellet,Left,5838,803,861,9,0.36,141,,0 days 00:35:54.000000000,1,2.35,0,0,,1,PR
1/11/2001 12:15,1.17.0,PRexp,11,4.03,,9,Poke,Left,5839,803,861,9,,,0.11,0 days 00:36:23.000000000,0,,1,0,1,1,PR
1/11/2001 12:15,1.17.0,PRexp,11,4.03,,9,Poke,Left,5840,803,861,9,,,0.17,0 days 00:36:31.000000000,0,,1,0,1,1,PR
1/11/2001 13:01,1.17.0,PRexp,11,4.03,,1,Poke,Left,5841,803,861,0,,,0.12,0 days 01:21:59.000000000,0,,1,0,1,1,PR
1/11/2001 13:01,1.17.0,PRexp,11,4.03,1,1,Pellet,Left,5841,803,862,1,0.85,2768,,0 days 01:22:02.000000000,1,46.13333333333333,0,0,,1,PR
1/11/2001 13:01,1.17.0,PRexp,11,4.03,,1,Poke,Left,5842,803,862,1,,,0.07,0 days 01:22:41.000000000,0,,1,0,1,1,PR
1/11/2001 13:01,1.17.0,PRexp,11,4.03,1,1,Pellet,Left,5842,803,863,2,1.4,43,,0 days 01:22:45.000000000,1,0.7166666666666667,0,0,,1,PR
1/11/2001 13:02,1.17.0,PRexp,11,4.03,,2,Poke,Left,5843,803,863,2,,,0.13,0 days 01:23:06.000000000,0,,1,0,1,1,PR
1/11/2001 13:02,1.17.0,PRexp,11,4.03,,2,Poke,Left,5844,803,863,2,,,0.14,0 days 01:23:18.000000000,0,,1,0,1,1,PR
1/11/2001 13:02,1.17.0,PRexp,11,4.03,3,2,Pellet,Left,5844,803,864,3,0.06,37,,0 days 01:23:23.000000000,1,0.6333333333333333,0,0,,1,PR
1/11/2001 13:02,1.17.0,PRexp,11,4.03,,2,Poke,Left,5845,803,864,3,,,0.12,0 days 01:23:42.000000000,0,,1,0,1,1,PR
1/11/2001 13:02,1.17.0,PRexp,11,4.03,,2,Poke,Left,5846,803,864,3,,,0.19,0 days 01:23:47.000000000,0,,1,0,1,1,PR
1/11/2001 13:03,1.17.0,PRexp,11,4.03,2,2,Pellet,Left,5846,803,865,4,15.29,43,,0 days 01:24:05.000000000,1,0.7,0,0,,1,PR
1/11/2001 13:03,1.17.0,PRexp,11,4.03,,3,Poke,Left,5847,803,865,4,,,0.36,0 days 01:24:43.000000000,0,,1,0,1,1,PR
