MM:DD:YYYY hh:mm:ss,Library_Version,Session_Type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time,Elapsed_Time,Binary_Pellets,Interpellet_Intervals,Binary_Left_Pokes,Binary_Right_Pokes,Correct_Poke,Concat_#,Mode
6/10/2024 7:49,1.17.0,PRexp,12,3.93,,1,Poke,Left,3387,87,487,0,,,0.02,3 days 15:17:32.000000000,0,,1,0,1,0,PR
6/10/2024 7:49,1.17.0,PRexp,12,3.93,1,1,Pellet,Left,3387,87,488,1,0.3,3336,,3 days 15:17:34.000000000,1,55.6,0,0,,0,PR
6/10/2024 7:50,1.17.0,PRexp,12,3.93,,1,Poke,Left,3388,87,488,1,,,0.05,3 days 15:17:55.000000000,0,,1,0,1,0,PR
6/10/2024 7:50,1.17.0,PRexp,12,3.93,1,1,Pellet,Left,3388,87,489,2,0.18,24,,3 days 15:17:58.000000000,1,0.4,0,0,,0,PR
6/10/2024 7:50,1.17.0,PRexp,12,3.93,,2,Poke,Left,3389,87,489,2,,,0.02,3 days 15:18:23.000000000,0,,1,0,1,0,PR
6/10/2024 7:50,1.17.0,PRexp,12,3.93,,2,Poke,Left,3390,87,489,2,,,0.02,3 days 15:18:24.000000000,0,,1,0,1,0,PR
6/10/2024 7:50,1.17.0,PRexp,12,3.93,2,2,Pellet,Left,3390,87,490,3,0.36,30,,3 days 15:18:29.000000000,1,0.5166666666666667,0,0,,0,PR
6/10/2024 7:51,1.17.0,PRexp,12,3.94,,2,Poke,Left,3391,87,490,3,,,0.14,3 days 15:19:04.000000000,0,,1,0,1,0,PR
6/10/2024 7:51,1.17.0,PRexp,12,3.93,,2,Poke,Left,3392,87,490,3,,,0.02,3 days 15:19:11.000000000,0,,1,0,1,0,PR
6/10/2024 7:51,1.17.0,PRexp,12,3.93,1,2,Pellet,Left,3392,87,491,4,0.18,45,,3 days 15:19:13.000000000,1,0.7333333333333333,0,0,,0,PR
6/10/2024 7:51,1.17.0,PRexp,12,3.93,,3,Poke,Left,3393,87,491,4,,,0.03,3 days 15:19:40.000000000,0,,1,0,1,0,PR
6/10/2024 7:51,1.17.0,PRexp,12,3.93,,3,Poke,Left,3394,87,491,4,,,0.11,3 days 15:19:41.000000000,0,,1,0,1,0,PR
6/10/2024 7:51,1.17.0,PRexp,12,3.93,,3,Poke,Left,3395,87,491,4,,,0.51,3 days 15:19:43.000000000,0,,1,0,1,0,PR
6/10/2024 7:52,1.17.0,PRexp,12,3.93,1,3,Pellet,Left,3395,87,492,5,0.55,33,,3 days 15:19:46.000000000,1,0.55,0,0,,0,PR
6/10/2024 7:59,1.17.0,PRexp,12,3.93,,4,Poke,Left,3396,87,492,5,,,0.17,3 days 15:27:17.000000000,0,,1,0,1,0,PR
6/10/2024 7:59,1.17.0,PRexp,12,3.93,,4,Poke,Left,3397,87,492,5,,,1.33,3 days 15:27:20.000000000,0,,1,0,1,0,PR
6/10/2024 7:59,1.17.0,PRexp,12,3.93,,4,Poke,Left,3398,87,492,5,,,0.24,3 days 15:27:23.000000000,0,,1,0,1,0,PR
6/10/2024 7:59,1.17.0,PRexp,12,3.93,,4,Poke,Left,3399,87,492,5,,,0.19,3 days 15:27:25.000000000,0,,1,0,1,0,PR
6/10/2024 7:59,1.17.0,PRexp,12,3.93,1,4,Pellet,Left,3399,87,493,6,0.12,461,,3 days 15:27:27.000000000,1,7.683333333333334,0,0,,0,PR
6/10/2024 8:00,1.17.0,PRexp,12,3.93,,5,Poke,Left,3400,87,493,6,,,0.06,3 days 15:27:52.000000000,0,,1,0,1,0,PR
6/10/2024 8:00,1.17.0,PRexp,12,3.93,,5,Poke,Left,3401,87,493,6,,,0.36,3 days 15:27:53.000000000,0,,1,0,1,0,PR
6/10/2024 8:00,1.17.0,PRexp,12,3.93,,5,Poke,Left,3402,87,493,6,,,0.23,3 days 15:27:55.000000000,0,,1,0,1,0,PR
6/10/2024 8:00,1.17.0,PRexp,12,3.93,,5,Poke,Left,3403,87,493,6,,,0.09,3 days 15:27:57.000000000,0,,1,0,1,0,PR
6/10/2024 8:00,1.17.0,PRexp,12,3.93,,5,Poke,Left,3404,87,493,6,,,0.02,3 days 15:27:58.000000000,0,,1,0,1,0,PR
6/10/2024 8:00,1.17.0,PRexp,12,3.93,1,5,Pellet,Left,3404,87,494,7,0.24,34,,3 days 15:28:01.000000000,1,0.5666666666666667,0,0,,0,PR
6/10/2024 8:00,1.17.0,PRexp,12,3.93,,6,Poke,Left,3405,87,494,7,,,0.11,3 days 15:28:31.000000000,0,,1,0,1,0,PR
6/10/2024 8:00,1.17.0,PRexp,12,3.93,,6,Poke,Left,3406,87,494,7,,,0.26,3 days 15:28:33.000000000,0,,1,0,1,0,PR
6/10/2024 8:00,1.17.0,PRexp,12,3.93,,6,Poke,Left,3407,87,494,7,,,0.69,3 days 15:28:35.000000000,0,,1,0,1,0,PR
6/10/2024 8:00,1.17.0,PRexp,12,3.93,,6,Poke,Left,3408,87,494,7,,,0.03,3 days 15:28:37.000000000,0,,1,0,1,0,PR
6/10/2024 8:00,1.17.0,PRexp,12,3.93,,6,Poke,Left,3409,87,494,7,,,0,3 days 15:28:39.000000000,0,,1,0,1,0,PR
6/10/2024 8:00,1.17.0,PRexp,12,3.93,,6,Poke,Left,3410,87,494,7,,,0.19,3 days 15:28:41.000000000,0,,1,0,1,0,PR
6/10/2024 8:00,1.17.0,PRexp,12,3.93,1,6,Pellet,Left,3410,87,495,8,0.36,42,,3 days 15:28:43.000000000,1,0.7,0,0,,0,PR
6/10/2024 8:01,1.17.0,PRexp,12,3.94,,7,Poke,Left,3411,87,495,8,,,0.33,3 days 15:29:14.000000000,0,,1,0,1,0,PR
6/10/2024 8:01,1.17.0,PRexp,12,3.93,,7,Poke,Left,3412,87,495,8,,,0.09,3 days 15:29:15.000000000,0,,1,0,1,0,PR
6/10/2024 8:01,1.17.0,PRexp,12,3.93,,7,Poke,Left,3413,87,495,8,,,1.17,3 days 15:29:17.000000000,0,,1,0,1,0,PR
6/10/2024 8:01,1.17.0,PRexp,12,3.93,,7,Poke,Left,3414,87,495,8,,,0,3 days 15:29:18.000000000,0,,1,0,1,0,PR
6/10/2024 8:01,1.17.0,PRexp,12,3.93,,7,Poke,Left,3415,87,495,8,,,0.76,3 days 15:29:20.000000000,0,,1,0,1,0,PR
6/10/2024 8:01,1.17.0,PRexp,12,3.93,,7,Poke,Left,3416,87,495,8,,,0.13,3 days 15:29:22.000000000,0,,1,0,1,0,PR
6/10/2024 8:01,1.17.0,PRexp,12,3.93,,7,Poke,Left,3417,87,495,8,,,0.04,3 days 15:29:24.000000000,0,,1,0,1,0,PR
6/10/2024 8:01,1.17.0,PRexp,12,3.93,1,7,Pellet,Left,3417,87,496,9,0.12,43,,3 days 15:29:26.000000000,1,0.7166666666666667,0,0,,0,PR
6/10/2024 8:02,1.17.0,PRexp,12,3.93,,9,Poke,Left,3418,87,496,9,,,0.15,3 days 15:29:52.000000000,0,,1,0,1,0,PR
6/10/2024 8:02,1.17.0,PRexp,12,3.93,,9,Poke,Left,3419,87,496,9,,,0.01,3 days 15:29:56.000000000,0,,1,0,1,0,PR
6/10/2024 8:02,1.17.0,PRexp,12,3.93,,9,Poke,Left,3420,87,496,9,,,0.25,3 days 15:29:58.000000000,0,,1,0,1,0,PR
6/10/2024 8:02,1.17.0,PRexp,12,3.93,,9,Poke,Left,3421,87,496,9,,,0.18,3 days 15:30:00.000000000,0,,1,0,1,0,PR
6/10/2024 8:02,1.17.0,PRexp,12,3.93,,9,Poke,Left,3422,87,496,9,,,0.07,3 days 15:30:01.000000000,0,,1,0,1,0,PR
6/10/2024 8:02,1.17.0,PRexp,12,3.93,,9,Poke,Left,3423,87,496,9,,,0.19,3 days 15:30:03.000000000,0,,1,0,1,0,PR
6/10/2024 8:02,1.17.0,PRexp,12,3.93,,9,Poke,Left,3424,87,496,9,,,0.2,3 days 15:30:05.000000000,0,,1,0,1,0,PR
6/10/2024 8:30,1.17.0,PRexp,12,3.93,,9,Poke,Left,3425,87,496,9,,,0.06,3 days 15:58:37.000000000,0,,1,0,1,0,PR
6/10/2024 8:30,1.17.0,PRexp,12,3.93,,9,Poke,Left,3426,87,496,9,,,0.08,3 days 15:58:38.000000000,0,,1,0,1,0,PR
