Unnamed: 0,MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
285,2021-06-09 19:00:32,1.8.1,yhc210607,3,3.83,1,13,Left,Left,231,26,29,12,,,0.36
286,2021-06-09 19:00:36,1.8.1,yhc210607,3,3.83,1,13,Left,Left,232,26,29,12,,,0.04
287,2021-06-09 19:00:38,1.8.1,yhc210607,3,3.83,1,13,Left,Left,233,26,29,12,,,0.03
288,2021-06-09 19:00:43,1.8.1,yhc210607,3,3.83,1,13,Left,Left,234,26,29,12,,,0.89
289,2021-06-09 19:00:45,1.8.1,yhc210607,3,3.83,1,13,Left,Left,235,26,29,12,,,0.02
290,2021-06-09 19:09:17,1.8.1,yhc210607,3,3.83,1,13,Right,Left,235,27,29,12,,,0.02
291,2021-06-09 19:09:27,1.8.1,yhc210607,3,3.83,1,13,Left,Left,236,27,29,12,,,0.08
292,2021-06-09 19:10:36,1.8.1,yhc210607,3,3.83,1,13,Left,Left,237,27,29,12,,,0.45
293,2021-06-09 19:10:38,1.8.1,yhc210607,3,3.83,1,13,Left,Left,238,27,29,12,,,0.2
294,2021-06-09 19:10:40,1.8.1,yhc210607,3,3.83,1,13,Left,Left,239,27,29,12,,,0.35
295,2021-06-09 19:10:43,1.8.1,yhc210607,3,3.83,1,13,Left,Left,240,27,29,12,,,0.19
296,2021-06-09 19:10:47,1.8.1,yhc210607,3,3.83,1,13,Left,Left,241,27,29,12,,,0.76
297,2021-06-09 19:10:49,1.8.1,yhc210607,3,3.83,1,13,Left,Left,242,27,29,12,,,0.47
298,2021-06-09 19:10:50,1.8.1,yhc210607,3,3.83,1,13,Left,Left,243,27,29,12,,,0.18
299,2021-06-09 19:10:51,1.8.1,yhc210607,3,3.83,1,13,Pellet,Left,243,27,30,13,0.49,659.0,
300,2021-06-09 19:11:17,1.8.1,yhc210607,3,3.83,1,15,Left,Left,244,27,30,13,,,0.02
301,2021-06-09 19:11:18,1.8.1,yhc210607,3,3.84,1,15,Left,Left,245,27,30,13,,,0.12
302,2021-06-09 19:11:21,1.8.1,yhc210607,3,3.83,1,15,Left,Left,246,27,30,13,,,0.35
303,2021-06-09 19:11:22,1.8.1,yhc210607,3,3.83,1,15,Left,Left,247,27,30,13,,,0.29
304,2021-06-09 19:11:24,1.8.1,yhc210607,3,3.83,1,15,Left,Left,248,27,30,13,,,0.03
