MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
8/8/2023 7:03,1.16.3,PRexp,1,3.91,nan,1,Left,Left,688,17,65,0,nan,nan,0.1
8/8/2023 7:03,1.16.3,PRexp,1,3.91,2,1,Pellet,Left,688,17,66,1,0.81,2872,nan
8/8/2023 7:03,1.16.3,PRexp,1,3.91,nan,1,Left,Left,689,17,66,1,nan,nan,0.08
8/8/2023 7:04,1.16.3,PRexp,1,3.91,1,1,Pellet,Left,689,17,67,2,0.27,27,nan
8/8/2023 7:04,1.16.3,PRexp,1,3.91,nan,2,Left,Left,690,17,67,2,nan,nan,0.2
8/8/2023 7:04,1.16.3,PRexp,1,3.91,nan,2,Left,Left,691,17,67,2,nan,nan,0.44
8/8/2023 7:04,1.16.3,PRexp,1,3.92,1,2,Pellet,Left,691,17,68,3,0.47,30,nan
8/8/2023 7:05,1.16.3,PRexp,1,3.92,nan,2,Left,Left,692,17,68,3,nan,nan,0.51
8/8/2023 7:05,1.16.3,PRexp,1,3.92,nan,2,Left,Left,693,17,68,3,nan,nan,0.4
8/8/2023 7:05,1.16.3,PRexp,1,3.92,2,2,Pellet,Left,693,17,69,4,0.13,42,nan
8/8/2023 7:05,1.16.3,PRexp,1,3.91,nan,3,Left,Left,694,17,69,4,nan,nan,0.23
8/8/2023 7:05,1.16.3,PRexp,1,3.91,nan,3,Left,Left,695,17,69,4,nan,nan,0.03
8/8/2023 7:05,1.16.3,PRexp,1,3.91,nan,3,Left,Left,696,17,69,4,nan,nan,0.63
8/8/2023 7:05,1.16.3,PRexp,1,3.91,2,3,Pellet,Left,696,17,70,5,0.06,36,nan
8/8/2023 7:06,1.16.3,PRexp,1,3.91,nan,4,Left,Left,697,17,70,5,nan,nan,0.61
8/8/2023 7:06,1.16.3,PRexp,1,3.91,nan,4,Left,Left,698,17,70,5,nan,nan,0.72
8/8/2023 7:06,1.16.3,PRexp,1,3.91,nan,4,Left,Left,699,17,70,5,nan,nan,0.23
8/8/2023 7:06,1.16.3,PRexp,1,3.91,nan,4,Left,Left,700,17,70,5,nan,nan,0.43
8/8/2023 7:06,1.16.3,PRexp,1,3.91,1,4,Pellet,Left,700,17,71,6,0.27,45,nan
8/8/2023 7:07,1.16.3,PRexp,1,3.91,nan,5,Left,Left,701,17,71,6,nan,nan,0.96
8/8/2023 7:07,1.16.3,PRexp,1,3.91,nan,5,Left,Left,702,17,71,6,nan,nan,0.75
8/8/2023 7:07,1.16.3,PRexp,1,3.91,nan,5,Left,Left,703,17,71,6,nan,nan,2.82
8/8/2023 7:07,1.16.3,PRexp,1,3.91,nan,5,Left,Left,704,17,71,6,nan,nan,0.59
8/8/2023 7:07,1.16.3,PRexp,1,3.91,nan,5,Left,Left,705,17,71,6,nan,nan,0.19
