MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
8/26/2023 7:27,1.16.3,PRexp,3,3.96,nan,1,Left,Left,4873,171,454,0,nan,nan,0.08
8/26/2023 7:27,1.16.3,PRexp,3,3.96,1,1,Pellet,Left,4873,171,455,1,0.95,2305,nan
8/26/2023 7:28,1.16.3,PRexp,3,3.96,nan,1,Left,Left,4874,171,455,1,nan,nan,0.06
8/26/2023 7:28,1.16.3,PRexp,3,3.96,1,1,Pellet,Left,4874,171,456,2,0.13,30,nan
8/26/2023 7:28,1.16.3,PRexp,3,3.96,nan,2,Left,Left,4875,171,456,2,nan,nan,0.11
8/26/2023 7:28,1.16.3,PRexp,3,3.96,nan,2,Left,Left,4876,171,456,2,nan,nan,0.42
8/26/2023 7:28,1.16.3,PRexp,3,3.96,1,2,Pellet,Left,4876,171,457,3,0.13,23,nan
8/26/2023 7:28,1.16.3,PRexp,3,3.96,nan,2,Left,Left,4877,171,457,3,nan,nan,0.17
8/26/2023 7:28,1.16.3,PRexp,3,3.96,nan,2,Left,Left,4878,171,457,3,nan,nan,0.23
8/26/2023 7:29,1.16.3,PRexp,3,3.96,2,2,Pellet,Left,4878,171,458,4,13.63,45,nan
8/26/2023 7:29,1.16.3,PRexp,3,3.96,nan,3,Left,Left,4879,171,458,4,nan,nan,0.02
8/26/2023 7:29,1.16.3,PRexp,3,3.96,nan,3,Left,Left,4880,171,458,4,nan,nan,0.32
8/26/2023 7:29,1.16.3,PRexp,3,3.96,nan,3,Left,Left,4881,171,458,4,nan,nan,0.13
8/26/2023 7:29,1.16.3,PRexp,3,3.96,nan,3,LeftDuringDispense,Left,4882,171,458,5,nan,nan,0.03
8/26/2023 7:29,1.16.3,PRexp,3,3.96,5,3,Pellet,Left,4882,171,459,5,0.06,39,nan
8/26/2023 7:30,1.16.3,PRexp,3,3.96,nan,4,Left,Left,4883,171,459,5,nan,nan,0.11
8/26/2023 7:30,1.16.3,PRexp,3,3.96,nan,4,Left,Left,4884,171,459,5,nan,nan,0.24
8/26/2023 7:30,1.16.3,PRexp,3,3.96,nan,4,Left,Left,4885,171,459,5,nan,nan,0.86
8/26/2023 7:30,1.16.3,PRexp,3,3.96,nan,4,Left,Left,4886,171,459,5,nan,nan,0.27
8/26/2023 7:30,1.16.3,PRexp,3,3.96,3,4,Pellet,Left,4886,171,460,6,0.06,39,nan
8/26/2023 8:21,1.16.3,PRexp,3,3.96,nan,1,Left,Left,4887,171,460,0,nan,nan,0.08
8/26/2023 8:21,1.16.3,PRexp,3,3.96,1,1,Pellet,Left,4887,171,461,1,0.75,3048,nan
8/26/2023 8:21,1.16.3,PRexp,3,3.96,nan,1,Left,Left,4888,171,461,1,nan,nan,0.1
8/26/2023 8:22,1.16.3,PRexp,3,3.95,2,1,Pellet,Left,4888,171,462,2,12.12,48,nan
8/26/2023 8:22,1.16.3,PRexp,3,3.96,nan,2,Left,Left,4889,171,462,2,nan,nan,0.08
8/26/2023 8:22,1.16.3,PRexp,3,3.96,nan,2,Left,Left,4890,171,462,2,nan,nan,0.21
8/26/2023 8:22,1.16.3,PRexp,3,3.96,1,2,Pellet,Left,4890,171,463,3,0.13,32,nan
8/26/2023 8:23,1.16.3,PRexp,3,3.96,nan,2,Left,Left,4891,171,463,3,nan,nan,0.03
8/26/2023 8:23,1.16.3,PRexp,3,3.96,nan,2,Left,Left,4892,171,463,3,nan,nan,0.13
8/26/2023 8:23,1.16.3,PRexp,3,3.96,2,2,Pellet,Left,4892,171,464,4,0.27,34,nan
8/26/2023 8:25,1.16.3,PRexp,3,3.96,nan,3,Left,Left,4893,171,464,4,nan,nan,0.26
8/26/2023 8:25,1.16.3,PRexp,3,3.95,nan,3,Left,Left,4894,171,464,4,nan,nan,0.16
8/26/2023 8:25,1.16.3,PRexp,3,3.96,nan,3,Left,Left,4895,171,464,4,nan,nan,0.21
8/26/2023 8:25,1.16.3,PRexp,3,3.96,nan,3,LeftWithPellet,Left,4896,171,464,5,nan,nan,0.25
8/26/2023 8:25,1.16.3,PRexp,3,3.96,1,3,Pellet,Left,4896,171,465,5,1.79,141,nan
8/26/2023 9:10,1.16.3,PRexp,3,3.96,nan,1,Left,Left,4897,171,465,0,nan,nan,0.1
8/26/2023 9:10,1.16.3,PRexp,3,3.96,5,1,Pellet,Left,4897,171,466,1,11.64,2727,nan
8/26/2023 9:11,1.16.3,PRexp,3,3.96,nan,1,Left,Left,4898,171,466,1,nan,nan,0.07
8/26/2023 9:11,1.16.3,PRexp,3,3.96,2,1,Pellet,Left,4898,171,467,2,0.13,37,nan
8/26/2023 9:12,1.16.3,PRexp,3,3.96,nan,2,Left,Left,4899,171,467,2,nan,nan,0.56
8/26/2023 9:12,1.16.3,PRexp,3,3.96,nan,2,Left,Left,4900,171,467,2,nan,nan,0.2
8/26/2023 9:12,1.16.3,PRexp,3,3.96,2,2,Pellet,Left,4900,171,468,3,0.2,41,nan
8/26/2023 9:12,1.16.3,PRexp,3,3.96,nan,2,Left,Left,4901,171,468,3,nan,nan,0.25
8/26/2023 9:12,1.16.3,PRexp,3,3.96,nan,2,Left,Left,4902,171,468,3,nan,nan,0.43
8/26/2023 9:12,1.16.3,PRexp,3,3.96,nan,2,LeftDuringDispense,Left,4903,171,468,4,nan,nan,0.02
