MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,Poke_Time,UnixTime,TimeDiff,ElapseTime,hours
2/13/2021 7:00,1.2.5,ProRat,5,4.02,1,15,Left,Left,4204,165,340,13,nan,0.61,###############################################################################################################################################################################################################################################################,59.99999952,223200,61
2/13/2021 7:00,1.2.5,ProRat,5,4.02,1,15,Left,Left,4205,165,340,13,nan,0.24,###############################################################################################################################################################################################################################################################,0,223200,61
2/13/2021 7:00,1.2.5,ProRat,5,4.02,1,15,Left,Left,4206,165,340,13,nan,0,###############################################################################################################################################################################################################################################################,0,223200,61
2/13/2021 7:00,1.2.5,ProRat,5,4.02,1,15,Left,Left,4207,165,340,13,nan,0.37,###############################################################################################################################################################################################################################################################,0,223200,61
2/13/2021 7:00,1.2.5,ProRat,5,4.02,1,15,Left,Left,4208,165,340,13,nan,0.38,###############################################################################################################################################################################################################################################################,0,223200,61
2/13/2021 7:00,1.2.5,ProRat,5,4.02,1,15,Left,Left,4209,165,340,13,nan,0.25,###############################################################################################################################################################################################################################################################,0,223200,61
2/13/2021 7:01,1.2.5,ProRat,5,4.02,1,15,Right,Left,4209,166,340,13,nan,0.35,###############################################################################################################################################################################################################################################################,60.00000024,223260,62
2/13/2021 7:01,1.2.5,ProRat,5,4.02,1,15,Right,Left,4209,167,340,13,nan,0.3,###############################################################################################################################################################################################################################################################,0,223260,62
2/13/2021 7:01,1.2.5,ProRat,5,4.02,1,15,Left,Left,4210,167,340,13,nan,0.23,###############################################################################################################################################################################################################################################################,0,223260,62
2/13/2021 7:01,1.2.5,ProRat,5,4.02,1,15,Left,Left,4211,167,340,13,nan,0,###############################################################################################################################################################################################################################################################,0,223260,62
2/13/2021 7:01,1.2.5,ProRat,5,4.02,1,15,Left,Left,4212,167,340,13,nan,0,###############################################################################################################################################################################################################################################################,0,223260,62
2/13/2021 7:01,1.2.5,ProRat,5,4.02,1,15,Left,Left,4213,167,340,13,nan,0,###############################################################################################################################################################################################################################################################,0,223260,62
2/13/2021 7:01,1.2.5,ProRat,5,4.02,1,15,Left,Left,4214,167,340,13,nan,0.25,###############################################################################################################################################################################################################################################################,0,223260,62
2/13/2021 7:02,1.2.5,ProRat,5,4.02,1,15,Left,Left,4215,167,340,13,nan,0,###############################################################################################################################################################################################################################################################,60.00000024,223320,62
2/13/2021 7:02,1.2.5,ProRat,5,4.02,1,15,Left,Left,4216,167,340,13,nan,0.5,###############################################################################################################################################################################################################################################################,0,223320,62
2/13/2021 7:02,1.2.5,ProRat,5,4.02,1,15,Left,Left,4217,167,340,13,nan,0.4,###############################################################################################################################################################################################################################################################,0,223320,62
2/13/2021 7:02,1.2.5,ProRat,5,4.02,1,15,Left,Left,4218,167,340,13,nan,0.45,###############################################################################################################################################################################################################################################################,0,223320,62
2/13/2021 7:02,1.2.5,ProRat,5,4.02,1,15,Pellet,Left,4218,167,341,14,0.19,nan,###############################################################################################################################################################################################################################################################,0,223320,62
2/13/2021 7:03,1.2.5,ProRat,5,4.02,1,17,Left,Left,4219,167,341,14,nan,0.23,###############################################################################################################################################################################################################################################################,59.99999952,223380,62
2/13/2021 7:03,1.2.5,ProRat,5,4.02,1,17,Left,Left,4220,167,341,14,nan,0.01,###############################################################################################################################################################################################################################################################,0,223380,62
2/13/2021 7:04,1.2.5,ProRat,5,4.02,1,17,Right,Left,4220,168,341,14,nan,0.16,###############################################################################################################################################################################################################################################################,60.00000024,223440,62
2/13/2021 7:04,1.2.5,ProRat,5,4.02,1,17,Left,Left,4221,168,341,14,nan,0.51,###############################################################################################################################################################################################################################################################,0,223440,62
2/13/2021 7:05,1.2.5,ProRat,5,4.02,1,17,Left,Left,4222,168,341,14,nan,0.41,###############################################################################################################################################################################################################################################################,60.00000024,223500,62
2/13/2021 7:05,1.2.5,ProRat,5,4.02,1,17,Left,Left,4223,168,341,14,nan,0.02,###############################################################################################################################################################################################################################################################,0,223500,62
2/13/2021 7:05,1.2.5,ProRat,5,4.02,1,17,Left,Left,4224,168,341,14,nan,0.2,###############################################################################################################################################################################################################################################################,0,223500,62
2/13/2021 7:05,1.2.5,ProRat,5,4.02,1,17,Left,Left,4225,168,341,14,nan,0.37,###############################################################################################################################################################################################################################################################,0,223500,62
2/13/2021 7:05,1.2.5,ProRat,5,4.02,1,17,Left,Left,4226,168,341,14,nan,0.34,###############################################################################################################################################################################################################################################################,0,223500,62
2/13/2021 7:05,1.2.5,ProRat,5,4.02,1,17,Left,Left,4227,168,341,14,nan,0.39,###############################################################################################################################################################################################################################################################,0,223500,62
2/13/2021 7:05,1.2.5,ProRat,5,4.02,1,17,Left,Left,4228,168,341,14,nan,0.39,###############################################################################################################################################################################################################################################################,0,223500,62
2/13/2021 7:05,1.2.5,ProRat,5,4.02,1,17,Left,Left,4229,168,341,14,nan,0.01,###############################################################################################################################################################################################################################################################,0,223500,62
2/13/2021 7:05,1.2.5,ProRat,5,4.02,1,17,Left,Left,4230,168,341,14,nan,0.19,###############################################################################################################################################################################################################################################################,0,223500,62
2/13/2021 7:05,1.2.5,ProRat,5,4.02,1,17,Left,Left,4231,168,341,14,nan,0.61,###############################################################################################################################################################################################################################################################,0,223500,62
2/13/2021 7:05,1.2.5,ProRat,5,4.02,1,17,Left,Left,4232,168,341,14,nan,0,###############################################################################################################################################################################################################################################################,0,223500,62
2/13/2021 7:05,1.2.5,ProRat,5,4.02,1,17,Left,Left,4233,168,341,14,nan,0.06,###############################################################################################################################################################################################################################################################,0,223500,62
2/13/2021 7:05,1.2.5,ProRat,5,4.02,1,17,Left,Left,4234,168,341,14,nan,0.45,###############################################################################################################################################################################################################################################################,0,223500,62
2/13/2021 7:05,1.2.5,ProRat,5,4.02,1,17,Left,Left,4235,168,341,14,nan,0.68,###############################################################################################################################################################################################################################################################,0,223500,62
2/13/2021 7:05,1.2.5,ProRat,5,4.02,1,17,Pellet,Left,4235,168,342,15,0.26,nan,###############################################################################################################################################################################################################################################################,0,223500,62
2/13/2021 7:06,1.2.5,ProRat,5,4.02,1,20,Left,Left,4236,168,342,15,nan,0.02,###############################################################################################################################################################################################################################################################,59.99999952,223560,62
2/13/2021 7:06,1.2.5,ProRat,5,4.02,1,20,Left,Left,4237,168,342,15,nan,0.7,###############################################################################################################################################################################################################################################################,0,223560,62
2/13/2021 7:06,1.2.5,ProRat,5,4.02,1,20,Left,Left,4238,168,342,15,nan,0.49,###############################################################################################################################################################################################################################################################,0,223560,62
