MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
8/23/2023 16:43:45,1.16.3,PRexp,8,4.01,nan,1,Right,Left,0,1,0,0,nan,nan,0.04
8/23/2023 16:43:50,1.16.3,PRexp,8,4.00,nan,1,Right,Left,0,2,0,0,nan,nan,0.00
8/23/2023 16:45:38,1.16.3,PRexp,8,4.00,nan,1,Right,Left,0,3,0,0,nan,nan,0.14
8/23/2023 16:45:39,1.16.3,PRexp,8,4.00,nan,1,Right,Left,0,4,0,0,nan,nan,0.09
8/23/2023 16:45:59,1.16.3,PRexp,8,4.00,nan,1,Right,Left,0,5,0,0,nan,nan,0.10
8/23/2023 16:46:00,1.16.3,PRexp,8,4.00,nan,1,Right,Left,0,6,0,0,nan,nan,0.34
8/23/2023 16:46:05,1.16.3,PRexp,8,4.00,nan,1,Right,Left,0,7,0,0,nan,nan,0.13
8/23/2023 16:46:13,1.16.3,PRexp,8,4.00,nan,1,Left,Left,1,7,0,0,nan,nan,0.27
8/23/2023 16:46:16,1.16.3,PRexp,8,4.00,1,1,Pellet,Left,1,7,1,1,2.04,nan,nan
8/23/2023 16:48:22,1.16.3,PRexp,8,4.00,nan,1,Left,Left,2,7,1,1,nan,nan,0.17
8/23/2023 16:48:23,1.16.3,PRexp,8,4.00,1,1,Pellet,Left,2,7,2,2,0.54,128,nan
8/23/2023 16:49:35,1.16.3,PRexp,8,4.00,nan,2,Right,Left,2,8,2,2,nan,nan,0.01
8/23/2023 16:51:01,1.16.3,PRexp,8,4.00,nan,2,Left,Left,3,8,2,2,nan,nan,0.87
8/23/2023 16:51:02,1.16.3,PRexp,8,4.00,nan,2,Left,Left,4,8,2,2,nan,nan,0.04
8/23/2023 16:51:08,1.16.3,PRexp,8,4.00,1,2,Pellet,Left,4,8,3,3,5.19,165,nan
8/23/2023 16:51:40,1.16.3,PRexp,8,4.00,nan,2,Left,Left,5,8,3,3,nan,nan,0.04
8/23/2023 17:00:11,1.16.3,PRexp,8,4.00,nan,2,Left,Left,6,8,3,3,nan,nan,0.11
8/23/2023 17:00:12,1.16.3,PRexp,8,4.00,nan,2,LeftDuringDispense,Left,7,8,3,4,nan,nan,0.15
8/23/2023 17:00:13,1.16.3,PRexp,8,4.00,nan,2,LeftDuringDispense,Left,8,8,3,4,nan,nan,0.68
8/23/2023 17:00:19,1.16.3,PRexp,8,4.00,nan,2,LeftWithPellet,Left,9,8,3,4,nan,nan,0.03
8/23/2023 17:00:20,1.16.3,PRexp,8,4.00,2,2,Pellet,Left,9,8,4,4,4.11,552,nan
8/23/2023 18:07:40,1.16.3,PRexp,8,4.00,nan,1,Left,Left,10,8,4,0,nan,nan,0.00
8/23/2023 18:07:42,1.16.3,PRexp,8,4.00,1,1,Pellet,Left,10,8,5,1,1.56,4042,nan
8/23/2023 18:08:15,1.16.3,PRexp,8,4.00,nan,1,Left,Left,11,8,5,1,nan,nan,0.33
8/23/2023 18:08:17,1.16.3,PRexp,8,4.00,1,1,Pellet,Left,11,8,6,2,0.47,35,nan
8/23/2023 18:08:41,1.16.3,PRexp,8,4.00,nan,2,Left,Left,12,8,6,2,nan,nan,0.61
8/23/2023 18:08:42,1.16.3,PRexp,8,4.00,nan,2,Left,Left,13,8,6,2,nan,nan,0.30
8/23/2023 18:08:44,1.16.3,PRexp,8,4.00,1,2,Pellet,Left,13,8,7,3,0.47,27,nan
8/23/2023 18:09:03,1.16.3,PRexp,8,4.00,nan,2,Left,Left,14,8,7,3,nan,nan,0.19
8/23/2023 18:09:07,1.16.3,PRexp,8,4.00,nan,2,Left,Left,15,8,7,3,nan,nan,0.10
8/23/2023 18:09:14,1.16.3,PRexp,8,4.00,4,2,Pellet,Left,15,8,8,4,0.06,30,nan
8/23/2023 18:09:39,1.16.3,PRexp,8,4.00,nan,3,Left,Left,16,8,8,4,nan,nan,0.10
8/23/2023 18:09:45,1.16.3,PRexp,8,4.00,nan,3,Left,Left,17,8,8,4,nan,nan,0.05
8/23/2023 18:37:29,1.16.3,PRexp,8,4.01,nan,3,Left,Left,18,8,8,4,nan,nan,0.04
8/23/2023 18:37:34,1.16.3,PRexp,8,4.00,3,3,Pellet,Left,18,8,9,5,2.04,1700,nan
8/23/2023 19:02:58,1.16.3,PRexp,8,4.00,nan,4,Left,Left,19,8,9,5,nan,nan,0.20
8/23/2023 19:03:03,1.16.3,PRexp,8,4.00,nan,4,Left,Left,20,8,9,5,nan,nan,0.22
8/23/2023 19:03:04,1.16.3,PRexp,8,4.00,nan,4,Left,Left,21,8,9,5,nan,nan,0.40
8/23/2023 19:03:09,1.16.3,PRexp,8,4.00,nan,4,Left,Left,22,8,9,5,nan,nan,0.19
8/23/2023 19:03:13,1.16.3,PRexp,8,4.00,2,4,Pellet,Left,22,8,10,6,0.61,1539,nan
8/23/2023 19:03:35,1.16.3,PRexp,8,4.00,nan,5,Left,Left,23,8,10,6,nan,nan,0.20
8/23/2023 19:03:37,1.16.3,PRexp,8,4.00,nan,5,Left,Left,24,8,10,6,nan,nan,0.84
8/23/2023 19:03:43,1.16.3,PRexp,8,4.00,nan,5,Left,Left,25,8,10,6,nan,nan,0.03
8/23/2023 19:03:44,1.16.3,PRexp,8,4.00,nan,5,Left,Left,26,8,10,6,nan,nan,0.27
8/23/2023 19:03:46,1.16.3,PRexp,8,4.00,nan,5,Left,Left,27,8,10,6,nan,nan,0.28
8/23/2023 19:03:47,1.16.3,PRexp,8,4.00,1,5,Pellet,Left,27,8,11,7,0.54,34,nan
8/23/2023 19:04:07,1.16.3,PRexp,8,4.00,nan,6,Left,Left,28,8,11,7,nan,nan,0.15
8/23/2023 19:04:15,1.16.3,PRexp,8,4.00,nan,6,Left,Left,29,8,11,7,nan,nan,0.23
8/23/2023 19:04:19,1.16.3,PRexp,8,4.00,nan,6,Left,Left,30,8,11,7,nan,nan,0.21
8/23/2023 19:04:21,1.16.3,PRexp,8,4.00,nan,6,Left,Left,31,8,11,7,nan,nan,0.38
8/23/2023 19:04:24,1.16.3,PRexp,8,4.00,nan,6,Left,Left,32,8,11,7,nan,nan,0.02
8/23/2023 19:04:25,1.16.3,PRexp,8,4.00,nan,6,Left,Left,33,8,11,7,nan,nan,0.24
8/23/2023 19:04:31,1.16.3,PRexp,8,4.00,nan,6,LeftWithPellet,Left,34,8,11,8,nan,nan,0.05
8/23/2023 19:04:32,1.16.3,PRexp,8,4.00,4,6,Pellet,Left,34,8,12,8,1.67,45,nan
8/23/2023 19:04:49,1.16.3,PRexp,8,4.00,nan,7,Left,Left,35,8,12,8,nan,nan,0.09
8/23/2023 19:04:55,1.16.3,PRexp,8,4.00,nan,7,Left,Left,36,8,12,8,nan,nan,0.35
