MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
7/30/2023 18:03:12,1.16.3,PRexp,2,4.07,nan,1,Right,Left,0,1,0,0,nan,nan,0.00
7/30/2023 18:07:31,1.16.3,PRexp,2,4.07,nan,1,Left,Left,1,1,0,0,nan,nan,0.28
7/30/2023 18:09:01,1.16.3,PRexp,2,4.07,2,1,Pellet,Left,1,1,1,1,Timed_out,nan,nan
7/30/2023 18:11:02,1.16.3,PRexp,2,4.07,nan,1,Right,Left,1,2,1,1,nan,nan,0.27
7/30/2023 18:14:57,1.16.3,PRexp,2,4.07,nan,1,Left,Left,2,2,1,1,nan,nan,0.09
7/30/2023 18:17:33,1.16.3,PRexp,2,4.07,nan,1,RightWithPellet,Left,2,3,1,2,nan,nan,0.28
7/30/2023 18:20:17,1.16.3,PRexp,2,4.07,1,1,Pellet,Left,2,3,2,2,Timed_out,676,nan
7/30/2023 18:20:39,1.16.3,PRexp,2,4.07,nan,2,Left,Left,3,3,2,2,nan,nan,0.42
7/30/2023 18:20:42,1.16.3,PRexp,2,4.07,nan,2,Left,Left,4,3,2,2,nan,nan,0.17
7/30/2023 18:20:45,1.16.3,PRexp,2,4.07,1,2,Pellet,Left,4,3,3,3,2.25,28,nan
7/30/2023 18:22:37,1.16.3,PRexp,2,4.07,nan,2,Left,Left,5,3,3,3,nan,nan,0.16
7/30/2023 18:23:40,1.16.3,PRexp,2,4.07,nan,2,Left,Left,6,3,3,3,nan,nan,0.18
7/30/2023 18:24:16,1.16.3,PRexp,2,4.07,1,2,Pellet,Left,6,3,4,4,34.94,211,nan
7/30/2023 18:30:25,1.16.3,PRexp,2,4.07,nan,3,Left,Left,7,3,4,4,nan,nan,0.01
7/30/2023 19:40:37,1.16.3,PRexp,2,4.07,nan,1,Left,Left,8,3,4,0,nan,nan,0.26
7/30/2023 19:40:39,1.16.3,PRexp,2,4.07,1,1,Pellet,Left,8,3,5,1,1.90,4583,nan
7/30/2023 19:41:10,1.16.3,PRexp,2,4.07,nan,1,Left,Left,9,3,5,1,nan,nan,0.03
7/30/2023 19:41:14,1.16.3,PRexp,2,4.07,2,1,Pellet,Left,9,3,6,2,0.95,35,nan
7/30/2023 19:41:51,1.16.3,PRexp,2,4.07,nan,2,Left,Left,10,3,6,2,nan,nan,0.23
7/30/2023 19:41:58,1.16.3,PRexp,2,4.07,nan,2,Left,Left,11,3,6,2,nan,nan,0.56
7/30/2023 19:42:00,1.16.3,PRexp,2,4.07,1,2,Pellet,Left,11,3,7,3,1.15,46,nan
7/30/2023 19:42:29,1.16.3,PRexp,2,4.07,nan,2,Left,Left,12,3,7,3,nan,nan,0.04
