MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,Poke_Time
3/8/2021 7:04,1.2.5,ProRat2,5,4.21,1,12,Left,Left,5618,420,530,11,nan,0.24
3/8/2021 7:04,1.2.5,ProRat2,5,4.21,1,12,Left,Left,5619,420,530,11,nan,0.44
3/8/2021 7:04,1.2.5,ProRat2,5,4.21,1,12,Left,Left,5620,420,530,11,nan,0.07
3/8/2021 7:04,1.2.5,ProRat2,5,4.21,1,12,Left,Left,5621,420,530,11,nan,0.17
3/8/2021 7:05,1.2.5,ProRat2,5,4.21,1,12,Left,Left,5622,420,530,11,nan,0.06
3/8/2021 7:05,1.2.5,ProRat2,5,4.21,1,12,Left,Left,5623,420,530,11,nan,0.05
3/8/2021 7:06,1.2.5,ProRat2,5,4.21,1,12,Left,Left,5624,420,530,11,nan,0.21
3/8/2021 7:12,1.2.5,ProRat2,5,4.21,1,12,Right,Left,5624,421,530,11,nan,0
3/8/2021 7:15,1.2.5,ProRat2,5,4.21,1,12,Right,Left,5624,422,530,11,nan,0.34
3/8/2021 7:18,1.2.5,ProRat2,5,4.21,1,12,Left,Left,5625,422,530,11,nan,0.23
3/8/2021 7:18,1.2.5,ProRat2,5,4.21,1,12,Left,Left,5626,422,530,11,nan,0
3/8/2021 7:18,1.2.5,ProRat2,5,4.21,1,12,Left,Left,5627,422,530,11,nan,0
3/8/2021 7:18,1.2.5,ProRat2,5,4.21,1,12,Left,Left,5628,422,530,11,nan,0.51
3/8/2021 7:18,1.2.5,ProRat2,5,4.21,1,12,Pellet,Left,5628,422,531,12,0.79,nan
3/8/2021 7:18,1.2.5,ProRat2,5,4.21,1,13,Left,Left,5629,422,531,12,nan,0.17
3/8/2021 7:18,1.2.5,ProRat2,5,4.21,1,13,Left,Left,5630,422,531,12,nan,0.36
3/8/2021 7:18,1.2.5,ProRat2,5,4.21,1,13,Left,Left,5631,422,531,12,nan,0
3/8/2021 7:18,1.2.5,ProRat2,5,4.21,1,13,Left,Left,5632,422,531,12,nan,0.32
3/8/2021 7:18,1.2.5,ProRat2,5,4.21,1,13,Left,Left,5633,422,531,12,nan,0
3/8/2021 7:19,1.2.5,ProRat2,5,4.21,1,13,Left,Left,5634,422,531,12,nan,0.6
3/8/2021 7:19,1.2.5,ProRat2,5,4.21,1,13,Left,Left,5635,422,531,12,nan,0
