MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
8/3/2023 7:00,1.16.3,PRexp,6,3.93,,12,Left,Left,6128,302,473,11,,,0.29
8/3/2023 7:00,1.16.3,PRexp,6,3.93,,12,Left,Left,6129,302,473,11,,,0.21
8/3/2023 7:01,1.16.3,PRexp,6,3.93,,12,Left,Left,6130,302,473,11,,,0.44
8/3/2023 7:01,1.16.3,PRexp,6,3.93,,12,Left,Left,6131,302,473,11,,,0.3
8/3/2023 7:01,1.16.3,PRexp,6,3.93,,12,Left,Left,6132,302,473,11,,,0.34
8/3/2023 7:01,1.16.3,PRexp,6,3.93,,12,Left,Left,6133,302,473,11,,,0
8/3/2023 7:01,1.16.3,PRexp,6,3.9,,12,Left,Left,6134,302,473,11,,,0.19
8/3/2023 7:01,1.16.3,PRexp,6,3.93,,12,Left,Left,6135,302,473,11,,,0.1
8/3/2023 7:01,1.16.3,PRexp,6,3.93,,12,Left,Left,6136,302,473,11,,,0.24
8/3/2023 7:01,1.16.3,PRexp,6,3.93,,12,Left,Left,6137,302,473,11,,,0.08
8/3/2023 7:01,1.16.3,PRexp,6,3.93,,12,Left,Left,6138,302,473,11,,,0.17
8/3/2023 7:01,1.16.3,PRexp,6,3.94,,12,Left,Left,6139,302,473,11,,,0.15
8/3/2023 7:01,1.16.3,PRexp,6,3.93,4,12,Pellet,Left,6139,302,474,12,0.13,83,
8/3/2023 7:02,1.16.3,PRexp,6,3.93,,13,Right,Left,6139,303,474,12,,,0.37
8/3/2023 7:02,1.16.3,PRexp,6,3.93,,13,Left,Left,6140,303,474,12,,,0.32
8/3/2023 7:02,1.16.3,PRexp,6,3.93,,13,Left,Left,6141,303,474,12,,,0.11
8/3/2023 7:05,1.16.3,PRexp,6,3.93,,13,Left,Left,6142,303,474,12,,,0.09
8/3/2023 7:05,1.16.3,PRexp,6,3.93,,13,Right,Left,6142,304,474,12,,,0.28
8/3/2023 7:05,1.16.3,PRexp,6,3.93,,13,Left,Left,6143,304,474,12,,,0.16
8/3/2023 7:05,1.16.3,PRexp,6,3.93,,13,Left,Left,6144,304,474,12,,,0.25
8/3/2023 7:05,1.16.3,PRexp,6,3.93,,13,Left,Left,6145,304,474,12,,,0.12
8/3/2023 7:05,1.16.3,PRexp,6,3.93,,13,Left,Left,6146,304,474,12,,,0.19
8/3/2023 7:05,1.16.3,PRexp,6,3.93,,13,Left,Left,6147,304,474,12,,,0.06
8/3/2023 7:08,1.16.3,PRexp,6,3.93,,13,Right,Left,6147,305,474,12,,,0.4
8/3/2023 7:08,1.16.3,PRexp,6,3.93,,13,Right,Left,6147,306,474,12,,,0
8/3/2023 7:08,1.16.3,PRexp,6,3.93,,13,Left,Left,6148,306,474,12,,,0.01
8/3/2023 7:08,1.16.3,PRexp,6,3.93,,13,Left,Left,6149,306,474,12,,,0.11
8/3/2023 7:08,1.16.3,PRexp,6,3.93,,13,Left,Left,6150,306,474,12,,,0.41
8/3/2023 7:08,1.16.3,PRexp,6,3.93,,13,Left,Left,6151,306,474,12,,,0.1
8/3/2023 7:10,1.16.3,PRexp,6,3.93,,13,Right,Left,6151,307,474,12,,,0.26
8/3/2023 7:10,1.16.3,PRexp,6,3.93,,13,Left,Left,6152,307,474,12,,,0.18
8/3/2023 7:10,1.16.3,PRexp,6,3.93,2,13,Pellet,Left,6152,307,475,13,0.13,558,
8/3/2023 7:11,1.16.3,PRexp,6,3.93,,15,Left,Left,6153,307,475,13,,,0.19
8/3/2023 7:11,1.16.3,PRexp,6,3.93,,15,Left,Left,6154,307,475,13,,,0.09
8/3/2023 7:12,1.16.3,PRexp,6,3.93,,15,Left,Left,6155,307,475,13,,,0.09
8/3/2023 7:12,1.16.3,PRexp,6,3.93,,15,Left,Left,6156,307,475,13,,,0.23
8/3/2023 7:12,1.16.3,PRexp,6,3.93,,15,Left,Left,6157,307,475,13,,,0.16
8/3/2023 7:12,1.16.3,PRexp,6,3.93,,15,Left,Left,6158,307,475,13,,,0.24
8/3/2023 7:12,1.16.3,PRexp,6,3.93,,15,Left,Left,6159,307,475,13,,,0.07
8/3/2023 7:12,1.16.3,PRexp,6,3.93,,15,Left,Left,6160,307,475,13,,,0.11
8/3/2023 7:12,1.16.3,PRexp,6,3.93,,15,Left,Left,6161,307,475,13,,,0.09
8/3/2023 7:12,1.16.3,PRexp,6,3.93,,15,Left,Left,6162,307,475,13,,,0.16
