MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
8/28/2023 7:16,1.16.3,PRexp,2,3.91,nan,86,Left,Left,11083,295,633,28,nan,nan,0.32
8/28/2023 7:16,1.16.3,PRexp,2,3.91,nan,86,Left,Left,11084,295,633,28,nan,nan,0.1
8/28/2023 7:16,1.16.3,PRexp,2,3.91,nan,86,Left,Left,11085,295,633,28,nan,nan,0.27
8/28/2023 7:16,1.16.3,PRexp,2,3.9,nan,86,Left,Left,11086,295,633,28,nan,nan,0.56
8/28/2023 7:16,1.16.3,PRexp,2,3.91,nan,86,Left,Left,11087,295,633,28,nan,nan,0.24
8/28/2023 7:16,1.16.3,PRexp,2,3.91,nan,86,Left,Left,11088,295,633,28,nan,nan,0.15
8/28/2023 7:16,1.16.3,PRexp,2,3.9,nan,86,Left,Left,11089,295,633,28,nan,nan,0.22
8/28/2023 7:16,1.16.3,PRexp,2,3.91,nan,86,Left,Left,11090,295,633,28,nan,nan,0.49
8/28/2023 7:16,1.16.3,PRexp,2,3.9,nan,86,Left,Left,11091,295,633,28,nan,nan,0.04
8/28/2023 7:16,1.16.3,PRexp,2,3.91,nan,86,Left,Left,11092,295,633,28,nan,nan,0.38
8/28/2023 7:16,1.16.3,PRexp,2,3.91,nan,86,Left,Left,11093,295,633,28,nan,nan,0.19
8/28/2023 7:16,1.16.3,PRexp,2,3.91,nan,86,Left,Left,11094,295,633,28,nan,nan,0.42
8/28/2023 7:16,1.16.3,PRexp,2,3.9,nan,86,Left,Left,11095,295,633,28,nan,nan,0.24
8/28/2023 7:16,1.16.3,PRexp,2,3.9,nan,86,Left,Left,11096,295,633,28,nan,nan,0.35
8/28/2023 7:16,1.16.3,PRexp,2,3.91,nan,86,Left,Left,11097,295,633,28,nan,nan,0
8/28/2023 7:16,1.16.3,PRexp,2,3.9,nan,86,Left,Left,11098,295,633,28,nan,nan,0.19
8/28/2023 7:16,1.16.3,PRexp,2,3.91,nan,86,Left,Left,11099,295,633,28,nan,nan,0.18
8/28/2023 7:16,1.16.3,PRexp,2,3.91,nan,86,Left,Left,11100,295,633,28,nan,nan,0.1
8/28/2023 7:16,1.16.3,PRexp,2,3.9,nan,86,Left,Left,11101,295,633,28,nan,nan,0.43
8/28/2023 7:16,1.16.3,PRexp,2,3.9,nan,86,Left,Left,11102,295,633,28,nan,nan,0.37
8/28/2023 7:17,1.16.3,PRexp,2,3.91,nan,86,Left,Left,11103,295,633,28,nan,nan,0.24
8/28/2023 7:17,1.16.3,PRexp,2,3.91,nan,86,Left,Left,11104,295,633,28,nan,nan,0.59
8/28/2023 7:17,1.16.3,PRexp,2,3.91,nan,86,Left,Left,11105,295,633,28,nan,nan,0.36
8/28/2023 7:17,1.16.3,PRexp,2,3.91,nan,86,Left,Left,11106,295,633,28,nan,nan,0.14
8/28/2023 7:17,1.16.3,PRexp,2,3.91,nan,86,Left,Left,11107,295,633,28,nan,nan,0.39
8/28/2023 7:17,1.16.3,PRexp,2,3.91,nan,86,Left,Left,11108,295,633,28,nan,nan,0.2
8/28/2023 7:27,1.16.3,PRexp,2,3.91,nan,86,Left,Left,11109,295,633,28,nan,nan,0.07
8/28/2023 7:27,1.16.3,PRexp,2,3.91,nan,86,Left,Left,11110,295,633,28,nan,nan,0.31
8/28/2023 7:27,1.16.3,PRexp,2,3.9,nan,86,Left,Left,11111,295,633,28,nan,nan,0.46
8/28/2023 7:27,1.16.3,PRexp,2,3.91,nan,86,Left,Left,11112,295,633,28,nan,nan,0.54
8/28/2023 7:27,1.16.3,PRexp,2,3.91,nan,86,Left,Left,11113,295,633,28,nan,nan,0.44
8/28/2023 7:27,1.16.3,PRexp,2,3.9,nan,86,Left,Left,11114,295,633,28,nan,nan,0.19
8/28/2023 7:27,1.16.3,PRexp,2,3.9,nan,86,Left,Left,11115,295,633,28,nan,nan,0.48
8/28/2023 7:27,1.16.3,PRexp,2,3.91,nan,86,Left,Left,11116,295,633,28,nan,nan,0.3
8/28/2023 7:27,1.16.3,PRexp,2,3.9,nan,86,Left,Left,11117,295,633,28,nan,nan,0.47
8/28/2023 7:27,1.16.3,PRexp,2,3.91,nan,86,Left,Left,11118,295,633,28,nan,nan,0.58
8/28/2023 7:27,1.16.3,PRexp,2,3.91,nan,86,Left,Left,11119,295,633,28,nan,nan,0.42
8/28/2023 7:27,1.16.3,PRexp,2,3.91,nan,86,Left,Left,11120,295,633,28,nan,nan,0
8/28/2023 7:27,1.16.3,PRexp,2,3.91,nan,86,Left,Left,11121,295,633,28,nan,nan,0.18
8/28/2023 7:28,1.16.3,PRexp,2,3.91,nan,86,Left,Left,11122,295,633,28,nan,nan,0.47
8/28/2023 7:28,1.16.3,PRexp,2,3.9,nan,86,Left,Left,11123,295,633,28,nan,nan,0.82
8/28/2023 7:28,1.16.3,PRexp,2,3.91,nan,86,Left,Left,11124,295,633,28,nan,nan,0.62
8/28/2023 7:28,1.16.3,PRexp,2,3.9,nan,86,Left,Left,11125,295,633,28,nan,nan,0.26
8/28/2023 7:41,1.16.3,PRexp,2,3.91,nan,86,Left,Left,11126,295,633,28,nan,nan,0.41
8/28/2023 7:41,1.16.3,PRexp,2,3.91,nan,86,Left,Left,11127,295,633,28,nan,nan,0.17
8/28/2023 7:41,1.16.3,PRexp,2,3.9,nan,86,Left,Left,11128,295,633,28,nan,nan,0.35
8/28/2023 7:41,1.16.3,PRexp,2,3.91,nan,86,Left,Left,11129,295,633,28,nan,nan,0
8/28/2023 7:41,1.16.3,PRexp,2,3.91,nan,86,Left,Left,11130,295,633,28,nan,nan,0.23
8/28/2023 7:41,1.16.3,PRexp,2,3.9,nan,86,Left,Left,11131,295,633,28,nan,nan,0.28
8/28/2023 7:41,1.16.3,PRexp,2,3.91,nan,86,Left,Left,11132,295,633,28,nan,nan,0.2
8/28/2023 7:41,1.16.3,PRexp,2,3.91,nan,86,Left,Left,11133,295,633,28,nan,nan,0.3
8/28/2023 7:41,1.16.3,PRexp,2,3.91,nan,86,Left,Left,11134,295,633,28,nan,nan,0.42
8/28/2023 7:41,1.16.3,PRexp,2,3.91,nan,86,Left,Left,11135,295,633,28,nan,nan,0.39
8/28/2023 7:41,1.16.3,PRexp,2,3.91,nan,86,Left,Left,11136,295,633,28,nan,nan,0.5
8/28/2023 7:41,1.16.3,PRexp,2,3.91,nan,86,Left,Left,11137,295,633,28,nan,nan,0.26
