MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
2024-02-01 07:27:06,1.16.3,PRexp,8,3.95,,1,Left,Left,8866,472,412,0,,,0.1
2024-02-01 07:27:09,1.16.3,PRexp,8,3.95,1.0,1,Pellet,Left,8866,472,413,1,2.18,2639.0,
2024-02-01 07:27:44,1.16.3,PRexp,8,3.95,,1,Left,Left,8867,472,413,1,,,0.07
2024-02-01 07:27:47,1.16.3,PRexp,8,3.95,2.0,1,Pellet,Left,8867,472,414,2,0.61,38.0,
2024-02-01 07:28:09,1.16.3,PRexp,8,3.96,,2,Left,Left,8868,472,414,2,,,0.01
2024-02-01 07:28:11,1.16.3,PRexp,8,3.95,,2,Left,Left,8869,472,414,2,,,0.04
2024-02-01 07:28:12,1.16.3,PRexp,8,3.95,1.0,2,Pellet,Left,8869,472,415,3,0.61,25.0,
2024-02-01 07:28:37,1.16.3,PRexp,8,3.94,,2,Left,Left,8870,472,415,3,,,0.11
2024-02-01 07:28:41,1.16.3,PRexp,8,3.95,,2,Left,Left,8871,472,415,3,,,0.09
2024-02-01 07:28:44,1.16.3,PRexp,8,3.95,1.0,2,Pellet,Left,8871,472,416,4,2.25,32.0,
2024-02-01 07:29:13,1.16.3,PRexp,8,3.95,,3,Left,Left,8872,472,416,4,,,0.05
2024-02-01 07:29:17,1.16.3,PRexp,8,3.95,,3,Left,Left,8873,472,416,4,,,0.16
2024-02-01 07:29:19,1.16.3,PRexp,8,3.95,,3,Left,Left,8874,472,416,4,,,0.06
2024-02-01 07:29:19,1.16.3,PRexp,8,3.95,,3,LeftDuringDispense,Left,8875,472,416,5,,,0.07
2024-02-01 07:29:23,1.16.3,PRexp,8,3.95,2.0,3,Pellet,Left,8875,472,417,5,0.54,39.0,
2024-02-01 07:29:47,1.16.3,PRexp,8,3.94,,4,Left,Left,8876,472,417,5,,,0.1
2024-02-01 07:29:48,1.16.3,PRexp,8,3.95,,4,Left,Left,8877,472,417,5,,,0.1
2024-02-01 07:29:50,1.16.3,PRexp,8,3.96,,4,Left,Left,8878,472,417,5,,,0.04
2024-02-01 07:29:51,1.16.3,PRexp,8,3.95,,4,Left,Left,8879,472,417,5,,,0.09
2024-02-01 07:29:52,1.16.3,PRexp,8,3.94,1.0,4,Pellet,Left,8879,472,418,6,0.41,29.0,
2024-02-01 07:30:16,1.16.3,PRexp,8,3.95,,5,Left,Left,8880,472,418,6,,,0.01
2024-02-01 07:30:17,1.16.3,PRexp,8,3.94,,5,Left,Left,8881,472,418,6,,,0.1
2024-02-01 07:30:19,1.16.3,PRexp,8,3.95,,5,Left,Left,8882,472,418,6,,,0.35
2024-02-01 07:30:22,1.16.3,PRexp,8,3.96,,5,Left,Left,8883,472,418,6,,,0.38
2024-02-01 07:30:24,1.16.3,PRexp,8,3.95,,5,Left,Left,8884,472,418,6,,,0.56
2024-02-01 07:30:28,1.16.3,PRexp,8,3.95,2.0,5,Pellet,Left,8884,472,419,7,0.81,36.0,
2024-02-01 07:31:01,1.16.3,PRexp,8,3.95,,6,Left,Left,8885,472,419,7,,,0.15
2024-02-01 07:31:02,1.16.3,PRexp,8,3.95,,6,Left,Left,8886,472,419,7,,,0.24
2024-02-01 07:31:04,1.16.3,PRexp,8,3.96,,6,Left,Left,8887,472,419,7,,,0.36
2024-02-01 07:31:05,1.16.3,PRexp,8,3.95,,6,Left,Left,8888,472,419,7,,,0.21
2024-02-01 07:31:07,1.16.3,PRexp,8,3.94,,6,Left,Left,8889,472,419,7,,,0.31
2024-02-01 07:31:09,1.16.3,PRexp,8,3.95,,6,Left,Left,8890,472,419,7,,,0.1
2024-02-01 07:31:12,1.16.3,PRexp,8,3.95,2.0,6,Pellet,Left,8890,472,420,8,0.34,44.0,
2024-02-01 07:31:54,1.16.3,PRexp,8,3.95,,7,Left,Left,8891,472,420,8,,,0.01
2024-02-01 07:59:26,1.16.3,PRexp,8,3.95,,7,Left,Left,8892,472,420,8,,,0.03
2024-02-01 07:59:28,1.16.3,PRexp,8,3.94,,7,Left,Left,8893,472,420,8,,,0.06
2024-02-01 07:59:34,1.16.3,PRexp,8,3.95,,7,Left,Left,8894,472,420,8,,,0.2
2024-02-01 07:59:35,1.16.3,PRexp,8,3.95,,7,Left,Left,8895,472,420,8,,,0.2
2024-02-01 07:59:46,1.16.3,PRexp,8,3.95,,7,Left,Left,8896,472,420,8,,,0.15
2024-02-01 08:22:07,1.16.3,PRexp,8,3.94,,7,Left,Left,8897,472,420,8,,,0.02
2024-02-01 08:22:10,1.16.3,PRexp,8,3.94,1.0,7,Pellet,Left,8897,472,421,9,1.84,3058.0,
