MM:DD:YYYY hh:mm:ss,Library_Version,Session_Type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time,Elapsed_Time,Binary_Pellets,Interpellet_Intervals,Binary_Left_Pokes,Binary_Right_Pokes,Correct_Poke,Concat_#,Mode
11/28/2023 7:20,1.17.0,PRexp,27,3.92,,1,Poke,Left,2324,154,307,0,,,0.03,2 days 21:46:50.000000000,0,,1,0,1,0,PR
11/28/2023 7:21,1.17.0,PRexp,27,3.92,1,1,Pellet,Left,2324,154,308,1,0.61,6287,,2 days 21:46:53.000000000,1,104.78333333333333,0,0,,0,PR
11/28/2023 7:21,1.17.0,PRexp,27,3.92,,1,Poke,Left,2325,154,308,1,,,0.24,2 days 21:47:10.000000000,0,,1,0,1,0,PR
11/28/2023 7:21,1.17.0,PRexp,27,3.92,1,1,Pellet,Left,2325,154,309,2,0.18,20,,2 days 21:47:13.000000000,1,0.3333333333333333,0,0,,0,PR
11/28/2023 7:21,1.17.0,PRexp,27,3.92,,2,Poke,Left,2326,154,309,2,,,0.1,2 days 21:47:29.000000000,0,,1,0,1,0,PR
11/28/2023 7:21,1.17.0,PRexp,27,3.93,,2,Poke,Left,2327,154,309,2,,,0.1,2 days 21:47:30.000000000,0,,1,0,1,0,PR
11/28/2023 7:21,1.17.0,PRexp,27,3.92,1,2,Pellet,Left,2327,154,310,3,0.12,20,,2 days 21:47:33.000000000,1,0.3333333333333333,0,0,,0,PR
11/28/2023 7:22,1.17.0,PRexp,27,3.92,,2,Poke,Left,2328,154,310,3,,,0.16,2 days 21:47:53.000000000,0,,1,0,1,0,PR
11/28/2023 7:22,1.17.0,PRexp,27,3.92,,2,Poke,Left,2329,154,310,3,,,0.12,2 days 21:47:57.000000000,0,,1,0,1,0,PR
11/28/2023 7:22,1.17.0,PRexp,27,3.92,1,2,Pellet,Left,2329,154,311,4,0.18,26,,2 days 21:47:59.000000000,1,0.43333333333333335,0,0,,0,PR
11/28/2023 7:22,1.17.0,PRexp,27,3.92,,3,Poke,Left,2330,154,311,4,,,0.09,2 days 21:48:07.000000000,0,,1,0,1,0,PR
11/28/2023 7:22,1.17.0,PRexp,27,3.92,,3,Poke,Left,2331,154,311,4,,,0,2 days 21:48:08.000000000,0,,1,0,1,0,PR
11/28/2023 7:22,1.17.0,PRexp,27,3.92,,3,Poke,Left,2332,154,311,4,,,0.38,2 days 21:48:12.000000000,0,,1,0,1,0,PR
11/28/2023 7:22,1.17.0,PRexp,27,3.93,1,3,Pellet,Left,2332,154,312,5,0.06,15,,2 days 21:48:14.000000000,1,0.25,0,0,,0,PR
11/28/2023 7:22,1.17.0,PRexp,27,3.92,,4,Poke,Left,2333,154,312,5,,,0.07,2 days 21:48:31.000000000,0,,1,0,1,0,PR
11/28/2023 7:22,1.17.0,PRexp,27,3.93,,4,Poke,Left,2334,154,312,5,,,0.32,2 days 21:48:33.000000000,0,,1,0,1,0,PR
11/28/2023 7:22,1.17.0,PRexp,27,3.93,,4,Poke,Left,2335,154,312,5,,,0.24,2 days 21:48:34.000000000,0,,1,0,1,0,PR
11/28/2023 7:22,1.17.0,PRexp,27,3.92,,4,Poke,Left,2336,154,312,5,,,0.06,2 days 21:48:36.000000000,0,,1,0,1,0,PR
11/28/2023 7:22,1.17.0,PRexp,27,3.93,1,4,Pellet,Left,2336,154,313,6,0.18,25,,2 days 21:48:39.000000000,1,0.4166666666666667,0,0,,0,PR
11/28/2023 7:23,1.17.0,PRexp,27,3.92,,5,Poke,Left,2337,154,313,6,,,0.07,2 days 21:48:53.000000000,0,,1,0,1,0,PR
11/28/2023 7:23,1.17.0,PRexp,27,3.92,,5,Poke,Left,2338,154,313,6,,,0.09,2 days 21:48:55.000000000,0,,1,0,1,0,PR
11/28/2023 7:23,1.17.0,PRexp,27,3.92,,5,Poke,Left,2339,154,313,6,,,0,2 days 21:49:02.000000000,0,,1,0,1,0,PR
11/28/2023 7:55,1.17.0,PRexp,27,3.92,,1,Poke,Left,2340,154,313,0,,,0.47,2 days 22:21:33.000000000,0,,1,0,1,0,PR
11/28/2023 7:55,1.17.0,PRexp,27,3.92,2,1,Pellet,Left,2340,154,314,1,5.29,1983,,2 days 22:21:42.000000000,1,33.05,0,0,,0,PR
11/28/2023 7:56,1.17.0,PRexp,27,3.93,,1,Poke,Left,2341,154,314,1,,,0.19,2 days 22:22:10.000000000,0,,1,0,1,0,PR
11/28/2023 7:56,1.17.0,PRexp,27,3.92,2,1,Pellet,Left,2341,154,315,2,6.95,39,,2 days 22:22:21.000000000,1,0.65,0,0,,0,PR
11/28/2023 7:59,1.17.0,PRexp,27,3.93,,2,Poke,Left,2342,154,315,2,,,0.04,2 days 22:25:12.000000000,0,,1,0,1,0,PR
