MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
2024-12-24 07:02:33,1.17.0,PRexp,9,3.9,,10,Right,Left,4170,135,433,10,,,0.03
2024-12-24 07:02:44,1.17.0,PRexp,9,3.9,,10,Right,Left,4170,136,433,10,,,0.17
2024-12-24 07:04:42,1.17.0,PRexp,9,3.91,,10,Left,Left,4171,136,433,10,,,0.19
2024-12-24 07:04:44,1.17.0,PRexp,9,3.91,,10,Left,Left,4172,136,433,10,,,0.35
2024-12-24 07:07:06,1.17.0,PRexp,9,3.91,,10,Left,Left,4173,136,433,10,,,0.07
2024-12-24 07:07:07,1.17.0,PRexp,9,3.91,,10,Left,Left,4174,136,433,10,,,0.43
2024-12-24 07:07:12,1.17.0,PRexp,9,3.91,3.0,10,Pellet,Left,4174,136,434,11,0.06,1113.0,
2024-12-24 07:08:17,1.17.0,PRexp,9,3.91,,12,Left,Left,4175,136,434,11,,,0.07
2024-12-24 07:09:08,1.17.0,PRexp,9,3.91,,12,Left,Left,4176,136,434,11,,,0.17
2024-12-24 07:09:48,1.17.0,PRexp,9,3.91,,12,Left,Left,4177,136,434,11,,,0.14
2024-12-24 07:09:54,1.17.0,PRexp,9,3.91,,12,Left,Left,4178,136,434,11,,,0.47
2024-12-24 07:09:57,1.17.0,PRexp,9,3.91,,12,Left,Left,4179,136,434,11,,,0.18
2024-12-24 07:10:01,1.17.0,PRexp,9,3.91,,12,Left,Left,4180,136,434,11,,,0.18
2024-12-24 07:10:05,1.17.0,PRexp,9,3.91,,12,Left,Left,4181,136,434,11,,,0.3
2024-12-24 07:10:07,1.17.0,PRexp,9,3.91,,12,Left,Left,4182,136,434,11,,,0.0
2024-12-24 07:10:59,1.17.0,PRexp,9,3.91,,12,Left,Left,4183,136,434,11,,,0.07
2024-12-24 07:11:43,1.17.0,PRexp,9,3.91,,12,Left,Left,4184,136,434,11,,,0.11
2024-12-24 07:11:44,1.17.0,PRexp,9,3.9,,12,Left,Left,4185,136,434,11,,,0.0
2024-12-24 07:11:46,1.17.0,PRexp,9,3.91,,12,Left,Left,4186,136,434,11,,,0.19
2024-12-24 07:11:48,1.17.0,PRexp,9,3.9,2.0,12,Pellet,Left,4186,136,435,12,0.06,276.0,
2024-12-24 08:04:24,1.17.0,PRexp,9,3.9,,1,Left,Left,4187,136,435,0,,,0.06
2024-12-24 08:04:29,1.17.0,PRexp,9,3.9,2.0,1,Pellet,Left,4187,136,436,1,0.98,3161.0,
2024-12-24 08:04:54,1.17.0,PRexp,9,3.9,,1,Left,Left,4188,136,436,1,,,0.0
2024-12-24 08:04:56,1.17.0,PRexp,9,3.9,2.0,1,Pellet,Left,4188,136,437,2,0.06,27.0,
2024-12-24 08:05:22,1.17.0,PRexp,9,3.9,,2,Left,Left,4189,136,437,2,,,0.14
2024-12-24 08:05:24,1.17.0,PRexp,9,3.9,,2,Left,Left,4190,136,437,2,,,0.34
2024-12-24 08:05:28,1.17.0,PRexp,9,3.91,1.0,2,Pellet,Left,4190,136,438,3,1.84,32.0,
2024-12-24 08:05:54,1.17.0,PRexp,9,3.9,,2,Left,Left,4191,136,438,3,,,0.53
2024-12-24 08:05:55,1.17.0,PRexp,9,3.9,,2,Left,Left,4192,136,438,3,,,0.04
2024-12-24 08:06:00,1.17.0,PRexp,9,3.9,2.0,2,Pellet,Left,4192,136,439,4,0.36,32.0,
2024-12-24 08:06:41,1.17.0,PRexp,9,3.9,,3,Left,Left,4193,136,439,4,,,0.32
2024-12-24 08:06:42,1.17.0,PRexp,9,3.91,,3,Left,Left,4194,136,439,4,,,0.5
2024-12-24 08:06:44,1.17.0,PRexp,9,3.9,,3,Left,Left,4195,136,439,4,,,0.0
2024-12-24 08:06:57,1.17.0,PRexp,9,3.9,5.0,3,Pellet,Left,4195,136,440,5,4.79,57.0,
2024-12-24 08:07:52,1.17.0,PRexp,9,3.91,,4,Left,Left,4196,136,440,5,,,0.3
2024-12-24 08:08:04,1.17.0,PRexp,9,3.9,,4,Left,Left,4197,136,440,5,,,0.13
2024-12-24 08:08:06,1.17.0,PRexp,9,3.9,,4,Left,Left,4198,136,440,5,,,0.32
2024-12-24 08:08:07,1.17.0,PRexp,9,3.91,,4,Left,Left,4199,136,440,5,,,0.0
2024-12-24 08:08:10,1.17.0,PRexp,9,3.9,2.0,4,Pellet,Left,4199,136,441,6,0.06,73.0,
2024-12-24 08:08:46,1.17.0,PRexp,9,3.9,,5,Left,Left,4200,136,441,6,,,0.14
2024-12-24 08:08:47,1.17.0,PRexp,9,3.9,,5,Left,Left,4201,136,441,6,,,0.27
2024-12-24 08:08:49,1.17.0,PRexp,9,3.9,,5,Left,Left,4202,136,441,6,,,0.03
2024-12-24 08:08:52,1.17.0,PRexp,9,3.9,,5,Left,Left,4203,136,441,6,,,0.08
2024-12-24 08:09:12,1.17.0,PRexp,9,3.9,,5,Left,Left,4204,136,441,6,,,0.17
2024-12-24 08:09:15,1.17.0,PRexp,9,3.91,2.0,5,Pellet,Left,4204,136,442,7,0.12,65.0,
2024-12-24 08:09:29,1.17.0,PRexp,9,3.9,,6,Left,Left,4205,136,442,7,,,0.48
2024-12-24 08:30:09,1.17.0,PRexp,9,3.9,,6,Left,Left,4206,136,442,7,,,0.57
2024-12-24 08:30:11,1.17.0,PRexp,9,3.9,,6,Left,Left,4207,136,442,7,,,0.53
2024-12-24 08:30:12,1.17.0,PRexp,9,3.91,,6,Left,Left,4208,136,442,7,,,0.38
2024-12-24 08:30:17,1.17.0,PRexp,9,3.9,,6,Left,Left,4209,136,442,7,,,0.67
2024-12-24 08:30:19,1.17.0,PRexp,9,3.9,,6,Left,Left,4210,136,442,7,,,0.0
2024-12-24 08:30:22,1.17.0,PRexp,9,3.9,2.0,6,Pellet,Left,4210,136,443,8,0.30,1267.0,
2024-12-24 08:31:00,1.17.0,PRexp,9,3.9,,7,Left,Left,4211,136,443,8,,,0.04
2024-12-24 08:31:02,1.17.0,PRexp,9,3.9,,7,Left,Left,4212,136,443,8,,,0.0
2024-12-24 08:31:03,1.17.0,PRexp,9,3.9,,7,Left,Left,4213,136,443,8,,,0.0
2024-12-24 08:31:04,1.17.0,PRexp,9,3.9,,7,Left,Left,4214,136,443,8,,,0.0
2024-12-24 08:31:05,1.17.0,PRexp,9,3.9,,7,Left,Left,4215,136,443,8,,,0.08
2024-12-24 08:31:19,1.17.0,PRexp,9,3.9,,7,Left,Left,4216,136,443,8,,,1.28
2024-12-24 08:31:20,1.17.0,PRexp,9,3.91,,7,Left,Left,4217,136,443,8,,,0.04
2024-12-24 08:31:23,1.17.0,PRexp,9,3.9,2.0,7,Pellet,Left,4217,136,444,9,0.24,61.0,
2024-12-24 08:47:42,1.17.0,PRexp,9,3.9,,9,Left,Left,4218,136,444,9,,,0.2
2024-12-24 08:47:43,1.17.0,PRexp,9,3.91,,9,Left,Left,4219,136,444,9,,,0.0
2024-12-24 08:47:45,1.17.0,PRexp,9,3.9,,9,Left,Left,4220,136,444,9,,,0.0
2024-12-24 08:47:48,1.17.0,PRexp,9,3.9,,9,Left,Left,4221,136,444,9,,,1.33
2024-12-24 08:47:51,1.17.0,PRexp,9,3.91,,9,Left,Left,4222,136,444,9,,,0.3
2024-12-24 08:47:54,1.17.0,PRexp,9,3.9,,9,Left,Left,4223,136,444,9,,,0.42
2024-12-24 08:47:55,1.17.0,PRexp,9,3.9,,9,Left,Left,4224,136,444,9,,,0.0
