MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
3/4/2023 7:00,1.12.0,PRexp,4,4.04,nan,25,Left,Left,697,119,67,17,nan,nan,0.01
3/4/2023 7:00,1.12.0,PRexp,4,4.03,nan,25,Left,Left,698,119,67,17,nan,nan,0.25
3/4/2023 7:00,1.12.0,PRexp,4,4.04,nan,25,Left,Left,699,119,67,17,nan,nan,0.07
3/4/2023 7:00,1.12.0,PRexp,4,4.04,nan,25,Left,Left,700,119,67,17,nan,nan,0.34
3/4/2023 7:00,1.12.0,PRexp,4,4.04,nan,25,Left,Left,701,119,67,17,nan,nan,0.1
3/4/2023 7:00,1.12.0,PRexp,4,4.04,nan,25,Left,Left,702,119,67,17,nan,nan,0.59
3/4/2023 7:00,1.12.0,PRexp,4,4.04,nan,25,Left,Left,703,119,67,17,nan,nan,1.05
3/4/2023 7:00,1.12.0,PRexp,4,4.04,nan,25,Left,Left,704,119,67,17,nan,nan,0.38
3/4/2023 7:00,1.12.0,PRexp,4,4.04,nan,25,Left,Left,705,119,67,17,nan,nan,0.12
3/4/2023 7:01,1.12.0,PRexp,4,4.04,nan,25,Right,Left,705,120,67,17,nan,nan,0.43
3/4/2023 7:01,1.12.0,PRexp,4,4.04,nan,25,Left,Left,706,120,67,17,nan,nan,0.06
3/4/2023 7:01,1.12.0,PRexp,4,4.04,nan,25,Left,Left,707,120,67,17,nan,nan,0.36
3/4/2023 7:01,1.12.0,PRexp,4,4.04,nan,25,Left,Left,708,120,67,17,nan,nan,0.26
3/4/2023 7:01,1.12.0,PRexp,4,4.03,nan,25,Left,Left,709,120,67,17,nan,nan,0.67
3/4/2023 7:01,1.12.0,PRexp,4,4.03,nan,25,Left,Left,710,120,67,17,nan,nan,0.53
3/4/2023 7:01,1.12.0,PRexp,4,4.04,nan,25,Left,Left,711,120,67,17,nan,nan,0.01
3/4/2023 7:01,1.12.0,PRexp,4,4.04,nan,25,Left,Left,712,120,67,17,nan,nan,0.97
3/4/2023 7:01,1.12.0,PRexp,4,4.03,nan,25,Left,Left,713,120,67,17,nan,nan,0.05
3/4/2023 7:01,1.12.0,PRexp,4,4.03,nan,25,Left,Left,714,120,67,17,nan,nan,0.51
3/4/2023 7:01,1.12.0,PRexp,4,4.04,nan,25,Right,Left,714,121,67,17,nan,nan,0
3/4/2023 7:17,1.12.0,PRexp,4,4.03,nan,25,Right,Left,714,122,67,17,nan,nan,0.3
3/4/2023 7:17,1.12.0,PRexp,4,4.04,nan,25,Right,Left,714,123,67,17,nan,nan,0.34
3/4/2023 7:17,1.12.0,PRexp,4,4.04,nan,25,Right,Left,714,124,67,17,nan,nan,0
3/4/2023 7:17,1.12.0,PRexp,4,4.04,nan,25,Right,Left,714,125,67,17,nan,nan,0.45
3/4/2023 7:17,1.12.0,PRexp,4,4.04,nan,25,Right,Left,714,126,67,17,nan,nan,0.04
3/4/2023 7:17,1.12.0,PRexp,4,4.03,nan,25,Right,Left,714,127,67,17,nan,nan,0.19
3/4/2023 7:17,1.12.0,PRexp,4,4.04,nan,25,Right,Left,714,128,67,17,nan,nan,0.27
3/4/2023 7:17,1.12.0,PRexp,4,4.03,nan,25,Right,Left,714,129,67,17,nan,nan,0.07
3/4/2023 7:17,1.12.0,PRexp,4,4.04,nan,25,Right,Left,714,130,67,17,nan,nan,0.06
3/4/2023 7:18,1.12.0,PRexp,4,4.03,nan,25,Right,Left,714,131,67,17,nan,nan,0
3/4/2023 7:18,1.12.0,PRexp,4,4.04,nan,25,Left,Left,715,131,67,17,nan,nan,0.24
3/4/2023 7:18,1.12.0,PRexp,4,4.03,nan,25,Left,Left,716,131,67,17,nan,nan,0.25
3/4/2023 7:18,1.12.0,PRexp,4,4.03,nan,25,Left,Left,717,131,67,17,nan,nan,0.5
3/4/2023 7:18,1.12.0,PRexp,4,4.04,nan,25,Left,Left,718,131,67,17,nan,nan,0.52
3/4/2023 7:18,1.12.0,PRexp,4,4.03,nan,25,Left,Left,719,131,67,17,nan,nan,0.63
3/4/2023 7:18,1.12.0,PRexp,4,4.04,nan,25,Left,Left,720,131,67,17,nan,nan,0.85
3/4/2023 7:18,1.12.0,PRexp,4,4.04,nan,25,Left,Left,721,131,67,17,nan,nan,0.58
3/4/2023 7:18,1.12.0,PRexp,4,4.04,1,25,Pellet,Left,721,131,68,18,0.88,1235,nan
3/4/2023 7:49,1.12.0,PRexp,4,4.04,nan,1,Left,Left,722,131,68,0,nan,nan,0.23
3/4/2023 7:49,1.12.0,PRexp,4,4.04,3,1,Pellet,Left,722,131,69,1,1.16,1841,nan
3/4/2023 7:49,1.12.0,PRexp,4,4.03,nan,1,Left,Left,723,131,69,1,nan,nan,0.35
3/4/2023 7:50,1.12.0,PRexp,4,4.03,1,1,Pellet,Left,723,131,70,2,0.61,45,nan
3/4/2023 7:50,1.12.0,PRexp,4,4.04,nan,2,Left,Left,724,131,70,2,nan,nan,0.3
3/4/2023 7:50,1.12.0,PRexp,4,4.03,nan,2,Left,Left,725,131,70,2,nan,nan,0.15
3/4/2023 7:50,1.12.0,PRexp,4,4.04,1,2,Pellet,Left,725,131,71,3,0.54,31,nan
3/4/2023 7:51,1.12.0,PRexp,4,4.03,nan,2,Left,Left,726,131,71,3,nan,nan,0.04
3/4/2023 7:51,1.12.0,PRexp,4,4.03,nan,2,Left,Left,727,131,71,3,nan,nan,0.75
3/4/2023 7:51,1.12.0,PRexp,4,4.03,2,2,Pellet,Left,727,131,72,4,1.09,38,nan
3/4/2023 7:51,1.12.0,PRexp,4,4.04,nan,3,Left,Left,728,131,72,4,nan,nan,0.05
3/4/2023 7:51,1.12.0,PRexp,4,4.03,nan,3,Left,Left,729,131,72,4,nan,nan,1.7
3/4/2023 7:51,1.12.0,PRexp,4,4.03,nan,3,Left,Left,730,131,72,4,nan,nan,0
3/4/2023 7:51,1.12.0,PRexp,4,4.04,2,3,Pellet,Left,730,131,73,5,0.27,36,nan
3/4/2023 7:52,1.12.0,PRexp,4,4.03,nan,4,Left,Left,731,131,73,5,nan,nan,0.39
3/4/2023 7:52,1.12.0,PRexp,4,4.03,nan,4,Left,Left,732,131,73,5,nan,nan,1.08
3/4/2023 7:52,1.12.0,PRexp,4,4.04,nan,4,Left,Left,733,131,73,5,nan,nan,0.67
3/4/2023 7:52,1.12.0,PRexp,4,4.03,nan,4,Left,Left,734,131,73,5,nan,nan,0.54
3/4/2023 7:52,1.12.0,PRexp,4,4.03,1,4,Pellet,Left,734,131,74,6,0.41,42,nan
3/4/2023 7:53,1.12.0,PRexp,4,4.04,nan,5,Left,Left,735,131,74,6,nan,nan,0.02
3/4/2023 7:53,1.12.0,PRexp,4,4.03,nan,5,Left,Left,736,131,74,6,nan,nan,0.42
3/4/2023 7:54,1.12.0,PRexp,4,4.03,nan,5,Right,Left,736,132,74,6,nan,nan,1.08
3/4/2023 7:54,1.12.0,PRexp,4,4.03,nan,5,Right,Left,736,133,74,6,nan,nan,0.64
3/4/2023 7:55,1.12.0,PRexp,4,4.03,nan,5,Left,Left,737,133,74,6,nan,nan,0.37
3/4/2023 7:55,1.12.0,PRexp,4,4.04,nan,5,Left,Left,738,133,74,6,nan,nan,0.89
3/4/2023 7:55,1.12.0,PRexp,4,4.03,nan,5,Left,Left,739,133,74,6,nan,nan,0.65
3/4/2023 7:55,1.12.0,PRexp,4,4.03,1,5,Pellet,Left,739,133,75,7,0.88,187,nan
3/4/2023 7:56,1.12.0,PRexp,4,4.04,nan,6,Left,Left,740,133,75,7,nan,nan,0.05
3/4/2023 7:56,1.12.0,PRexp,4,4.03,nan,6,Left,Left,741,133,75,7,nan,nan,0.31
3/4/2023 7:56,1.12.0,PRexp,4,4.03,nan,6,Left,Left,742,133,75,7,nan,nan,0.45
3/4/2023 7:56,1.12.0,PRexp,4,4.03,nan,6,Left,Left,743,133,75,7,nan,nan,0.38
3/4/2023 7:56,1.12.0,PRexp,4,4.03,nan,6,Left,Left,744,133,75,7,nan,nan,0.39
3/4/2023 7:57,1.12.0,PRexp,4,4.03,nan,6,Right,Left,744,134,75,7,nan,nan,1.02
3/4/2023 8:48,1.12.0,PRexp,4,4.03,nan,1,Left,Left,745,134,75,0,nan,nan,0.94
3/4/2023 8:48,1.12.0,PRexp,4,4.03,1,1,Pellet,Left,745,134,76,1,0.54,3186,nan
3/4/2023 8:49,1.12.0,PRexp,4,4.03,nan,1,Left,Left,746,134,76,1,nan,nan,0.02
3/4/2023 8:49,1.12.0,PRexp,4,4.03,1,1,Pellet,Left,746,134,77,2,0.68,29,nan
3/4/2023 8:49,1.12.0,PRexp,4,4.03,nan,2,Left,Left,747,134,77,2,nan,nan,0.25
3/4/2023 8:49,1.12.0,PRexp,4,4.03,nan,2,Left,Left,748,134,77,2,nan,nan,0.45
3/4/2023 8:49,1.12.0,PRexp,4,4.03,2,2,Pellet,Left,748,134,78,3,0.95,31,nan
3/4/2023 8:49,1.12.0,PRexp,4,4.04,nan,2,Left,Left,749,134,78,3,nan,nan,0.33
3/4/2023 8:49,1.12.0,PRexp,4,4.03,nan,2,Left,Left,750,134,78,3,nan,nan,0.33
3/4/2023 8:49,1.12.0,PRexp,4,4.03,1,2,Pellet,Left,750,134,79,4,0.41,18,nan
3/4/2023 8:50,1.12.0,PRexp,4,4.03,nan,3,Left,Left,751,134,79,4,nan,nan,0.02
3/4/2023 8:50,1.12.0,PRexp,4,4.03,nan,3,Left,Left,752,134,79,4,nan,nan,0.3
3/4/2023 8:50,1.12.0,PRexp,4,4.03,nan,3,Left,Left,753,134,79,4,nan,nan,0.57
