ID,TimePoint,Group,Sex,Weight
Sh1,Chronic,SHAM,M,27.48
Sh2,Chronic,SHAM,M,25.36
Sh3,Chronic,SHAM,M,24.97
Sh4,Chronic,SHAM,M,26.52
Sh5,Chronic,SHAM,M,28.52
Sh6,Chronic,SHAM,M,26.72
Sh7,Chronic,SHAM,M,26.46
Sh8,Chronic,SHAM,M,27.15
Sh9,Chronic,SHAM,M,22.24
Sh10,Chronic,SHAM,M,29.7
Sh11,Chronic,SHAM,M,31.52
Sh12,Chronic,SHAM,M,31.99
Sh13,Chronic,SHAM,M,28.4
Sh14,Chronic,SHAM,M,28.59
Sh15,Chronic,SHAM,M,28.45
Sh16,Chronic,SHAM,F,18.98
Sh17,Chronic,SHAM,F,19.79
Sh18,Chronic,SHAM,F,18.15
Sh19,Chronic,SHAM,F,19.13
Sh20,Chronic,SHAM,F,18.9
Sh21,Chronic,SHAM,F,19.45
Sh22,Chronic,SHAM,F,19.38
Sh23,Chronic,SHAM,F,19.53
Sh24,Chronic,SHAM,F,18.37
Sh25,Chronic,SHAM,F,23.97
Sh26,Chronic,SHAM,F,21.67
Sh27,Chronic,SHAM,F,23.25
Sh28,Chronic,SHAM,F,23.15
Sh29,Chronic,SHAM,F,22.22
Sh30,Chronic,SHAM,F,18.77
Sh31,Chronic,SHAM,F,21.39
Sh32,Chronic,SHAM,F,20.27
Sh33,Chronic,SHAM,F,19.58
Sh34,Chronic,SNI,M,29.98
Sh35,Chronic,SNI,M,29.22
Sh36,Chronic,SNI,M,24.36
Sh37,Chronic,SNI,M,23.2
Sh38,Chronic,SNI,M,24.1
Sh39,Chronic,SNI,M,23.97
Sh40,Chronic,SNI,M,27.17
Sh41,Chronic,SNI,M,26.03
Sh42,Chronic,SNI,M,29.12
Sh43,Chronic,SNI,M,30.13
Sh44,Chronic,SNI,M,28.15
Sh45,Chronic,SNI,M,26.01
Sh46,Chronic,SNI,M,29.03
Sh47,Chronic,SNI,M,26.8
Sh48,Chronic,SNI,F,21.99
Sh49,Chronic,SNI,F,21.14
Sh50,Chronic,SNI,F,20.99
Sh51,Chronic,SNI,F,21.49
Sh52,Chronic,SNI,F,22.03
Sh53,Chronic,SNI,F,20.03
Sh54,Chronic,SNI,F,19.17
Sh55,Chronic,SNI,F,23.34
Sh56,Chronic,SNI,F,21.12
Sh57,Chronic,SNI,F,22.57
Sh58,Chronic,SNI,F,21.69
Sh59,Chronic,SNI,F,21.02
Sh60,Chronic,SNI,F,19.98
Sh61,Chronic,SNI,F,19.32
Sh62,Chronic,SNI,F,19.87
C137 M,Acute,SNI,M,24.87
1of3 M,Acute,SHAM,M,23.5
3of3 M,Acute,SNI,M,23.6
2of5 m,Acute,SNI,M,26.4
4OF5 m,Acute,SNI,M,27.8
137 m,Acute,SHAM,M,26.7
2OF3 m,Acute,SHAM,M,20.6
1of5 M,Acute,SHAM,M,29.5
3of5 M,Acute,SHAM,M,29.12
5of5 M,Acute,SHAM,M,29.37
144b F,Acute,SNI,F,20.98
144a F,Acute,SNI,F,19.98
C146 F,Acute,SNI,F,17.62
e F,Acute,SNI,F,18.97
C138b F,Acute,SNI,F,20.1
Cc F,Acute,SNI,F,20.4
C129b F,Acute,SNI,F,23.18
Ca F,Acute,SHAM,F,18.9
C138a F,Acute,SHAM,F,19.66
Cd F,Acute,SHAM,F,18.6
C4 F,Acute,SHAM,F,21.73
Cb F,Acute,SHAM,F,20.36
CJAX M1,Acute,SNI,M,22.74
CJAX M2,Acute,SHAM,M,24.98
39,Acute,SNI,M,23.35
43,Acute,SNI,M,22.14
18,Acute,SNI,M,23.35
47,Acute,SHAM,M,23.25
42,Acute,SHAM,M,23.48
40,Acute,SHAM,M,20.68
41,Acute,SHAM,M,20.3
48,Acute,SNI,F,17.65
38,Acute,SNI,F,15.96
49,Acute,SNI,F,17.76
45,Acute,SHAM,F,18.58
20,Acute,SHAM,F,18.5
