MM:DD:YYYY hh:mm:ss,Library_Version,Session_Type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time,Elapsed_Time,Binary_Pellets,Interpellet_Intervals,Binary_Left_Pokes,Binary_Right_Pokes,Correct_Poke,Concat_#,Mode
2024-05-21 18:36:36,1.17.0,PRexp,34,3.74,,1,Poke,Left,1,0,0,0,,,0.17,0 days 00:00:00.000000000,0.0,,1.0,0.0,1.0,0,PR
2024-05-21 18:36:40,1.17.0,PRexp,34,3.74,1.0,1,Pellet,Left,1,0,1,1,1.16,,,0 days 00:00:04.000000000,1.0,,0.0,0.0,,0,PR
2024-05-21 18:37:02,1.17.0,PRexp,34,3.74,,1,Poke,Left,2,0,1,1,,,0.31,0 days 00:00:26.000000000,0.0,,1.0,0.0,1.0,0,PR
2024-05-21 18:37:05,1.17.0,PRexp,34,3.74,1.0,1,Pellet,Left,2,0,2,2,0.67,25.0,,0 days 00:00:29.000000000,1.0,0.4166666666666667,0.0,0.0,,0,PR
2024-05-21 18:37:48,1.17.0,PRexp,34,3.74,,2,Poke,Left,3,0,2,2,,,0.05,0 days 00:01:12.000000000,0.0,,1.0,0.0,1.0,0,PR
2024-05-21 18:37:50,1.17.0,PRexp,34,3.74,,2,Poke,Left,4,0,2,2,,,0.15,0 days 00:01:14.000000000,0.0,,1.0,0.0,1.0,0,PR
2024-05-21 18:37:52,1.17.0,PRexp,34,3.74,1.0,2,Pellet,Left,4,0,3,3,0.36,47.0,,0 days 00:01:16.000000000,1.0,0.7833333333333333,0.0,0.0,,0,PR
2024-05-21 18:38:25,1.17.0,PRexp,34,3.74,,2,Poke,Left,5,0,3,3,,,0.2,0 days 00:01:49.000000000,0.0,,1.0,0.0,1.0,0,PR
2024-05-21 19:37:52,1.17.0,PRexp,34,3.74,,1,Poke,Left,6,0,3,0,,,0.41,0 days 01:01:16.000000000,0.0,,1.0,0.0,1.0,0,PR
2024-05-21 19:37:54,1.17.0,PRexp,34,3.74,1.0,1,Pellet,Left,6,0,4,1,0.42,3602.0,,0 days 01:01:18.000000000,1.0,60.03333333333333,0.0,0.0,,0,PR
2024-05-21 19:38:12,1.17.0,PRexp,34,3.73,,1,Poke,Left,7,0,4,1,,,0.09,0 days 01:01:36.000000000,0.0,,1.0,0.0,1.0,0,PR
2024-05-21 19:38:14,1.17.0,PRexp,34,3.74,1.0,1,Pellet,Left,7,0,5,2,0.42,20.0,,0 days 01:01:38.000000000,1.0,0.3333333333333333,0.0,0.0,,0,PR
2024-05-21 19:38:28,1.17.0,PRexp,34,3.74,,2,Poke,Left,8,0,5,2,,,0.34,0 days 01:01:52.000000000,0.0,,1.0,0.0,1.0,0,PR
2024-05-21 19:38:31,1.17.0,PRexp,34,3.74,,2,Poke,Left,9,0,5,2,,,0.42,0 days 01:01:55.000000000,0.0,,1.0,0.0,1.0,0,PR
