MM:DD:YYYY hh:mm:ss,Library_Version,Session_Type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time,Elapsed_Time,Binary_Pellets,Interpellet_Intervals,Binary_Left_Pokes,Binary_Right_Pokes,Correct_Poke,Concat_#,Mode
5/6/2024 7:00,1.17.0,PRexp,2,3.64,,10,Poke,Left,3431,225,296,10,,,0.35,2 days 14:02:36.000000000,0,,1,0,1,0,PR
5/6/2024 7:00,1.17.0,PRexp,2,3.64,1,10,Pellet,Left,3431,225,297,11,0.3,348,,2 days 14:02:38.000000000,1,5.8,0,0,,0,PR
5/6/2024 7:00,1.17.0,PRexp,2,3.64,,12,Poke,Left,3432,225,297,11,,,0.22,2 days 14:03:05.000000000,0,,1,0,1,0,PR
5/6/2024 7:00,1.17.0,PRexp,2,3.64,,12,Poke,Left,3433,225,297,11,,,0.35,2 days 14:03:07.000000000,0,,1,0,1,0,PR
5/6/2024 7:01,1.17.0,PRexp,2,3.64,,12,Poke,Left,3434,225,297,11,,,0,2 days 14:03:25.000000000,0,,1,0,1,0,PR
5/6/2024 7:01,1.17.0,PRexp,2,3.64,,12,Poke,Left,3435,225,297,11,,,0.23,2 days 14:03:58.000000000,0,,1,0,1,0,PR
5/6/2024 7:01,1.17.0,PRexp,2,3.64,,12,Poke,Left,3436,225,297,11,,,0.39,2 days 14:04:02.000000000,0,,1,0,1,0,PR
5/6/2024 7:03,1.17.0,PRexp,2,3.64,,12,Poke,Left,3437,225,297,11,,,0.07,2 days 14:06:12.000000000,0,,1,0,1,0,PR
5/6/2024 7:03,1.17.0,PRexp,2,3.64,,12,Poke,Left,3438,225,297,11,,,0.2,2 days 14:06:15.000000000,0,,1,0,1,0,PR
5/6/2024 7:03,1.17.0,PRexp,2,3.64,,12,Poke,Left,3439,225,297,11,,,0.18,2 days 14:06:18.000000000,0,,1,0,1,0,PR
5/6/2024 7:05,1.17.0,PRexp,2,3.64,,12,Poke,Left,3440,225,297,11,,,0.32,2 days 14:07:51.000000000,0,,1,0,1,0,PR
5/6/2024 7:05,1.17.0,PRexp,2,3.64,,12,Poke,Left,3441,225,297,11,,,0.21,2 days 14:07:52.000000000,0,,1,0,1,0,PR
5/6/2024 7:09,1.17.0,PRexp,2,3.64,,12,Poke,Left,3442,225,297,11,,,0.19,2 days 14:11:48.000000000,0,,1,0,1,0,PR
5/6/2024 7:09,1.17.0,PRexp,2,3.64,,12,Poke,Left,3443,225,297,11,,,0.29,2 days 14:11:51.000000000,0,,1,0,1,0,PR
5/6/2024 7:09,1.17.0,PRexp,2,3.64,1,12,Pellet,Left,3443,225,298,12,0.18,555,,2 days 14:11:53.000000000,1,9.25,0,0,,0,PR
5/6/2024 7:37,1.17.0,PRexp,2,3.64,,13,Poke,Left,3444,225,298,12,,,0.25,2 days 14:39:25.000000000,0,,1,0,1,0,PR
5/6/2024 7:37,1.17.0,PRexp,2,3.64,,13,Poke,Left,3445,225,298,12,,,0.21,2 days 14:39:29.000000000,0,,1,0,1,0,PR
5/6/2024 7:37,1.17.0,PRexp,2,3.64,,13,Poke,Left,3446,225,298,12,,,0.18,2 days 14:39:43.000000000,0,,1,0,1,0,PR
5/6/2024 7:37,1.17.0,PRexp,2,3.64,,13,Poke,Left,3447,225,298,12,,,0.05,2 days 14:39:46.000000000,0,,1,0,1,0,PR
5/6/2024 7:37,1.17.0,PRexp,2,3.64,,13,Poke,Left,3448,225,298,12,,,0,2 days 14:39:48.000000000,0,,1,0,1,0,PR
5/6/2024 7:37,1.17.0,PRexp,2,3.64,,13,Poke,Left,3449,225,298,12,,,0.02,2 days 14:39:51.000000000,0,,1,0,1,0,PR
5/6/2024 7:37,1.17.0,PRexp,2,3.64,,13,Poke,Left,3450,225,298,12,,,0.21,2 days 14:39:53.000000000,0,,1,0,1,0,PR
5/6/2024 7:37,1.17.0,PRexp,2,3.64,,13,Poke,Left,3451,225,298,12,,,0.59,2 days 14:39:55.000000000,0,,1,0,1,0,PR
5/6/2024 7:37,1.17.0,PRexp,2,3.64,,13,Poke,Left,3452,225,298,12,,,0.31,2 days 14:39:59.000000000,0,,1,0,1,0,PR
5/6/2024 7:37,1.17.0,PRexp,2,3.64,,13,Poke,Left,3453,225,298,12,,,0.58,2 days 14:40:08.000000000,0,,1,0,1,0,PR
5/6/2024 8:32,1.17.0,PRexp,2,3.64,,1,Poke,Left,3454,225,298,0,,,0.32,2 days 15:34:22.000000000,0,,1,0,1,0,PR
5/6/2024 8:32,1.17.0,PRexp,2,3.64,1,1,Pellet,Left,3454,225,299,1,0.18,4951,,2 days 15:34:24.000000000,1,82.51666666666667,0,0,,0,PR
5/6/2024 8:32,1.17.0,PRexp,2,3.64,,1,Poke,Left,3455,225,299,1,,,0.12,2 days 15:35:02.000000000,0,,1,0,1,0,PR
5/6/2024 8:32,1.17.0,PRexp,2,3.64,1,1,Pellet,Left,3455,225,300,2,0.49,41,,2 days 15:35:05.000000000,1,0.6833333333333333,0,0,,0,PR
5/6/2024 8:33,1.17.0,PRexp,2,3.64,,2,Poke,Left,3456,225,300,2,,,0.21,2 days 15:35:56.000000000,0,,1,0,1,0,PR
5/6/2024 8:33,1.17.0,PRexp,2,3.63,,2,Poke,Left,3457,225,300,2,,,0.48,2 days 15:35:59.000000000,0,,1,0,1,0,PR
5/6/2024 8:33,1.17.0,PRexp,2,3.64,1,2,Pellet,Left,3457,225,301,3,0.18,57,,2 days 15:36:02.000000000,1,0.95,0,0,,0,PR
5/6/2024 8:34,1.17.0,PRexp,2,3.64,,2,Poke,Left,3458,225,301,3,,,0.18,2 days 15:36:29.000000000,0,,1,0,1,0,PR
5/6/2024 8:34,1.17.0,PRexp,2,3.64,,2,Poke,Left,3459,225,301,3,,,0.6,2 days 15:36:33.000000000,0,,1,0,1,0,PR
5/6/2024 8:34,1.17.0,PRexp,2,3.64,1,2,Pellet,Left,3459,225,302,4,0.18,33,,2 days 15:36:35.000000000,1,0.55,0,0,,0,PR
5/6/2024 8:34,1.17.0,PRexp,2,3.64,,3,Poke,Left,3460,225,302,4,,,0.1,2 days 15:37:09.000000000,0,,1,0,1,0,PR
5/6/2024 8:34,1.17.0,PRexp,2,3.64,,3,Poke,Left,3461,225,302,4,,,0.41,2 days 15:37:13.000000000,0,,1,0,1,0,PR
5/6/2024 8:34,1.17.0,PRexp,2,3.64,,3,Poke,Left,3462,225,302,4,,,0.07,2 days 15:37:15.000000000,0,,1,0,1,0,PR
5/6/2024 8:34,1.17.0,PRexp,2,3.64,1,3,Pellet,Left,3462,225,303,5,0.3,42,,2 days 15:37:17.000000000,1,0.7,0,0,,0,PR
5/6/2024 8:35,1.17.0,PRexp,2,3.64,,4,Poke,Left,3463,225,303,5,,,0.57,2 days 15:37:45.000000000,0,,1,0,1,0,PR
5/6/2024 8:35,1.17.0,PRexp,2,3.63,,4,Poke,Left,3464,225,303,5,,,0.44,2 days 15:37:50.000000000,0,,1,0,1,0,PR
5/6/2024 8:35,1.17.0,PRexp,2,3.64,,4,Poke,Left,3465,225,303,5,,,0.08,2 days 15:37:52.000000000,0,,1,0,1,0,PR
5/6/2024 8:35,1.17.0,PRexp,2,3.64,,4,Poke,Left,3466,225,303,5,,,0.34,2 days 15:37:56.000000000,0,,1,0,1,0,PR
5/6/2024 8:35,1.17.0,PRexp,2,3.64,2,4,Pellet,Left,3466,225,304,6,0.12,41,,2 days 15:37:58.000000000,1,0.6833333333333333,0,0,,0,PR
5/6/2024 8:38,1.17.0,PRexp,2,3.64,,5,Poke,Left,3466,226,304,6,,,0.02,2 days 15:40:35.000000000,0,,0,1,0,0,PR
5/6/2024 8:38,1.17.0,PRexp,2,3.64,,5,Poke,Left,3466,227,304,6,,,0,2 days 15:40:41.000000000,0,,0,1,0,0,PR
5/6/2024 8:38,1.17.0,PRexp,2,3.64,,5,Poke,Left,3466,228,304,6,,,0,2 days 15:40:48.000000000,0,,0,1,0,0,PR
5/6/2024 8:38,1.17.0,PRexp,2,3.64,,5,Poke,Left,3467,228,304,6,,,0,2 days 15:41:02.000000000,0,,1,0,1,0,PR
5/6/2024 8:38,1.17.0,PRexp,2,3.64,,5,Poke,Left,3468,228,304,6,,,0.23,2 days 15:41:03.000000000,0,,1,0,1,0,PR
5/6/2024 8:38,1.17.0,PRexp,2,3.64,,5,Poke,Left,3469,228,304,6,,,0.27,2 days 15:41:05.000000000,0,,1,0,1,0,PR
5/6/2024 8:38,1.17.0,PRexp,2,3.64,,5,Poke,Left,3470,228,304,6,,,0.25,2 days 15:41:12.000000000,0,,1,0,1,0,PR
5/6/2024 8:38,1.17.0,PRexp,2,3.64,,5,Poke,Left,3471,228,304,6,,,0.29,2 days 15:41:17.000000000,0,,1,0,1,0,PR
5/6/2024 8:39,1.17.0,PRexp,2,3.64,1,5,Pellet,Left,3471,228,305,7,0.3,201,,2 days 15:41:19.000000000,1,3.35,0,0,,0,PR
5/6/2024 8:42,1.17.0,PRexp,2,3.64,,6,Poke,Left,3472,228,305,7,,,0.17,2 days 15:45:12.000000000,0,,1,0,1,0,PR
5/6/2024 8:42,1.17.0,PRexp,2,3.63,,6,Poke,Left,3473,228,305,7,,,0.11,2 days 15:45:13.000000000,0,,1,0,1,0,PR
5/6/2024 8:51,1.17.0,PRexp,2,3.64,,6,Poke,Left,3474,228,305,7,,,0.23,2 days 15:53:36.000000000,0,,1,0,1,0,PR
5/6/2024 8:51,1.17.0,PRexp,2,3.63,,6,Poke,Left,3475,228,305,7,,,0.17,2 days 15:53:39.000000000,0,,1,0,1,0,PR
5/6/2024 8:51,1.17.0,PRexp,2,3.64,,6,Poke,Left,3476,228,305,7,,,0.06,2 days 15:53:40.000000000,0,,1,0,1,0,PR
5/6/2024 8:51,1.17.0,PRexp,2,3.64,,6,Poke,Left,3477,228,305,7,,,0.11,2 days 15:53:49.000000000,0,,1,0,1,0,PR
5/6/2024 8:51,1.17.0,PRexp,2,3.64,2,6,Pellet,Left,3477,228,306,8,0.12,752,,2 days 15:53:51.000000000,1,12.533333333333333,0,0,,0,PR
5/6/2024 10:01,1.17.0,PRexp,2,3.64,,1,Poke,Left,3478,228,306,0,,,0.08,2 days 17:04:05.000000000,0,,1,0,1,0,PR
5/6/2024 10:01,1.17.0,PRexp,2,3.64,1,1,Pellet,Left,3478,228,307,1,0.3,4216,,2 days 17:04:07.000000000,1,70.26666666666667,0,0,,0,PR
5/6/2024 10:02,1.17.0,PRexp,2,3.64,,1,Poke,Left,3479,228,307,1,,,0.11,2 days 17:04:43.000000000,0,,1,0,1,0,PR
5/6/2024 10:02,1.17.0,PRexp,2,3.64,1,1,Pellet,Left,3479,228,308,2,0.18,38,,2 days 17:04:45.000000000,1,0.6333333333333333,0,0,,0,PR
5/6/2024 10:03,1.17.0,PRexp,2,3.64,,2,Poke,Left,3480,228,308,2,,,0.02,2 days 17:05:23.000000000,0,,1,0,1,0,PR
5/6/2024 10:03,1.17.0,PRexp,2,3.64,,2,Poke,Left,3481,228,308,2,,,0.3,2 days 17:05:25.000000000,0,,1,0,1,0,PR
5/6/2024 10:03,1.17.0,PRexp,2,3.64,1,2,Pellet,Left,3481,228,309,3,0.12,42,,2 days 17:05:28.000000000,1,0.7166666666666667,0,0,,0,PR
5/6/2024 10:03,1.17.0,PRexp,2,3.64,,2,Poke,Left,3482,228,309,3,,,0.13,2 days 17:05:59.000000000,0,,1,0,1,0,PR
5/6/2024 10:03,1.17.0,PRexp,2,3.64,,2,Poke,Left,3483,228,309,3,,,0.08,2 days 17:06:01.000000000,0,,1,0,1,0,PR
5/6/2024 10:03,1.17.0,PRexp,2,3.64,1,2,Pellet,Left,3483,228,310,4,0.12,36,,2 days 17:06:03.000000000,1,0.5833333333333334,0,0,,0,PR
5/6/2024 10:04,1.17.0,PRexp,2,3.64,,3,Poke,Left,3484,228,310,4,,,0.26,2 days 17:06:33.000000000,0,,1,0,1,0,PR
5/6/2024 10:04,1.17.0,PRexp,2,3.64,,3,Poke,Left,3485,228,310,4,,,0.26,2 days 17:06:47.000000000,0,,1,0,1,0,PR
5/6/2024 10:04,1.17.0,PRexp,2,3.64,,3,Poke,Left,3486,228,310,4,,,0.08,2 days 17:06:49.000000000,0,,1,0,1,0,PR
5/6/2024 10:04,1.17.0,PRexp,2,3.64,,3,Poke,Left,3487,228,310,5,,,0,2 days 17:06:51.000000000,0,,1,0,1,0,PR
5/6/2024 10:04,1.17.0,PRexp,2,3.64,1,3,Pellet,Left,3487,228,311,5,1.81,50,,2 days 17:06:53.000000000,1,0.8333333333333334,0,0,,0,PR
5/6/2024 10:05,1.17.0,PRexp,2,3.64,,4,Poke,Left,3488,228,311,5,,,0.27,2 days 17:07:26.000000000,0,,1,0,1,0,PR
5/6/2024 10:05,1.17.0,PRexp,2,3.64,,4,Poke,Left,3489,228,311,5,,,0.22,2 days 17:07:30.000000000,0,,1,0,1,0,PR
5/6/2024 10:05,1.17.0,PRexp,2,3.64,,4,Poke,Left,3490,228,311,5,,,0.43,2 days 17:07:32.000000000,0,,1,0,1,0,PR
5/6/2024 10:05,1.17.0,PRexp,2,3.64,,4,Poke,Left,3491,228,311,5,,,0.09,2 days 17:07:36.000000000,0,,1,0,1,0,PR
5/6/2024 10:05,1.17.0,PRexp,2,3.64,2,4,Pellet,Left,3491,228,312,6,16.07,63,,2 days 17:07:56.000000000,1,1.05,0,0,,0,PR
5/6/2024 10:07,1.17.0,PRexp,2,3.64,,5,Poke,Left,3492,228,312,6,,,0.3,2 days 17:09:29.000000000,0,,1,0,1,0,PR
5/6/2024 10:07,1.17.0,PRexp,2,3.64,,5,Poke,Left,3493,228,312,6,,,0.04,2 days 17:09:33.000000000,0,,1,0,1,0,PR
5/6/2024 10:07,1.17.0,PRexp,2,3.64,,5,Poke,Left,3494,228,312,6,,,0.24,2 days 17:09:44.000000000,0,,1,0,1,0,PR
5/6/2024 10:07,1.17.0,PRexp,2,3.64,,5,Poke,Left,3495,228,312,6,,,0.52,2 days 17:09:46.000000000,0,,1,0,1,0,PR
5/6/2024 10:07,1.17.0,PRexp,2,3.64,,5,Poke,Left,3496,228,312,6,,,0.46,2 days 17:09:49.000000000,0,,1,0,1,0,PR
5/6/2024 10:07,1.17.0,PRexp,2,3.64,1,5,Pellet,Left,3496,228,313,7,0.3,116,,2 days 17:09:52.000000000,1,1.9333333333333333,0,0,,0,PR
5/6/2024 10:11,1.17.0,PRexp,2,3.64,,6,Poke,Left,3497,228,313,7,,,0.08,2 days 17:13:23.000000000,0,,1,0,1,0,PR
5/6/2024 10:11,1.17.0,PRexp,2,3.64,,6,Poke,Left,3498,228,313,7,,,0.23,2 days 17:13:25.000000000,0,,1,0,1,0,PR
5/6/2024 10:11,1.17.0,PRexp,2,3.64,,6,Poke,Left,3499,228,313,7,,,0.2,2 days 17:13:28.000000000,0,,1,0,1,0,PR
5/6/2024 10:11,1.17.0,PRexp,2,3.64,,6,Poke,Left,3500,228,313,7,,,0.16,2 days 17:13:30.000000000,0,,1,0,1,0,PR
5/6/2024 10:11,1.17.0,PRexp,2,3.64,,6,Poke,Left,3501,228,313,7,,,0.03,2 days 17:13:32.000000000,0,,1,0,1,0,PR
5/6/2024 10:11,1.17.0,PRexp,2,3.64,,6,Poke,Left,3502,228,313,7,,,0.31,2 days 17:13:36.000000000,0,,1,0,1,0,PR
5/6/2024 10:11,1.17.0,PRexp,2,3.64,2,6,Pellet,Left,3502,228,314,8,0.18,228,,2 days 17:13:41.000000000,1,3.816666666666667,0,0,,0,PR
5/6/2024 10:12,1.17.0,PRexp,2,3.64,,7,Poke,Left,3503,228,314,8,,,0.32,2 days 17:15:17.000000000,0,,1,0,1,0,PR
5/6/2024 10:13,1.17.0,PRexp,2,3.64,,7,Poke,Left,3504,228,314,8,,,0.24,2 days 17:15:21.000000000,0,,1,0,1,0,PR
5/6/2024 10:28,1.17.0,PRexp,2,3.64,,7,Poke,Left,3505,228,314,8,,,0.08,2 days 17:31:15.000000000,0,,1,0,1,0,PR
5/6/2024 10:42,1.17.0,PRexp,2,3.64,,7,Poke,Left,3506,228,314,8,,,0.28,2 days 17:44:27.000000000,0,,1,0,1,0,PR
5/6/2024 10:42,1.17.0,PRexp,2,3.64,,7,Poke,Left,3507,228,314,8,,,0.08,2 days 17:44:31.000000000,0,,1,0,1,0,PR
5/6/2024 10:42,1.17.0,PRexp,2,3.64,,7,Poke,Left,3508,228,314,8,,,0.37,2 days 17:44:34.000000000,0,,1,0,1,0,PR
5/6/2024 11:29,1.17.0,PRexp,2,3.64,,1,Poke,Left,3509,228,314,0,,,0.18,2 days 18:31:30.000000000,0,,1,0,1,0,PR
5/6/2024 11:29,1.17.0,PRexp,2,3.64,1,1,Pellet,Left,3509,228,315,1,0.36,4673,,2 days 18:31:33.000000000,1,77.86666666666666,0,0,,0,PR
5/6/2024 11:29,1.17.0,PRexp,2,3.64,,1,Poke,Left,3510,228,315,1,,,0.19,2 days 18:32:10.000000000,0,,1,0,1,0,PR
5/6/2024 11:29,1.17.0,PRexp,2,3.64,1,1,Pellet,Left,3510,228,316,2,0.49,39,,2 days 18:32:12.000000000,1,0.65,0,0,,0,PR
5/6/2024 11:30,1.17.0,PRexp,2,3.64,,2,Poke,Left,3511,228,316,2,,,0.09,2 days 18:32:47.000000000,0,,1,0,1,0,PR
5/6/2024 11:30,1.17.0,PRexp,2,3.64,,2,Poke,Left,3512,228,316,2,,,0.25,2 days 18:32:49.000000000,0,,1,0,1,0,PR
5/6/2024 11:30,1.17.0,PRexp,2,3.64,1,2,Pellet,Left,3512,228,317,3,0.18,39,,2 days 18:32:51.000000000,1,0.65,0,0,,0,PR
5/6/2024 11:31,1.17.0,PRexp,2,3.64,,2,Poke,Left,3513,228,317,3,,,0.31,2 days 18:33:41.000000000,0,,1,0,1,0,PR
5/6/2024 11:31,1.17.0,PRexp,2,3.63,,2,Poke,Left,3514,228,317,3,,,0.28,2 days 18:33:44.000000000,0,,1,0,1,0,PR
5/6/2024 11:31,1.17.0,PRexp,2,3.64,1,2,Pellet,Left,3514,228,318,4,0.18,55,,2 days 18:33:46.000000000,1,0.9166666666666666,0,0,,0,PR
5/6/2024 11:31,1.17.0,PRexp,2,3.64,,3,Poke,Left,3515,228,318,4,,,0.27,2 days 18:34:17.000000000,0,,1,0,1,0,PR
5/6/2024 11:32,1.17.0,PRexp,2,3.63,,3,Poke,Left,3516,228,318,4,,,0.38,2 days 18:34:19.000000000,0,,1,0,1,0,PR
5/6/2024 11:32,1.17.0,PRexp,2,3.64,,3,Poke,Left,3517,228,318,4,,,0.41,2 days 18:34:24.000000000,0,,1,0,1,0,PR
5/6/2024 11:32,1.17.0,PRexp,2,3.64,1,3,Pellet,Left,3517,228,319,5,0.24,40,,2 days 18:34:26.000000000,1,0.6666666666666666,0,0,,0,PR
5/6/2024 11:32,1.17.0,PRexp,2,3.64,,4,Poke,Left,3518,228,319,5,,,0.1,2 days 18:34:47.000000000,0,,1,0,1,0,PR
5/6/2024 11:32,1.17.0,PRexp,2,3.64,,4,Poke,Left,3519,228,319,5,,,0.23,2 days 18:34:52.000000000,0,,1,0,1,0,PR
5/6/2024 11:32,1.17.0,PRexp,2,3.63,,4,Poke,Left,3520,228,319,5,,,0.46,2 days 18:34:54.000000000,0,,1,0,1,0,PR
5/6/2024 11:32,1.17.0,PRexp,2,3.64,,4,Poke,Left,3521,228,319,5,,,0.18,2 days 18:34:57.000000000,0,,1,0,1,0,PR
5/6/2024 11:32,1.17.0,PRexp,2,3.64,1,4,Pellet,Left,3521,228,320,6,0.18,33,,2 days 18:34:59.000000000,1,0.55,0,0,,0,PR
5/6/2024 11:33,1.17.0,PRexp,2,3.63,,5,Poke,Left,3522,228,320,6,,,0.19,2 days 18:35:42.000000000,0,,1,0,1,0,PR
5/6/2024 11:33,1.17.0,PRexp,2,3.64,,5,Poke,Left,3523,228,320,6,,,0.24,2 days 18:35:46.000000000,0,,1,0,1,0,PR
5/6/2024 11:33,1.17.0,PRexp,2,3.63,,5,Poke,Left,3524,228,320,6,,,0.34,2 days 18:35:50.000000000,0,,1,0,1,0,PR
5/6/2024 11:33,1.17.0,PRexp,2,3.64,,5,Poke,Left,3525,228,320,6,,,0.27,2 days 18:35:52.000000000,0,,1,0,1,0,PR
5/6/2024 11:33,1.17.0,PRexp,2,3.63,,5,Poke,Left,3526,228,320,6,,,0.3,2 days 18:35:56.000000000,0,,1,0,1,0,PR
5/6/2024 11:33,1.17.0,PRexp,2,3.64,1,5,Pellet,Left,3526,228,321,7,0.18,59,,2 days 18:35:58.000000000,1,0.9833333333333333,0,0,,0,PR
5/6/2024 11:36,1.17.0,PRexp,2,3.64,,6,Poke,Left,3527,228,321,7,,,0.18,2 days 18:39:08.000000000,0,,1,0,1,0,PR
5/6/2024 11:36,1.17.0,PRexp,2,3.64,,6,Poke,Left,3528,228,321,7,,,0.24,2 days 18:39:12.000000000,0,,1,0,1,0,PR
5/6/2024 11:36,1.17.0,PRexp,2,3.64,,6,Poke,Left,3529,228,321,7,,,0.24,2 days 18:39:16.000000000,0,,1,0,1,0,PR
5/6/2024 11:37,1.17.0,PRexp,2,3.63,,6,Poke,Left,3530,228,321,7,,,0.4,2 days 18:39:20.000000000,0,,1,0,1,0,PR
5/6/2024 11:37,1.17.0,PRexp,2,3.64,,6,Poke,Left,3531,228,321,7,,,0.23,2 days 18:39:27.000000000,0,,1,0,1,0,PR
5/6/2024 11:37,1.17.0,PRexp,2,3.64,,6,Poke,Left,3532,228,321,7,,,0.21,2 days 18:39:28.000000000,0,,1,0,1,0,PR
5/6/2024 11:37,1.17.0,PRexp,2,3.63,2,6,Pellet,Left,3532,228,322,8,0.49,213,,2 days 18:39:31.000000000,1,3.55,0,0,,0,PR
5/6/2024 11:38,1.17.0,PRexp,2,3.64,,7,Poke,Left,3532,229,322,8,,,0,2 days 18:41:08.000000000,0,,0,1,0,0,PR
5/6/2024 11:45,1.17.0,PRexp,2,3.63,,7,Poke,Left,3533,229,322,8,,,0.21,2 days 18:47:38.000000000,0,,1,0,1,0,PR
5/6/2024 11:47,1.17.0,PRexp,2,3.64,,7,Poke,Left,3534,229,322,8,,,0.1,2 days 18:49:36.000000000,0,,1,0,1,0,PR
5/6/2024 12:18,1.17.0,PRexp,2,3.64,,1,Poke,Left,3535,229,322,0,,,0.02,2 days 19:20:43.000000000,0,,1,0,1,0,PR
5/6/2024 12:18,1.17.0,PRexp,2,3.63,1,1,Pellet,Left,3535,229,323,1,0.67,2475,,2 days 19:20:46.000000000,1,41.25,0,0,,0,PR
5/6/2024 12:19,1.17.0,PRexp,2,3.63,,1,Poke,Left,3536,229,323,1,,,0.2,2 days 19:21:24.000000000,0,,1,0,1,0,PR
5/6/2024 12:19,1.17.0,PRexp,2,3.63,1,1,Pellet,Left,3536,229,324,2,0.49,41,,2 days 19:21:27.000000000,1,0.6833333333333333,0,0,,0,PR
5/6/2024 12:19,1.17.0,PRexp,2,3.63,,2,Poke,Left,3537,229,324,2,,,0.09,2 days 19:22:09.000000000,0,,1,0,1,0,PR
5/6/2024 12:19,1.17.0,PRexp,2,3.64,,2,Poke,Left,3538,229,324,2,,,0.35,2 days 19:22:11.000000000,0,,1,0,1,0,PR
5/6/2024 12:19,1.17.0,PRexp,2,3.63,1,2,Pellet,Left,3538,229,325,3,0.36,46,,2 days 19:22:13.000000000,1,0.7666666666666667,0,0,,0,PR
5/6/2024 12:20,1.17.0,PRexp,2,3.63,,2,Poke,Left,3539,229,325,3,,,0.6,2 days 19:22:35.000000000,0,,1,0,1,0,PR
5/6/2024 12:20,1.17.0,PRexp,2,3.63,,2,Poke,Left,3540,229,325,3,,,0.42,2 days 19:22:39.000000000,0,,1,0,1,0,PR
5/6/2024 12:20,1.17.0,PRexp,2,3.63,1,2,Pellet,Left,3540,229,326,4,0.42,28,,2 days 19:22:41.000000000,1,0.4666666666666667,0,0,,0,PR
