MM:DD:YYYY hh:mm:ss,Library_Version,Session_Type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time,Elapsed_Time,Binary_Pellets,Interpellet_Intervals,Binary_Left_Pokes,Binary_Right_Pokes,Correct_Poke,Concat_#,Mode
5/5/2024 7:04,1.17.0,PRexp,7,4.05,,4,Poke,Left,492,66,75,5,,,0.06,1 days 14:03:57.000000000,0,,1,0,1,0,PR
5/5/2024 10:46,1.17.0,PRexp,7,4.04,,1,Poke,Left,493,66,75,0,,,0.08,1 days 17:46:00.000000000,0,,1,0,1,0,PR
5/5/2024 10:47,1.17.0,PRexp,7,4.04,1,1,Pellet,Left,493,66,76,1,1.22,13989,,1 days 17:46:04.000000000,1,233.15,0,0,,0,PR
5/5/2024 10:47,1.17.0,PRexp,7,4.04,,1,Poke,Left,494,66,76,1,,,0.15,1 days 17:46:24.000000000,0,,1,0,1,0,PR
5/5/2024 10:47,1.17.0,PRexp,7,4.04,1,1,Pellet,Left,494,66,77,2,0.61,23,,1 days 17:46:26.000000000,1,0.36666666666666664,0,0,,0,PR
5/5/2024 10:47,1.17.0,PRexp,7,4.04,,2,Poke,Left,495,66,77,2,,,0.04,1 days 17:46:49.000000000,0,,1,0,1,0,PR
5/5/2024 10:47,1.17.0,PRexp,7,4.04,,2,Poke,Left,496,66,77,2,,,0.3,1 days 17:46:57.000000000,0,,1,0,1,0,PR
5/5/2024 10:47,1.17.0,PRexp,7,4.04,1,2,Pellet,Left,496,66,78,3,0.67,34,,1 days 17:47:00.000000000,1,0.5666666666666667,0,0,,0,PR
5/5/2024 10:50,1.17.0,PRexp,7,4.04,,2,Poke,Left,496,67,78,3,,,0.31,1 days 17:49:47.000000000,0,,0,1,0,0,PR
5/5/2024 10:50,1.17.0,PRexp,7,4.04,,2,Poke,Left,496,68,78,3,,,0,1 days 17:49:53.000000000,0,,0,1,0,0,PR
5/5/2024 11:07,1.17.0,PRexp,7,4.04,,2,Poke,Left,496,69,78,3,,,0.46,1 days 18:06:46.000000000,0,,0,1,0,0,PR
5/5/2024 11:07,1.17.0,PRexp,7,4.04,,2,Poke,Left,497,69,78,3,,,0.03,1 days 18:06:56.000000000,0,,1,0,1,0,PR
5/5/2024 11:07,1.17.0,PRexp,7,4.05,,2,Poke,Left,498,69,78,3,,,0.41,1 days 18:06:58.000000000,0,,1,0,1,0,PR
5/5/2024 11:08,1.17.0,PRexp,7,4.04,1,2,Pellet,Left,498,69,79,4,0.67,1200,,1 days 18:07:01.000000000,1,20.016666666666666,0,0,,0,PR
5/5/2024 11:08,1.17.0,PRexp,7,4.04,,3,Poke,Left,499,69,79,4,,,0.32,1 days 18:07:28.000000000,0,,1,0,1,0,PR
5/5/2024 11:08,1.17.0,PRexp,7,4.05,,3,Poke,Left,499,70,79,4,,,0.19,1 days 18:07:33.000000000,0,,0,1,0,0,PR
5/5/2024 11:08,1.17.0,PRexp,7,4.04,,3,Poke,Left,499,71,79,4,,,0.23,1 days 18:07:34.000000000,0,,0,1,0,0,PR
5/5/2024 11:29,1.17.0,PRexp,7,4.05,,3,Poke,Left,500,71,79,4,,,0.27,1 days 18:28:22.000000000,0,,1,0,1,0,PR
5/5/2024 11:33,1.17.0,PRexp,7,4.04,,3,Poke,Left,501,71,79,4,,,0.35,1 days 18:32:11.000000000,0,,1,0,1,0,PR
5/5/2024 11:33,1.17.0,PRexp,7,4.04,1,3,Pellet,Left,501,71,80,5,0.42,1514,,1 days 18:32:14.000000000,1,25.216666666666665,0,0,,0,PR
5/5/2024 11:33,1.17.0,PRexp,7,4.04,,4,Poke,Left,502,71,80,5,,,0.18,1 days 18:32:38.000000000,0,,1,0,1,0,PR
5/5/2024 11:35,1.17.0,PRexp,7,4.04,,4,Poke,Left,503,71,80,5,,,0.18,1 days 18:34:06.000000000,0,,1,0,1,0,PR
5/5/2024 11:40,1.17.0,PRexp,7,4.04,,4,Poke,Left,503,72,80,5,,,0.19,1 days 18:39:08.000000000,0,,0,1,0,0,PR
5/5/2024 11:58,1.17.0,PRexp,7,4.04,,4,Poke,Left,503,73,80,5,,,0.09,1 days 18:57:46.000000000,0,,0,1,0,0,PR
5/5/2024 12:07,1.17.0,PRexp,7,4.04,,1,Poke,Left,504,73,80,0,,,0.12,1 days 19:06:40.000000000,0,,1,0,1,0,PR
5/5/2024 12:07,1.17.0,PRexp,7,4.04,1,1,Pellet,Left,504,73,81,1,0.48,2069,,1 days 19:06:43.000000000,1,34.483333333333334,0,0,,0,PR
5/5/2024 12:07,1.17.0,PRexp,7,4.04,,1,Poke,Left,505,73,81,1,,,0.07,1 days 19:06:58.000000000,0,,1,0,1,0,PR
5/5/2024 12:08,1.17.0,PRexp,7,4.04,1,1,Pellet,Left,505,73,82,2,0.73,18,,1 days 19:07:01.000000000,1,0.3,0,0,,0,PR
5/5/2024 12:08,1.17.0,PRexp,7,4.04,,2,Poke,Left,506,73,82,2,,,0.01,1 days 19:07:22.000000000,0,,1,0,1,0,PR
5/5/2024 13:13,1.17.0,PRexp,7,4.04,,1,Poke,Left,507,73,82,0,,,0.27,1 days 20:12:19.000000000,0,,1,0,1,0,PR
5/5/2024 13:13,1.17.0,PRexp,7,4.04,2,1,Pellet,Left,507,73,83,1,0.91,3923,,1 days 20:12:24.000000000,1,65.38333333333334,0,0,,0,PR
5/5/2024 14:02,1.17.0,PRexp,7,4.04,,1,Poke,Left,508,73,83,0,,,0.17,1 days 21:01:06.000000000,0,,1,0,1,0,PR
