MM:DD:YYYY hh:mm:ss,Library_Version,Session_Type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time,Elapsed_Time,Binary_Pellets,Interpellet_Intervals,Binary_Left_Pokes,Binary_Right_Pokes,Correct_Poke,Concat_#,Mode
5/25/2024 7:09,1.17.0,PRexp,10,3.98,,1,Poke,Left,3842,187,464,0,,,0.31,3 days 13:03:26.000000000,0,,1,0,1,0,PR
5/25/2024 7:09,1.17.0,PRexp,10,3.98,1,1,Pellet,Left,3842,187,465,1,0.92,2116,,3 days 13:03:30.000000000,1,35.28333333333333,0,0,,0,PR
5/25/2024 7:10,1.17.0,PRexp,10,3.98,,1,Poke,Left,3843,187,465,1,,,0.33,3 days 13:04:23.000000000,0,,1,0,1,0,PR
5/25/2024 7:10,1.17.0,PRexp,10,3.98,1,1,Pellet,Left,3843,187,466,2,0.91,57,,3 days 13:04:26.000000000,1,0.9333333333333333,0,0,,0,PR
5/25/2024 7:10,1.17.0,PRexp,10,3.98,,2,Poke,Left,3844,187,466,2,,,0,3 days 13:04:57.000000000,0,,1,0,1,0,PR
5/25/2024 7:10,1.17.0,PRexp,10,3.98,,2,Poke,Left,3845,187,466,2,,,0.4,3 days 13:04:58.000000000,0,,1,0,1,0,PR
5/25/2024 7:10,1.17.0,PRexp,10,3.98,1,2,Pellet,Left,3845,187,467,3,1.47,36,,3 days 13:05:02.000000000,1,0.6,0,0,,0,PR
5/25/2024 7:11,1.17.0,PRexp,10,3.98,,2,Poke,Left,3846,187,467,3,,,0.02,3 days 13:05:35.000000000,0,,1,0,1,0,PR
5/25/2024 7:11,1.17.0,PRexp,10,3.98,,2,Poke,Left,3847,187,467,3,,,0,3 days 13:05:36.000000000,0,,1,0,1,0,PR
5/25/2024 7:11,1.17.0,PRexp,10,3.98,1,2,Pellet,Left,3847,187,468,4,0.85,37,,3 days 13:05:39.000000000,1,0.6166666666666667,0,0,,0,PR
5/25/2024 7:12,1.17.0,PRexp,10,3.98,,3,Poke,Left,3848,187,468,4,,,0.78,3 days 13:06:15.000000000,0,,1,0,1,0,PR
