MM:DD:YYYY hh:mm:ss,Library_Version,Session_Type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time,Elapsed_Time,Binary_Pellets,Interpellet_Intervals,Binary_Left_Pokes,Binary_Right_Pokes,Correct_Poke,Concat_#,Mode
2000-01-01 00:09:54,1.17.0,PRexp,11,3.73,,1,Poke,Left,0,1,0,0,,,0.47,0 days 00:00:00.000000000,0.0,,0.0,1.0,0.0,0,PR
2000-01-01 00:10:35,1.17.0,PRexp,11,3.73,,1,Poke,Left,0,2,0,0,,,0.04,0 days 00:00:41.000000000,0.0,,0.0,1.0,0.0,0,PR
2000-01-01 00:12:42,1.17.0,PRexp,11,3.72,,1,Poke,Left,1,2,0,0,,,0.0,0 days 00:02:48.000000000,0.0,,1.0,0.0,1.0,0,PR
2000-01-01 00:13:04,1.17.0,PRexp,11,3.73,3.0,1,Pellet,Left,1,2,1,1,16.88,,,0 days 00:03:10.000000000,1.0,,0.0,0.0,,0,PR
2000-01-01 00:16:21,1.17.0,PRexp,11,3.72,,1,Poke,Left,2,2,1,1,,,0.48,0 days 00:06:27.000000000,0.0,,1.0,0.0,1.0,0,PR
2000-01-01 00:16:40,1.17.0,PRexp,11,3.73,,1,Poke,Left,3,2,1,2,,,0.44,0 days 00:06:46.000000000,0.0,,1.0,0.0,1.0,0,PR
2000-01-01 00:16:42,1.17.0,PRexp,11,3.72,3.0,1,Pellet,Left,3,2,2,2,16.3,218.0,,0 days 00:06:48.000000000,1.0,3.6333333333333333,0.0,0.0,,0,PR
2000-01-01 00:17:08,1.17.0,PRexp,11,3.72,,2,Poke,Left,3,3,2,2,,,0.27,0 days 00:07:14.000000000,0.0,,0.0,1.0,0.0,0,PR
2000-01-01 00:17:15,1.17.0,PRexp,11,3.72,,2,Poke,Left,3,4,2,2,,,0.0,0 days 00:07:21.000000000,0.0,,0.0,1.0,0.0,0,PR
2000-01-01 00:17:51,1.17.0,PRexp,11,3.72,,2,Poke,Left,3,5,2,2,,,0.33,0 days 00:07:57.000000000,0.0,,0.0,1.0,0.0,0,PR
2000-01-01 00:17:54,1.17.0,PRexp,11,3.72,,2,Poke,Left,4,5,2,2,,,0.27,0 days 00:08:00.000000000,0.0,,1.0,0.0,1.0,0,PR
2000-01-01 00:19:59,1.17.0,PRexp,11,3.72,,2,Poke,Left,4,6,2,2,,,0.01,0 days 00:10:05.000000000,0.0,,0.0,1.0,0.0,0,PR
2000-01-01 00:23:51,1.17.0,PRexp,11,3.72,,2,Poke,Left,5,6,2,2,,,0.46,0 days 00:13:57.000000000,0.0,,1.0,0.0,1.0,0,PR
2000-01-01 00:23:54,1.17.0,PRexp,11,3.72,2.0,2,Pellet,Left,5,6,3,3,0.48,432.0,,0 days 00:14:00.000000000,1.0,7.2,0.0,0.0,,0,PR
2000-01-01 00:24:12,1.17.0,PRexp,11,3.72,,2,Poke,Left,5,7,3,3,,,0.08,0 days 00:14:18.000000000,0.0,,0.0,1.0,0.0,0,PR
2000-01-01 00:28:50,1.17.0,PRexp,11,3.72,,2,Poke,Left,6,7,3,3,,,0.52,0 days 00:18:56.000000000,0.0,,1.0,0.0,1.0,0,PR
2000-01-01 00:28:53,1.17.0,PRexp,11,3.72,,2,Poke,Left,7,7,3,3,,,0.84,0 days 00:18:59.000000000,0.0,,1.0,0.0,1.0,0,PR
2000-01-01 00:29:03,1.17.0,PRexp,11,3.72,3.0,2,Pellet,Left,7,7,4,4,3.3,308.0,,0 days 00:19:09.000000000,1.0,5.15,0.0,0.0,,0,PR
2000-01-01 00:29:22,1.17.0,PRexp,11,3.72,,3,Poke,Left,8,7,4,4,,,1.83,0 days 00:19:28.000000000,0.0,,1.0,0.0,1.0,0,PR
