MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
9/18/2025 18:54:14,1.16.3,PRexp,14,4.01,nan,1,Left,Left,1,0,0,0,nan,nan,0.09
9/18/2025 18:54:18,1.16.3,PRexp,14,4.00,2,1,Pellet,Left,1,0,1,1,2.87,nan,nan
9/18/2025 19:01:09,1.16.3,PRexp,14,4.01,nan,1,Left,Left,2,0,1,1,nan,nan,0.06
9/18/2025 19:01:11,1.16.3,PRexp,14,4.01,1,1,Pellet,Left,2,0,2,2,1.22,413,nan
9/18/2025 19:05:06,1.16.3,PRexp,14,4.01,nan,2,Left,Left,3,0,2,2,nan,nan,0.20
9/18/2025 19:05:09,1.16.3,PRexp,14,4.02,nan,2,Left,Left,4,0,2,2,nan,nan,0.42
9/18/2025 19:05:10,1.16.3,PRexp,14,4.01,1,2,Pellet,Left,4,0,3,3,0.24,239,nan
9/18/2025 19:05:29,1.16.3,PRexp,14,4.01,nan,2,Left,Left,5,0,3,3,nan,nan,0.15
9/18/2025 19:05:31,1.16.3,PRexp,14,4.01,nan,2,Left,Left,6,0,3,3,nan,nan,0.38
9/18/2025 19:05:48,1.16.3,PRexp,14,4.01,2,2,Pellet,Left,6,0,4,4,14.17,38,nan
9/18/2025 19:06:04,1.16.3,PRexp,14,4.01,nan,3,Left,Left,7,0,4,4,nan,nan,0.24
9/18/2025 19:06:06,1.16.3,PRexp,14,4.01,nan,3,Left,Left,8,0,4,4,nan,nan,0.36
9/18/2025 19:06:09,1.16.3,PRexp,14,4.01,nan,3,Left,Left,9,0,4,4,nan,nan,0.20
9/18/2025 19:06:10,1.16.3,PRexp,14,4.01,2,3,Pellet,Left,9,0,5,5,0.06,22,nan
9/18/2025 19:06:22,1.16.3,PRexp,14,4.01,nan,4,Left,Left,10,0,5,5,nan,nan,0.05
9/18/2025 19:06:24,1.16.3,PRexp,14,4.01,nan,4,Left,Left,11,0,5,5,nan,nan,0.21
9/18/2025 19:06:26,1.16.3,PRexp,14,4.01,nan,4,Left,Left,12,0,5,5,nan,nan,0.22
9/18/2025 19:06:30,1.16.3,PRexp,14,4.01,nan,4,Left,Left,13,0,5,5,nan,nan,0.18
9/18/2025 19:06:43,1.16.3,PRexp,14,4.01,2,4,Pellet,Left,13,0,6,6,10.30,33,nan
9/18/2025 19:08:10,1.16.3,PRexp,14,4.01,nan,5,Left,Left,14,0,6,6,nan,nan,0.08
9/18/2025 19:15:16,1.16.3,PRexp,14,4.01,nan,5,Left,Left,15,0,6,6,nan,nan,0.31
9/18/2025 19:15:18,1.16.3,PRexp,14,4.01,nan,5,Left,Left,16,0,6,6,nan,nan,0.31
9/18/2025 19:15:21,1.16.3,PRexp,14,4.01,nan,5,Left,Left,17,0,6,6,nan,nan,0.37
9/18/2025 19:15:28,1.16.3,PRexp,14,4.01,nan,5,Left,Left,18,0,6,6,nan,nan,0.26
