MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
10/29/2025 14:04:51,1.17.2,PRexp,3,4.05,nan,1,Left,Left,1,0,0,0,nan,nan,0.06
10/29/2025 14:04:57,1.17.2,PRexp,3,4.05,3,1,Pellet,Left,1,0,1,1,0.77,nan,nan
10/29/2025 14:05:30,1.17.2,PRexp,3,4.05,nan,1,Left,Left,2,0,1,1,nan,nan,0.02
10/29/2025 14:05:32,1.17.2,PRexp,3,4.05,1,1,Pellet,Left,2,0,2,2,0.72,35,nan
10/29/2025 14:09:20,1.17.2,PRexp,3,4.04,nan,2,Left,Left,3,0,2,2,nan,nan,0.16
10/29/2025 14:13:52,1.17.2,PRexp,3,4.05,nan,2,Right,Left,3,1,2,2,nan,nan,0.25
10/29/2025 14:14:03,1.17.2,PRexp,3,4.05,nan,2,Right,Left,3,2,2,2,nan,nan,0.04
10/29/2025 14:24:27,1.17.2,PRexp,3,4.05,nan,2,Right,Left,3,3,2,2,nan,nan,0.07
10/29/2025 14:25:51,1.17.2,PRexp,3,4.05,nan,2,Left,Left,4,3,2,2,nan,nan,0.06
10/29/2025 14:25:54,1.17.2,PRexp,3,4.05,1,2,Pellet,Left,4,3,3,3,1.39,1222,nan
10/29/2025 14:27:23,1.17.2,PRexp,3,4.05,nan,2,Left,Left,5,3,3,3,nan,nan,0.11
10/29/2025 14:27:24,1.17.2,PRexp,3,4.05,nan,2,Left,Left,6,3,3,3,nan,nan,0.08
10/29/2025 14:27:28,1.17.2,PRexp,3,4.05,1,2,Pellet,Left,6,3,4,4,3.39,94,nan
10/29/2025 15:19:31,1.17.2,PRexp,3,4.05,nan,1,Left,Left,7,3,4,0,nan,nan,0.06
10/29/2025 15:19:34,1.17.2,PRexp,3,4.05,1,1,Pellet,Left,7,3,5,1,1.38,3125,nan
10/29/2025 15:19:57,1.17.2,PRexp,3,4.05,nan,1,Left,Left,8,3,5,1,nan,nan,0.10
10/29/2025 15:19:58,1.17.2,PRexp,3,4.05,1,1,Pellet,Left,8,3,6,2,0.55,25,nan
10/29/2025 15:20:26,1.17.2,PRexp,3,4.04,nan,2,Left,Left,9,3,6,2,nan,nan,0.18
10/29/2025 15:20:30,1.17.2,PRexp,3,4.05,nan,2,Left,Left,10,3,6,2,nan,nan,0.16
10/29/2025 15:20:31,1.17.2,PRexp,3,4.04,1,2,Pellet,Left,10,3,7,3,0.83,33,nan
10/29/2025 15:20:53,1.17.2,PRexp,3,4.05,nan,2,Left,Left,11,3,7,3,nan,nan,0.08
10/29/2025 15:20:54,1.17.2,PRexp,3,4.05,nan,2,Left,Left,12,3,7,3,nan,nan,0.08
10/29/2025 15:20:55,1.17.2,PRexp,3,4.05,nan,2,LeftDuringDispense,Left,13,3,7,4,nan,nan,0.10
10/29/2025 15:20:58,1.17.2,PRexp,3,4.04,nan,2,LeftWithPellet,Left,14,3,7,4,nan,nan,0.03
10/29/2025 15:20:59,1.17.2,PRexp,3,4.05,2,2,Pellet,Left,14,3,8,4,1.57,28,nan
10/29/2025 15:21:16,1.17.2,PRexp,3,4.04,nan,3,Left,Left,15,3,8,4,nan,nan,0.09
10/29/2025 15:21:17,1.17.2,PRexp,3,4.05,nan,3,Left,Left,16,3,8,4,nan,nan,0.12
10/29/2025 15:21:19,1.17.2,PRexp,3,4.05,nan,3,Left,Left,17,3,8,4,nan,nan,0.09
10/29/2025 15:21:21,1.17.2,PRexp,3,4.05,1,3,Pellet,Left,17,3,9,5,1.00,22,nan
10/29/2025 15:21:47,1.17.2,PRexp,3,4.05,nan,4,Left,Left,18,3,9,5,nan,nan,0.17
10/29/2025 15:21:53,1.17.2,PRexp,3,4.05,nan,4,Left,Left,19,3,9,5,nan,nan,0.33
10/29/2025 15:21:56,1.17.2,PRexp,3,4.05,nan,4,Left,Left,20,3,9,5,nan,nan,0.15
10/29/2025 15:21:57,1.17.2,PRexp,3,4.05,nan,4,Left,Left,21,3,9,5,nan,nan,0.00
10/29/2025 15:22:10,1.17.2,PRexp,3,4.05,2,4,Pellet,Left,21,3,10,6,10.83,49,nan
10/29/2025 15:22:32,1.17.2,PRexp,3,4.05,nan,5,Left,Left,22,3,10,6,nan,nan,0.10
10/29/2025 16:38:02,1.17.2,PRexp,3,4.04,nan,1,Left,Left,23,3,10,0,nan,nan,0.31
10/29/2025 16:38:04,1.17.2,PRexp,3,4.05,1,1,Pellet,Left,23,3,11,1,0.83,4553,nan
10/29/2025 16:38:31,1.17.2,PRexp,3,4.04,nan,1,Left,Left,24,3,11,1,nan,nan,0.26
10/29/2025 16:38:33,1.17.2,PRexp,3,4.05,1,1,Pellet,Left,24,3,12,2,0.33,29,nan
10/29/2025 16:38:59,1.17.2,PRexp,3,4.05,nan,2,Left,Left,25,3,12,2,nan,nan,0.30
10/29/2025 16:39:06,1.17.2,PRexp,3,4.05,nan,2,Left,Left,26,3,12,2,nan,nan,0.21
10/29/2025 16:39:09,1.17.2,PRexp,3,4.05,1,2,Pellet,Left,26,3,13,3,2.34,37,nan
10/29/2025 16:39:30,1.17.2,PRexp,3,4.04,nan,2,Left,Left,27,3,13,3,nan,nan,0.08
10/29/2025 16:39:36,1.17.2,PRexp,3,4.04,nan,2,Left,Left,28,3,13,3,nan,nan,0.18
10/29/2025 16:39:39,1.17.2,PRexp,3,4.04,2,2,Pellet,Left,28,3,14,4,0.22,30,nan
10/29/2025 16:40:03,1.17.2,PRexp,3,4.04,nan,3,Left,Left,29,3,14,4,nan,nan,0.19
10/29/2025 16:40:05,1.17.2,PRexp,3,4.05,nan,3,Left,Left,30,3,14,4,nan,nan,0.19
10/29/2025 16:40:12,1.17.2,PRexp,3,4.04,nan,3,Left,Left,31,3,14,4,nan,nan,0.01
10/29/2025 16:40:13,1.17.2,PRexp,3,4.05,1,3,Pellet,Left,31,3,15,5,0.27,34,nan
10/29/2025 16:40:36,1.17.2,PRexp,3,4.04,nan,4,Left,Left,32,3,15,5,nan,nan,0.13
10/29/2025 16:41:17,1.17.2,PRexp,3,4.04,nan,4,Left,Left,33,3,15,5,nan,nan,0.02
10/29/2025 16:42:40,1.17.2,PRexp,3,4.04,nan,4,Right,Left,33,4,15,5,nan,nan,0.35
10/29/2025 16:43:05,1.17.2,PRexp,3,4.05,nan,4,Left,Left,34,4,15,5,nan,nan,0.08
10/29/2025 17:20:37,1.17.2,PRexp,3,4.05,nan,1,Right,Left,34,5,15,0,nan,nan,0.14
10/29/2025 17:21:02,1.17.2,PRexp,3,4.04,nan,1,Left,Left,35,5,15,0,nan,nan,0.10
10/29/2025 17:21:04,1.17.2,PRexp,3,4.04,1,1,Pellet,Left,35,5,16,1,0.61,2450,nan
10/29/2025 17:21:26,1.17.2,PRexp,3,4.04,nan,1,Left,Left,36,5,16,1,nan,nan,0.19
10/29/2025 17:21:27,1.17.2,PRexp,3,4.05,1,1,Pellet,Left,36,5,17,2,0.27,24,nan
10/29/2025 17:21:43,1.17.2,PRexp,3,4.04,nan,2,Left,Left,37,5,17,2,nan,nan,0.02
10/29/2025 17:21:45,1.17.2,PRexp,3,4.05,nan,2,Left,Left,38,5,17,2,nan,nan,0.12
10/29/2025 17:21:46,1.17.2,PRexp,3,4.05,1,2,Pellet,Left,38,5,18,3,0.77,19,nan
10/29/2025 17:22:26,1.17.2,PRexp,3,4.04,nan,2,Left,Left,39,5,18,3,nan,nan,0.32
10/29/2025 17:22:46,1.17.2,PRexp,3,4.05,nan,2,Left,Left,40,5,18,3,nan,nan,0.22
10/29/2025 17:22:47,1.17.2,PRexp,3,4.04,2,2,Pellet,Left,40,5,19,4,0.22,61,nan
10/29/2025 17:23:07,1.17.2,PRexp,3,4.05,nan,3,Left,Left,41,5,19,4,nan,nan,0.14
10/29/2025 17:23:11,1.17.2,PRexp,3,4.05,nan,3,Left,Left,42,5,19,4,nan,nan,0.19
10/29/2025 17:23:14,1.17.2,PRexp,3,4.04,nan,3,Left,Left,43,5,19,4,nan,nan,0.06
