MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
9/18/2025 18:53:17,1.16.3,PRexp,3,4.02,nan,1,Left,Left,1,0,0,0,nan,nan,0.11
9/18/2025 18:53:21,1.16.3,PRexp,3,4.02,nan,1,LeftWithPellet,Left,2,0,0,1,nan,nan,0.04
9/18/2025 18:53:25,1.16.3,PRexp,3,4.02,1,1,Pellet,Left,2,0,1,1,7.65,nan,nan
9/18/2025 18:53:50,1.16.3,PRexp,3,4.02,nan,1,Right,Left,2,1,1,1,nan,nan,0.00
9/18/2025 18:55:50,1.16.3,PRexp,3,4.02,nan,1,Right,Left,2,2,1,1,nan,nan,0.49
9/18/2025 18:56:06,1.16.3,PRexp,3,4.02,nan,1,Left,Left,3,2,1,1,nan,nan,0.32
9/18/2025 18:56:08,1.16.3,PRexp,3,4.02,1,1,Pellet,Left,3,2,2,2,0.97,163,nan
9/18/2025 19:02:20,1.16.3,PRexp,3,4.02,nan,2,Left,Left,4,2,2,2,nan,nan,0.31
9/18/2025 19:02:22,1.16.3,PRexp,3,4.02,nan,2,Left,Left,5,2,2,2,nan,nan,0.16
9/18/2025 19:02:25,1.16.3,PRexp,3,4.01,1,2,Pellet,Left,5,2,3,3,1.89,377,nan
9/18/2025 19:02:46,1.16.3,PRexp,3,4.02,nan,2,Left,Left,6,2,3,3,nan,nan,0.01
9/18/2025 19:03:22,1.16.3,PRexp,3,4.02,nan,2,Right,Left,6,3,3,3,nan,nan,0.21
9/18/2025 19:03:33,1.16.3,PRexp,3,4.02,nan,2,Left,Left,7,3,3,3,nan,nan,0.19
9/18/2025 19:03:34,1.16.3,PRexp,3,4.02,1,2,Pellet,Left,7,3,4,4,0.79,69,nan
9/18/2025 19:04:03,1.16.3,PRexp,3,4.02,nan,3,Right,Left,7,4,4,4,nan,nan,0.10
9/18/2025 19:08:23,1.16.3,PRexp,3,4.02,nan,3,Right,Left,7,5,4,4,nan,nan,0.06
9/18/2025 19:08:25,1.16.3,PRexp,3,4.02,nan,3,Left,Left,8,5,4,4,nan,nan,0.04
9/18/2025 19:08:26,1.16.3,PRexp,3,4.01,nan,3,Left,Left,9,5,4,4,nan,nan,0.05
9/18/2025 19:08:27,1.16.3,PRexp,3,4.02,nan,3,Left,Left,10,5,4,4,nan,nan,0.06
9/18/2025 19:08:29,1.16.3,PRexp,3,4.02,1,3,Pellet,Left,10,5,5,5,0.91,295,nan
9/18/2025 19:10:28,1.16.3,PRexp,3,4.01,nan,4,Left,Left,11,5,5,5,nan,nan,0.13
9/18/2025 19:11:27,1.16.3,PRexp,3,4.01,nan,4,Right,Left,11,6,5,5,nan,nan,0.03
9/18/2025 19:12:08,1.16.3,PRexp,3,4.02,nan,4,Right,Left,11,7,5,5,nan,nan,0.14
9/18/2025 19:12:10,1.16.3,PRexp,3,4.02,nan,4,Left,Left,12,7,5,5,nan,nan,0.15
9/18/2025 19:14:11,1.16.3,PRexp,3,4.02,nan,4,Right,Left,12,8,5,5,nan,nan,0.26
9/18/2025 19:14:12,1.16.3,PRexp,3,4.02,nan,4,Right,Left,12,9,5,5,nan,nan,0.00
9/18/2025 19:14:17,1.16.3,PRexp,3,4.02,nan,4,Left,Left,13,9,5,5,nan,nan,0.03
9/18/2025 19:14:18,1.16.3,PRexp,3,4.02,nan,4,Left,Left,14,9,5,5,nan,nan,0.16
9/18/2025 19:14:19,1.16.3,PRexp,3,4.01,1,4,Pellet,Left,14,9,6,6,0.42,350,nan
9/18/2025 19:14:50,1.16.3,PRexp,3,4.02,nan,5,Left,Left,15,9,6,6,nan,nan,0.06
9/18/2025 19:14:58,1.16.3,PRexp,3,4.02,nan,5,Left,Left,16,9,6,6,nan,nan,0.27
9/18/2025 19:15:00,1.16.3,PRexp,3,4.02,nan,5,Left,Left,17,9,6,6,nan,nan,0.13
9/18/2025 19:15:01,1.16.3,PRexp,3,4.02,nan,5,Left,Left,18,9,6,6,nan,nan,0.05
9/18/2025 19:15:03,1.16.3,PRexp,3,4.02,nan,5,Left,Left,19,9,6,6,nan,nan,0.06
9/18/2025 19:15:04,1.16.3,PRexp,3,4.02,1,5,Pellet,Left,19,9,7,7,0.36,45,nan
9/18/2025 19:18:04,1.16.3,PRexp,3,4.02,nan,6,Left,Left,20,9,7,7,nan,nan,0.21
9/18/2025 19:23:30,1.16.3,PRexp,3,4.02,nan,6,Left,Left,21,9,7,7,nan,nan,0.10
9/18/2025 19:23:34,1.16.3,PRexp,3,4.02,nan,6,Left,Left,22,9,7,7,nan,nan,0.14
9/18/2025 19:23:35,1.16.3,PRexp,3,4.02,nan,6,Left,Left,23,9,7,7,nan,nan,0.04
9/18/2025 19:23:45,1.16.3,PRexp,3,4.02,nan,6,Right,Left,23,10,7,7,nan,nan,0.46
9/18/2025 19:30:18,1.16.3,PRexp,3,4.02,nan,6,Left,Left,24,10,7,7,nan,nan,0.03
9/18/2025 19:30:31,1.16.3,PRexp,3,4.02,nan,6,Left,Left,25,10,7,7,nan,nan,0.27
