MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
12/1/2025 12:16:46,1.17.2,PRexp,8,4.12,nan,1,Left,Left,1,0,0,0,nan,nan,0.01
12/1/2025 12:18:13,1.17.2,PRexp,8,4.16,2,1,Pellet,Left,1,0,1,1,Timed_out,nan,nan
12/1/2025 12:18:45,1.17.2,PRexp,8,4.16,nan,1,Left,Left,2,0,1,1,nan,nan,0.00
12/1/2025 12:18:49,1.17.2,PRexp,8,4.15,2,1,Pellet,Left,2,0,2,2,0.83,35,nan
12/1/2025 12:19:52,1.17.2,PRexp,8,4.15,nan,2,Right,Left,2,1,2,2,nan,nan,0.00
12/1/2025 12:20:12,1.17.2,PRexp,8,4.16,nan,2,Left,Left,3,1,2,2,nan,nan,0.06
12/1/2025 12:21:16,1.17.2,PRexp,8,4.16,nan,2,Left,Left,4,1,2,2,nan,nan,0.01
12/1/2025 12:21:44,1.17.2,PRexp,8,4.15,nan,2,RightWithPellet,Left,4,2,2,3,nan,nan,0.59
12/1/2025 12:25:29,1.17.2,PRexp,8,4.16,nan,2,RightWithPellet,Left,4,3,2,3,nan,nan,0.38
12/1/2025 12:33:27,1.17.2,PRexp,8,4.16,nan,2,LeftWithPellet,Left,5,3,2,3,nan,nan,0.15
12/1/2025 12:33:29,1.17.2,PRexp,8,4.16,nan,2,LeftWithPellet,Left,6,3,2,3,nan,nan,0.49
12/1/2025 12:33:30,1.17.2,PRexp,8,4.15,nan,2,LeftWithPellet,Left,7,3,2,3,nan,nan,0.01
12/1/2025 12:33:44,1.17.2,PRexp,8,4.15,nan,2,LeftWithPellet,Left,8,3,2,3,nan,nan,0.20
12/1/2025 12:34:19,1.17.2,PRexp,8,4.16,2,2,Pellet,Left,8,3,3,3,Timed_out,931,nan
12/1/2025 12:36:00,1.17.2,PRexp,8,4.15,nan,2,Left,Left,9,3,3,3,nan,nan,0.26
12/1/2025 12:36:08,1.17.2,PRexp,8,4.15,nan,2,Left,Left,10,3,3,3,nan,nan,0.13
12/1/2025 12:36:11,1.17.2,PRexp,8,4.16,1,2,Pellet,Left,10,3,4,4,1.83,111,nan
12/1/2025 12:39:12,1.17.2,PRexp,8,4.15,nan,3,Left,Left,11,3,4,4,nan,nan,0.00
12/1/2025 12:39:27,1.17.2,PRexp,8,4.15,nan,3,Left,Left,12,3,4,4,nan,nan,0.37
12/1/2025 12:39:45,1.17.2,PRexp,8,4.15,nan,3,Right,Left,12,4,4,4,nan,nan,0.42
12/1/2025 12:39:46,1.17.2,PRexp,8,4.16,nan,3,Left,Left,13,4,4,4,nan,nan,0.17
12/1/2025 12:39:49,1.17.2,PRexp,8,4.16,nan,3,LeftWithPellet,Left,14,4,4,5,nan,nan,0.05
12/1/2025 12:42:15,1.17.2,PRexp,8,4.15,1,3,Pellet,Left,14,4,5,5,Timed_out,365,nan
12/1/2025 12:42:36,1.17.2,PRexp,8,4.16,nan,4,Left,Left,15,4,5,5,nan,nan,0.07
12/1/2025 12:43:52,1.17.2,PRexp,8,4.15,nan,4,Left,Left,16,4,5,5,nan,nan,0.10
12/1/2025 12:43:57,1.17.2,PRexp,8,4.15,nan,4,Left,Left,17,4,5,5,nan,nan,0.40
12/1/2025 12:45:07,1.17.2,PRexp,8,4.16,nan,4,Left,Left,18,4,5,5,nan,nan,0.05
12/1/2025 12:46:53,1.17.2,PRexp,8,4.16,nan,4,RightWithPellet,Left,18,5,5,6,nan,nan,0.08
12/1/2025 12:47:42,1.17.2,PRexp,8,4.16,nan,4,LeftWithPellet,Left,19,5,5,6,nan,nan,0.08
12/1/2025 12:47:45,1.17.2,PRexp,8,4.15,nan,4,LeftWithPellet,Left,20,5,5,6,nan,nan,0.28
12/1/2025 12:47:47,1.17.2,PRexp,8,4.16,1,4,Pellet,Left,20,5,6,6,Timed_out,332,nan
12/1/2025 12:48:08,1.17.2,PRexp,8,4.16,nan,5,Left,Left,21,5,6,6,nan,nan,0.07
12/1/2025 12:49:22,1.17.2,PRexp,8,4.15,nan,5,Left,Left,22,5,6,6,nan,nan,0.05
12/1/2025 12:49:33,1.17.2,PRexp,8,4.16,nan,5,Left,Left,23,5,6,6,nan,nan,0.01
12/1/2025 12:49:57,1.17.2,PRexp,8,4.15,nan,5,Left,Left,24,5,6,6,nan,nan,0.00
12/1/2025 12:49:58,1.17.2,PRexp,8,4.15,nan,5,Left,Left,25,5,6,6,nan,nan,0.02
12/1/2025 12:49:58,1.17.2,PRexp,8,4.15,nan,5,LeftDuringDispense,Left,26,5,6,7,nan,nan,0.15
12/1/2025 12:50:01,1.17.2,PRexp,8,4.16,3,5,Pellet,Left,26,5,7,7,0.05,134,nan
12/1/2025 12:50:26,1.17.2,PRexp,8,4.15,nan,6,Left,Left,27,5,7,7,nan,nan,0.02
12/1/2025 12:50:29,1.17.2,PRexp,8,4.15,nan,6,Left,Left,28,5,7,7,nan,nan,0.34
