MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
10/20/2025 10:50:11,1.17.2,PRexp,14,4.10,nan,1,Right,Left,0,1,0,0,nan,nan,0.14
10/20/2025 10:50:22,1.17.2,PRexp,14,4.10,nan,1,Left,Left,1,1,0,0,nan,nan,0.03
10/20/2025 10:50:23,1.17.2,PRexp,14,4.14,nan,1,LeftDuringDispense,Left,2,1,0,1,nan,nan,0.00
10/20/2025 10:50:32,1.17.2,PRexp,14,4.14,nan,1,LeftWithPellet,Left,3,1,0,1,nan,nan,0.22
10/20/2025 10:50:47,1.17.2,PRexp,14,4.14,4,1,Pellet,Left,3,1,1,1,17.20,nan,nan
10/20/2025 10:54:08,1.17.2,PRexp,14,4.14,nan,1,Left,Left,4,1,1,1,nan,nan,0.05
10/20/2025 10:54:09,1.17.2,PRexp,14,4.14,nan,1,LeftDuringDispense,Left,5,1,1,2,nan,nan,0.09
10/20/2025 10:54:10,1.17.2,PRexp,14,4.14,nan,1,LeftWithPellet,Left,6,1,1,2,nan,nan,0.23
10/20/2025 10:54:11,1.17.2,PRexp,14,4.14,nan,1,LeftWithPellet,Left,7,1,1,2,nan,nan,0.12
10/20/2025 10:54:12,1.17.2,PRexp,14,4.14,1,1,Pellet,Left,7,1,2,2,2.58,205,nan
10/20/2025 11:01:11,1.17.2,PRexp,14,4.14,nan,2,Right,Left,7,2,2,2,nan,nan,0.02
10/20/2025 11:01:21,1.17.2,PRexp,14,4.13,nan,2,Right,Left,7,3,2,2,nan,nan,0.18
10/20/2025 11:02:23,1.17.2,PRexp,14,4.14,nan,2,Left,Left,8,3,2,2,nan,nan,0.08
10/20/2025 11:04:37,1.17.2,PRexp,14,4.14,nan,2,Left,Left,9,3,2,2,nan,nan,0.11
10/20/2025 11:04:39,1.17.2,PRexp,14,4.13,2,2,Pellet,Left,9,3,3,3,0.94,627,nan
10/20/2025 11:06:31,1.17.2,PRexp,14,4.14,nan,2,Left,Left,10,3,3,3,nan,nan,0.21
10/20/2025 11:06:34,1.17.2,PRexp,14,4.14,nan,2,Left,Left,11,3,3,3,nan,nan,0.15
10/20/2025 11:06:35,1.17.2,PRexp,14,4.14,2,2,Pellet,Left,11,3,4,4,0.44,116,nan
10/20/2025 11:17:15,1.17.2,PRexp,14,4.14,nan,3,Left,Left,12,3,4,4,nan,nan,0.06
10/20/2025 11:18:44,1.17.2,PRexp,14,4.13,nan,3,Left,Left,13,3,4,4,nan,nan,0.01
10/20/2025 11:19:13,1.17.2,PRexp,14,4.14,nan,3,Right,Left,13,4,4,4,nan,nan,0.23
10/20/2025 11:20:41,1.17.2,PRexp,14,4.14,nan,3,Right,Left,13,5,4,4,nan,nan,0.17
10/20/2025 11:23:23,1.17.2,PRexp,14,4.14,nan,3,Left,Left,14,5,4,4,nan,nan,0.08
10/20/2025 11:23:27,1.17.2,PRexp,14,4.14,2,3,Pellet,Left,14,5,5,5,0.94,1011,nan
10/20/2025 11:23:51,1.17.2,PRexp,14,4.14,nan,4,Right,Left,14,6,5,5,nan,nan,0.12
10/20/2025 11:23:53,1.17.2,PRexp,14,4.14,nan,4,Left,Left,15,6,5,5,nan,nan,0.02
10/20/2025 11:23:55,1.17.2,PRexp,14,4.14,nan,4,Left,Left,16,6,5,5,nan,nan,0.14
10/20/2025 11:23:57,1.17.2,PRexp,14,4.14,nan,4,Left,Left,17,6,5,5,nan,nan,0.21
10/20/2025 11:28:47,1.17.2,PRexp,14,4.14,nan,4,Left,Left,18,6,5,5,nan,nan,0.06
10/20/2025 11:28:50,1.17.2,PRexp,14,4.13,1,4,Pellet,Left,18,6,6,6,1.78,323,nan
10/20/2025 11:31:14,1.17.2,PRexp,14,4.13,nan,5,Right,Left,18,7,6,6,nan,nan,0.10
10/20/2025 11:31:18,1.17.2,PRexp,14,4.14,nan,5,Left,Left,19,7,6,6,nan,nan,0.08
10/20/2025 11:31:24,1.17.2,PRexp,14,4.14,nan,5,Left,Left,20,7,6,6,nan,nan,0.34
10/20/2025 11:31:26,1.17.2,PRexp,14,4.14,nan,5,Left,Left,21,7,6,6,nan,nan,0.12
10/20/2025 11:31:42,1.17.2,PRexp,14,4.14,nan,5,Right,Left,21,8,6,6,nan,nan,0.41
10/20/2025 11:32:17,1.17.2,PRexp,14,4.14,nan,5,Right,Left,21,9,6,6,nan,nan,0.09
10/20/2025 11:32:44,1.17.2,PRexp,14,4.13,nan,5,Left,Left,22,9,6,6,nan,nan,0.02
10/20/2025 11:32:48,1.17.2,PRexp,14,4.14,nan,5,Right,Left,22,10,6,6,nan,nan,0.02
