MM:DD:YYYY hh:mm:ss,Library_Version,Session_Type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time,Elapsed_Time,Binary_Pellets,Interpellet_Intervals,Binary_Left_Pokes,Binary_Right_Pokes,Correct_Poke,Concat_#,Mode
2025-02-25 19:10:03,1.16.3,PRexp,1,3.74,,1,Poke,Left,1,0,0,0,,,0.08,0 days 00:00:00.000000000,0.0,,1.0,0.0,1.0,0,PR
2025-02-25 19:10:06,1.16.3,PRexp,1,3.74,1.0,1,Pellet,Left,1,0,1,1,0.5,,,0 days 00:00:03.000000000,1.0,,0.0,0.0,,0,PR
2025-02-25 19:10:14,1.16.3,PRexp,1,3.74,,1,Poke,Left,2,0,1,1,,,0.11,0 days 00:00:11.000000000,0.0,,1.0,0.0,1.0,0,PR
2025-02-25 19:10:17,1.16.3,PRexp,1,3.74,1.0,1,Pellet,Left,2,0,2,2,1.13,11.0,,0 days 00:00:14.000000000,1.0,0.18333333333333332,0.0,0.0,,0,PR
2025-02-25 19:10:19,1.16.3,PRexp,1,3.74,,2,Poke,Left,3,0,2,2,,,0.08,0 days 00:00:16.000000000,0.0,,1.0,0.0,1.0,0,PR
2025-02-25 19:10:42,1.16.3,PRexp,1,3.74,,2,Poke,Left,4,0,2,2,,,0.08,0 days 00:00:39.000000000,0.0,,1.0,0.0,1.0,0,PR
2025-02-25 19:11:21,1.16.3,PRexp,1,3.73,,2,Poke,Left,5,0,2,3,,,0.06,0 days 00:01:18.000000000,0.0,,1.0,0.0,1.0,0,PR
2025-02-25 19:12:32,1.16.3,PRexp,1,3.73,,2,Poke,Left,6,0,2,3,,,0.09,0 days 00:02:29.000000000,0.0,,1.0,0.0,1.0,0,PR
2025-02-25 19:12:36,1.16.3,PRexp,1,3.73,,2,Poke,Left,7,0,2,3,,,0.09,0 days 00:02:33.000000000,0.0,,1.0,0.0,1.0,0,PR
2025-02-25 19:12:40,1.16.3,PRexp,1,3.73,,2,Poke,Left,8,0,2,3,,,0.01,0 days 00:02:37.000000000,0.0,,1.0,0.0,1.0,0,PR
