MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
6/10/2025 17:47:31,1.16.3,PRexp,3,4.17,nan,1,Left,Left,1,0,0,0,nan,nan,0.07
6/10/2025 17:47:37,1.16.3,PRexp,3,4.17,3,1,Pellet,Left,1,0,1,1,1.16,nan,nan
6/10/2025 17:47:50,1.16.3,PRexp,3,4.17,nan,1,Left,Left,2,0,1,1,nan,nan,0.13
6/10/2025 17:47:51,1.16.3,PRexp,3,4.17,1,1,Pellet,Left,2,0,2,2,0.30,14,nan
6/10/2025 17:49:28,1.16.3,PRexp,3,4.17,nan,2,Left,Left,3,0,2,2,nan,nan,0.02
6/10/2025 17:49:29,1.16.3,PRexp,3,4.17,nan,2,Left,Left,4,0,2,2,nan,nan,0.22
6/10/2025 17:49:36,1.16.3,PRexp,3,4.17,nan,2,RightWithPellet,Left,4,1,2,3,nan,nan,0.03
6/10/2025 17:50:09,1.16.3,PRexp,3,4.17,nan,2,LeftWithPellet,Left,5,1,2,3,nan,nan,0.10
6/10/2025 17:52:01,1.16.3,PRexp,3,4.16,nan,2,LeftWithPellet,Left,6,1,2,3,nan,nan,0.44
6/10/2025 17:52:18,1.16.3,PRexp,3,4.17,1,2,Pellet,Left,6,1,3,3,Timed_out,267,nan
6/10/2025 17:52:40,1.16.3,PRexp,3,4.17,nan,2,Left,Left,7,1,3,3,nan,nan,0.16
6/10/2025 17:54:34,1.16.3,PRexp,3,4.17,nan,2,Left,Left,8,1,3,3,nan,nan,0.22
6/10/2025 17:54:37,1.16.3,PRexp,3,4.17,1,2,Pellet,Left,8,1,4,4,1.52,139,nan
6/10/2025 17:54:55,1.16.3,PRexp,3,4.17,nan,3,Right,Left,8,2,4,4,nan,nan,0.02
6/10/2025 17:56:29,1.16.3,PRexp,3,4.17,nan,3,Left,Left,9,2,4,4,nan,nan,0.22
6/10/2025 17:56:31,1.16.3,PRexp,3,4.17,nan,3,Left,Left,10,2,4,4,nan,nan,0.09
6/10/2025 17:56:43,1.16.3,PRexp,3,4.17,nan,3,Left,Left,11,2,4,4,nan,nan,0.10
6/10/2025 17:56:48,1.16.3,PRexp,3,4.17,nan,3,LeftWithPellet,Left,12,2,4,5,nan,nan,0.04
6/10/2025 17:58:02,1.16.3,PRexp,3,4.17,nan,3,LeftWithPellet,Left,13,2,4,5,nan,nan,0.01
6/10/2025 18:00:13,1.16.3,PRexp,3,4.17,nan,3,LeftWithPellet,Left,14,2,4,5,nan,nan,0.03
6/10/2025 18:01:41,1.16.3,PRexp,3,4.16,1,3,Pellet,Left,14,2,5,5,Timed_out,424,nan
6/10/2025 18:03:22,1.16.3,PRexp,3,4.16,nan,4,Left,Left,15,2,5,5,nan,nan,0.33
6/10/2025 18:03:43,1.16.3,PRexp,3,4.16,nan,4,Left,Left,16,2,5,5,nan,nan,0.38
6/10/2025 18:03:45,1.16.3,PRexp,3,4.17,nan,4,Left,Left,17,2,5,5,nan,nan,0.09
