MM:DD:YYYY hh:mm:ss,Library_Version,Session_Type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time,Elapsed_Time,Binary_Pellets,Interpellet_Intervals,Binary_Left_Pokes,Binary_Right_Pokes,Correct_Poke,Concat_#,Mode
2025-12-01 12:13:51,1.17.2,PRexp,10,4.11,,1,Poke,Left,1,0,0,0,,,0.0,0 days 00:00:00.000000000,0.0,,1.0,0.0,1.0,0,PR
2025-12-01 12:13:55,1.17.2,PRexp,10,4.11,,1,Poke,Left,2,0,0,1,,,0.15,0 days 00:00:04.000000000,0.0,,1.0,0.0,1.0,0,PR
2025-12-01 12:13:56,1.17.2,PRexp,10,4.11,,1,Poke,Left,3,0,0,1,,,0.09,0 days 00:00:05.000000000,0.0,,1.0,0.0,1.0,0,PR
2025-12-01 12:14:57,1.17.2,PRexp,10,4.11,,1,Poke,Left,4,0,0,1,,,0.01,0 days 00:01:06.000000000,0.0,,1.0,0.0,1.0,0,PR
2025-12-01 12:15:26,1.17.2,PRexp,10,4.11,,1,Poke,Left,5,0,0,1,,,0.02,0 days 00:01:35.000000000,0.0,,1.0,0.0,1.0,0,PR
2025-12-01 12:15:29,1.17.2,PRexp,10,4.11,,1,Poke,Left,5,1,0,1,,,0.15,0 days 00:01:38.000000000,0.0,,0.0,1.0,0.0,0,PR
2025-12-01 12:16:14,1.17.2,PRexp,10,4.11,,1,Poke,Left,5,2,0,1,,,0.09,0 days 00:02:23.000000000,0.0,,0.0,1.0,0.0,0,PR
2025-12-01 12:17:43,1.17.2,PRexp,10,4.11,,1,Poke,Left,6,2,0,1,,,0.05,0 days 00:03:52.000000000,0.0,,1.0,0.0,1.0,0,PR
2025-12-01 12:17:49,1.17.2,PRexp,10,4.11,,1,Poke,Left,7,2,0,1,,,0.01,0 days 00:03:58.000000000,0.0,,1.0,0.0,1.0,0,PR
2025-12-01 12:17:51,1.17.2,PRexp,10,4.11,,1,Poke,Left,8,2,0,1,,,0.02,0 days 00:04:00.000000000,0.0,,1.0,0.0,1.0,0,PR
2025-12-01 12:18:41,1.17.2,PRexp,10,4.11,2.0,1,Pellet,Left,8,2,1,1,,,,0 days 00:04:50.000000000,1.0,,0.0,0.0,,0,PR
2025-12-01 12:19:03,1.17.2,PRexp,10,4.11,,1,Poke,Left,9,2,1,1,,,0.18,0 days 00:05:12.000000000,0.0,,1.0,0.0,1.0,0,PR
2025-12-01 12:19:08,1.17.2,PRexp,10,4.11,4.0,1,Pellet,Left,9,2,2,2,0.38,27.0,,0 days 00:05:17.000000000,1.0,0.45,0.0,0.0,,0,PR
2025-12-01 12:19:23,1.17.2,PRexp,10,4.11,,2,Poke,Left,10,2,2,2,,,0.07,0 days 00:05:32.000000000,0.0,,1.0,0.0,1.0,0,PR
2025-12-01 12:20:45,1.17.2,PRexp,10,4.11,,2,Poke,Left,11,2,2,2,,,0.16,0 days 00:06:54.000000000,0.0,,1.0,0.0,1.0,0,PR
2025-12-01 12:20:50,1.17.2,PRexp,10,4.11,4.0,2,Pellet,Left,11,2,3,3,0.05,102.0,,0 days 00:06:59.000000000,1.0,1.7,0.0,0.0,,0,PR
2025-12-01 12:20:56,1.17.2,PRexp,10,4.11,,2,Poke,Left,11,3,3,3,,,0.53,0 days 00:07:05.000000000,0.0,,0.0,1.0,0.0,0,PR
2025-12-01 12:22:23,1.17.2,PRexp,10,4.11,,2,Poke,Left,12,3,3,3,,,0.73,0 days 00:08:32.000000000,0.0,,1.0,0.0,1.0,0,PR
2025-12-01 12:22:24,1.17.2,PRexp,10,4.11,,2,Poke,Left,13,3,3,3,,,0.11,0 days 00:08:33.000000000,0.0,,1.0,0.0,1.0,0,PR
2025-12-01 12:22:25,1.17.2,PRexp,10,4.11,2.0,2,Pellet,Left,13,3,4,4,0.77,95.0,,0 days 00:08:34.000000000,1.0,1.5833333333333333,0.0,0.0,,0,PR
2025-12-01 12:24:58,1.17.2,PRexp,10,4.11,,3,Poke,Left,14,3,4,4,,,0.05,0 days 00:11:07.000000000,0.0,,1.0,0.0,1.0,0,PR
2025-12-01 12:25:01,1.17.2,PRexp,10,4.11,,3,Poke,Left,15,3,4,4,,,0.06,0 days 00:11:10.000000000,0.0,,1.0,0.0,1.0,0,PR
2025-12-01 12:25:09,1.17.2,PRexp,10,4.11,,3,Poke,Left,16,3,4,4,,,0.01,0 days 00:11:18.000000000,0.0,,1.0,0.0,1.0,0,PR
2025-12-01 12:25:44,1.17.2,PRexp,10,4.11,,3,Poke,Left,17,3,4,5,,,0.56,0 days 00:11:53.000000000,0.0,,1.0,0.0,1.0,0,PR
2025-12-01 12:25:53,1.17.2,PRexp,10,4.11,,3,Poke,Left,18,3,4,5,,,0.18,0 days 00:12:02.000000000,0.0,,1.0,0.0,1.0,0,PR
2025-12-01 12:26:39,1.17.2,PRexp,10,4.11,,3,Poke,Left,19,3,4,5,,,0.59,0 days 00:12:48.000000000,0.0,,1.0,0.0,1.0,0,PR
2025-12-01 12:26:46,1.17.2,PRexp,10,4.11,,3,Poke,Left,20,3,4,5,,,0.17,0 days 00:12:55.000000000,0.0,,1.0,0.0,1.0,0,PR
2025-12-01 12:26:48,1.17.2,PRexp,10,4.11,,3,Poke,Left,21,3,4,5,,,0.52,0 days 00:12:57.000000000,0.0,,1.0,0.0,1.0,0,PR
2025-12-01 12:26:55,1.17.2,PRexp,10,4.11,,3,Poke,Left,21,4,4,5,,,0.09,0 days 00:13:04.000000000,0.0,,0.0,1.0,0.0,0,PR
2025-12-01 12:27:27,1.17.2,PRexp,10,4.11,2.0,3,Pellet,Left,21,4,5,5,,302.0,,0 days 00:13:36.000000000,1.0,5.033333333333333,0.0,0.0,,0,PR
2025-12-01 12:28:05,1.17.2,PRexp,10,4.11,,4,Poke,Left,22,4,5,5,,,0.07,0 days 00:14:14.000000000,0.0,,1.0,0.0,1.0,0,PR
2025-12-01 12:29:26,1.17.2,PRexp,10,4.11,,4,Poke,Left,23,4,5,5,,,0.22,0 days 00:15:35.000000000,0.0,,1.0,0.0,1.0,0,PR
2025-12-01 12:29:27,1.17.2,PRexp,10,4.11,,4,Poke,Left,24,4,5,5,,,0.19,0 days 00:15:36.000000000,0.0,,1.0,0.0,1.0,0,PR
2025-12-01 12:29:28,1.17.2,PRexp,10,4.11,,4,Poke,Left,25,4,5,5,,,0.09,0 days 00:15:37.000000000,0.0,,1.0,0.0,1.0,0,PR
