MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
6/9/2025 14:09:18,1.16.3,PRexp,3,4.21,nan,1,Left,Left,1,0,0,0,nan,nan,0.79
6/9/2025 14:09:45,1.16.3,PRexp,3,4.21,4,1,Pellet,Left,1,0,1,1,21.48,nan,nan
6/9/2025 14:11:55,1.16.3,PRexp,3,4.20,nan,1,Right,Left,1,1,1,1,nan,nan,0.08
6/9/2025 14:11:57,1.16.3,PRexp,3,4.21,nan,1,Left,Left,2,1,1,1,nan,nan,0.05
6/9/2025 14:11:59,1.16.3,PRexp,3,4.20,2,1,Pellet,Left,2,1,2,2,0.60,134,nan
6/9/2025 14:12:31,1.16.3,PRexp,3,4.21,nan,2,Left,Left,3,1,2,2,nan,nan,0.07
6/9/2025 14:13:01,1.16.3,PRexp,3,4.21,nan,2,Left,Left,4,1,2,2,nan,nan,0.01
6/9/2025 14:13:03,1.16.3,PRexp,3,4.20,2,2,Pellet,Left,4,1,3,3,0.42,64,nan
6/9/2025 14:13:24,1.16.3,PRexp,3,4.20,nan,2,Right,Left,4,2,3,3,nan,nan,0.03
6/9/2025 14:17:06,1.16.3,PRexp,3,4.20,nan,2,Left,Left,5,2,3,3,nan,nan,0.10
6/9/2025 14:17:08,1.16.3,PRexp,3,4.20,nan,2,Left,Left,6,2,3,3,nan,nan,0.13
6/9/2025 14:17:10,1.16.3,PRexp,3,4.20,2,2,Pellet,Left,6,2,4,4,0.12,247,nan
6/9/2025 14:17:19,1.16.3,PRexp,3,4.20,nan,3,Left,Left,7,2,4,4,nan,nan,0.09
6/9/2025 14:17:24,1.16.3,PRexp,3,4.20,nan,3,Left,Left,8,2,4,4,nan,nan,0.27
6/9/2025 14:19:22,1.16.3,PRexp,3,4.20,nan,3,Right,Left,8,3,4,4,nan,nan,0.06
6/9/2025 14:19:29,1.16.3,PRexp,3,4.21,nan,3,Left,Left,9,3,4,4,nan,nan,0.09
6/9/2025 14:19:31,1.16.3,PRexp,3,4.20,nan,3,LeftWithPellet,Left,10,3,4,5,nan,nan,0.07
6/9/2025 14:19:38,1.16.3,PRexp,3,4.21,1,3,Pellet,Left,10,3,5,5,7.53,148,nan
6/9/2025 14:21:44,1.16.3,PRexp,3,4.20,nan,4,Left,Left,11,3,5,5,nan,nan,0.07
6/9/2025 14:26:12,1.16.3,PRexp,3,4.20,nan,4,Right,Left,11,4,5,5,nan,nan,0.20
6/9/2025 14:26:48,1.16.3,PRexp,3,4.20,nan,4,Left,Left,12,4,5,5,nan,nan,0.00
6/9/2025 14:26:52,1.16.3,PRexp,3,4.20,nan,4,Left,Left,13,4,5,5,nan,nan,0.05
6/9/2025 14:27:01,1.16.3,PRexp,3,4.21,nan,4,Left,Left,14,4,5,5,nan,nan,0.16
6/9/2025 14:27:02,1.16.3,PRexp,3,4.21,1,4,Pellet,Left,14,4,6,6,0.48,444,nan
6/9/2025 14:27:15,1.16.3,PRexp,3,4.21,nan,5,Left,Left,15,4,6,6,nan,nan,0.02
6/9/2025 14:27:17,1.16.3,PRexp,3,4.20,nan,5,Left,Left,16,4,6,6,nan,nan,0.13
6/9/2025 14:27:19,1.16.3,PRexp,3,4.21,nan,5,Left,Left,17,4,6,6,nan,nan,0.11
6/9/2025 14:31:59,1.16.3,PRexp,3,4.20,nan,5,Left,Left,18,4,6,6,nan,nan,0.02
6/9/2025 14:32:04,1.16.3,PRexp,3,4.20,nan,5,Left,Left,19,4,6,6,nan,nan,0.24
6/9/2025 14:32:06,1.16.3,PRexp,3,4.20,1,5,Pellet,Left,19,4,7,7,0.48,304,nan
6/9/2025 14:32:18,1.16.3,PRexp,3,4.20,nan,6,Left,Left,20,4,7,7,nan,nan,0.10
6/9/2025 14:35:44,1.16.3,PRexp,3,4.20,nan,6,Left,Left,21,4,7,7,nan,nan,0.02
6/9/2025 14:35:53,1.16.3,PRexp,3,4.20,nan,6,Left,Left,22,4,7,7,nan,nan,0.06
6/9/2025 14:35:56,1.16.3,PRexp,3,4.21,nan,6,Left,Left,23,4,7,7,nan,nan,0.08
6/9/2025 14:35:57,1.16.3,PRexp,3,4.21,nan,6,Left,Left,24,4,7,7,nan,nan,0.04
6/9/2025 14:37:21,1.16.3,PRexp,3,4.20,nan,6,Left,Left,25,4,7,7,nan,nan,0.00
6/9/2025 14:37:49,1.16.3,PRexp,3,4.20,1,6,Pellet,Left,25,4,8,8,27.47,343,nan
6/9/2025 14:38:19,1.16.3,PRexp,3,4.20,nan,7,Right,Left,25,5,8,8,nan,nan,0.16
6/9/2025 14:38:42,1.16.3,PRexp,3,4.20,nan,7,Left,Left,26,5,8,8,nan,nan,0.03
6/9/2025 14:41:08,1.16.3,PRexp,3,4.20,nan,7,Left,Left,27,5,8,8,nan,nan,0.03
6/9/2025 14:41:41,1.16.3,PRexp,3,4.20,nan,7,Left,Left,28,5,8,8,nan,nan,0.06
6/9/2025 14:41:50,1.16.3,PRexp,3,4.20,nan,7,Left,Left,29,5,8,8,nan,nan,0.02
6/9/2025 14:43:01,1.16.3,PRexp,3,4.20,nan,7,Left,Left,30,5,8,8,nan,nan,0.32
6/9/2025 14:43:04,1.16.3,PRexp,3,4.20,nan,7,Left,Left,31,5,8,8,nan,nan,0.08
6/9/2025 14:46:51,1.16.3,PRexp,3,4.20,nan,7,Left,Left,32,5,8,8,nan,nan,0.02
6/9/2025 14:46:52,1.16.3,PRexp,3,4.20,2,7,Pellet,Left,32,5,9,9,0.24,543,nan
6/9/2025 14:47:05,1.16.3,PRexp,3,4.20,nan,9,Left,Left,33,5,9,9,nan,nan,0.04
6/9/2025 14:47:06,1.16.3,PRexp,3,4.21,nan,9,Left,Left,34,5,9,9,nan,nan,0.03
