MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
6/16/2021 18:12:14,1.8.1,yhc210607,9,4.16,1,1,Right,Left,0,1,0,0,nan,nan,0.20
6/16/2021 18:12:20,1.8.1,yhc210607,9,4.16,1,1,Left,Left,1,1,0,0,nan,nan,0.33
6/16/2021 18:12:33,1.8.1,yhc210607,9,4.16,4,1,Pellet,Left,1,1,1,1,6.62,nan,nan
6/16/2021 18:12:58,1.8.1,yhc210607,9,4.16,1,1,Left,Left,2,1,1,1,nan,nan,0.03
6/16/2021 18:12:59,1.8.1,yhc210607,9,4.16,2,1,Pellet,Left,2,1,2,2,0.36,27,nan
6/16/2021 18:13:14,1.8.1,yhc210607,9,4.16,1,2,Left,Left,3,1,2,2,nan,nan,0.03
6/16/2021 18:13:17,1.8.1,yhc210607,9,4.16,1,2,Left,Left,4,1,2,2,nan,nan,0.11
6/16/2021 18:13:18,1.8.1,yhc210607,9,4.16,2,2,Pellet,Left,4,1,3,3,0.24,19,nan
6/16/2021 18:14:49,1.8.1,yhc210607,9,4.16,1,2,Left,Left,5,1,3,3,nan,nan,0.06
6/16/2021 18:14:50,1.8.1,yhc210607,9,4.16,1,2,Left,Left,6,1,3,3,nan,nan,0.07
6/16/2021 18:14:51,1.8.1,yhc210607,9,4.16,1,2,Pellet,Left,6,1,4,4,0.24,93,nan
6/16/2021 18:18:07,1.8.1,yhc210607,9,4.16,1,3,Left,Left,7,1,4,4,nan,nan,0.18
6/16/2021 18:18:09,1.8.1,yhc210607,9,4.16,1,3,Left,Left,8,1,4,4,nan,nan,0.18
6/16/2021 18:18:11,1.8.1,yhc210607,9,4.16,1,3,Left,Left,9,1,4,4,nan,nan,0.36
6/16/2021 18:18:12,1.8.1,yhc210607,9,4.16,1,3,Pellet,Left,9,1,5,5,0.18,201,nan
6/16/2021 18:23:12,1.8.1,yhc210607,9,4.16,1,4,Left,Left,10,1,5,5,nan,nan,0.11
6/16/2021 18:23:12,1.8.1,yhc210607,9,4.16,1,4,Left,Left,11,1,5,5,nan,nan,0.00
6/16/2021 18:23:15,1.8.1,yhc210607,9,4.15,1,4,Left,Left,12,1,5,5,nan,nan,0.29
6/16/2021 18:23:18,1.8.1,yhc210607,9,4.15,1,4,Left,Left,13,1,5,5,nan,nan,0.19
6/16/2021 18:23:21,1.8.1,yhc210607,9,4.16,3,4,Pellet,Left,13,1,6,6,0.06,309,nan
6/16/2021 18:24:50,1.8.1,yhc210607,9,4.16,1,5,Left,Left,14,1,6,6,nan,nan,0.00
6/16/2021 18:24:52,1.8.1,yhc210607,9,4.16,1,5,Left,Left,15,1,6,6,nan,nan,0.01
6/16/2021 18:24:53,1.8.1,yhc210607,9,4.16,1,5,Left,Left,16,1,6,6,nan,nan,0.06
6/16/2021 18:24:54,1.8.1,yhc210607,9,4.16,1,5,Left,Left,17,1,6,6,nan,nan,0.13
6/16/2021 18:24:55,1.8.1,yhc210607,9,4.16,1,5,Left,Left,18,1,6,6,nan,nan,0.13
6/16/2021 18:25:05,1.8.1,yhc210607,9,4.16,3,5,Pellet,Left,18,1,7,7,7.61,104,nan
6/16/2021 18:25:51,1.8.1,yhc210607,9,4.16,1,6,Left,Left,19,1,7,7,nan,nan,0.16
6/16/2021 18:25:52,1.8.1,yhc210607,9,4.16,1,6,Left,Left,20,1,7,7,nan,nan,0.22
6/16/2021 18:27:39,1.8.1,yhc210607,9,4.16,1,6,Left,Left,21,1,7,7,nan,nan,0.17
6/16/2021 18:27:41,1.8.1,yhc210607,9,4.16,1,6,Left,Left,22,1,7,7,nan,nan,0.26
6/16/2021 18:27:43,1.8.1,yhc210607,9,4.16,1,6,Left,Left,23,1,7,7,nan,nan,0.30
6/16/2021 18:27:44,1.8.1,yhc210607,9,4.16,1,6,Left,Left,24,1,7,7,nan,nan,0.23
6/16/2021 18:27:45,1.8.1,yhc210607,9,4.16,2,6,Pellet,Left,24,1,8,8,0.06,160,nan
6/16/2021 18:27:52,1.8.1,yhc210607,9,4.16,1,7,Left,Left,25,1,8,8,nan,nan,0.07
6/16/2021 18:27:54,1.8.1,yhc210607,9,4.16,1,7,Left,Left,26,1,8,8,nan,nan,0.13
6/16/2021 18:27:57,1.8.1,yhc210607,9,4.16,1,7,Left,Left,27,1,8,8,nan,nan,0.30
6/16/2021 18:27:58,1.8.1,yhc210607,9,4.16,1,7,Left,Left,28,1,8,8,nan,nan,0.02
6/16/2021 18:27:59,1.8.1,yhc210607,9,4.16,1,7,Left,Left,29,1,8,8,nan,nan,0.33
6/16/2021 18:28:00,1.8.1,yhc210607,9,4.16,1,7,Left,Left,30,1,8,8,nan,nan,0.22
6/16/2021 18:28:06,1.8.1,yhc210607,9,4.16,1,7,Left,Left,31,1,8,8,nan,nan,0.11
6/16/2021 18:28:08,1.8.1,yhc210607,9,4.16,2,7,Pellet,Left,31,1,9,9,0.06,23,nan
6/16/2021 18:28:42,1.8.1,yhc210607,9,4.16,1,9,Left,Left,32,1,9,9,nan,nan,0.09
6/16/2021 18:28:47,1.8.1,yhc210607,9,4.15,1,9,Left,Left,33,1,9,9,nan,nan,0.17
6/16/2021 18:28:50,1.8.1,yhc210607,9,4.16,1,9,Left,Left,34,1,9,9,nan,nan,0.20
6/16/2021 18:28:54,1.8.1,yhc210607,9,4.16,1,9,Left,Left,35,1,9,9,nan,nan,0.21
6/16/2021 18:28:56,1.8.1,yhc210607,9,4.16,1,9,Left,Left,36,1,9,9,nan,nan,0.17
6/16/2021 18:28:59,1.8.1,yhc210607,9,4.16,1,9,Left,Left,37,1,9,9,nan,nan,0.22
6/16/2021 18:29:01,1.8.1,yhc210607,9,4.16,1,9,Left,Left,38,1,9,9,nan,nan,0.10
6/16/2021 18:29:03,1.8.1,yhc210607,9,4.16,1,9,Left,Left,39,1,9,9,nan,nan,0.25
6/16/2021 18:29:06,1.8.1,yhc210607,9,4.14,1,9,Left,Left,40,1,9,9,nan,nan,0.23
6/16/2021 18:29:09,1.8.1,yhc210607,9,4.16,3,9,Pellet,Left,40,1,10,10,0.12,61,nan
6/16/2021 18:30:02,1.8.1,yhc210607,9,4.15,1,10,Left,Left,41,1,10,10,nan,nan,0.18
6/16/2021 18:30:03,1.8.1,yhc210607,9,4.16,1,10,Left,Left,42,1,10,10,nan,nan,0.00
6/16/2021 18:30:05,1.8.1,yhc210607,9,4.16,1,10,Left,Left,43,1,10,10,nan,nan,0.09
6/16/2021 18:30:06,1.8.1,yhc210607,9,4.16,1,10,Left,Left,44,1,10,10,nan,nan,0.39
6/16/2021 18:30:10,1.8.1,yhc210607,9,4.15,1,10,Left,Left,45,1,10,10,nan,nan,0.07
6/16/2021 18:30:12,1.8.1,yhc210607,9,4.16,1,10,Left,Left,46,1,10,10,nan,nan,0.19
6/16/2021 18:30:14,1.8.1,yhc210607,9,4.16,1,10,Left,Left,47,1,10,10,nan,nan,0.04
6/16/2021 18:30:15,1.8.1,yhc210607,9,4.16,1,10,Left,Left,48,1,10,10,nan,nan,0.08
6/16/2021 18:30:17,1.8.1,yhc210607,9,4.16,1,10,Left,Left,49,1,10,10,nan,nan,0.11
6/16/2021 18:30:18,1.8.1,yhc210607,9,4.16,1,10,Left,Left,50,1,10,10,nan,nan,0.29
6/16/2021 18:30:28,1.8.1,yhc210607,9,4.16,3,10,Pellet,Left,50,1,11,11,7.49,79,nan
6/16/2021 18:48:34,1.8.1,yhc210607,9,4.16,1,12,Left,Left,51,1,11,11,nan,nan,0.21
6/16/2021 18:48:57,1.8.1,yhc210607,9,4.15,1,12,Left,Left,52,1,11,11,nan,nan,0.08
