MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
9/3/2021 12:46:46,1.8.1,PRexp,4,4.19,1,1,Right,Left,0,1,0,0,nan,nan,0.41
9/3/2021 12:52:19,1.8.1,PRexp,4,4.20,1,1,Left,Left,1,1,0,0,nan,nan,0.23
9/3/2021 12:52:20,1.8.1,PRexp,4,4.18,2,1,Pellet,Left,1,1,1,1,0.18,nan,nan
9/3/2021 12:52:57,1.8.1,PRexp,4,4.19,1,1,Left,Left,2,1,1,1,nan,nan,0.32
9/3/2021 12:52:58,1.8.1,PRexp,4,4.19,1,1,Pellet,Left,2,1,2,2,0.30,38,nan
9/3/2021 12:53:50,1.8.1,PRexp,4,4.19,1,2,Left,Left,3,1,2,2,nan,nan,0.62
9/3/2021 12:53:52,1.8.1,PRexp,4,4.20,1,2,Left,Left,4,1,2,2,nan,nan,0.14
9/3/2021 12:54:06,1.8.1,PRexp,4,4.18,7,2,Pellet,Left,4,1,3,3,0.24,68,nan
9/3/2021 12:54:44,1.8.1,PRexp,4,4.19,1,2,Left,Left,5,1,3,3,nan,nan,0.13
9/3/2021 12:54:46,1.8.1,PRexp,4,4.19,1,2,Left,Left,6,1,3,3,nan,nan,0.43
9/3/2021 12:54:47,1.8.1,PRexp,4,4.20,1,2,Pellet,Left,6,1,4,4,0.30,41,nan
9/3/2021 12:55:28,1.8.1,PRexp,4,4.18,1,3,Left,Left,7,1,4,4,nan,nan,0.13
9/3/2021 12:59:27,1.8.1,PRexp,4,4.20,1,3,Left,Left,8,1,4,4,nan,nan,0.03
9/3/2021 12:59:28,1.8.1,PRexp,4,4.20,1,3,Left,Left,9,1,4,4,nan,nan,0.09
9/3/2021 12:59:29,1.8.1,PRexp,4,4.19,1,3,Pellet,Left,9,1,5,5,1.03,282,nan
9/3/2021 12:59:45,1.8.1,PRexp,4,4.19,1,4,Left,Left,10,1,5,5,nan,nan,0.13
9/3/2021 12:59:48,1.8.1,PRexp,4,4.19,1,4,Left,Left,11,1,5,5,nan,nan,0.17
9/3/2021 12:59:51,1.8.1,PRexp,4,4.19,1,4,Left,Left,12,1,5,5,nan,nan,0.01
9/3/2021 12:59:52,1.8.1,PRexp,4,4.19,1,4,Left,Left,13,1,5,5,nan,nan,0.24
9/3/2021 12:59:53,1.8.1,PRexp,4,4.20,1,4,Pellet,Left,13,1,6,6,0.24,24,nan
9/3/2021 13:00:58,1.8.1,PRexp,4,4.19,1,5,Left,Left,14,1,6,6,nan,nan,0.12
9/3/2021 13:01:01,1.8.1,PRexp,4,4.19,1,5,Left,Left,15,1,6,6,nan,nan,0.37
9/3/2021 13:01:02,1.8.1,PRexp,4,4.20,1,5,Left,Left,16,1,6,6,nan,nan,0.20
9/3/2021 13:01:05,1.8.1,PRexp,4,4.20,1,5,Left,Left,17,1,6,6,nan,nan,0.24
9/3/2021 13:01:06,1.8.1,PRexp,4,4.19,1,5,Left,Left,18,1,6,6,nan,nan,0.09
9/3/2021 13:01:07,1.8.1,PRexp,4,4.20,1,5,Pellet,Left,18,1,7,7,0.48,74,nan
9/3/2021 13:02:30,1.8.1,PRexp,4,4.19,1,6,Left,Left,19,1,7,7,nan,nan,0.08
9/3/2021 13:02:31,1.8.1,PRexp,4,4.18,1,6,Left,Left,20,1,7,7,nan,nan,0.29
9/3/2021 13:02:33,1.8.1,PRexp,4,4.19,1,6,Left,Left,21,1,7,7,nan,nan,0.12
9/3/2021 13:02:34,1.8.1,PRexp,4,4.19,1,6,Left,Left,22,1,7,7,nan,nan,0.06
9/3/2021 13:02:36,1.8.1,PRexp,4,4.19,1,6,Left,Left,23,1,7,7,nan,nan,0.12
9/3/2021 13:03:39,1.8.1,PRexp,4,4.19,1,6,Left,Left,24,1,7,7,nan,nan,0.06
