,MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
0,6/9/2021 15:41:15,1.8.1,yhc210607,2,3.85,1,1,Left,Left,1,0,0,0,,,0.01
1,6/9/2021 15:59:26,1.8.1,yhc210607,2,3.86,3,1,Pellet,Left,1,0,1,1,Timed_out,,
2,6/9/2021 16:04:55,1.8.1,yhc210607,2,3.86,1,1,Left,Left,2,0,1,1,,,0.14
3,6/9/2021 16:04:56,1.8.1,yhc210607,2,3.86,1,1,Pellet,Left,2,0,2,2,0.42,330.0,
4,6/9/2021 16:07:55,1.8.1,yhc210607,2,3.86,1,2,Right,Left,2,1,2,2,,,0.13
5,6/9/2021 16:09:09,1.8.1,yhc210607,2,3.86,1,2,Left,Left,3,1,2,2,,,0.14
6,6/9/2021 16:09:10,1.8.1,yhc210607,2,3.85,1,2,Left,Left,4,1,2,2,,,0.33
7,6/9/2021 16:09:11,1.8.1,yhc210607,2,3.85,1,2,Pellet,Left,4,1,3,3,0.30,255.0,
8,6/9/2021 16:14:29,1.8.1,yhc210607,2,3.86,1,2,Left,Left,5,1,3,3,,,0.19
9,6/9/2021 16:14:31,1.8.1,yhc210607,2,3.86,1,2,Left,Left,6,1,3,3,,,0.45
10,6/9/2021 16:14:34,1.8.1,yhc210607,2,3.85,2,2,Pellet,Left,6,1,4,4,0.24,323.0,
11,6/9/2021 16:15:29,1.8.1,yhc210607,2,3.86,1,3,Left,Left,7,1,4,4,,,0.45
12,6/9/2021 16:15:31,1.8.1,yhc210607,2,3.86,1,3,Left,Left,8,1,4,4,,,0.06
13,6/9/2021 16:19:58,1.8.1,yhc210607,2,3.85,1,3,Left,Left,9,1,4,4,,,0.2
14,6/9/2021 16:19:59,1.8.1,yhc210607,2,3.86,1,3,Pellet,Left,9,1,5,5,0.36,325.0,
15,6/9/2021 16:21:42,1.8.1,yhc210607,2,3.85,1,4,Right,Left,9,2,5,5,,,0.04
16,6/9/2021 16:21:47,1.8.1,yhc210607,2,3.85,1,4,Left,Left,10,2,5,5,,,0.34
17,6/9/2021 16:21:56,1.8.1,yhc210607,2,3.85,1,4,Left,Left,11,2,5,5,,,0.22
18,6/9/2021 16:21:57,1.8.1,yhc210607,2,3.86,1,4,Left,Left,12,2,5,5,,,0.25
19,6/9/2021 16:22:00,1.8.1,yhc210607,2,3.85,1,4,Left,Left,13,2,5,5,,,0.07
20,6/9/2021 16:22:01,1.8.1,yhc210607,2,3.85,1,4,Pellet,Left,13,2,6,6,0.55,122.0,
21,6/9/2021 16:30:11,1.8.1,yhc210607,2,3.85,1,5,Left,Left,14,2,6,6,,,0.44
22,6/9/2021 16:30:12,1.8.1,yhc210607,2,3.85,1,5,Left,Left,15,2,6,6,,,0.17
23,6/9/2021 16:30:15,1.8.1,yhc210607,2,3.86,1,5,Left,Left,16,2,6,6,,,0.58
24,6/9/2021 16:30:19,1.8.1,yhc210607,2,3.85,1,5,Left,Left,17,2,6,6,,,0.42
25,6/9/2021 16:30:22,1.8.1,yhc210607,2,3.85,1,5,Left,Left,18,2,6,6,,,0.99
26,6/9/2021 16:30:23,1.8.1,yhc210607,2,3.86,1,5,Pellet,Left,18,2,7,7,0.61,502.0,
27,6/9/2021 16:31:08,1.8.1,yhc210607,2,3.86,1,6,Right,Left,18,3,7,7,,,0.27
28,6/9/2021 16:37:03,1.8.1,yhc210607,2,3.86,1,6,Right,Left,18,4,7,7,,,0.29
29,6/9/2021 16:37:37,1.8.1,yhc210607,2,3.85,1,6,Left,Left,19,4,7,7,,,0.06
30,6/9/2021 16:37:39,1.8.1,yhc210607,2,3.86,1,6,Left,Left,20,4,7,7,,,0.67
31,6/9/2021 16:37:42,1.8.1,yhc210607,2,3.86,1,6,Left,Left,21,4,7,7,,,0.78
32,6/9/2021 16:37:44,1.8.1,yhc210607,2,3.86,1,6,Left,Left,22,4,7,7,,,0.79
33,6/9/2021 16:37:46,1.8.1,yhc210607,2,3.85,1,6,Left,Left,23,4,7,7,,,0.52
34,6/9/2021 16:40:22,1.8.1,yhc210607,2,3.85,1,6,Right,Left,23,5,7,7,,,0.21
35,6/9/2021 17:22:19,1.8.1,yhc210607,2,3.85,1,1,Right,Left,23,6,7,0,,,0.06
36,6/9/2021 17:23:26,1.8.1,yhc210607,2,3.85,1,1,Right,Left,23,7,7,0,,,0.11
37,6/9/2021 17:27:30,1.8.1,yhc210607,2,3.85,1,1,Left,Left,24,7,7,0,,,0.11
