MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
6/9/2021 15:37:52,1.8.1,yhc210607,6,4.05,1,1,Left,Left,1,0,0,0,nan,nan,0.01
6/9/2021 15:44:21,1.8.1,yhc210607,6,4.05,4,1,Pellet,Left,1,0,1,1,Timed_out,nan,nan
6/9/2021 15:44:46,1.8.1,yhc210607,6,4.05,1,1,Left,Left,2,0,1,1,nan,nan,0.20
6/9/2021 16:01:31,1.8.1,yhc210607,6,4.05,3,1,Pellet,Left,2,0,2,2,Timed_out,1030,nan
6/9/2021 16:03:17,1.8.1,yhc210607,6,4.05,1,2,Right,Left,2,1,2,2,nan,nan,0.03
6/9/2021 16:03:26,1.8.1,yhc210607,6,4.05,1,2,Left,Left,3,1,2,2,nan,nan,0.21
6/9/2021 16:03:36,1.8.1,yhc210607,6,4.05,1,2,Left,Left,4,1,2,2,nan,nan,0.13
6/9/2021 16:03:40,1.8.1,yhc210607,6,4.05,3,2,Pellet,Left,4,1,3,3,1.22,129,nan
6/9/2021 16:06:05,1.8.1,yhc210607,6,4.05,1,2,Right,Left,4,2,3,3,nan,nan,0.01
6/9/2021 16:07:28,1.8.1,yhc210607,6,4.05,1,2,Left,Left,5,2,3,3,nan,nan,0.20
6/9/2021 16:07:30,1.8.1,yhc210607,6,4.05,1,2,Left,Left,6,2,3,3,nan,nan,0.49
6/9/2021 16:07:32,1.8.1,yhc210607,6,4.05,1,2,Pellet,Left,6,2,4,4,0.73,232,nan
6/9/2021 16:08:32,1.8.1,yhc210607,6,4.05,1,3,Right,Left,6,3,4,4,nan,nan,0.09
6/9/2021 16:08:34,1.8.1,yhc210607,6,4.05,1,3,Right,Left,6,4,4,4,nan,nan,0.33
6/9/2021 16:08:39,1.8.1,yhc210607,6,4.05,1,3,Right,Left,6,5,4,4,nan,nan,0.04
6/9/2021 16:13:26,1.8.1,yhc210607,6,4.05,1,3,Right,Left,6,6,4,4,nan,nan,0.00
6/9/2021 16:16:45,1.8.1,yhc210607,6,4.05,1,3,Left,Left,7,6,4,4,nan,nan,0.14
6/9/2021 16:16:47,1.8.1,yhc210607,6,4.06,1,3,Left,Left,8,6,4,4,nan,nan,0.24
6/9/2021 16:16:49,1.8.1,yhc210607,6,4.05,1,3,Left,Left,9,6,4,4,nan,nan,0.27
6/9/2021 16:16:50,1.8.1,yhc210607,6,4.05,1,3,Pellet,Left,9,6,5,5,0.73,558,nan
6/9/2021 16:19:13,1.8.1,yhc210607,6,4.05,1,4,Right,Left,9,7,5,5,nan,nan,0.17
6/9/2021 16:19:15,1.8.1,yhc210607,6,4.05,1,4,Right,Left,9,8,5,5,nan,nan,0.27
6/9/2021 16:19:17,1.8.1,yhc210607,6,4.05,1,4,Left,Left,10,8,5,5,nan,nan,0.21
6/9/2021 16:19:18,1.8.1,yhc210607,6,4.05,1,4,Left,Left,11,8,5,5,nan,nan,0.31
6/9/2021 16:19:19,1.8.1,yhc210607,6,4.05,1,4,Left,Left,12,8,5,5,nan,nan,0.32
6/9/2021 16:19:38,1.8.1,yhc210607,6,4.05,1,4,Left,Left,13,8,5,5,nan,nan,0.12
6/9/2021 16:19:39,1.8.1,yhc210607,6,4.05,1,4,Pellet,Left,13,8,6,6,0.55,169,nan
6/9/2021 16:22:25,1.8.1,yhc210607,6,4.05,1,5,Left,Left,14,8,6,6,nan,nan,0.15
6/9/2021 16:22:27,1.8.1,yhc210607,6,4.05,1,5,Left,Left,15,8,6,6,nan,nan,0.19
6/9/2021 16:25:03,1.8.1,yhc210607,6,4.05,1,5,Left,Left,16,8,6,6,nan,nan,0.07
6/9/2021 16:25:04,1.8.1,yhc210607,6,4.05,1,5,Left,Left,17,8,6,6,nan,nan,0.26
6/9/2021 16:25:06,1.8.1,yhc210607,6,4.05,1,5,Left,Left,18,8,6,6,nan,nan,0.15
6/9/2021 16:25:09,1.8.1,yhc210607,6,4.05,2,5,Pellet,Left,18,8,7,7,0.67,330,nan
6/9/2021 16:26:01,1.8.1,yhc210607,6,4.05,1,6,Left,Left,19,8,7,7,nan,nan,0.08
6/9/2021 16:26:04,1.8.1,yhc210607,6,4.05,1,6,Left,Left,20,8,7,7,nan,nan,0.04
6/9/2021 16:26:05,1.8.1,yhc210607,6,4.05,1,6,Left,Left,21,8,7,7,nan,nan,0.51
6/9/2021 16:26:07,1.8.1,yhc210607,6,4.05,1,6,Left,Left,22,8,7,7,nan,nan,0.30
6/9/2021 16:26:09,1.8.1,yhc210607,6,4.05,1,6,Left,Left,23,8,7,7,nan,nan,0.46
6/9/2021 16:26:10,1.8.1,yhc210607,6,4.05,1,6,Left,Left,24,8,7,7,nan,nan,0.34
6/9/2021 16:26:12,1.8.1,yhc210607,6,4.05,1,6,Pellet,Left,24,8,8,8,0.67,63,nan
6/9/2021 16:26:42,1.8.1,yhc210607,6,4.05,1,7,Left,Left,25,8,8,8,nan,nan,0.16
6/9/2021 16:26:43,1.8.1,yhc210607,6,4.05,1,7,Left,Left,26,8,8,8,nan,nan,0.21
6/9/2021 16:27:08,1.8.1,yhc210607,6,4.05,1,7,Left,Left,27,8,8,8,nan,nan,0.05
6/9/2021 16:27:12,1.8.1,yhc210607,6,4.05,1,7,Right,Left,27,9,8,8,nan,nan,0.04
6/9/2021 16:27:17,1.8.1,yhc210607,6,4.05,1,7,Right,Left,27,10,8,8,nan,nan,0.66
6/9/2021 16:36:56,1.8.1,yhc210607,6,4.05,1,7,Left,Left,28,10,8,8,nan,nan,0.09
6/9/2021 16:36:58,1.8.1,yhc210607,6,4.05,1,7,Left,Left,29,10,8,8,nan,nan,0.85
6/9/2021 16:37:00,1.8.1,yhc210607,6,4.05,1,7,Left,Left,30,10,8,8,nan,nan,0.76
6/9/2021 16:37:01,1.8.1,yhc210607,6,4.05,1,7,Left,Left,31,10,8,8,nan,nan,0.33
6/9/2021 16:37:02,1.8.1,yhc210607,6,4.05,1,7,Pellet,Left,31,10,9,9,0.61,650,nan
6/9/2021 16:37:47,1.8.1,yhc210607,6,4.05,1,9,Left,Left,32,10,9,9,nan,nan,0.27
6/9/2021 16:37:50,1.8.1,yhc210607,6,4.05,1,9,Left,Left,33,10,9,9,nan,nan,0.79
6/9/2021 16:37:51,1.8.1,yhc210607,6,4.05,1,9,Left,Left,34,10,9,9,nan,nan,0.41
6/9/2021 16:37:53,1.8.1,yhc210607,6,4.05,1,9,Left,Left,35,10,9,9,nan,nan,0.50
6/9/2021 16:37:56,1.8.1,yhc210607,6,4.05,1,9,Left,Left,36,10,9,9,nan,nan,0.13
6/9/2021 16:41:24,1.8.1,yhc210607,6,4.05,1,9,Right,Left,36,11,9,9,nan,nan,0.10
6/9/2021 16:42:34,1.8.1,yhc210607,6,4.05,1,9,Left,Left,37,11,9,9,nan,nan,0.06
6/9/2021 16:42:35,1.8.1,yhc210607,6,4.05,1,9,Left,Left,38,11,9,9,nan,nan,0.26
6/9/2021 16:42:37,1.8.1,yhc210607,6,4.05,1,9,Left,Left,39,11,9,9,nan,nan,0.40
6/9/2021 16:42:40,1.8.1,yhc210607,6,4.05,1,9,Left,Left,40,11,9,9,nan,nan,0.18
6/9/2021 16:42:42,1.8.1,yhc210607,6,4.05,1,9,Pellet,Left,40,11,10,10,1.28,340,nan
6/9/2021 16:43:37,1.8.1,yhc210607,6,4.05,1,10,Right,Left,40,12,10,10,nan,nan,0.06
6/9/2021 16:43:39,1.8.1,yhc210607,6,4.05,1,10,Right,Left,40,13,10,10,nan,nan,0.60
6/9/2021 16:43:41,1.8.1,yhc210607,6,4.05,1,10,Right,Left,40,14,10,10,nan,nan,0.50
6/9/2021 16:43:45,1.8.1,yhc210607,6,4.05,1,10,Right,Left,40,15,10,10,nan,nan,1.01
6/9/2021 16:43:47,1.8.1,yhc210607,6,4.05,1,10,Left,Left,41,15,10,10,nan,nan,0.06
6/9/2021 16:43:49,1.8.1,yhc210607,6,4.05,1,10,Left,Left,42,15,10,10,nan,nan,0.39
6/9/2021 16:43:51,1.8.1,yhc210607,6,4.05,1,10,Left,Left,43,15,10,10,nan,nan,0.63
6/9/2021 16:43:54,1.8.1,yhc210607,6,4.05,1,10,Left,Left,44,15,10,10,nan,nan,0.14
6/9/2021 16:45:27,1.8.1,yhc210607,6,4.05,1,10,Right,Left,44,16,10,10,nan,nan,0.05
