MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
8/26/2021 13:24:16,1.8.1,PRexp,2,4.07,1,1,Right,Left,0,1,0,0,nan,nan,0.12
8/26/2021 14:33:54,1.8.1,PRexp,2,4.07,1,1,Left,Left,1,1,0,0,nan,nan,0.03
8/26/2021 14:33:58,1.8.1,PRexp,2,4.06,3,1,Pellet,Left,1,1,1,1,0.18,nan,nan
8/26/2021 14:35:03,1.8.1,PRexp,2,4.06,1,1,Left,Left,2,1,1,1,nan,nan,0.35
8/26/2021 14:35:05,1.8.1,PRexp,2,4.06,2,1,Pellet,Left,2,1,2,2,0.67,67,nan
8/26/2021 14:36:23,1.8.1,PRexp,2,4.07,1,2,Left,Left,3,1,2,2,nan,nan,0.08
8/26/2021 15:49:49,1.8.1,PRexp,2,4.06,1,1,Left,Left,4,1,2,0,nan,nan,0.05
8/26/2021 15:49:55,1.8.1,PRexp,2,4.06,3,1,Pellet,Left,4,1,3,1,0.67,4490,nan
8/26/2021 15:58:02,1.8.1,PRexp,2,4.06,1,1,Left,Left,5,1,3,1,nan,nan,0.34
8/26/2021 15:58:05,1.8.1,PRexp,2,4.05,2,1,Pellet,Left,5,1,4,2,0.06,489,nan
8/26/2021 16:00:04,1.8.1,PRexp,2,4.05,1,2,Left,Left,6,1,4,2,nan,nan,0.04
8/26/2021 16:00:10,1.8.1,PRexp,2,4.06,1,2,Left,Left,7,1,4,2,nan,nan,0.08
8/26/2021 16:00:11,1.8.1,PRexp,2,4.07,1,2,Pellet,Left,7,1,5,3,0.42,127,nan
8/26/2021 16:02:29,1.8.1,PRexp,2,4.07,1,2,Left,Left,8,1,5,3,nan,nan,0.49
8/26/2021 16:02:30,1.8.1,PRexp,2,4.06,1,2,Left,Left,9,1,5,3,nan,nan,0.18
