MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
2024-08-14 17:16:41,1.17.0,RevNeutral,11,3.98,,1,Left,Left,16,6,15,0,,,0.15
2024-08-14 17:16:43,1.17.0,RevNeutral,11,3.99,2.0,1,Pellet,Left,16,6,16,0,0.55,3211.0,
2024-08-14 17:17:00,1.17.0,RevNeutral,11,3.99,,1,Left,Left,17,6,16,0,,,0.14
2024-08-14 17:17:01,1.17.0,RevNeutral,11,3.98,1.0,1,Pellet,Left,17,6,17,0,0.30,18.0,
2024-08-14 17:17:20,1.17.0,RevNeutral,11,3.99,,1,Left,Left,18,6,17,0,,,0.21
2024-08-14 17:17:22,1.17.0,RevNeutral,11,3.98,1.0,1,Pellet,Left,18,6,18,0,0.61,21.0,
2024-08-14 17:17:42,1.17.0,RevNeutral,11,3.98,,1,Left,Left,19,6,18,0,,,0.2
2024-08-14 17:17:44,1.17.0,RevNeutral,11,3.98,1.0,1,Pellet,Left,19,6,19,0,1.46,22.0,
2024-08-14 17:18:03,1.17.0,RevNeutral,11,3.98,,1,Left,Left,20,6,19,0,,,0.24
2024-08-14 17:18:05,1.17.0,RevNeutral,11,3.98,2.0,1,Pellet,Left,20,6,20,0,0.24,20.0,
2024-08-14 17:18:23,1.17.0,RevNeutral,11,3.99,,1,Left,Left,21,6,20,0,,,0.23
2024-08-14 17:18:24,1.17.0,RevNeutral,11,3.98,1.0,1,Pellet,Left,21,6,21,0,0.30,20.0,
2024-08-14 17:18:41,1.17.0,RevNeutral,11,3.99,,1,Left,Left,22,6,21,0,,,0.1
2024-08-14 17:18:46,1.17.0,RevNeutral,11,3.98,3.0,1,Pellet,Left,22,6,22,0,0.42,22.0,
2024-08-14 17:19:09,1.17.0,RevNeutral,11,3.98,,1,Left,Left,23,6,22,0,,,0.12
2024-08-14 17:19:10,1.17.0,RevNeutral,11,3.99,1.0,1,Pellet,Left,23,6,23,0,0.30,24.0,
2024-08-14 17:19:32,1.17.0,RevNeutral,11,3.98,,1,Left,Left,24,6,23,0,,,0.19
2024-08-14 17:19:34,1.17.0,RevNeutral,11,3.98,1.0,1,Pellet,Left,24,6,24,0,0.36,24.0,
2024-08-14 17:20:04,1.17.0,RevNeutral,11,3.98,,1,Left,Left,25,6,24,0,,,0.17
2024-08-14 17:20:07,1.17.0,RevNeutral,11,3.98,,1,LeftDuringDispense,Left,26,6,24,0,,,0.25
2024-08-14 17:20:10,1.17.0,RevNeutral,11,3.99,,1,LeftDuringDispense,Left,27,6,24,0,,,0.37
2024-08-14 17:20:13,1.17.0,RevNeutral,11,3.98,,1,LeftDuringDispense,Left,28,6,24,0,,,0.18
2024-08-14 17:20:15,1.17.0,RevNeutral,11,3.99,,1,LeftDuringDispense,Left,29,6,24,0,,,0.39
2024-08-14 17:20:25,1.17.0,RevNeutral,11,3.99,,1,LeftDuringDispense,Left,30,6,24,0,,,0.13
2024-08-14 17:20:27,1.17.0,RevNeutral,11,3.98,,1,LeftDuringDispense,Left,31,6,24,0,,,0.12
2024-08-14 17:20:28,1.17.0,RevNeutral,11,3.98,,1,LeftDuringDispense,Left,32,6,24,0,,,0.16
2024-08-14 18:05:46,1.17.0,RevNeutral,11,3.99,14.0,1,Pellet,Left,32,6,25,0,Timed_out,2772.0,
2024-08-14 18:06:07,1.17.0,RevNeutral,11,3.98,,1,Left,Left,33,6,25,0,,,0.07
2024-08-14 18:06:08,1.17.0,RevNeutral,11,3.98,2.0,1,Pellet,Left,33,6,26,0,0.55,22.0,
2024-08-14 18:06:31,1.17.0,RevNeutral,11,3.98,,1,Left,Left,34,6,26,0,,,0.04
2024-08-14 18:06:32,1.17.0,RevNeutral,11,3.98,2.0,1,Pellet,Left,34,6,27,0,0.24,24.0,
2024-08-14 18:06:52,1.17.0,RevNeutral,11,3.98,,1,Left,Left,35,6,27,0,,,0.05
2024-08-14 18:07:10,1.17.0,RevNeutral,11,3.98,3.0,1,Pellet,Left,35,6,28,0,12.85,38.0,
2024-08-14 18:07:31,1.17.0,RevNeutral,11,3.98,,1,Left,Left,36,6,28,0,,,0.12
2024-08-14 18:07:32,1.17.0,RevNeutral,11,3.98,1.0,1,Pellet,Left,36,6,29,0,0.24,22.0,
2024-08-14 18:07:55,1.17.0,RevNeutral,11,3.98,,1,Left,Left,37,6,29,0,,,0.18
2024-08-14 18:07:56,1.17.0,RevNeutral,11,3.98,1.0,1,Pellet,Left,37,6,30,0,0.30,24.0,
2024-08-14 18:08:16,1.17.0,RevNeutral,11,3.98,,1,Left,Left,38,6,30,0,,,0.05
2024-08-14 18:08:33,1.17.0,RevNeutral,11,3.98,2.0,1,Pellet,Left,38,6,31,0,14.20,37.0,
2024-08-14 18:09:00,1.17.0,RevNeutral,11,3.99,,1,Left,Left,39,6,31,0,,,0.24
2024-08-14 18:09:01,1.17.0,RevNeutral,11,3.98,1.0,1,Pellet,Left,39,6,32,0,0.18,28.0,
2024-08-14 18:09:18,1.17.0,RevNeutral,11,3.98,,1,Left,Left,40,6,32,0,,,0.15
2024-08-14 18:09:19,1.17.0,RevNeutral,11,3.98,1.0,1,Pellet,Left,40,6,33,0,0.24,18.0,
2024-08-14 18:09:39,1.17.0,RevNeutral,11,3.98,,1,Left,Left,41,6,33,0,,,0.13
2024-08-14 18:09:46,1.17.0,RevNeutral,11,3.98,2.0,1,Pellet,Left,41,6,34,0,4.66,27.0,
2024-08-14 18:10:04,1.17.0,RevNeutral,11,3.98,,1,Left,Left,42,6,34,0,,,0.27
2024-08-14 18:10:05,1.17.0,RevNeutral,11,3.98,1.0,1,Pellet,Left,42,6,35,0,0.61,19.0,
