MM:DD:YYYY hh:mm:ss,Library_Version,Session_Type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time,Elapsed_Time,Binary_Pellets,Interpellet_Intervals,Binary_Left_Pokes,Binary_Right_Pokes,Correct_Poke,Concat_#,Mode
2024-08-28 17:22:12,1.17.0,RevNeutral,19,3.8,,1,Poke,Left,12,0,7,0,,,0.55,0 days 01:08:59.000000000,0.0,,1.0,0.0,1.0,0,RevNeutral
2024-08-28 17:22:15,1.17.0,RevNeutral,19,3.8,2.0,1,Pellet,Left,12,0,8,0,0.36,3919.0,,0 days 01:09:02.000000000,1.0,65.3,0.0,0.0,,0,RevNeutral
2024-08-28 17:22:49,1.17.0,RevNeutral,19,3.8,,1,Poke,Left,13,0,8,0,,,0.1,0 days 01:09:36.000000000,0.0,,1.0,0.0,1.0,0,RevNeutral
2024-08-28 17:22:50,1.17.0,RevNeutral,19,3.8,,1,Poke,Left,14,0,8,0,,,0.12,0 days 01:09:37.000000000,0.0,,1.0,0.0,1.0,0,RevNeutral
2024-08-28 17:22:52,1.17.0,RevNeutral,19,3.8,2.0,1,Pellet,Left,14,0,9,0,0.06,37.0,,0 days 01:09:39.000000000,1.0,0.6166666666666667,0.0,0.0,,0,RevNeutral
2024-08-28 17:23:17,1.17.0,RevNeutral,19,3.8,,1,Poke,Left,15,0,9,0,,,0.0,0 days 01:10:04.000000000,0.0,,1.0,0.0,1.0,0,RevNeutral
2024-08-28 17:23:27,1.17.0,RevNeutral,19,3.8,5.0,1,Pellet,Left,15,0,10,0,1.96,35.0,,0 days 01:10:14.000000000,1.0,0.5833333333333334,0.0,0.0,,0,RevNeutral
2024-08-28 17:24:04,1.17.0,RevNeutral,19,3.8,,1,Poke,Left,16,0,10,0,,,0.35,0 days 01:10:51.000000000,0.0,,1.0,0.0,1.0,0,RevNeutral
2024-08-28 17:24:18,1.17.0,RevNeutral,19,3.8,2.0,1,Pellet,Left,16,0,11,0,11.37,51.0,,0 days 01:11:05.000000000,1.0,0.85,0.0,0.0,,0,RevNeutral
2024-08-28 17:24:47,1.17.0,RevNeutral,19,3.8,,1,Poke,Left,17,0,11,0,,,0.04,0 days 01:11:34.000000000,0.0,,1.0,0.0,1.0,0,RevNeutral
2024-08-28 17:24:48,1.17.0,RevNeutral,19,3.8,,1,Poke,Left,18,0,11,0,,,0.06,0 days 01:11:35.000000000,0.0,,1.0,0.0,1.0,0,RevNeutral
2024-08-28 17:24:51,1.17.0,RevNeutral,19,3.8,3.0,1,Pellet,Left,18,0,12,0,0.06,32.0,,0 days 01:11:38.000000000,1.0,0.55,0.0,0.0,,0,RevNeutral
2024-08-28 17:25:30,1.17.0,RevNeutral,19,3.8,,1,Poke,Left,19,0,12,0,,,0.15,0 days 01:12:17.000000000,0.0,,1.0,0.0,1.0,0,RevNeutral
2024-08-28 17:25:38,1.17.0,RevNeutral,19,3.8,5.0,1,Pellet,Left,19,0,13,0,0.06,48.0,,0 days 01:12:25.000000000,1.0,0.7833333333333333,0.0,0.0,,0,RevNeutral
2024-08-28 17:26:27,1.17.0,RevNeutral,19,3.8,,1,Poke,Left,20,0,13,0,,,0.05,0 days 01:13:14.000000000,0.0,,1.0,0.0,1.0,0,RevNeutral
2024-08-28 17:26:28,1.17.0,RevNeutral,19,3.8,2.0,1,Pellet,Left,20,0,14,0,0.79,50.0,,0 days 01:13:15.000000000,1.0,0.8333333333333334,0.0,0.0,,0,RevNeutral
2024-08-28 17:26:49,1.17.0,RevNeutral,19,3.8,,1,Poke,Left,21,0,14,0,,,0.32,0 days 01:13:36.000000000,0.0,,1.0,0.0,1.0,0,RevNeutral
2024-08-28 17:27:02,1.17.0,RevNeutral,19,3.8,2.0,1,Pellet,Left,21,0,15,0,9.71,34.0,,0 days 01:13:49.000000000,1.0,0.5666666666666667,0.0,0.0,,0,RevNeutral
2024-08-28 18:28:48,1.17.0,RevNeutral,19,3.8,,1,Poke,Left,22,0,15,0,,,0.03,0 days 02:15:35.000000000,0.0,,1.0,0.0,1.0,0,RevNeutral
2024-08-28 18:28:49,1.17.0,RevNeutral,19,3.8,1.0,1,Pellet,Left,22,0,16,0,0.36,3707.0,,0 days 02:15:36.000000000,1.0,61.78333333333333,0.0,0.0,,0,RevNeutral
2024-08-28 18:29:23,1.17.0,RevNeutral,19,3.8,,1,Poke,Left,23,0,16,0,,,0.06,0 days 02:16:10.000000000,0.0,,1.0,0.0,1.0,0,RevNeutral
2024-08-28 18:29:24,1.17.0,RevNeutral,19,3.8,,1,Poke,Left,24,0,16,0,,,0.01,0 days 02:16:11.000000000,0.0,,1.0,0.0,1.0,0,RevNeutral
2024-08-28 18:29:34,1.17.0,RevNeutral,19,3.8,5.0,1,Pellet,Left,24,0,17,0,1.16,45.0,,0 days 02:16:21.000000000,1.0,0.75,0.0,0.0,,0,RevNeutral
2024-08-28 18:30:03,1.17.0,RevNeutral,19,3.8,,1,Poke,Left,25,0,17,0,,,0.12,0 days 02:16:50.000000000,0.0,,1.0,0.0,1.0,0,RevNeutral
2024-08-28 18:30:03,1.17.0,RevNeutral,19,3.8,,1,Poke,Left,26,0,17,0,,,0.03,0 days 02:16:50.000000000,0.0,,1.0,0.0,1.0,0,RevNeutral
2024-08-28 18:30:07,1.17.0,RevNeutral,19,3.8,3.0,1,Pellet,Left,26,0,18,0,0.12,33.0,,0 days 02:16:54.000000000,1.0,0.55,0.0,0.0,,0,RevNeutral
2024-08-28 18:30:29,1.17.0,RevNeutral,19,3.8,,1,Poke,Left,27,0,18,0,,,0.13,0 days 02:17:16.000000000,0.0,,1.0,0.0,1.0,0,RevNeutral
2024-08-28 18:30:32,1.17.0,RevNeutral,19,3.8,1.0,1,Pellet,Left,27,0,19,0,2.51,25.0,,0 days 02:17:19.000000000,1.0,0.4166666666666667,0.0,0.0,,0,RevNeutral
2024-08-28 18:30:53,1.17.0,RevNeutral,19,3.8,,1,Poke,Left,28,0,19,0,,,0.56,0 days 02:17:40.000000000,0.0,,1.0,0.0,1.0,0,RevNeutral
2024-08-28 18:30:53,1.17.0,RevNeutral,19,3.8,,1,Poke,Left,29,0,19,0,,,0.03,0 days 02:17:40.000000000,0.0,,1.0,0.0,1.0,0,RevNeutral
2024-08-28 18:30:54,1.17.0,RevNeutral,19,3.8,,1,Poke,Left,30,0,19,0,,,0.17,0 days 02:17:41.000000000,0.0,,1.0,0.0,1.0,0,RevNeutral
2024-08-28 18:31:10,1.17.0,RevNeutral,19,3.8,3.0,1,Pellet,Left,30,0,20,0,11.25,38.0,,0 days 02:17:57.000000000,1.0,0.6333333333333333,0.0,0.0,,0,RevNeutral
2024-08-28 18:31:39,1.17.0,RevNeutral,19,3.8,,1,Poke,Left,31,0,20,0,,,0.09,0 days 02:18:26.000000000,0.0,,1.0,0.0,1.0,0,RevNeutral
2024-08-28 18:31:40,1.17.0,RevNeutral,19,3.8,,1,Poke,Left,32,0,20,0,,,0.24,0 days 02:18:27.000000000,0.0,,1.0,0.0,1.0,0,RevNeutral
2024-08-28 18:32:03,1.17.0,RevNeutral,19,3.8,7.0,1,Pellet,Left,32,0,21,0,11.62,53.0,,0 days 02:18:50.000000000,1.0,0.8833333333333333,0.0,0.0,,0,RevNeutral
2024-08-28 18:32:26,1.17.0,RevNeutral,19,3.8,,1,Poke,Left,33,0,21,0,,,0.21,0 days 02:19:13.000000000,0.0,,1.0,0.0,1.0,0,RevNeutral
2024-08-28 18:32:26,1.17.0,RevNeutral,19,3.8,,1,Poke,Left,34,0,21,0,,,0.09,0 days 02:19:13.000000000,0.0,,1.0,0.0,1.0,0,RevNeutral
2024-08-28 18:32:29,1.17.0,RevNeutral,19,3.8,3.0,1,Pellet,Left,34,0,22,0,0.06,26.0,,0 days 02:19:16.000000000,1.0,0.4333333333333333,0.0,0.0,,0,RevNeutral
2024-08-28 18:33:01,1.17.0,RevNeutral,19,3.79,,1,Poke,Left,35,0,22,0,,,0.29,0 days 02:19:48.000000000,0.0,,1.0,0.0,1.0,0,RevNeutral
