MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
2024-08-14 17:08:20,1.17.0,RevNeutral,6,3.62,,1,LeftWithPellet,Left,20,4,0,0,,,0.02
2024-08-14 17:08:22,1.17.0,RevNeutral,6,3.62,,1,LeftWithPellet,Left,21,4,0,0,,,0.04
2024-08-14 17:08:23,1.17.0,RevNeutral,6,3.62,,1,LeftWithPellet,Left,22,4,0,0,,,0.01
2024-08-14 17:08:26,1.17.0,RevNeutral,6,3.62,,1,LeftWithPellet,Left,23,4,0,0,,,0.66
2024-08-14 17:08:27,1.17.0,RevNeutral,6,3.62,,1,LeftWithPellet,Left,24,4,0,0,,,0.08
2024-08-14 17:08:29,1.17.0,RevNeutral,6,3.62,,1,LeftWithPellet,Left,25,4,0,0,,,0.11
2024-08-14 18:04:08,1.17.0,RevNeutral,6,3.62,,1,RightWithPellet,Left,25,5,0,0,,,0.45
2024-08-14 18:04:09,1.17.0,RevNeutral,6,3.62,,1,RightWithPellet,Left,25,6,0,0,,,0.3
2024-08-14 18:04:12,1.17.0,RevNeutral,6,3.62,,1,LeftWithPellet,Left,26,6,0,0,,,0.05
2024-08-14 18:04:17,1.17.0,RevNeutral,6,3.62,,1,LeftWithPellet,Left,27,6,0,0,,,0.48
2024-08-14 18:04:19,1.17.0,RevNeutral,6,3.62,,1,LeftWithPellet,Left,28,6,0,0,,,0.38
2024-08-14 18:18:36,1.17.0,RevNeutral,6,3.62,,1,LeftWithPellet,Left,29,6,0,0,,,0.48
2024-08-14 18:18:39,1.17.0,RevNeutral,6,3.62,,1,LeftWithPellet,Left,30,6,0,0,,,1.03
2024-08-14 18:18:41,1.17.0,RevNeutral,6,3.62,,1,LeftWithPellet,Left,31,6,0,0,,,0.75
2024-08-14 18:18:46,1.17.0,RevNeutral,6,3.62,,1,LeftWithPellet,Left,32,6,0,0,,,0.14
2024-08-14 18:19:15,1.17.0,RevNeutral,6,3.62,,1,RightWithPellet,Left,32,7,0,0,,,0.21
