MM:DD:YYYY hh:mm:ss,Library_Version,Session_Type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time,Elapsed_Time,Binary_Pellets,Interpellet_Intervals,Binary_Left_Pokes,Binary_Right_Pokes,Correct_Poke,Concat_#,Mode
2024-08-28 19:02:00,1.17.0,RevNeutral,17,3.79,,1,Poke,Right,138,8,40,0,,,0.72,0 days 06:26:55.000000000,0.0,,1.0,0.0,0.0,0,RevNeutral
2024-08-28 19:02:12,1.17.0,RevNeutral,17,3.78,,1,Poke,Right,139,8,40,0,,,0.33,0 days 06:27:07.000000000,0.0,,1.0,0.0,0.0,0,RevNeutral
2024-08-28 19:02:16,1.17.0,RevNeutral,17,3.78,,1,Poke,Right,140,8,40,0,,,0.11,0 days 06:27:11.000000000,0.0,,1.0,0.0,0.0,0,RevNeutral
2024-08-28 19:02:21,1.17.0,RevNeutral,17,3.78,,1,Poke,Right,141,8,40,0,,,0.33,0 days 06:27:16.000000000,0.0,,1.0,0.0,0.0,0,RevNeutral
2024-08-28 19:02:25,1.17.0,RevNeutral,17,3.78,,1,Poke,Right,142,8,40,0,,,0.08,0 days 06:27:20.000000000,0.0,,1.0,0.0,0.0,0,RevNeutral
2024-08-28 19:02:26,1.17.0,RevNeutral,17,3.78,,1,Poke,Right,143,8,40,0,,,0.08,0 days 06:27:21.000000000,0.0,,1.0,0.0,0.0,0,RevNeutral
2024-08-28 19:02:50,1.17.0,RevNeutral,17,3.79,,1,Poke,Right,144,8,40,0,,,0.17,0 days 06:27:45.000000000,0.0,,1.0,0.0,0.0,0,RevNeutral
2024-08-28 19:02:52,1.17.0,RevNeutral,17,3.78,,1,Poke,Right,145,8,40,0,,,0.21,0 days 06:27:47.000000000,0.0,,1.0,0.0,0.0,0,RevNeutral
2024-08-28 19:03:03,1.17.0,RevNeutral,17,3.78,,1,Poke,Right,146,8,40,0,,,0.11,0 days 06:27:58.000000000,0.0,,1.0,0.0,0.0,0,RevNeutral
2024-08-28 19:03:05,1.17.0,RevNeutral,17,3.79,,1,Poke,Right,147,8,40,0,,,0.72,0 days 06:28:00.000000000,0.0,,1.0,0.0,0.0,0,RevNeutral
2024-08-28 19:03:12,1.17.0,RevNeutral,17,3.79,,1,Poke,Right,148,8,40,0,,,0.07,0 days 06:28:07.000000000,0.0,,1.0,0.0,0.0,0,RevNeutral
2024-08-28 19:03:19,1.17.0,RevNeutral,17,3.79,,1,Poke,Right,149,8,40,0,,,0.16,0 days 06:28:14.000000000,0.0,,1.0,0.0,0.0,0,RevNeutral
2024-08-28 19:03:23,1.17.0,RevNeutral,17,3.78,,1,Poke,Right,150,8,40,0,,,0.08,0 days 06:28:18.000000000,0.0,,1.0,0.0,0.0,0,RevNeutral
2024-08-28 19:03:26,1.17.0,RevNeutral,17,3.79,,1,Poke,Right,151,8,40,0,,,1.14,0 days 06:28:21.000000000,0.0,,1.0,0.0,0.0,0,RevNeutral
2024-08-28 19:03:37,1.17.0,RevNeutral,17,3.79,,1,Poke,Right,152,8,40,0,,,0.75,0 days 06:28:32.000000000,0.0,,1.0,0.0,0.0,0,RevNeutral
2024-08-28 19:03:38,1.17.0,RevNeutral,17,3.79,,1,Poke,Right,153,8,40,0,,,0.0,0 days 06:28:33.000000000,0.0,,1.0,0.0,0.0,0,RevNeutral
2024-08-28 19:03:46,1.17.0,RevNeutral,17,3.78,,1,Poke,Right,154,8,40,0,,,0.12,0 days 06:28:41.000000000,0.0,,1.0,0.0,0.0,0,RevNeutral
2024-08-28 19:03:55,1.17.0,RevNeutral,17,3.78,,1,Poke,Right,155,8,40,0,,,0.13,0 days 06:28:50.000000000,0.0,,1.0,0.0,0.0,0,RevNeutral
2024-08-28 19:04:00,1.17.0,RevNeutral,17,3.78,,1,Poke,Right,156,8,40,0,,,0.78,0 days 06:28:55.000000000,0.0,,1.0,0.0,0.0,0,RevNeutral
2024-08-28 19:04:05,1.17.0,RevNeutral,17,3.78,,1,Poke,Right,157,8,40,0,,,1.35,0 days 06:29:00.000000000,0.0,,1.0,0.0,0.0,0,RevNeutral
2024-08-28 19:04:16,1.17.0,RevNeutral,17,3.79,,1,Poke,Right,158,8,40,0,,,0.55,0 days 06:29:11.000000000,0.0,,1.0,0.0,0.0,0,RevNeutral
2024-08-28 19:04:19,1.17.0,RevNeutral,17,3.78,,1,Poke,Right,159,8,40,0,,,1.06,0 days 06:29:14.000000000,0.0,,1.0,0.0,0.0,0,RevNeutral
2024-08-28 19:06:13,1.17.0,RevNeutral,17,3.78,,1,Poke,Right,160,8,40,0,,,1.23,0 days 06:31:08.000000000,0.0,,1.0,0.0,0.0,0,RevNeutral
