MM:DD:YYYY hh:mm:ss,Library_Version,Session_Type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time,Elapsed_Time,Binary_Pellets,Interpellet_Intervals,Binary_Left_Pokes,Binary_Right_Pokes,Correct_Poke,Concat_#,Mode
2024-08-28 17:21:03,1.17.0,RevNeutral,13,3.66,,1,Poke,Left,37,4,29,0,,,0.39,0 days 05:22:09.000000000,0.0,,1.0,0.0,1.0,0,RevNeutral
2024-08-28 17:21:05,1.17.0,RevNeutral,13,3.67,,1,Poke,Left,38,4,29,0,,,0.34,0 days 05:22:11.000000000,0.0,,1.0,0.0,1.0,0,RevNeutral
2024-08-28 17:21:06,1.17.0,RevNeutral,13,3.66,,1,Poke,Left,39,4,29,0,,,0.36,0 days 05:22:12.000000000,0.0,,1.0,0.0,1.0,0,RevNeutral
2024-08-28 17:21:08,1.17.0,RevNeutral,13,3.66,,1,Poke,Left,40,4,29,0,,,0.35,0 days 05:22:14.000000000,0.0,,1.0,0.0,1.0,0,RevNeutral
2024-08-28 17:21:09,1.17.0,RevNeutral,13,3.66,,1,Poke,Left,41,4,29,0,,,0.28,0 days 05:22:15.000000000,0.0,,1.0,0.0,1.0,0,RevNeutral
2024-08-28 17:21:11,1.17.0,RevNeutral,13,3.66,,1,Poke,Left,42,4,29,0,,,0.02,0 days 05:22:17.000000000,0.0,,1.0,0.0,1.0,0,RevNeutral
2024-08-28 17:21:12,1.17.0,RevNeutral,13,3.66,,1,Poke,Left,43,4,29,0,,,0.28,0 days 05:22:18.000000000,0.0,,1.0,0.0,1.0,0,RevNeutral
2024-08-28 17:21:25,1.17.0,RevNeutral,13,3.66,,1,Poke,Left,44,4,29,0,,,0.3,0 days 05:22:31.000000000,0.0,,1.0,0.0,1.0,0,RevNeutral
2024-08-28 17:21:27,1.17.0,RevNeutral,13,3.66,,1,Poke,Left,45,4,29,0,,,0.36,0 days 05:22:33.000000000,0.0,,1.0,0.0,1.0,0,RevNeutral
2024-08-28 17:21:29,1.17.0,RevNeutral,13,3.66,,1,Poke,Left,46,4,29,0,,,0.26,0 days 05:22:35.000000000,0.0,,1.0,0.0,1.0,0,RevNeutral
2024-08-28 17:21:30,1.17.0,RevNeutral,13,3.66,,1,Poke,Left,47,4,29,0,,,0.14,0 days 05:22:36.000000000,0.0,,1.0,0.0,1.0,0,RevNeutral
2024-08-28 17:21:34,1.17.0,RevNeutral,13,3.67,1.0,1,Pellet,Left,47,4,30,0,,2268.0,,0 days 05:22:40.000000000,1.0,37.8,0.0,0.0,,0,RevNeutral
2024-08-28 17:44:08,1.17.0,RevNeutral,13,3.67,,1,Poke,Left,48,4,30,0,,,0.6,0 days 05:45:14.000000000,0.0,,1.0,0.0,1.0,0,RevNeutral
2024-08-28 17:44:09,1.17.0,RevNeutral,13,3.66,1.0,1,Pellet,Left,48,4,31,0,1.04,1355.0,,0 days 05:45:15.000000000,1.0,22.58333333333333,0.0,0.0,,0,RevNeutral
2024-08-28 17:44:31,1.17.0,RevNeutral,13,3.66,,1,Poke,Left,49,4,31,0,,,0.08,0 days 05:45:37.000000000,0.0,,1.0,0.0,1.0,0,RevNeutral
2024-08-28 17:44:32,1.17.0,RevNeutral,13,3.66,1.0,1,Pellet,Left,49,4,32,0,0.3,23.0,,0 days 05:45:38.000000000,1.0,0.3833333333333333,0.0,0.0,,0,RevNeutral
2024-08-28 17:44:49,1.17.0,RevNeutral,13,3.67,,1,Poke,Left,50,4,32,0,,,0.07,0 days 05:45:55.000000000,0.0,,1.0,0.0,1.0,0,RevNeutral
2024-08-28 17:44:50,1.17.0,RevNeutral,13,3.67,1.0,1,Pellet,Left,50,4,33,0,0.73,18.0,,0 days 05:45:56.000000000,1.0,0.3,0.0,0.0,,0,RevNeutral
2024-08-28 17:45:07,1.17.0,RevNeutral,13,3.66,,1,Poke,Left,51,4,33,0,,,0.03,0 days 05:46:13.000000000,0.0,,1.0,0.0,1.0,0,RevNeutral
2024-08-28 17:45:08,1.17.0,RevNeutral,13,3.66,1.0,1,Pellet,Left,51,4,34,0,0.55,18.0,,0 days 05:46:14.000000000,1.0,0.3,0.0,0.0,,0,RevNeutral
2024-08-28 17:45:31,1.17.0,RevNeutral,13,3.67,,1,Poke,Left,52,4,34,0,,,0.21,0 days 05:46:37.000000000,0.0,,1.0,0.0,1.0,0,RevNeutral
2024-08-28 17:45:32,1.17.0,RevNeutral,13,3.66,1.0,1,Pellet,Left,52,4,35,0,0.3,24.0,,0 days 05:46:38.000000000,1.0,0.4,0.0,0.0,,0,RevNeutral
2024-08-28 17:45:51,1.17.0,RevNeutral,13,3.66,,1,Poke,Left,53,4,35,0,,,0.57,0 days 05:46:57.000000000,0.0,,1.0,0.0,1.0,0,RevNeutral
2024-08-28 17:45:52,1.17.0,RevNeutral,13,3.66,1.0,1,Pellet,Left,53,4,36,0,0.12,20.0,,0 days 05:46:58.000000000,1.0,0.3333333333333333,0.0,0.0,,0,RevNeutral
2024-08-28 17:46:22,1.17.0,RevNeutral,13,3.66,,1,Poke,Left,54,4,36,0,,,0.0,0 days 05:47:28.000000000,0.0,,1.0,0.0,1.0,0,RevNeutral
2024-08-28 17:46:23,1.17.0,RevNeutral,13,3.66,1.0,1,Pellet,Left,54,4,37,0,0.18,31.0,,0 days 05:47:29.000000000,1.0,0.5166666666666667,0.0,0.0,,0,RevNeutral
2024-08-28 17:46:43,1.17.0,RevNeutral,13,3.66,,1,Poke,Left,55,4,37,0,,,0.09,0 days 05:47:49.000000000,0.0,,1.0,0.0,1.0,0,RevNeutral
2024-08-28 17:46:44,1.17.0,RevNeutral,13,3.67,1.0,1,Pellet,Left,55,4,38,0,0.24,21.0,,0 days 05:47:50.000000000,1.0,0.35,0.0,0.0,,0,RevNeutral
2024-08-28 17:47:03,1.17.0,RevNeutral,13,3.66,,1,Poke,Left,56,4,38,0,,,0.43,0 days 05:48:09.000000000,0.0,,1.0,0.0,1.0,0,RevNeutral
2024-08-28 17:47:04,1.17.0,RevNeutral,13,3.66,1.0,1,Pellet,Left,56,4,39,0,0.12,20.0,,0 days 05:48:10.000000000,1.0,0.3333333333333333,0.0,0.0,,0,RevNeutral
2024-08-28 18:02:17,1.17.0,RevNeutral,13,3.67,,1,Poke,Left,57,4,39,0,,,0.32,0 days 06:03:23.000000000,0.0,,1.0,0.0,1.0,0,RevNeutral
2024-08-28 18:02:17,1.17.0,RevNeutral,13,3.66,,1,Poke,Left,58,4,39,0,,,0.02,0 days 06:03:23.000000000,0.0,,1.0,0.0,1.0,0,RevNeutral
2024-08-28 18:02:21,1.17.0,RevNeutral,13,3.66,2.0,1,Pellet,Left,58,4,40,0,0.42,917.0,,0 days 06:03:27.000000000,1.0,15.283333333333331,0.0,0.0,,0,RevNeutral
2024-08-28 18:02:25,1.17.0,RevNeutral,13,3.66,,1,Poke,Right,59,4,40,0,,,0.49,0 days 06:03:31.000000000,0.0,,1.0,0.0,0.0,0,RevNeutral
2024-08-28 18:02:26,1.17.0,RevNeutral,13,3.66,,1,Poke,Right,60,4,40,0,,,0.63,0 days 06:03:32.000000000,0.0,,1.0,0.0,0.0,0,RevNeutral
2024-08-28 18:02:29,1.17.0,RevNeutral,13,3.67,,1,Poke,Right,61,4,40,0,,,0.32,0 days 06:03:35.000000000,0.0,,1.0,0.0,0.0,0,RevNeutral
2024-08-28 18:02:31,1.17.0,RevNeutral,13,3.66,,1,Poke,Right,62,4,40,0,,,0.27,0 days 06:03:37.000000000,0.0,,1.0,0.0,0.0,0,RevNeutral
2024-08-28 18:12:51,1.17.0,RevNeutral,13,3.66,,1,Poke,Right,63,4,40,0,,,0.16,0 days 06:13:57.000000000,0.0,,1.0,0.0,0.0,0,RevNeutral
2024-08-28 18:12:54,1.17.0,RevNeutral,13,3.66,,1,Poke,Right,64,4,40,0,,,1.04,0 days 06:14:00.000000000,0.0,,1.0,0.0,0.0,0,RevNeutral
2024-08-28 18:12:57,1.17.0,RevNeutral,13,3.66,,1,Poke,Right,65,4,40,0,,,0.5,0 days 06:14:03.000000000,0.0,,1.0,0.0,0.0,0,RevNeutral
2024-08-28 18:12:59,1.17.0,RevNeutral,13,3.66,,1,Poke,Right,66,4,40,0,,,0.72,0 days 06:14:05.000000000,0.0,,1.0,0.0,0.0,0,RevNeutral
2024-08-28 18:13:02,1.17.0,RevNeutral,13,3.67,,1,Poke,Right,67,4,40,0,,,0.55,0 days 06:14:08.000000000,0.0,,1.0,0.0,0.0,0,RevNeutral
2024-08-28 18:13:04,1.17.0,RevNeutral,13,3.66,,1,Poke,Right,68,4,40,0,,,0.31,0 days 06:14:10.000000000,0.0,,1.0,0.0,0.0,0,RevNeutral
2024-08-28 18:13:10,1.17.0,RevNeutral,13,3.66,,1,Poke,Right,69,4,40,0,,,0.78,0 days 06:14:16.000000000,0.0,,1.0,0.0,0.0,0,RevNeutral
2024-08-28 18:13:21,1.17.0,RevNeutral,13,3.66,,1,Poke,Right,70,4,40,0,,,0.43,0 days 06:14:27.000000000,0.0,,1.0,0.0,0.0,0,RevNeutral
2024-08-28 18:13:27,1.17.0,RevNeutral,13,3.66,,1,Poke,Right,71,4,40,0,,,0.48,0 days 06:14:33.000000000,0.0,,1.0,0.0,0.0,0,RevNeutral
2024-08-28 18:13:28,1.17.0,RevNeutral,13,3.67,,1,Poke,Right,72,4,40,0,,,0.0,0 days 06:14:34.000000000,0.0,,1.0,0.0,0.0,0,RevNeutral
2024-08-28 18:13:30,1.17.0,RevNeutral,13,3.66,,1,Poke,Right,73,4,40,0,,,0.71,0 days 06:14:36.000000000,0.0,,1.0,0.0,0.0,0,RevNeutral
2024-08-28 18:13:32,1.17.0,RevNeutral,13,3.66,,1,Poke,Right,74,4,40,0,,,0.0,0 days 06:14:38.000000000,0.0,,1.0,0.0,0.0,0,RevNeutral
2024-08-28 18:13:33,1.17.0,RevNeutral,13,3.66,,1,Poke,Right,75,4,40,0,,,0.0,0 days 06:14:39.000000000,0.0,,1.0,0.0,0.0,0,RevNeutral
2024-08-28 18:13:37,1.17.0,RevNeutral,13,3.66,,1,Poke,Right,76,4,40,0,,,0.2,0 days 06:14:43.000000000,0.0,,1.0,0.0,0.0,0,RevNeutral
2024-08-28 18:13:40,1.17.0,RevNeutral,13,3.66,,1,Poke,Right,77,4,40,0,,,1.91,0 days 06:14:46.000000000,0.0,,1.0,0.0,0.0,0,RevNeutral
2024-08-28 18:27:58,1.17.0,RevNeutral,13,3.66,,1,Poke,Right,77,5,40,0,,,509.81,0 days 06:29:04.000000000,0.0,,0.0,1.0,1.0,0,RevNeutral
2024-08-28 18:28:01,1.17.0,RevNeutral,13,3.67,1.0,1,Pellet,Right,77,5,41,0,1.96,1540.0,,0 days 06:29:07.000000000,1.0,25.666666666666668,0.0,0.0,,0,RevNeutral
2024-08-28 18:28:24,1.17.0,RevNeutral,13,3.66,,1,Poke,Right,78,5,41,0,,,0.25,0 days 06:29:30.000000000,0.0,,1.0,0.0,0.0,0,RevNeutral
2024-08-28 18:28:30,1.17.0,RevNeutral,13,3.66,,1,Poke,Right,79,5,41,0,,,0.86,0 days 06:29:36.000000000,0.0,,1.0,0.0,0.0,0,RevNeutral
2024-08-28 18:28:39,1.17.0,RevNeutral,13,3.66,,1,Poke,Right,80,5,41,0,,,0.0,0 days 06:29:45.000000000,0.0,,1.0,0.0,0.0,0,RevNeutral
2024-08-28 18:28:42,1.17.0,RevNeutral,13,3.66,,1,Poke,Right,81,5,41,0,,,0.14,0 days 06:29:48.000000000,0.0,,1.0,0.0,0.0,0,RevNeutral
2024-08-28 18:28:47,1.17.0,RevNeutral,13,3.66,,1,Poke,Right,81,6,41,0,,,0.49,0 days 06:29:53.000000000,0.0,,0.0,1.0,1.0,0,RevNeutral
2024-08-28 18:28:50,1.17.0,RevNeutral,13,3.66,1.0,1,Pellet,Right,81,6,42,0,1.77,48.0,,0 days 06:29:56.000000000,1.0,0.8166666666666667,0.0,0.0,,0,RevNeutral
2024-08-28 18:29:39,1.17.0,RevNeutral,13,3.67,,1,Poke,Right,82,6,42,0,,,0.57,0 days 06:30:45.000000000,0.0,,1.0,0.0,0.0,0,RevNeutral
2024-08-28 18:29:41,1.17.0,RevNeutral,13,3.66,,1,Poke,Right,83,6,42,0,,,0.06,0 days 06:30:47.000000000,0.0,,1.0,0.0,0.0,0,RevNeutral
2024-08-28 18:29:41,1.17.0,RevNeutral,13,3.66,,1,Poke,Right,84,6,42,0,,,0.0,0 days 06:30:47.000000000,0.0,,1.0,0.0,0.0,0,RevNeutral
2024-08-28 18:29:42,1.17.0,RevNeutral,13,3.66,,1,Poke,Right,85,6,42,0,,,0.0,0 days 06:30:48.000000000,0.0,,1.0,0.0,0.0,0,RevNeutral
2024-08-28 18:29:43,1.17.0,RevNeutral,13,3.66,,1,Poke,Right,86,6,42,0,,,0.24,0 days 06:30:49.000000000,0.0,,1.0,0.0,0.0,0,RevNeutral
2024-08-28 18:46:52,1.17.0,RevNeutral,13,3.66,,1,Poke,Right,87,6,42,0,,,0.17,0 days 06:47:58.000000000,0.0,,1.0,0.0,0.0,0,RevNeutral
2024-08-28 18:46:53,1.17.0,RevNeutral,13,3.66,,1,Poke,Right,88,6,42,0,,,0.0,0 days 06:47:59.000000000,0.0,,1.0,0.0,0.0,0,RevNeutral
2024-08-28 18:46:58,1.17.0,RevNeutral,13,3.66,,1,Poke,Right,89,6,42,0,,,0.48,0 days 06:48:04.000000000,0.0,,1.0,0.0,0.0,0,RevNeutral
2024-08-28 18:47:01,1.17.0,RevNeutral,13,3.66,,1,Poke,Right,90,6,42,0,,,1.08,0 days 06:48:07.000000000,0.0,,1.0,0.0,0.0,0,RevNeutral
2024-08-28 18:47:12,1.17.0,RevNeutral,13,3.67,,1,Poke,Right,91,6,42,0,,,1.04,0 days 06:48:18.000000000,0.0,,1.0,0.0,0.0,0,RevNeutral
2024-08-28 18:47:13,1.17.0,RevNeutral,13,3.66,,1,Poke,Right,92,6,42,0,,,0.84,0 days 06:48:19.000000000,0.0,,1.0,0.0,0.0,0,RevNeutral
2024-08-28 18:47:16,1.17.0,RevNeutral,13,3.66,,1,Poke,Right,93,6,42,0,,,0.77,0 days 06:48:22.000000000,0.0,,1.0,0.0,0.0,0,RevNeutral
2024-08-28 18:50:27,1.17.0,RevNeutral,13,3.66,,1,Poke,Right,94,6,42,0,,,1.74,0 days 06:51:33.000000000,0.0,,1.0,0.0,0.0,0,RevNeutral
2024-08-28 18:50:28,1.17.0,RevNeutral,13,3.66,,1,Poke,Right,95,6,42,0,,,0.54,0 days 06:51:34.000000000,0.0,,1.0,0.0,0.0,0,RevNeutral
2024-08-28 18:50:30,1.17.0,RevNeutral,13,3.66,,1,Poke,Right,96,6,42,0,,,0.0,0 days 06:51:36.000000000,0.0,,1.0,0.0,0.0,0,RevNeutral
2024-08-28 18:50:40,1.17.0,RevNeutral,13,3.66,,1,Poke,Right,97,6,42,0,,,0.55,0 days 06:51:46.000000000,0.0,,1.0,0.0,0.0,0,RevNeutral
2024-08-28 18:50:46,1.17.0,RevNeutral,13,3.66,,1,Poke,Right,98,6,42,0,,,1.08,0 days 06:51:52.000000000,0.0,,1.0,0.0,0.0,0,RevNeutral
2024-08-28 18:50:56,1.17.0,RevNeutral,13,3.66,,1,Poke,Right,98,7,42,0,,,0.2,0 days 06:52:02.000000000,0.0,,0.0,1.0,1.0,0,RevNeutral
2024-08-28 18:50:58,1.17.0,RevNeutral,13,3.66,1.0,1,Pellet,Right,98,7,43,0,1.47,1329.0,,0 days 06:52:04.000000000,1.0,22.133333333333333,0.0,0.0,,0,RevNeutral
2024-08-28 18:51:20,1.17.0,RevNeutral,13,3.65,,1,Poke,Right,99,7,43,0,,,0.01,0 days 06:52:26.000000000,0.0,,1.0,0.0,0.0,0,RevNeutral
2024-08-28 18:51:21,1.17.0,RevNeutral,13,3.66,,1,Poke,Right,100,7,43,0,,,0.0,0 days 06:52:27.000000000,0.0,,1.0,0.0,0.0,0,RevNeutral
2024-08-28 18:51:33,1.17.0,RevNeutral,13,3.66,,1,Poke,Right,100,8,43,0,,,0.3,0 days 06:52:39.000000000,0.0,,0.0,1.0,1.0,0,RevNeutral
2024-08-28 18:51:46,1.17.0,RevNeutral,13,3.66,3.0,1,Pellet,Right,100,8,44,0,8.17,48.0,,0 days 06:52:52.000000000,1.0,0.8,0.0,0.0,,0,RevNeutral
2024-08-28 18:53:12,1.17.0,RevNeutral,13,3.66,,1,Poke,Right,101,8,44,0,,,0.09,0 days 06:54:18.000000000,0.0,,1.0,0.0,0.0,0,RevNeutral
2024-08-28 18:53:15,1.17.0,RevNeutral,13,3.66,,1,Poke,Right,102,8,44,0,,,0.14,0 days 06:54:21.000000000,0.0,,1.0,0.0,0.0,0,RevNeutral
2024-08-28 18:53:18,1.17.0,RevNeutral,13,3.66,,1,Poke,Right,103,8,44,0,,,0.01,0 days 06:54:24.000000000,0.0,,1.0,0.0,0.0,0,RevNeutral
2024-08-28 18:53:20,1.17.0,RevNeutral,13,3.65,,1,Poke,Right,104,8,44,0,,,0.44,0 days 06:54:26.000000000,0.0,,1.0,0.0,0.0,0,RevNeutral
2024-08-28 18:53:26,1.17.0,RevNeutral,13,3.67,,1,Poke,Right,105,8,44,0,,,0.4,0 days 06:54:32.000000000,0.0,,1.0,0.0,0.0,0,RevNeutral
2024-08-28 18:53:27,1.17.0,RevNeutral,13,3.66,,1,Poke,Right,106,8,44,0,,,0.4,0 days 06:54:33.000000000,0.0,,1.0,0.0,0.0,0,RevNeutral
2024-08-28 18:53:29,1.17.0,RevNeutral,13,3.65,,1,Poke,Right,107,8,44,0,,,0.3,0 days 06:54:35.000000000,0.0,,1.0,0.0,0.0,0,RevNeutral
2024-08-28 18:53:30,1.17.0,RevNeutral,13,3.66,,1,Poke,Right,108,8,44,0,,,0.0,0 days 06:54:36.000000000,0.0,,1.0,0.0,0.0,0,RevNeutral
2024-08-28 18:53:32,1.17.0,RevNeutral,13,3.67,,1,Poke,Right,109,8,44,0,,,0.36,0 days 06:54:38.000000000,0.0,,1.0,0.0,0.0,0,RevNeutral
2024-08-28 18:53:34,1.17.0,RevNeutral,13,3.66,,1,Poke,Right,110,8,44,0,,,0.14,0 days 06:54:40.000000000,0.0,,1.0,0.0,0.0,0,RevNeutral
2024-08-28 18:53:36,1.17.0,RevNeutral,13,3.66,,1,Poke,Right,111,8,44,0,,,0.78,0 days 06:54:42.000000000,0.0,,1.0,0.0,0.0,0,RevNeutral
2024-08-28 18:53:38,1.17.0,RevNeutral,13,3.66,,1,Poke,Right,112,8,44,0,,,0.36,0 days 06:54:44.000000000,0.0,,1.0,0.0,0.0,0,RevNeutral
2024-08-28 18:53:52,1.17.0,RevNeutral,13,3.66,,1,Poke,Right,112,9,44,0,,,0.3,0 days 06:54:58.000000000,0.0,,0.0,1.0,1.0,0,RevNeutral
2024-08-28 18:53:54,1.17.0,RevNeutral,13,3.66,1.0,1,Pellet,Right,112,9,45,0,1.34,128.0,,0 days 06:55:00.000000000,1.0,2.1333333333333333,0.0,0.0,,0,RevNeutral
2024-08-28 18:54:18,1.17.0,RevNeutral,13,3.66,,1,Poke,Right,113,9,45,0,,,0.17,0 days 06:55:24.000000000,0.0,,1.0,0.0,0.0,0,RevNeutral
2024-08-28 18:54:22,1.17.0,RevNeutral,13,3.66,,1,Poke,Right,113,10,45,0,,,0.42,0 days 06:55:28.000000000,0.0,,0.0,1.0,1.0,0,RevNeutral
2024-08-28 18:54:31,1.17.0,RevNeutral,13,3.66,2.0,1,Pellet,Right,113,10,46,0,6.26,37.0,,0 days 06:55:37.000000000,1.0,0.6166666666666667,0.0,0.0,,0,RevNeutral
2024-08-28 18:55:03,1.17.0,RevNeutral,13,3.66,,1,Poke,Right,113,11,46,0,,,0.15,0 days 06:56:09.000000000,0.0,,0.0,1.0,1.0,0,RevNeutral
2024-08-28 18:55:04,1.17.0,RevNeutral,13,3.66,1.0,1,Pellet,Right,113,11,47,0,0.42,33.0,,0 days 06:56:10.000000000,1.0,0.55,0.0,0.0,,0,RevNeutral
2024-08-28 18:55:32,1.17.0,RevNeutral,13,3.66,,1,Poke,Right,113,12,47,0,,,0.01,0 days 06:56:38.000000000,0.0,,0.0,1.0,1.0,0,RevNeutral
2024-08-28 18:55:33,1.17.0,RevNeutral,13,3.66,,1,Poke,Right,113,13,47,0,,,0.11,0 days 06:56:39.000000000,0.0,,0.0,1.0,1.0,0,RevNeutral
2024-08-28 18:55:45,1.17.0,RevNeutral,13,3.66,3.0,1,Pellet,Right,113,13,48,0,9.16,41.0,,0 days 06:56:51.000000000,1.0,0.6833333333333333,0.0,0.0,,0,RevNeutral
2024-08-28 19:04:32,1.17.0,RevNeutral,13,3.66,,1,Poke,Right,114,13,48,0,,,0.04,0 days 07:05:38.000000000,0.0,,1.0,0.0,0.0,0,RevNeutral
2024-08-28 19:04:33,1.17.0,RevNeutral,13,3.66,,1,Poke,Right,115,13,48,0,,,0.08,0 days 07:05:39.000000000,0.0,,1.0,0.0,0.0,0,RevNeutral
2024-08-28 19:04:47,1.17.0,RevNeutral,13,3.66,,1,Poke,Right,116,13,48,0,,,1.17,0 days 07:05:53.000000000,0.0,,1.0,0.0,0.0,0,RevNeutral
2024-08-28 19:04:52,1.17.0,RevNeutral,13,3.66,,1,Poke,Right,117,13,48,0,,,1.19,0 days 07:05:58.000000000,0.0,,1.0,0.0,0.0,0,RevNeutral
2024-08-28 19:05:00,1.17.0,RevNeutral,13,3.66,,1,Poke,Right,118,13,48,0,,,3.54,0 days 07:06:06.000000000,0.0,,1.0,0.0,0.0,0,RevNeutral
2024-08-28 19:05:03,1.17.0,RevNeutral,13,3.66,,1,Poke,Right,119,13,48,0,,,0.6,0 days 07:06:09.000000000,0.0,,1.0,0.0,0.0,0,RevNeutral
2024-08-28 19:05:06,1.17.0,RevNeutral,13,3.66,,1,Poke,Right,120,13,48,0,,,1.13,0 days 07:06:12.000000000,0.0,,1.0,0.0,0.0,0,RevNeutral
