MM:DD:YYYY hh:mm:ss,Library_Version,Session_Type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time,Elapsed_Time,Binary_Pellets,Interpellet_Intervals,Binary_Left_Pokes,Binary_Right_Pokes,Correct_Poke,Concat_#,Mode
2024-08-28 12:48:57,1.17.0,RevNeutral,24,3.75,,1,Poke,Left,0,1,0,0,,,0.05,0 days 00:00:00.000000000,0.0,,0.0,1.0,0.0,0,RevNeutral
2024-08-28 12:55:03,1.17.0,RevNeutral,24,3.75,,1,Poke,Left,1,1,0,0,,,0.1,0 days 00:06:06.000000000,0.0,,1.0,0.0,1.0,0,RevNeutral
2024-08-28 12:55:08,1.17.0,RevNeutral,24,3.75,2.0,1,Pellet,Left,1,1,1,0,2.57,,,0 days 00:06:11.000000000,1.0,,0.0,0.0,,0,RevNeutral
2024-08-28 13:00:24,1.17.0,RevNeutral,24,3.75,,1,Poke,Left,1,2,1,0,,,0.15,0 days 00:11:27.000000000,0.0,,0.0,1.0,0.0,0,RevNeutral
2024-08-28 13:03:09,1.17.0,RevNeutral,24,3.75,,1,Poke,Left,2,2,1,0,,,0.41,0 days 00:14:12.000000000,0.0,,1.0,0.0,1.0,0,RevNeutral
2024-08-28 13:03:11,1.17.0,RevNeutral,24,3.75,1.0,1,Pellet,Left,2,2,2,0,1.28,483.0,,0 days 00:14:14.000000000,1.0,8.05,0.0,0.0,,0,RevNeutral
2024-08-28 13:04:28,1.17.0,RevNeutral,24,3.75,,1,Poke,Left,2,3,2,0,,,0.08,0 days 00:15:31.000000000,0.0,,0.0,1.0,0.0,0,RevNeutral
2024-08-28 13:06:08,1.17.0,RevNeutral,24,3.75,,1,Poke,Left,3,3,2,0,,,0.37,0 days 00:17:11.000000000,0.0,,1.0,0.0,1.0,0,RevNeutral
2024-08-28 13:06:09,1.17.0,RevNeutral,24,3.75,1.0,1,Pellet,Left,3,3,3,0,0.85,178.0,,0 days 00:17:12.000000000,1.0,2.966666666666667,0.0,0.0,,0,RevNeutral
2024-08-28 13:06:47,1.17.0,RevNeutral,24,3.76,,1,Poke,Left,4,3,3,0,,,0.22,0 days 00:17:50.000000000,0.0,,1.0,0.0,1.0,0,RevNeutral
2024-08-28 13:06:48,1.17.0,RevNeutral,24,3.75,1.0,1,Pellet,Left,4,3,4,0,0.61,39.0,,0 days 00:17:51.000000000,1.0,0.65,0.0,0.0,,0,RevNeutral
2024-08-28 13:08:19,1.17.0,RevNeutral,24,3.74,,1,Poke,Left,5,3,4,0,,,0.06,0 days 00:19:22.000000000,0.0,,1.0,0.0,1.0,0,RevNeutral
2024-08-28 13:08:23,1.17.0,RevNeutral,24,3.76,2.0,1,Pellet,Left,5,3,5,0,0.55,95.0,,0 days 00:19:26.000000000,1.0,1.5833333333333333,0.0,0.0,,0,RevNeutral
2024-08-28 13:08:59,1.17.0,RevNeutral,24,3.75,,1,Poke,Left,6,3,5,0,,,0.05,0 days 00:20:02.000000000,0.0,,1.0,0.0,1.0,0,RevNeutral
2024-08-28 13:09:01,1.17.0,RevNeutral,24,3.75,1.0,1,Pellet,Left,6,3,6,0,0.85,38.0,,0 days 00:20:04.000000000,1.0,0.6333333333333333,0.0,0.0,,0,RevNeutral
