MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
8/14/2024 13:58:08,1.17.0,RevNeutral,9,3.70,nan,1,Left,Left,1,0,0,0,nan,nan,0.22
8/14/2024 14:07:30,1.17.0,RevNeutral,9,3.69,nan,1,RightWithPellet,Left,1,1,0,0,nan,nan,0.04
8/14/2024 14:11:28,1.17.0,RevNeutral,9,3.70,nan,1,LeftWithPellet,Left,2,1,0,0,nan,nan,0.06
8/14/2024 14:11:33,1.17.0,RevNeutral,9,3.69,nan,1,LeftWithPellet,Left,3,1,0,0,nan,nan,0.24
8/14/2024 14:11:37,1.17.0,RevNeutral,9,3.69,nan,1,LeftWithPellet,Left,4,1,0,0,nan,nan,0.20
8/14/2024 14:11:40,1.17.0,RevNeutral,9,3.69,nan,1,LeftWithPellet,Left,5,1,0,0,nan,nan,0.40
8/14/2024 14:22:22,1.17.0,RevNeutral,9,3.70,2,1,Pellet,Left,5,1,1,0,Timed_out,nan,nan
8/14/2024 14:36:01,1.17.0,RevNeutral,9,3.69,nan,1,Left,Left,6,1,1,0,nan,nan,0.02
8/14/2024 14:36:02,1.17.0,RevNeutral,9,3.69,1,1,Pellet,Left,6,1,2,0,0.48,820,nan
8/14/2024 14:36:36,1.17.0,RevNeutral,9,3.69,nan,1,Left,Left,7,1,2,0,nan,nan,0.28
8/14/2024 15:33:22,1.17.0,RevNeutral,9,3.69,1,1,Pellet,Left,7,1,3,0,Timed_out,3440,nan
8/14/2024 15:33:48,1.17.0,RevNeutral,9,3.69,nan,1,Left,Left,8,1,3,0,nan,nan,0.25
8/14/2024 15:33:49,1.17.0,RevNeutral,9,3.69,1,1,Pellet,Left,8,1,4,0,0.30,27,nan
8/14/2024 15:34:30,1.17.0,RevNeutral,9,3.69,nan,1,Left,Left,9,1,4,0,nan,nan,0.40
8/14/2024 15:34:30,1.17.0,RevNeutral,9,3.69,nan,1,LeftDuringDispense,Left,10,1,4,0,nan,nan,0.05
8/14/2024 16:16:35,1.17.0,RevNeutral,9,3.69,2,1,Pellet,Left,10,1,5,0,Timed_out,2565,nan
8/14/2024 16:18:00,1.17.0,RevNeutral,9,3.69,nan,1,Left,Left,11,1,5,0,nan,nan,0.04
8/14/2024 16:18:02,1.17.0,RevNeutral,9,3.69,1,1,Pellet,Left,11,1,6,0,0.48,88,nan
8/14/2024 16:18:09,1.17.0,RevNeutral,9,3.69,nan,1,Left,Left,12,1,6,0,nan,nan,0.21
