MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
8/14/2024 13:58:28,1.17.0,RevNeutral,6,3.62,nan,1,Left,Left,1,0,0,0,nan,nan,0.03
8/14/2024 14:01:29,1.17.0,RevNeutral,6,3.62,nan,1,LeftWithPellet,Left,2,0,0,0,nan,nan,0.10
8/14/2024 14:01:51,1.17.0,RevNeutral,6,3.62,nan,1,LeftWithPellet,Left,3,0,0,0,nan,nan,0.38
8/14/2024 14:01:57,1.17.0,RevNeutral,6,3.62,nan,1,LeftWithPellet,Left,4,0,0,0,nan,nan,0.59
8/14/2024 14:02:00,1.17.0,RevNeutral,6,3.62,nan,1,LeftWithPellet,Left,5,0,0,0,nan,nan,0.09
8/14/2024 14:02:02,1.17.0,RevNeutral,6,3.62,nan,1,LeftWithPellet,Left,6,0,0,0,nan,nan,0.54
8/14/2024 14:02:09,1.17.0,RevNeutral,6,3.62,nan,1,LeftWithPellet,Left,7,0,0,0,nan,nan,0.14
8/14/2024 14:04:03,1.17.0,RevNeutral,6,3.62,nan,1,RightWithPellet,Left,7,1,0,0,nan,nan,0.41
8/14/2024 14:05:23,1.17.0,RevNeutral,6,3.62,nan,1,LeftWithPellet,Left,8,1,0,0,nan,nan,0.05
8/14/2024 14:05:32,1.17.0,RevNeutral,6,3.62,nan,1,RightWithPellet,Left,8,2,0,0,nan,nan,0.02
8/14/2024 14:05:36,1.17.0,RevNeutral,6,3.62,nan,1,LeftWithPellet,Left,9,2,0,0,nan,nan,0.07
8/14/2024 14:09:10,1.17.0,RevNeutral,6,3.62,nan,1,LeftWithPellet,Left,10,2,0,0,nan,nan,0.24
8/14/2024 14:09:14,1.17.0,RevNeutral,6,3.62,nan,1,LeftWithPellet,Left,11,2,0,0,nan,nan,0.08
8/14/2024 14:09:53,1.17.0,RevNeutral,6,3.62,nan,1,LeftWithPellet,Left,12,2,0,0,nan,nan,0.08
8/14/2024 14:09:56,1.17.0,RevNeutral,6,3.62,nan,1,LeftWithPellet,Left,13,2,0,0,nan,nan,0.01
8/14/2024 14:10:06,1.17.0,RevNeutral,6,3.62,nan,1,RightWithPellet,Left,13,3,0,0,nan,nan,0.03
8/14/2024 14:13:15,1.17.0,RevNeutral,6,3.62,nan,1,RightWithPellet,Left,13,4,0,0,nan,nan,0.19
