MM:DD:YYYY hh:mm:ss,Library_Version,Session_Type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time,Elapsed_Time,Binary_Pellets,Interpellet_Intervals,Binary_Left_Pokes,Binary_Right_Pokes,Correct_Poke,Concat_#,Mode
2024-08-28 12:35:05,1.17.0,RevNeutral,17,3.8,,1,Poke,Left,1,0,0,0,,,0.03,0 days 00:00:00.000000000,0.0,,1.0,0.0,1.0,0,RevNeutral
2024-08-28 12:35:11,1.17.0,RevNeutral,17,3.81,4.0,1,Pellet,Left,1,0,1,0,1.34,,,0 days 00:00:06.000000000,1.0,,0.0,0.0,,0,RevNeutral
2024-08-28 12:42:47,1.17.0,RevNeutral,17,3.8,,1,Poke,Left,2,0,1,0,,,0.2,0 days 00:07:42.000000000,0.0,,1.0,0.0,1.0,0,RevNeutral
2024-08-28 12:42:49,1.17.0,RevNeutral,17,3.8,2.0,1,Pellet,Left,2,0,2,0,0.42,458.0,,0 days 00:07:44.000000000,1.0,7.633333333333334,0.0,0.0,,0,RevNeutral
2024-08-28 12:43:48,1.17.0,RevNeutral,17,3.8,,1,Poke,Left,3,0,2,0,,,0.27,0 days 00:08:43.000000000,0.0,,1.0,0.0,1.0,0,RevNeutral
2024-08-28 12:43:51,1.17.0,RevNeutral,17,3.8,2.0,1,Pellet,Left,3,0,3,0,0.3,62.0,,0 days 00:08:46.000000000,1.0,1.0333333333333334,0.0,0.0,,0,RevNeutral
2024-08-28 12:49:08,1.17.0,RevNeutral,17,3.8,,1,Poke,Left,4,0,3,0,,,0.03,0 days 00:14:03.000000000,0.0,,1.0,0.0,1.0,0,RevNeutral
2024-08-28 12:49:09,1.17.0,RevNeutral,17,3.8,1.0,1,Pellet,Left,4,0,4,0,0.06,318.0,,0 days 00:14:04.000000000,1.0,5.3,0.0,0.0,,0,RevNeutral
2024-08-28 12:49:25,1.17.0,RevNeutral,17,3.8,,1,Poke,Left,5,0,4,0,,,0.34,0 days 00:14:20.000000000,0.0,,1.0,0.0,1.0,0,RevNeutral
2024-08-28 12:49:26,1.17.0,RevNeutral,17,3.8,1.0,1,Pellet,Left,5,0,5,0,0.85,17.0,,0 days 00:14:21.000000000,1.0,0.2833333333333333,0.0,0.0,,0,RevNeutral
2024-08-28 13:21:38,1.17.0,RevNeutral,17,3.8,,1,Poke,Left,6,0,5,0,,,0.36,0 days 00:46:33.000000000,0.0,,1.0,0.0,1.0,0,RevNeutral
2024-08-28 13:21:39,1.17.0,RevNeutral,17,3.8,1.0,1,Pellet,Left,6,0,6,0,0.61,1933.0,,0 days 00:46:34.000000000,1.0,32.21666666666667,0.0,0.0,,0,RevNeutral
2024-08-28 13:22:25,1.17.0,RevNeutral,17,3.8,,1,Poke,Left,7,0,6,0,,,0.41,0 days 00:47:20.000000000,0.0,,1.0,0.0,1.0,0,RevNeutral
2024-08-28 13:22:27,1.17.0,RevNeutral,17,3.8,2.0,1,Pellet,Left,7,0,7,0,0.55,48.0,,0 days 00:47:22.000000000,1.0,0.8,0.0,0.0,,0,RevNeutral
2024-08-28 13:23:10,1.17.0,RevNeutral,17,3.8,,1,Poke,Left,8,0,7,0,,,0.22,0 days 00:48:05.000000000,0.0,,1.0,0.0,1.0,0,RevNeutral
2024-08-28 13:23:11,1.17.0,RevNeutral,17,3.8,1.0,1,Pellet,Left,8,0,8,0,0.24,43.0,,0 days 00:48:06.000000000,1.0,0.7333333333333333,0.0,0.0,,0,RevNeutral
2024-08-28 13:23:48,1.17.0,RevNeutral,17,3.8,,1,Poke,Left,9,0,8,0,,,0.6,0 days 00:48:43.000000000,0.0,,1.0,0.0,1.0,0,RevNeutral
2024-08-28 13:23:49,1.17.0,RevNeutral,17,3.8,1.0,1,Pellet,Left,9,0,9,0,0.61,39.0,,0 days 00:48:44.000000000,1.0,0.6333333333333333,0.0,0.0,,0,RevNeutral
2024-08-28 13:25:11,1.17.0,RevNeutral,17,3.8,,1,Poke,Left,10,0,9,0,,,0.07,0 days 00:50:06.000000000,0.0,,1.0,0.0,1.0,0,RevNeutral
2024-08-28 13:25:11,1.17.0,RevNeutral,17,3.8,,1,Poke,Left,11,0,9,0,,,0.02,0 days 00:50:06.000000000,0.0,,1.0,0.0,1.0,0,RevNeutral
2024-08-28 13:25:14,1.17.0,RevNeutral,17,3.8,3.0,1,Pellet,Left,11,0,10,0,0.12,85.0,,0 days 00:50:09.000000000,1.0,1.4166666666666667,0.0,0.0,,0,RevNeutral
2024-08-28 13:25:47,1.17.0,RevNeutral,17,3.8,,1,Poke,Left,12,0,10,0,,,0.33,0 days 00:50:42.000000000,0.0,,1.0,0.0,1.0,0,RevNeutral
2024-08-28 13:25:48,1.17.0,RevNeutral,17,3.8,1.0,1,Pellet,Left,12,0,11,0,0.79,34.0,,0 days 00:50:43.000000000,1.0,0.5666666666666667,0.0,0.0,,0,RevNeutral
2024-08-28 13:26:03,1.17.0,RevNeutral,17,3.8,,1,Poke,Left,13,0,11,0,,,0.38,0 days 00:50:58.000000000,0.0,,1.0,0.0,1.0,0,RevNeutral
2024-08-28 13:26:04,1.17.0,RevNeutral,17,3.8,,1,Poke,Left,14,0,11,0,,,0.1,0 days 00:50:59.000000000,0.0,,1.0,0.0,1.0,0,RevNeutral
2024-08-28 13:26:09,1.17.0,RevNeutral,17,3.8,4.0,1,Pellet,Left,14,0,12,0,0.36,21.0,,0 days 00:51:04.000000000,1.0,0.35,0.0,0.0,,0,RevNeutral
2024-08-28 13:27:10,1.17.0,RevNeutral,17,3.8,,1,Poke,Left,14,1,12,0,,,0.0,0 days 00:52:05.000000000,0.0,,0.0,1.0,0.0,0,RevNeutral
2024-08-28 14:44:07,1.17.0,RevNeutral,17,3.8,,1,Poke,Left,15,1,12,0,,,0.41,0 days 02:09:02.000000000,0.0,,1.0,0.0,1.0,0,RevNeutral
2024-08-28 14:44:08,1.17.0,RevNeutral,17,3.8,2.0,1,Pellet,Left,15,1,13,0,0.36,4679.0,,0 days 02:09:03.000000000,1.0,77.98333333333333,0.0,0.0,,0,RevNeutral
2024-08-28 14:44:38,1.17.0,RevNeutral,17,3.8,,1,Poke,Left,16,1,13,0,,,0.64,0 days 02:09:33.000000000,0.0,,1.0,0.0,1.0,0,RevNeutral
2024-08-28 14:44:39,1.17.0,RevNeutral,17,3.8,2.0,1,Pellet,Left,16,1,14,0,0.06,31.0,,0 days 02:09:34.000000000,1.0,0.5166666666666667,0.0,0.0,,0,RevNeutral
2024-08-28 14:53:03,1.17.0,RevNeutral,17,3.8,,1,Poke,Left,16,2,14,0,,,1.24,0 days 02:17:58.000000000,0.0,,0.0,1.0,0.0,0,RevNeutral
2024-08-28 14:53:13,1.17.0,RevNeutral,17,3.8,,1,Poke,Left,17,2,14,0,,,0.12,0 days 02:18:08.000000000,0.0,,1.0,0.0,1.0,0,RevNeutral
2024-08-28 14:53:15,1.17.0,RevNeutral,17,3.8,1.0,1,Pellet,Left,17,2,15,0,0.67,516.0,,0 days 02:18:10.000000000,1.0,8.6,0.0,0.0,,0,RevNeutral
2024-08-28 14:53:49,1.17.0,RevNeutral,17,3.8,,1,Poke,Left,18,2,15,0,,,0.17,0 days 02:18:44.000000000,0.0,,1.0,0.0,1.0,0,RevNeutral
2024-08-28 14:53:53,1.17.0,RevNeutral,17,3.8,3.0,1,Pellet,Left,18,2,16,0,0.06,38.0,,0 days 02:18:48.000000000,1.0,0.6333333333333333,0.0,0.0,,0,RevNeutral
2024-08-28 14:54:22,1.17.0,RevNeutral,17,3.8,,1,Poke,Left,19,2,16,0,,,0.07,0 days 02:19:17.000000000,0.0,,1.0,0.0,1.0,0,RevNeutral
2024-08-28 14:54:24,1.17.0,RevNeutral,17,3.8,2.0,1,Pellet,Left,19,2,17,0,0.36,31.0,,0 days 02:19:19.000000000,1.0,0.5166666666666667,0.0,0.0,,0,RevNeutral
2024-08-28 14:54:57,1.17.0,RevNeutral,17,3.8,,1,Poke,Left,20,2,17,0,,,0.04,0 days 02:19:52.000000000,0.0,,1.0,0.0,1.0,0,RevNeutral
2024-08-28 14:54:58,1.17.0,RevNeutral,17,3.8,,1,Poke,Left,21,2,17,0,,,0.13,0 days 02:19:53.000000000,0.0,,1.0,0.0,1.0,0,RevNeutral
2024-08-28 14:55:02,1.17.0,RevNeutral,17,3.8,3.0,1,Pellet,Left,21,2,18,0,0.73,37.0,,0 days 02:19:57.000000000,1.0,0.6333333333333333,0.0,0.0,,0,RevNeutral
2024-08-28 14:55:33,1.17.0,RevNeutral,17,3.8,,1,Poke,Left,22,2,18,0,,,0.78,0 days 02:20:28.000000000,0.0,,1.0,0.0,1.0,0,RevNeutral
2024-08-28 14:55:37,1.17.0,RevNeutral,17,3.8,2.0,1,Pellet,Left,22,2,19,0,0.79,36.0,,0 days 02:20:32.000000000,1.0,0.5833333333333334,0.0,0.0,,0,RevNeutral
2024-08-28 14:56:04,1.17.0,RevNeutral,17,3.8,,1,Poke,Left,23,2,19,0,,,0.07,0 days 02:20:59.000000000,0.0,,1.0,0.0,1.0,0,RevNeutral
2024-08-28 14:56:04,1.17.0,RevNeutral,17,3.8,,1,Poke,Left,24,2,19,0,,,0.03,0 days 02:20:59.000000000,0.0,,1.0,0.0,1.0,0,RevNeutral
