MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,PelletsToSwitch,Prob_left,Prob_right,Event,High_prob_poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
10/10/2023 14:09,1.17.0,Bandit,21,3.83,nan,15,10,40,Right,Right,0,1,0,0,nan,nan,0.47
10/10/2023 14:09,1.17.0,Bandit,21,3.84,nan,15,10,40,LeftDuringDispense,Right,0,1,0,0,nan,nan,0.13
10/10/2023 14:09,1.17.0,Bandit,21,3.84,8,15,10,40,Pellet,Right,0,1,1,0,0.06,nan,nan
10/10/2023 14:09,1.17.0,Bandit,21,3.84,nan,15,10,40,Left,Right,1,1,1,1,nan,nan,0.2
10/10/2023 14:10,1.17.0,Bandit,21,3.84,nan,15,10,40,Left,Right,2,1,1,1,nan,nan,0.03
10/10/2023 14:11,1.17.0,Bandit,21,3.84,nan,15,10,40,Right,Right,2,2,1,1,nan,nan,0.08
10/10/2023 14:12,1.17.0,Bandit,21,3.84,nan,15,10,40,Left,Right,3,2,1,1,nan,nan,0.23
10/10/2023 14:12,1.17.0,Bandit,21,3.83,nan,15,10,40,Right,Right,3,3,1,1,nan,nan,0.5
10/10/2023 14:20,1.17.0,Bandit,21,3.83,nan,15,10,40,Left,Right,4,3,1,1,nan,nan,0.14
10/10/2023 14:20,1.17.0,Bandit,21,3.83,2,15,10,40,Pellet,Right,4,3,2,1,0.06,624,nan
10/10/2023 14:20,1.17.0,Bandit,21,3.83,nan,15,10,40,Left,Right,5,3,2,2,nan,nan,0.16
10/10/2023 14:20,1.17.0,Bandit,21,3.83,nan,15,10,40,LeftinTimeOut,Right,5,3,2,2,nan,nan,nan
10/10/2023 14:23,1.17.0,Bandit,21,3.83,nan,15,10,40,Left,Right,6,3,2,2,nan,nan,0.15
10/10/2023 14:30,1.17.0,Bandit,21,3.84,nan,15,10,40,Right,Right,6,4,2,2,nan,nan,0.22
10/10/2023 14:30,1.17.0,Bandit,21,3.83,3,15,10,40,Pellet,Right,6,4,3,2,20.32,643,nan
10/10/2023 14:31,1.17.0,Bandit,21,3.83,nan,15,10,40,Right,Right,6,5,3,3,nan,nan,0.02
10/10/2023 14:31,1.17.0,Bandit,21,3.83,2,15,10,40,Pellet,Right,6,5,4,3,0.06,22,nan
10/10/2023 14:31,1.17.0,Bandit,21,3.83,nan,15,10,40,Right,Right,6,6,4,4,nan,nan,0.02
10/10/2023 14:31,1.17.0,Bandit,21,3.83,1,15,10,40,Pellet,Right,6,6,5,4,0.06,22,nan
10/10/2023 14:58,1.17.0,Bandit,21,3.83,nan,15,10,40,Right,Right,6,7,5,5,nan,nan,0.24
10/10/2023 14:58,1.17.0,Bandit,21,3.84,nan,15,10,40,RightinTimeout,Right,6,7,5,5,nan,nan,0
10/10/2023 14:58,1.17.0,Bandit,21,3.83,nan,15,10,40,LeftinTimeOut,Right,6,7,5,5,nan,nan,nan
10/10/2023 16:40,1.17.0,Bandit,21,3.83,nan,15,10,40,Left,Right,7,7,5,5,nan,nan,0.29
10/10/2023 16:40,1.17.0,Bandit,21,3.83,nan,15,10,40,RightinTimeout,Right,7,7,5,5,nan,nan,0
10/10/2023 16:40,1.17.0,Bandit,21,3.83,nan,15,10,40,RightinTimeout,Right,7,7,5,5,nan,nan,0
10/10/2023 16:40,1.17.0,Bandit,21,3.83,nan,15,10,40,RightinTimeout,Right,7,7,5,5,nan,nan,0
10/10/2023 16:40,1.17.0,Bandit,21,3.83,nan,15,10,40,RightinTimeout,Right,7,7,5,5,nan,nan,0
10/10/2023 16:40,1.17.0,Bandit,21,3.83,nan,15,10,40,RightinTimeout,Right,7,7,5,5,nan,nan,0
10/10/2023 16:40,1.17.0,Bandit,21,3.83,nan,15,10,40,LeftinTimeOut,Right,7,7,5,5,nan,nan,nan
10/10/2023 16:40,1.17.0,Bandit,21,3.83,nan,15,10,40,RightinTimeout,Right,7,7,5,5,nan,nan,0
10/10/2023 16:40,1.17.0,Bandit,21,3.83,nan,15,10,40,Right,Right,7,8,5,5,nan,nan,0.3
10/10/2023 16:40,1.17.0,Bandit,21,3.83,2,15,10,40,Pellet,Right,7,8,6,5,0.06,7736,nan
10/10/2023 16:40,1.17.0,Bandit,21,3.83,nan,15,10,40,Right,Right,7,9,6,6,nan,nan,0.09
10/10/2023 16:40,1.17.0,Bandit,21,3.83,1,15,10,40,Pellet,Right,7,9,7,6,0.24,21,nan
10/10/2023 16:41,1.17.0,Bandit,21,3.83,nan,15,10,40,Right,Right,7,10,7,7,nan,nan,0.12
10/10/2023 16:41,1.17.0,Bandit,21,3.83,nan,15,10,40,RightinTimeout,Right,7,10,7,7,nan,nan,0
10/10/2023 16:41,1.17.0,Bandit,21,3.83,nan,15,10,40,RightinTimeout,Right,7,10,7,7,nan,nan,0
10/10/2023 16:41,1.17.0,Bandit,21,3.83,nan,15,10,40,RightinTimeout,Right,7,10,7,7,nan,nan,0
10/10/2023 16:41,1.17.0,Bandit,21,3.83,nan,15,10,40,RightinTimeout,Right,7,10,7,7,nan,nan,0
10/10/2023 16:41,1.17.0,Bandit,21,3.83,nan,15,10,40,RightinTimeout,Right,7,10,7,7,nan,nan,0
10/10/2023 16:41,1.17.0,Bandit,21,3.83,nan,15,10,40,RightinTimeout,Right,7,10,7,7,nan,nan,0
10/10/2023 16:41,1.17.0,Bandit,21,3.83,nan,15,10,40,RightinTimeout,Right,7,10,7,7,nan,nan,0
10/10/2023 16:41,1.17.0,Bandit,21,3.83,nan,15,10,40,RightinTimeout,Right,7,10,7,7,nan,nan,0
10/10/2023 16:41,1.17.0,Bandit,21,3.83,nan,15,10,40,RightinTimeout,Right,7,10,7,7,nan,nan,0
10/10/2023 16:41,1.17.0,Bandit,21,3.83,nan,15,10,40,RightinTimeout,Right,7,10,7,7,nan,nan,0
10/10/2023 16:41,1.17.0,Bandit,21,3.83,nan,15,10,40,RightinTimeout,Right,7,10,7,7,nan,nan,0
10/10/2023 16:41,1.17.0,Bandit,21,3.83,nan,15,10,40,RightinTimeout,Right,7,10,7,7,nan,nan,0
10/10/2023 16:41,1.17.0,Bandit,21,3.83,nan,15,10,40,Right,Right,7,11,7,7,nan,nan,0.37
10/10/2023 16:41,1.17.0,Bandit,21,3.83,2,15,10,40,Pellet,Right,7,11,8,7,0.06,38,nan
10/10/2023 16:42,1.17.0,Bandit,21,3.83,nan,15,10,40,Right,Right,7,12,8,8,nan,nan,0.11
10/10/2023 16:42,1.17.0,Bandit,21,3.83,2,15,10,40,Pellet,Right,7,12,9,8,15.53,58,nan
10/10/2023 16:43,1.17.0,Bandit,21,3.83,nan,15,10,40,Left,Right,8,12,9,9,nan,nan,0.52
10/10/2023 16:43,1.17.0,Bandit,21,3.83,nan,15,10,40,Right,Right,8,13,9,9,nan,nan,0.08
10/10/2023 16:43,1.17.0,Bandit,21,3.83,nan,15,10,40,LeftinTimeOut,Right,8,13,9,9,nan,nan,nan
10/10/2023 16:44,1.17.0,Bandit,21,3.83,nan,15,10,40,Left,Right,9,13,9,9,nan,nan,0.24
10/10/2023 16:44,1.17.0,Bandit,21,3.83,nan,15,10,40,Right,Right,9,14,9,9,nan,nan,0.28
10/10/2023 16:44,1.17.0,Bandit,21,3.83,nan,15,10,40,RightinTimeout,Right,9,14,9,9,nan,nan,0
10/10/2023 16:44,1.17.0,Bandit,21,3.83,nan,15,10,40,RightinTimeout,Right,9,14,9,9,nan,nan,0
10/10/2023 16:44,1.17.0,Bandit,21,3.83,nan,15,10,40,RightinTimeout,Right,9,14,9,9,nan,nan,0
10/10/2023 18:02,1.17.0,Bandit,21,3.83,nan,15,10,40,Right,Right,9,15,9,9,nan,nan,0.03
10/10/2023 18:02,1.17.0,Bandit,21,3.83,1,15,10,40,Pellet,Right,9,15,10,9,0.06,4798,nan
