MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,PelletsToSwitch,Prob_left,Prob_right,Event,High_prob_poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
9/15/2023 15:46:57,1.17.0,Bandit,5,4.04,nan,30,80,20,Left,Left,1,0,0,0,nan,nan,0.03
9/15/2023 15:48:20,1.17.0,Bandit,5,4.04,nan,30,80,20,LeftWithPellet,Left,1,0,0,0,nan,nan,0.17
9/15/2023 15:49:26,1.17.0,Bandit,5,4.03,nan,30,80,20,RightWithPellet,Left,1,0,0,0,nan,nan,0.39
9/15/2023 15:50:04,1.17.0,Bandit,5,4.04,3,30,80,20,Pellet,Left,1,0,1,0,Timed_out,nan,nan
9/15/2023 15:51:58,1.17.0,Bandit,5,4.04,nan,30,80,20,Left,Left,2,0,1,1,nan,nan,0.35
9/15/2023 15:52:42,1.17.0,Bandit,5,4.04,2,30,80,20,Pellet,Left,2,0,2,1,41.95,158,nan
9/15/2023 15:53:30,1.17.0,Bandit,5,4.04,nan,30,80,20,Right,Left,2,1,2,2,nan,nan,0.13
9/15/2023 15:53:38,1.17.0,Bandit,5,4.03,nan,30,80,20,Left,Left,3,1,2,2,nan,nan,0.15
9/15/2023 16:02:14,1.17.0,Bandit,5,4.03,1,30,80,20,Pellet,Left,3,1,3,2,Timed_out,572,nan
9/15/2023 16:16:31,1.17.0,Bandit,5,4.03,nan,30,80,20,Right,Left,3,2,3,3,nan,nan,1.59
9/15/2023 16:58:14,1.17.0,Bandit,5,4.03,nan,30,80,20,Left,Left,4,2,3,3,nan,nan,0.07
9/15/2023 16:58:16,1.17.0,Bandit,5,4.03,1,30,80,20,Pellet,Left,4,2,4,3,1.58,3362,nan
9/15/2023 16:58:48,1.17.0,Bandit,5,4.03,nan,30,80,20,Left,Left,5,2,4,4,nan,nan,0.27
9/15/2023 16:58:50,1.17.0,Bandit,5,4.03,1,30,80,20,Pellet,Left,5,2,5,4,1.46,34,nan
9/15/2023 16:59:11,1.17.0,Bandit,5,4.03,nan,30,80,20,Left,Left,6,2,5,5,nan,nan,0.04
9/15/2023 16:59:12,1.17.0,Bandit,5,4.03,2,30,80,20,Pellet,Left,6,2,6,5,0.85,22,nan
9/15/2023 16:59:35,1.17.0,Bandit,5,4.03,nan,30,80,20,Left,Left,7,2,6,6,nan,nan,0.54
9/15/2023 16:59:46,1.17.0,Bandit,5,4.03,nan,30,80,20,Left,Left,8,2,6,6,nan,nan,0.19
9/15/2023 17:00:08,1.17.0,Bandit,5,4.03,1,30,80,20,Pellet,Left,8,2,7,6,21.69,56,nan
9/15/2023 17:00:33,1.17.0,Bandit,5,4.03,nan,30,80,20,Left,Left,9,2,7,7,nan,nan,0.05
9/15/2023 17:00:40,1.17.0,Bandit,5,4.03,nan,30,80,20,Left,Left,10,2,7,7,nan,nan,0.29
9/15/2023 17:00:42,1.17.0,Bandit,5,4.03,1,30,80,20,Pellet,Left,10,2,8,7,0.42,34,nan
9/15/2023 18:43:02,1.17.0,Bandit,5,4.03,nan,30,80,20,Left,Left,11,2,8,8,nan,nan,0.26
9/15/2023 18:43:07,1.17.0,Bandit,5,4.03,1,30,80,20,Pellet,Left,11,2,9,8,3.98,6145,nan
9/15/2023 18:43:32,1.17.0,Bandit,5,4.03,nan,30,80,20,Left,Left,12,2,9,9,nan,nan,0.06
9/15/2023 18:43:33,1.17.0,Bandit,5,4.03,1,30,80,20,Pellet,Left,12,2,10,9,0.24,26,nan
9/15/2023 18:43:55,1.17.0,Bandit,5,4.03,nan,30,80,20,Left,Left,13,2,10,10,nan,nan,0.17
9/15/2023 18:43:59,1.17.0,Bandit,5,4.03,1,30,80,20,Pellet,Left,13,2,11,10,3.18,26,nan
9/15/2023 18:44:16,1.17.0,Bandit,5,4.03,nan,30,80,20,Left,Left,14,2,11,11,nan,nan,0.18
9/15/2023 18:44:42,1.17.0,Bandit,5,4.03,1,30,80,20,Pellet,Left,14,2,12,11,25.25,43,nan
9/15/2023 18:45:07,1.17.0,Bandit,5,4.03,nan,30,80,20,Left,Left,15,2,12,12,nan,nan,0.28
9/15/2023 19:31:22,1.17.0,Bandit,5,4.03,1,30,80,20,Pellet,Left,15,2,13,12,Timed_out,2800,nan
9/15/2023 19:31:47,1.17.0,Bandit,5,4.03,nan,30,80,20,Left,Left,16,2,13,13,nan,nan,0.16
9/15/2023 19:31:48,1.17.0,Bandit,5,4.03,2,30,80,20,Pellet,Left,16,2,14,13,0.24,26,nan
9/15/2023 19:32:08,1.17.0,Bandit,5,4.03,nan,30,80,20,Left,Left,17,2,14,14,nan,nan,0.20
9/15/2023 19:32:09,1.17.0,Bandit,5,4.03,1,30,80,20,Pellet,Left,17,2,15,14,0.42,21,nan
9/15/2023 19:32:44,1.17.0,Bandit,5,4.03,nan,30,80,20,Left,Left,18,2,15,15,nan,nan,0.02
9/15/2023 19:32:47,1.17.0,Bandit,5,4.03,2,30,80,20,Pellet,Left,18,2,16,15,0.61,38,nan
9/15/2023 19:34:12,1.17.0,Bandit,5,4.03,nan,30,80,20,Right,Left,18,3,16,16,nan,nan,0.12
