MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,PelletsToSwitch,Prob_left,Prob_right,Event,High_prob_poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
9/15/2023 11:34,1.17.0,Bandit,11,3.99,nan,30,80,20,Left,Left,1,0,0,0,nan,nan,0.4
9/15/2023 11:34,1.17.0,Bandit,11,3.98,5,30,80,20,Pellet,Left,1,0,1,0,1.22,nan,nan
9/15/2023 11:35,1.17.0,Bandit,11,3.98,nan,30,80,20,Right,Left,1,1,1,1,nan,nan,0.18
9/15/2023 11:38,1.17.0,Bandit,11,3.98,nan,30,80,20,Right,Left,1,2,1,1,nan,nan,0.34
9/15/2023 11:39,1.17.0,Bandit,11,3.99,nan,30,80,20,Right,Left,1,3,1,1,nan,nan,0.2
9/15/2023 11:39,1.17.0,Bandit,11,3.98,nan,30,80,20,Left,Left,2,3,1,1,nan,nan,0.62
9/15/2023 11:39,1.17.0,Bandit,11,3.98,nan,30,80,20,LeftWithPellet,Left,2,3,1,1,nan,nan,0.02
9/15/2023 11:44,1.17.0,Bandit,11,3.98,nan,30,80,20,RightWithPellet,Left,2,3,1,1,nan,nan,0.14
9/15/2023 11:44,1.17.0,Bandit,11,3.98,nan,30,80,20,LeftWithPellet,Left,2,3,1,1,nan,nan,0.16
9/15/2023 11:45,1.17.0,Bandit,11,3.98,nan,30,80,20,RightWithPellet,Left,2,3,1,1,nan,nan,0.05
9/15/2023 11:48,1.17.0,Bandit,11,3.98,nan,30,80,20,LeftWithPellet,Left,2,3,1,1,nan,nan,0.61
9/15/2023 11:48,1.17.0,Bandit,11,3.98,nan,30,80,20,LeftWithPellet,Left,2,3,1,1,nan,nan,0.23
9/15/2023 11:56,1.17.0,Bandit,11,3.98,nan,30,80,20,RightWithPellet,Left,2,3,1,1,nan,nan,0.21
9/15/2023 12:08,1.17.0,Bandit,11,3.98,2,30,80,20,Pellet,Left,2,3,2,1,Timed_out,2022,nan
9/15/2023 12:59,1.17.0,Bandit,11,3.98,nan,30,80,20,Left,Left,3,3,2,2,nan,nan,0.01
9/15/2023 12:59,1.17.0,Bandit,11,3.98,nan,30,80,20,LeftDuringDispense,Left,3,3,2,2,nan,nan,0.31
9/15/2023 12:59,1.17.0,Bandit,11,3.98,6,30,80,20,Pellet,Left,3,3,3,2,1.28,3067,nan
9/15/2023 12:59,1.17.0,Bandit,11,3.98,nan,30,80,20,Left,Left,4,3,3,3,nan,nan,0.03
9/15/2023 12:59,1.17.0,Bandit,11,3.98,2,30,80,20,Pellet,Left,4,3,4,3,0.91,30,nan
9/15/2023 13:00,1.17.0,Bandit,11,3.98,nan,30,80,20,Left,Left,5,3,4,4,nan,nan,0.11
9/15/2023 13:00,1.17.0,Bandit,11,3.98,2,30,80,20,Pellet,Left,5,3,5,4,0.42,28,nan
9/15/2023 13:00,1.17.0,Bandit,11,3.98,nan,30,80,20,Left,Left,6,3,5,5,nan,nan,0.04
9/15/2023 13:00,1.17.0,Bandit,11,3.98,nan,30,80,20,Left,Left,7,3,5,5,nan,nan,0.33
9/15/2023 13:00,1.17.0,Bandit,11,3.98,2,30,80,20,Pellet,Left,7,3,6,5,0.12,35,nan
9/15/2023 13:01,1.17.0,Bandit,11,3.98,nan,30,80,20,Left,Left,8,3,6,6,nan,nan,0.15
9/15/2023 13:01,1.17.0,Bandit,11,3.98,nan,30,80,20,LeftDuringDispense,Left,8,3,6,6,nan,nan,0.02
9/15/2023 13:01,1.17.0,Bandit,11,3.98,2,30,80,20,Pellet,Left,8,3,7,6,0.06,36,nan
9/15/2023 13:01,1.17.0,Bandit,11,3.98,nan,30,80,20,Left,Left,9,3,7,7,nan,nan,0.11
9/15/2023 13:01,1.17.0,Bandit,11,3.98,2,30,80,20,Pellet,Left,9,3,8,7,0.18,30,nan
9/15/2023 13:02,1.17.0,Bandit,11,3.98,nan,30,80,20,Left,Left,10,3,8,8,nan,nan,0.08
9/15/2023 13:02,1.17.0,Bandit,11,3.98,2,30,80,20,Pellet,Left,10,3,9,8,0.06,25,nan
9/15/2023 13:02,1.17.0,Bandit,11,3.98,nan,30,80,20,Left,Left,11,3,9,9,nan,nan,0.08
9/15/2023 13:02,1.17.0,Bandit,11,3.98,nan,30,80,20,LeftDuringDispense,Left,11,3,9,9,nan,nan,0.06
9/15/2023 13:02,1.17.0,Bandit,11,3.98,3,30,80,20,Pellet,Left,11,3,10,9,0.06,30,nan
9/15/2023 13:03,1.17.0,Bandit,11,3.98,nan,30,80,20,Left,Left,12,3,10,10,nan,nan,0.63
9/15/2023 13:03,1.17.0,Bandit,11,3.98,3,30,80,20,Pellet,Left,12,3,11,10,16.26,43,nan
9/15/2023 14:13,1.17.0,Bandit,11,3.98,nan,30,80,20,Left,Left,13,3,11,11,nan,nan,0.66
9/15/2023 14:13,1.17.0,Bandit,11,3.98,2,30,80,20,Pellet,Left,13,3,12,11,0.61,4180,nan
9/15/2023 14:22,1.17.0,Bandit,11,3.98,nan,30,80,20,Right,Left,13,4,12,12,nan,nan,0.05
9/15/2023 14:26,1.17.0,Bandit,11,3.98,nan,30,80,20,Right,Left,13,5,12,12,nan,nan,0.07
