MM:DD:YYYY hh:mm:ss,Library_Version,Session_Type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time,Elapsed_Time,Binary_Pellets,Interpellet_Intervals,Binary_Left_Pokes,Binary_Right_Pokes,Correct_Poke,Concat_#,Mode
2025-01-10 18:27:29,1.16.3,RevNeutral,1,3.98,,1,Poke,Left,0,1,0,0,,,0.32,0 days 00:00:00.000000000,0.0,,0.0,1.0,0.0,0,RevNeutral
2025-01-10 18:27:37,1.16.3,RevNeutral,1,3.98,,1,Poke,Left,1,1,0,0,,,0.07,0 days 00:00:08.000000000,0.0,,1.0,0.0,1.0,0,RevNeutral
2025-01-10 18:27:41,1.16.3,RevNeutral,1,3.98,1.0,1,Pellet,Left,1,1,1,0,2.69,,,0 days 00:00:12.000000000,1.0,,0.0,0.0,,0,RevNeutral
2025-01-10 18:28:22,1.16.3,RevNeutral,1,3.98,,1,Poke,Left,2,1,1,0,,,0.1,0 days 00:00:53.000000000,0.0,,1.0,0.0,1.0,0,RevNeutral
2025-01-10 18:28:59,1.16.3,RevNeutral,1,3.98,1.0,1,Pellet,Left,2,1,2,0,36.45,78.0,,0 days 00:01:30.000000000,1.0,1.3,0.0,0.0,,0,RevNeutral
2025-01-10 18:29:56,1.16.3,RevNeutral,1,3.98,,1,Poke,Left,3,1,2,0,,,0.12,0 days 00:02:27.000000000,0.0,,1.0,0.0,1.0,0,RevNeutral
2025-01-10 18:29:58,1.16.3,RevNeutral,1,3.98,1.0,1,Pellet,Left,3,1,3,0,1.4,59.0,,0 days 00:02:29.000000000,1.0,0.9833333333333333,0.0,0.0,,0,RevNeutral
2025-01-10 18:30:24,1.16.3,RevNeutral,1,3.98,,1,Poke,Left,4,1,3,0,,,0.1,0 days 00:02:55.000000000,0.0,,1.0,0.0,1.0,0,RevNeutral
2025-01-10 18:30:26,1.16.3,RevNeutral,1,3.98,2.0,1,Pellet,Left,4,1,4,0,0.61,28.0,,0 days 00:02:57.000000000,1.0,0.4666666666666667,0.0,0.0,,0,RevNeutral
2025-01-10 18:35:57,1.16.3,RevNeutral,1,3.98,,1,Poke,Left,5,1,4,0,,,0.02,0 days 00:08:28.000000000,0.0,,1.0,0.0,1.0,0,RevNeutral
2025-01-10 18:36:01,1.16.3,RevNeutral,1,3.98,3.0,1,Pellet,Left,5,1,5,0,0.06,335.0,,0 days 00:08:32.000000000,1.0,5.583333333333333,0.0,0.0,,0,RevNeutral
2025-01-10 18:36:56,1.16.3,RevNeutral,1,3.98,,1,Poke,Left,6,1,5,0,,,0.07,0 days 00:09:27.000000000,0.0,,1.0,0.0,1.0,0,RevNeutral
2025-01-10 18:36:57,1.16.3,RevNeutral,1,3.98,2.0,1,Pellet,Left,6,1,6,0,0.06,56.0,,0 days 00:09:28.000000000,1.0,0.9333333333333333,0.0,0.0,,0,RevNeutral
2025-01-10 18:41:12,1.16.3,RevNeutral,1,3.98,,1,Poke,Left,7,1,6,0,,,0.03,0 days 00:13:43.000000000,0.0,,1.0,0.0,1.0,0,RevNeutral
2025-01-10 18:41:16,1.16.3,RevNeutral,1,3.98,3.0,1,Pellet,Left,7,1,7,0,0.18,259.0,,0 days 00:13:47.000000000,1.0,4.316666666666666,0.0,0.0,,0,RevNeutral
2025-01-10 19:10:42,1.16.3,RevNeutral,1,3.98,,1,Poke,Left,8,1,7,0,,,0.1,0 days 00:43:13.000000000,0.0,,1.0,0.0,1.0,0,RevNeutral
2025-01-10 19:10:45,1.16.3,RevNeutral,1,3.98,2.0,1,Pellet,Left,8,1,8,0,1.28,1769.0,,0 days 00:43:16.000000000,1.0,29.483333333333334,0.0,0.0,,0,RevNeutral
2025-01-10 19:11:14,1.16.3,RevNeutral,1,3.98,,1,Poke,Left,9,1,8,0,,,0.09,0 days 00:43:45.000000000,0.0,,1.0,0.0,1.0,0,RevNeutral
2025-01-10 19:11:25,1.16.3,RevNeutral,1,3.98,5.0,1,Pellet,Left,9,1,9,0,1.52,40.0,,0 days 00:43:56.000000000,1.0,0.6666666666666666,0.0,0.0,,0,RevNeutral
2025-01-10 19:11:54,1.16.3,RevNeutral,1,3.98,,1,Poke,Left,10,1,9,0,,,0.44,0 days 00:44:25.000000000,0.0,,1.0,0.0,1.0,0,RevNeutral
2025-01-10 19:12:00,1.16.3,RevNeutral,1,3.98,3.0,1,Pellet,Left,10,1,10,0,0.55,35.0,,0 days 00:44:31.000000000,1.0,0.5833333333333334,0.0,0.0,,0,RevNeutral
2025-01-10 19:12:33,1.16.3,RevNeutral,1,3.98,,1,Poke,Left,11,1,10,0,,,0.2,0 days 00:45:04.000000000,0.0,,1.0,0.0,1.0,0,RevNeutral
2025-01-10 19:13:05,1.16.3,RevNeutral,1,3.98,11.0,1,Pellet,Left,11,1,11,0,4.09,65.0,,0 days 00:45:36.000000000,1.0,1.0833333333333333,0.0,0.0,,0,RevNeutral
