MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
2/18/2025 17:22:23,1.17.0,RevNeutral,5,4.07,nan,1,Right,Left,0,1,0,0,nan,nan,0.00
2/18/2025 17:22:24,1.17.0,RevNeutral,5,4.06,nan,1,Right,Left,0,2,0,0,nan,nan,0.00
2/18/2025 17:27:56,1.17.0,RevNeutral,5,4.07,nan,1,Left,Left,1,2,0,0,nan,nan,0.14
2/18/2025 17:28:41,1.17.0,RevNeutral,5,4.07,1,1,Pellet,Left,1,2,1,0,43.97,nan,nan
2/18/2025 17:34:37,1.17.0,RevNeutral,5,4.06,nan,1,Left,Left,2,2,1,0,nan,nan,0.16
2/18/2025 17:41:22,1.17.0,RevNeutral,5,4.07,1,1,Pellet,Left,2,2,2,0,Timed_out,761,nan
2/18/2025 17:43:14,1.17.0,RevNeutral,5,4.07,nan,1,Left,Left,3,2,2,0,nan,nan,0.05
2/18/2025 17:48:55,1.17.0,RevNeutral,5,4.07,1,1,Pellet,Left,3,2,3,0,Timed_out,453,nan
2/18/2025 17:49:38,1.17.0,RevNeutral,5,4.06,nan,1,Left,Left,4,2,3,0,nan,nan,0.08
2/18/2025 17:49:42,1.17.0,RevNeutral,5,4.07,1,1,Pellet,Left,4,2,4,0,2.81,47,nan
2/18/2025 18:28:04,1.17.0,RevNeutral,5,4.06,nan,1,Left,Left,5,2,4,0,nan,nan,0.23
2/18/2025 18:28:06,1.17.0,RevNeutral,5,4.07,1,1,Pellet,Left,5,2,5,0,1.22,2304,nan
2/18/2025 18:29:03,1.17.0,RevNeutral,5,4.07,nan,1,Left,Left,6,2,5,0,nan,nan,0.24
2/18/2025 18:29:05,1.17.0,RevNeutral,5,4.06,1,1,Pellet,Left,6,2,6,0,0.61,59,nan
2/18/2025 18:29:47,1.17.0,RevNeutral,5,4.07,nan,1,Left,Left,7,2,6,0,nan,nan,0.11
2/18/2025 18:29:53,1.17.0,RevNeutral,5,4.06,3,1,Pellet,Left,7,2,7,0,1.40,48,nan
2/18/2025 18:30:37,1.17.0,RevNeutral,5,4.07,nan,1,Left,Left,8,2,7,0,nan,nan,0.02
2/18/2025 18:30:38,1.17.0,RevNeutral,5,4.06,1,1,Pellet,Left,8,2,8,0,0.67,45,nan
2/18/2025 18:31:27,1.17.0,RevNeutral,5,4.06,nan,1,Left,Left,9,2,8,0,nan,nan,0.24
2/18/2025 18:31:28,1.17.0,RevNeutral,5,4.07,1,1,Pellet,Left,9,2,9,0,0.42,50,nan
2/18/2025 18:32:05,1.17.0,RevNeutral,5,4.07,nan,1,Left,Left,10,2,9,0,nan,nan,0.42
2/18/2025 18:32:06,1.17.0,RevNeutral,5,4.07,1,1,Pellet,Left,10,2,10,0,0.48,38,nan
2/18/2025 18:32:47,1.17.0,RevNeutral,5,4.07,nan,1,Left,Left,11,2,10,0,nan,nan,0.02
2/18/2025 18:32:54,1.17.0,RevNeutral,5,4.06,2,1,Pellet,Left,11,2,11,0,4.23,48,nan
2/18/2025 18:33:33,1.17.0,RevNeutral,5,4.07,nan,1,Left,Left,12,2,11,0,nan,nan,0.18
2/18/2025 18:33:34,1.17.0,RevNeutral,5,4.07,2,1,Pellet,Left,12,2,12,0,0.42,40,nan
2/18/2025 18:34:17,1.17.0,RevNeutral,5,4.07,nan,1,Left,Left,13,2,12,0,nan,nan,0.45
2/18/2025 18:34:18,1.17.0,RevNeutral,5,4.06,1,1,Pellet,Left,13,2,13,0,0.55,44,nan
2/18/2025 18:46:51,1.17.0,RevNeutral,5,4.06,nan,1,Left,Left,14,2,13,0,nan,nan,0.01
2/18/2025 18:46:52,1.17.0,RevNeutral,5,4.06,1,1,Pellet,Left,14,2,14,0,0.67,754,nan
2/18/2025 18:47:39,1.17.0,RevNeutral,5,4.06,nan,1,Left,Left,15,2,14,0,nan,nan,0.10
2/18/2025 18:47:40,1.17.0,RevNeutral,5,4.06,1,1,Pellet,Left,15,2,15,0,0.49,48,nan
2/18/2025 19:01:35,1.17.0,RevNeutral,5,4.06,nan,1,Right,Left,15,3,15,0,nan,nan,0.24
2/18/2025 19:01:38,1.17.0,RevNeutral,5,4.06,nan,1,Right,Left,15,4,15,0,nan,nan,0.27
2/18/2025 19:01:54,1.17.0,RevNeutral,5,4.06,nan,1,Right,Left,15,5,15,0,nan,nan,0.26
2/18/2025 19:01:57,1.17.0,RevNeutral,5,4.06,nan,1,Right,Left,15,6,15,0,nan,nan,0.11
2/18/2025 19:02:10,1.17.0,RevNeutral,5,4.07,nan,1,Right,Left,15,7,15,0,nan,nan,0.35
2/18/2025 19:05:11,1.17.0,RevNeutral,5,4.07,nan,1,Left,Left,16,7,15,0,nan,nan,0.26
2/18/2025 19:05:12,1.17.0,RevNeutral,5,4.06,1,1,Pellet,Left,16,7,16,0,0.49,1052,nan
2/18/2025 19:05:51,1.17.0,RevNeutral,5,4.06,nan,1,Left,Left,17,7,16,0,nan,nan,0.22
2/18/2025 19:05:52,1.17.0,RevNeutral,5,4.06,1,1,Pellet,Left,17,7,17,0,0.36,40,nan
2/18/2025 19:06:18,1.17.0,RevNeutral,5,4.07,nan,1,Left,Left,18,7,17,0,nan,nan,0.13
2/18/2025 19:06:20,1.17.0,RevNeutral,5,4.07,1,1,Pellet,Left,18,7,18,0,0.55,28,nan
2/18/2025 19:06:51,1.17.0,RevNeutral,5,4.07,nan,1,Left,Left,19,7,18,0,nan,nan,0.22
2/18/2025 19:06:52,1.17.0,RevNeutral,5,4.07,1,1,Pellet,Left,19,7,19,0,0.30,32,nan
2/18/2025 19:07:29,1.17.0,RevNeutral,5,4.06,nan,1,Left,Left,20,7,19,0,nan,nan,0.19
2/18/2025 19:07:30,1.17.0,RevNeutral,5,4.06,1,1,Pellet,Left,20,7,20,0,0.36,38,nan
2/18/2025 19:15:47,1.17.0,RevNeutral,5,4.06,nan,1,Left,Left,21,7,20,0,nan,nan,0.10
2/18/2025 19:16:07,1.17.0,RevNeutral,5,4.07,1,1,Pellet,Left,21,7,21,0,19.37,517,nan
2/18/2025 19:22:12,1.17.0,RevNeutral,5,4.06,nan,1,Left,Left,22,7,21,0,nan,nan,0.03
2/18/2025 19:22:15,1.17.0,RevNeutral,5,4.06,1,1,Pellet,Left,22,7,22,0,1.77,368,nan
2/18/2025 19:22:57,1.17.0,RevNeutral,5,4.07,nan,1,Left,Left,23,7,22,0,nan,nan,0.16
2/18/2025 19:22:58,1.17.0,RevNeutral,5,4.07,1,1,Pellet,Left,23,7,23,0,0.42,43,nan
2/18/2025 19:23:30,1.17.0,RevNeutral,5,4.07,nan,1,Left,Left,24,7,23,0,nan,nan,0.18
2/18/2025 19:23:31,1.17.0,RevNeutral,5,4.06,nan,1,LeftDuringDispense,Left,25,7,23,0,nan,nan,0.19
2/18/2025 19:23:38,1.17.0,RevNeutral,5,4.06,3,1,Pellet,Left,25,7,24,0,1.59,40,nan
2/18/2025 19:25:25,1.17.0,RevNeutral,5,4.06,nan,1,Right,Left,25,8,24,0,nan,nan,0.01
2/18/2025 19:26:03,1.17.0,RevNeutral,5,4.07,nan,1,Left,Left,26,8,24,0,nan,nan,0.23
2/18/2025 19:26:25,1.17.0,RevNeutral,5,4.06,1,1,Pellet,Left,26,8,25,0,21.67,167,nan
2/18/2025 19:35:24,1.17.0,RevNeutral,5,4.06,nan,1,Left,Left,27,8,25,0,nan,nan,0.38
2/18/2025 19:35:26,1.17.0,RevNeutral,5,4.06,1,1,Pellet,Left,27,8,26,0,0.73,541,nan
2/18/2025 19:35:59,1.17.0,RevNeutral,5,4.07,nan,1,Left,Left,28,8,26,0,nan,nan,0.15
2/18/2025 19:36:00,1.17.0,RevNeutral,5,4.06,1,1,Pellet,Left,28,8,27,0,0.61,34,nan
2/18/2025 19:36:34,1.17.0,RevNeutral,5,4.06,nan,1,Left,Left,29,8,27,0,nan,nan,0.25
2/18/2025 19:36:36,1.17.0,RevNeutral,5,4.06,1,1,Pellet,Left,29,8,28,0,0.30,36,nan
2/18/2025 20:04:50,1.17.0,RevNeutral,5,4.07,nan,1,Left,Left,30,8,28,0,nan,nan,0.13
2/18/2025 20:04:52,1.17.0,RevNeutral,5,4.06,1,1,Pellet,Left,30,8,29,0,0.85,1696,nan
2/18/2025 20:05:42,1.17.0,RevNeutral,5,4.06,nan,1,Left,Left,31,8,29,0,nan,nan,0.44
2/18/2025 20:05:44,1.17.0,RevNeutral,5,4.06,1,1,Pellet,Left,31,8,30,0,0.61,51,nan
