MM:DD:YYYY hh:mm:ss,Library_Version,Session_Type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time,Elapsed_Time,Binary_Pellets,Interpellet_Intervals,Binary_Left_Pokes,Binary_Right_Pokes,Correct_Poke,Concat_#,Mode
2025-02-18 17:26:59,1.17.0,RevNeutral,2,3.71,,1,Poke,Left,1,0,0,0,,,0.4,0 days 00:00:00.000000000,0.0,,1.0,0.0,1.0,0,RevNeutral
2025-02-18 17:27:02,1.17.0,RevNeutral,2,3.71,1.0,1,Pellet,Left,1,0,1,0,1.77,,,0 days 00:00:03.000000000,1.0,,0.0,0.0,,0,RevNeutral
2025-02-18 17:29:53,1.17.0,RevNeutral,2,3.71,,1,Poke,Left,2,0,1,0,,,0.03,0 days 00:02:54.000000000,0.0,,1.0,0.0,1.0,0,RevNeutral
2025-02-18 17:29:54,1.17.0,RevNeutral,2,3.71,1.0,1,Pellet,Left,2,0,2,0,1.03,172.0,,0 days 00:02:55.000000000,1.0,2.8666666666666667,0.0,0.0,,0,RevNeutral
2025-02-18 17:30:45,1.17.0,RevNeutral,2,3.71,,1,Poke,Left,3,0,2,0,,,0.02,0 days 00:03:46.000000000,0.0,,1.0,0.0,1.0,0,RevNeutral
2025-02-18 18:06:13,1.17.0,RevNeutral,2,3.72,1.0,1,Pellet,Left,3,0,3,0,,2179.0,,0 days 00:39:14.000000000,1.0,36.31666666666667,0.0,0.0,,0,RevNeutral
2025-02-18 18:06:34,1.17.0,RevNeutral,2,3.71,,1,Poke,Left,4,0,3,0,,,0.26,0 days 00:39:35.000000000,0.0,,1.0,0.0,1.0,0,RevNeutral
2025-02-18 18:06:35,1.17.0,RevNeutral,2,3.71,1.0,1,Pellet,Left,4,0,4,0,0.55,22.0,,0 days 00:39:36.000000000,1.0,0.36666666666666664,0.0,0.0,,0,RevNeutral
2025-02-18 18:06:53,1.17.0,RevNeutral,2,3.72,,1,Poke,Left,5,0,4,0,,,0.32,0 days 00:39:54.000000000,0.0,,1.0,0.0,1.0,0,RevNeutral
2025-02-18 18:06:54,1.17.0,RevNeutral,2,3.72,1.0,1,Pellet,Left,5,0,5,0,0.55,19.0,,0 days 00:39:55.000000000,1.0,0.31666666666666665,0.0,0.0,,0,RevNeutral
2025-02-18 18:07:20,1.17.0,RevNeutral,2,3.72,,1,Poke,Left,6,0,5,0,,,0.28,0 days 00:40:21.000000000,0.0,,1.0,0.0,1.0,0,RevNeutral
2025-02-18 18:07:22,1.17.0,RevNeutral,2,3.72,1.0,1,Pellet,Left,6,0,6,0,1.1,28.0,,0 days 00:40:23.000000000,1.0,0.4666666666666667,0.0,0.0,,0,RevNeutral
2025-02-18 18:15:03,1.17.0,RevNeutral,2,3.71,,1,Poke,Left,7,0,6,0,,,0.05,0 days 00:48:04.000000000,0.0,,1.0,0.0,1.0,0,RevNeutral
