MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
1/10/2025 18:10:52,1.17.0,RevNeutral,8,3.96,nan,1,Left,Left,1,0,0,0,nan,nan,0.25
1/10/2025 18:11:45,1.17.0,RevNeutral,8,3.96,3,1,Pellet,Left,1,0,1,0,48.52,nan,nan
1/10/2025 18:11:54,1.17.0,RevNeutral,8,3.96,nan,1,Left,Left,2,0,1,0,nan,nan,0.08
1/10/2025 18:11:56,1.17.0,RevNeutral,8,3.96,1,1,Pellet,Left,2,0,2,0,1.71,11,nan
1/10/2025 18:17:25,1.17.0,RevNeutral,8,3.96,nan,1,Left,Left,3,0,2,0,nan,nan,0.06
1/10/2025 18:17:26,1.17.0,RevNeutral,8,3.96,1,1,Pellet,Left,3,0,3,0,0.67,330,nan
1/10/2025 18:18:18,1.17.0,RevNeutral,8,3.96,nan,1,Left,Left,4,0,3,0,nan,nan,0.05
1/10/2025 18:18:19,1.17.0,RevNeutral,8,3.96,1,1,Pellet,Left,4,0,4,0,0.79,53,nan
1/10/2025 18:58:09,1.17.0,RevNeutral,8,3.96,nan,1,Left,Left,5,0,4,0,nan,nan,0.13
1/10/2025 18:58:13,1.17.0,RevNeutral,8,3.96,2,1,Pellet,Left,5,0,5,0,0.97,2394,nan
1/10/2025 18:58:50,1.17.0,RevNeutral,8,3.96,nan,1,Left,Left,6,0,5,0,nan,nan,0.02
1/10/2025 18:58:53,1.17.0,RevNeutral,8,3.96,1,1,Pellet,Left,6,0,6,0,1.65,40,nan
1/10/2025 19:00:37,1.17.0,RevNeutral,8,3.96,nan,1,Left,Left,7,0,6,0,nan,nan,0.03
1/10/2025 19:00:40,1.17.0,RevNeutral,8,3.96,1,1,Pellet,Left,7,0,7,0,1.89,107,nan
1/10/2025 19:02:05,1.17.0,RevNeutral,8,3.96,nan,1,Left,Left,8,0,7,0,nan,nan,0.00
1/10/2025 19:02:08,1.17.0,RevNeutral,8,3.96,2,1,Pellet,Left,8,0,8,0,1.83,88,nan
1/10/2025 19:02:11,1.17.0,RevNeutral,8,3.96,nan,1,Left,Left,9,0,8,0,nan,nan,0.18
1/10/2025 19:02:15,1.17.0,RevNeutral,8,3.96,1,1,Pellet,Left,9,0,9,0,3.43,7,nan
1/10/2025 19:02:29,1.17.0,RevNeutral,8,3.96,nan,1,Right,Left,9,1,9,0,nan,nan,0.00
