MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
2023-10-02 19:24:19,1.17.0,RevNeutral,25,4.18,,1,Right,Left,0,1,0,0,,,0.23
2023-10-02 19:24:58,1.17.0,RevNeutral,25,4.18,,1,Left,Left,1,1,0,0,,,0.07
2023-10-02 19:25:04,1.17.0,RevNeutral,25,4.17,4.0,1,Pellet,Left,1,1,1,0,0.12,,
2023-10-02 19:25:24,1.17.0,RevNeutral,25,4.18,,1,Left,Left,2,1,1,0,,,0.01
2023-10-02 19:25:25,1.17.0,RevNeutral,25,4.18,,1,LeftDuringDispense,Left,2,1,1,0,,,0.02
2023-10-02 19:25:28,1.17.0,RevNeutral,25,4.18,3.0,1,Pellet,Left,2,1,2,0,0.69,24.0,
2023-10-02 19:25:49,1.17.0,RevNeutral,25,4.17,,1,Right,Left,2,2,2,0,,,0.01
2023-10-02 19:25:53,1.17.0,RevNeutral,25,4.18,,1,Right,Left,2,3,2,0,,,0.12
2023-10-02 19:37:18,1.17.0,RevNeutral,25,4.18,,1,Right,Left,2,4,2,0,,,0.0
2023-10-02 19:37:24,1.17.0,RevNeutral,25,4.18,,1,Right,Left,2,5,2,0,,,0.19
2023-10-02 19:39:14,1.17.0,RevNeutral,25,4.17,,1,Left,Left,3,5,2,0,,,0.05
2023-10-02 19:39:15,1.17.0,RevNeutral,25,4.17,2.0,1,Pellet,Left,3,5,3,0,0.19,827.0,
2023-10-02 19:39:41,1.17.0,RevNeutral,25,4.18,,1,Right,Left,3,6,3,0,,,0.02
2023-10-02 19:39:49,1.17.0,RevNeutral,25,4.18,,1,Right,Left,3,7,3,0,,,0.19
2023-10-02 19:39:52,1.17.0,RevNeutral,25,4.17,,1,Right,Left,3,8,3,0,,,0.2
2023-10-02 19:40:46,1.17.0,RevNeutral,25,4.18,,1,Right,Left,3,9,3,0,,,0.18
2023-10-02 19:41:03,1.17.0,RevNeutral,25,4.18,,1,Left,Left,4,9,3,0,,,0.2
2023-10-02 19:41:04,1.17.0,RevNeutral,25,4.18,2.0,1,Pellet,Left,4,9,4,0,0.44,109.0,
2023-10-02 19:43:07,1.17.0,RevNeutral,25,4.18,,1,Right,Left,4,10,4,0,,,0.02
2023-10-02 20:21:05,1.17.0,RevNeutral,25,4.17,,1,Right,Left,4,11,4,0,,,0.49
2023-10-02 20:21:08,1.17.0,RevNeutral,25,4.17,,1,Right,Left,4,12,4,0,,,0.3
2023-10-02 20:21:22,1.17.0,RevNeutral,25,4.18,,1,Right,Left,4,13,4,0,,,0.23
2023-10-02 20:21:31,1.17.0,RevNeutral,25,4.17,,1,Right,Left,4,14,4,0,,,0.01
2023-10-02 20:21:40,1.17.0,RevNeutral,25,4.17,,1,Right,Left,4,15,4,0,,,0.15
2023-10-02 20:22:00,1.17.0,RevNeutral,25,4.17,,1,Left,Left,5,15,4,0,,,0.24
2023-10-02 20:22:02,1.17.0,RevNeutral,25,4.17,1.0,1,Pellet,Left,5,15,5,0,1.20,2458.0,
2023-10-02 20:22:31,1.17.0,RevNeutral,25,4.17,,1,Left,Left,6,15,5,0,,,0.21
2023-10-02 20:22:33,1.17.0,RevNeutral,25,4.17,1.0,1,Pellet,Left,6,15,6,0,0.94,31.0,
2023-10-02 20:22:54,1.17.0,RevNeutral,25,4.17,,1,Right,Left,6,16,6,0,,,0.44
2023-10-02 20:22:58,1.17.0,RevNeutral,25,4.17,,1,Right,Left,6,17,6,0,,,0.26
2023-10-02 20:23:09,1.17.0,RevNeutral,25,4.17,,1,Left,Left,7,17,6,0,,,0.39
2023-10-02 20:23:11,1.17.0,RevNeutral,25,4.17,1.0,1,Pellet,Left,7,17,7,0,0.69,38.0,
2023-10-02 20:23:22,1.17.0,RevNeutral,25,4.17,,1,Left,Left,8,17,7,0,,,0.13
2023-10-02 20:23:23,1.17.0,RevNeutral,25,4.17,1.0,1,Pellet,Left,8,17,8,0,0.94,12.0,
2023-10-02 20:23:46,1.17.0,RevNeutral,25,4.17,,1,Left,Left,9,17,8,0,,,0.02
