MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
2023-09-24 18:03:58,1.17.0,RevNeutral,24,4.06,,1,Left,Left,1,0,0,0,,,0.09
2023-09-24 18:04:02,1.17.0,RevNeutral,24,4.05,3.0,1,Pellet,Left,1,0,1,0,1.07,,
2023-09-24 18:04:10,1.17.0,RevNeutral,24,4.06,,1,Right,Left,1,1,1,0,,,0.08
2023-09-24 18:04:13,1.17.0,RevNeutral,24,4.05,,1,Right,Left,1,2,1,0,,,0.2
2023-09-24 18:04:52,1.17.0,RevNeutral,24,4.05,,1,Left,Left,2,2,1,0,,,0.05
2023-09-24 18:05:03,1.17.0,RevNeutral,24,4.06,2.0,1,Pellet,Left,2,2,2,0,9.31,61.0,
2023-09-24 18:05:06,1.17.0,RevNeutral,24,4.06,,1,Right,Left,2,3,2,0,,,0.17
2023-09-24 18:05:10,1.17.0,RevNeutral,24,4.06,,1,Left,Left,3,3,2,0,,,0.16
2023-09-24 19:37:47,1.17.0,RevNeutral,24,4.05,2.0,1,Pellet,Left,3,3,3,0,Timed_out,5564.0,
2023-09-24 19:38:23,1.17.0,RevNeutral,24,4.06,,1,Right,Left,3,4,3,0,,,0.18
2023-09-24 19:38:34,1.17.0,RevNeutral,24,4.06,,1,Right,Left,3,5,3,0,,,0.02
2023-09-24 19:38:40,1.17.0,RevNeutral,24,4.06,,1,Right,Left,3,6,3,0,,,0.48
2023-09-24 19:38:47,1.17.0,RevNeutral,24,4.05,,1,Right,Left,3,7,3,0,,,0.56
2023-09-24 19:38:51,1.17.0,RevNeutral,24,4.05,,1,Right,Left,3,8,3,0,,,0.01
2023-09-24 19:38:58,1.17.0,RevNeutral,24,4.05,,1,Right,Left,3,9,3,0,,,0.68
2023-09-24 19:39:04,1.17.0,RevNeutral,24,4.06,,1,Right,Left,3,10,3,0,,,0.0
2023-09-24 19:39:07,1.17.0,RevNeutral,24,4.05,,1,Right,Left,3,11,3,0,,,0.11
2023-09-24 19:39:12,1.17.0,RevNeutral,24,4.05,,1,Right,Left,3,12,3,0,,,0.42
2023-09-24 19:39:16,1.17.0,RevNeutral,24,4.05,,1,Right,Left,3,13,3,0,,,0.72
2023-09-24 19:39:22,1.17.0,RevNeutral,24,4.05,,1,Right,Left,3,14,3,0,,,0.58
2023-09-24 19:39:25,1.17.0,RevNeutral,24,4.06,,1,Right,Left,3,15,3,0,,,0.44
2023-09-24 19:39:27,1.17.0,RevNeutral,24,4.06,,1,Right,Left,3,16,3,0,,,0.5
2023-09-24 19:39:33,1.17.0,RevNeutral,24,4.06,,1,Right,Left,3,17,3,0,,,0.79
2023-09-24 19:39:38,1.17.0,RevNeutral,24,4.06,,1,Right,Left,3,18,3,0,,,0.88
2023-09-24 19:39:46,1.17.0,RevNeutral,24,4.06,,1,Left,Left,4,18,3,0,,,0.45
2023-09-24 19:39:47,1.17.0,RevNeutral,24,4.06,2.0,1,Pellet,Left,4,18,4,0,0.56,120.0,
2023-09-24 19:53:29,1.17.0,RevNeutral,24,4.06,,1,Right,Left,4,19,4,0,,,0.97
2023-09-24 19:53:30,1.17.0,RevNeutral,24,4.05,,1,Right,Left,4,20,4,0,,,0.06
2023-09-24 19:53:33,1.17.0,RevNeutral,24,4.05,,1,Right,Left,4,21,4,0,,,0.0
2023-09-24 19:53:35,1.17.0,RevNeutral,24,4.05,,1,Right,Left,4,22,4,0,,,0.43
2023-09-24 19:53:39,1.17.0,RevNeutral,24,4.06,,1,Right,Left,4,23,4,0,,,0.58
2023-09-24 19:53:41,1.17.0,RevNeutral,24,4.06,,1,Right,Left,4,24,4,0,,,0.32
2023-09-24 19:53:43,1.17.0,RevNeutral,24,4.05,,1,Right,Left,4,25,4,0,,,0.53
2023-09-24 19:53:44,1.17.0,RevNeutral,24,4.06,,1,Right,Left,4,26,4,0,,,0.13
2023-09-24 19:53:46,1.17.0,RevNeutral,24,4.06,,1,Right,Left,4,27,4,0,,,0.12
2023-09-24 19:53:55,1.17.0,RevNeutral,24,4.06,,1,Left,Left,5,27,4,0,,,0.23
2023-09-24 19:53:57,1.17.0,RevNeutral,24,4.06,1.0,1,Pellet,Left,5,27,5,0,0.69,850.0,
2023-09-24 19:54:20,1.17.0,RevNeutral,24,4.06,,1,Left,Left,6,27,5,0,,,0.05
2023-09-24 19:54:22,1.17.0,RevNeutral,24,4.06,1.0,1,Pellet,Left,6,27,6,0,0.69,25.0,
2023-09-24 19:54:48,1.17.0,RevNeutral,24,4.06,,1,Left,Left,7,27,6,0,,,0.04
2023-09-24 19:54:50,1.17.0,RevNeutral,24,4.05,1.0,1,Pellet,Left,7,27,7,0,0.75,27.0,
2023-09-24 19:55:17,1.17.0,RevNeutral,24,4.05,,1,Left,Left,8,27,7,0,,,0.04
2023-09-24 19:55:19,1.17.0,RevNeutral,24,4.06,1.0,1,Pellet,Left,8,27,8,0,0.37,29.0,
2023-09-24 19:55:50,1.17.0,RevNeutral,24,4.05,,1,Left,Left,9,27,8,0,,,0.28
2023-09-24 19:55:51,1.17.0,RevNeutral,24,4.05,1.0,1,Pellet,Left,9,27,9,0,0.31,33.0,
2023-09-24 20:20:13,1.17.0,RevNeutral,24,4.06,,1,Left,Left,10,27,9,0,,,0.07
2023-09-24 20:20:15,1.17.0,RevNeutral,24,4.06,1.0,1,Pellet,Left,10,27,10,0,1.13,1464.0,
2023-09-24 20:21:04,1.17.0,RevNeutral,24,4.05,,1,Left,Left,11,27,10,0,,,0.02
2023-09-24 20:21:05,1.17.0,RevNeutral,24,4.06,1.0,1,Pellet,Left,11,27,11,0,0.44,50.0,
2023-09-24 20:22:56,1.17.0,RevNeutral,24,4.06,,1,Right,Left,11,28,11,0,,,0.08
2023-09-24 20:22:58,1.17.0,RevNeutral,24,4.05,,1,Right,Left,11,29,11,0,,,0.42
2023-09-24 20:23:00,1.17.0,RevNeutral,24,4.05,,1,Right,Left,11,30,11,0,,,0.27
2023-09-24 20:23:10,1.17.0,RevNeutral,24,4.05,,1,Right,Left,11,31,11,0,,,0.14
2023-09-24 20:23:11,1.17.0,RevNeutral,24,4.05,,1,Right,Left,11,32,11,0,,,0.19
2023-09-24 20:27:29,1.17.0,RevNeutral,24,4.05,,1,Right,Left,11,33,11,0,,,0.15
2023-09-24 20:27:33,1.17.0,RevNeutral,24,4.06,,1,Right,Left,11,34,11,0,,,0.14
2023-09-24 20:27:35,1.17.0,RevNeutral,24,4.05,,1,Right,Left,11,35,11,0,,,0.37
2023-09-24 20:27:36,1.17.0,RevNeutral,24,4.05,,1,Right,Left,11,36,11,0,,,0.05
2023-09-24 20:33:58,1.17.0,RevNeutral,24,4.05,,1,Left,Left,12,36,11,0,,,0.05
2023-09-24 20:33:59,1.17.0,RevNeutral,24,4.05,1.0,1,Pellet,Left,12,36,12,0,0.69,774.0,
2023-09-24 20:34:26,1.17.0,RevNeutral,24,4.05,,1,Right,Left,12,37,12,0,,,0.09
2023-09-24 20:34:27,1.17.0,RevNeutral,24,4.05,,1,Right,Left,12,38,12,0,,,0.03
2023-09-24 20:34:31,1.17.0,RevNeutral,24,4.05,,1,Right,Left,12,39,12,0,,,0.35
2023-09-24 20:34:32,1.17.0,RevNeutral,24,4.06,,1,Right,Left,12,40,12,0,,,0.53
2023-09-24 20:34:34,1.17.0,RevNeutral,24,4.05,,1,Right,Left,12,41,12,0,,,0.34
2023-09-24 20:34:36,1.17.0,RevNeutral,24,4.06,,1,Right,Left,12,42,12,0,,,0.09
2023-09-24 20:34:47,1.17.0,RevNeutral,24,4.06,,1,Right,Left,12,43,12,0,,,0.24
2023-09-24 20:34:50,1.17.0,RevNeutral,24,4.05,,1,Left,Left,13,43,12,0,,,0.02
2023-09-24 20:34:52,1.17.0,RevNeutral,24,4.06,2.0,1,Pellet,Left,13,43,13,0,1.07,53.0,
2023-09-24 20:43:34,1.17.0,RevNeutral,24,4.05,,1,Right,Left,13,44,13,0,,,0.02
2023-09-24 20:43:38,1.17.0,RevNeutral,24,4.06,,1,Right,Left,13,45,13,0,,,0.4
2023-09-24 20:43:43,1.17.0,RevNeutral,24,4.05,,1,Right,Left,13,46,13,0,,,0.22
2023-09-24 20:43:48,1.17.0,RevNeutral,24,4.05,,1,Left,Left,14,46,13,0,,,0.06
2023-09-24 20:43:49,1.17.0,RevNeutral,24,4.05,1.0,1,Pellet,Left,14,46,14,0,0.31,537.0,
2023-09-24 20:44:17,1.17.0,RevNeutral,24,4.05,,1,Right,Left,14,47,14,0,,,0.06
2023-09-24 20:44:22,1.17.0,RevNeutral,24,4.05,,1,Left,Left,15,47,14,0,,,0.04
2023-09-24 20:44:24,1.17.0,RevNeutral,24,4.06,1.0,1,Pellet,Left,15,47,15,0,0.50,35.0,
2023-09-24 20:44:59,1.17.0,RevNeutral,24,4.05,,1,Left,Left,16,47,15,0,,,0.2
2023-09-24 20:45:00,1.17.0,RevNeutral,24,4.06,1.0,1,Pellet,Left,16,47,16,0,0.69,36.0,
2023-09-24 20:50:56,1.17.0,RevNeutral,24,4.05,,1,Right,Left,16,48,16,0,,,0.07
2023-09-24 20:50:57,1.17.0,RevNeutral,24,4.05,,1,Right,Left,16,49,16,0,,,0.08
2023-09-24 20:50:59,1.17.0,RevNeutral,24,4.05,,1,Right,Left,16,50,16,0,,,0.39
2023-09-24 20:51:01,1.17.0,RevNeutral,24,4.05,,1,Right,Left,16,51,16,0,,,0.41
2023-09-24 20:51:03,1.17.0,RevNeutral,24,4.06,,1,Right,Left,16,52,16,0,,,0.06
2023-09-24 20:51:04,1.17.0,RevNeutral,24,4.05,,1,Right,Left,16,53,16,0,,,0.03
2023-09-24 20:51:28,1.17.0,RevNeutral,24,4.05,,1,Left,Left,17,53,16,0,,,0.04
2023-09-24 20:51:29,1.17.0,RevNeutral,24,4.05,1.0,1,Pellet,Left,17,53,17,0,0.56,389.0,
2023-09-24 20:51:58,1.17.0,RevNeutral,24,4.05,,1,Right,Left,17,54,17,0,,,0.15
2023-09-24 20:51:59,1.17.0,RevNeutral,24,4.05,,1,Right,Left,17,55,17,0,,,0.02
2023-09-24 20:52:01,1.17.0,RevNeutral,24,4.05,,1,Right,Left,17,56,17,0,,,0.3
2023-09-24 20:52:02,1.17.0,RevNeutral,24,4.05,,1,Right,Left,17,57,17,0,,,0.09
2023-09-24 20:52:05,1.17.0,RevNeutral,24,4.06,,1,Left,Left,18,57,17,0,,,0.02
2023-09-24 20:52:06,1.17.0,RevNeutral,24,4.05,1.0,1,Pellet,Left,18,57,18,0,0.31,37.0,
2023-09-24 20:52:45,1.17.0,RevNeutral,24,4.05,,1,Left,Left,19,57,18,0,,,0.07
2023-09-24 20:52:47,1.17.0,RevNeutral,24,4.05,1.0,1,Pellet,Left,19,57,19,0,0.56,41.0,
2023-09-24 21:12:34,1.17.0,RevNeutral,24,4.05,,1,Right,Left,19,58,19,0,,,0.21
2023-09-24 21:16:31,1.17.0,RevNeutral,24,4.06,,1,Right,Left,19,59,19,0,,,0.21
2023-09-24 21:16:40,1.17.0,RevNeutral,24,4.05,,1,Left,Left,20,59,19,0,,,0.05
2023-09-24 21:16:43,1.17.0,RevNeutral,24,4.06,2.0,1,Pellet,Left,20,59,20,0,0.25,1436.0,
2023-09-24 21:17:25,1.17.0,RevNeutral,24,4.05,,1,Left,Left,21,59,20,0,,,0.12
2023-09-24 21:17:26,1.17.0,RevNeutral,24,4.05,1.0,1,Pellet,Left,21,59,21,0,0.25,43.0,
2023-09-24 21:17:51,1.17.0,RevNeutral,24,4.05,,1,Left,Left,22,59,21,0,,,0.18
2023-09-24 21:17:52,1.17.0,RevNeutral,24,4.05,1.0,1,Pellet,Left,22,59,22,0,0.37,26.0,
2023-09-24 21:18:13,1.17.0,RevNeutral,24,4.05,,1,Left,Left,23,59,22,0,,,0.15
2023-09-24 21:18:14,1.17.0,RevNeutral,24,4.06,1.0,1,Pellet,Left,23,59,23,0,0.44,22.0,
2023-09-24 21:18:44,1.17.0,RevNeutral,24,4.05,,1,Left,Left,24,59,23,0,,,0.04
2023-09-24 21:18:45,1.17.0,RevNeutral,24,4.05,1.0,1,Pellet,Left,24,59,24,0,0.77,31.0,
2023-09-24 21:19:35,1.17.0,RevNeutral,24,4.05,,1,Left,Left,25,59,24,0,,,0.18
2023-09-24 21:19:36,1.17.0,RevNeutral,24,4.05,1.0,1,Pellet,Left,25,59,25,0,0.44,51.0,
2023-09-24 21:22:57,1.17.0,RevNeutral,24,4.05,,1,Right,Left,25,60,25,0,,,0.23
2023-09-24 21:22:58,1.17.0,RevNeutral,24,4.05,,1,Right,Left,25,61,25,0,,,0.21
2023-09-24 21:23:01,1.17.0,RevNeutral,24,4.05,,1,Right,Left,25,62,25,0,,,0.06
2023-09-24 21:23:13,1.17.0,RevNeutral,24,4.05,,1,Left,Left,26,62,25,0,,,0.06
2023-09-24 21:23:16,1.17.0,RevNeutral,24,4.05,1.0,1,Pellet,Left,26,62,26,0,3.04,220.0,
2023-09-24 21:23:55,1.17.0,RevNeutral,24,4.05,,1,Right,Left,26,63,26,0,,,0.1
2023-09-24 21:23:57,1.17.0,RevNeutral,24,4.05,,1,Right,Left,26,64,26,0,,,0.28
2023-09-24 21:24:00,1.17.0,RevNeutral,24,4.06,,1,Right,Left,26,65,26,0,,,0.26
2023-09-24 21:27:12,1.17.0,RevNeutral,24,4.05,,1,Left,Left,27,65,26,0,,,0.18
2023-09-24 21:27:14,1.17.0,RevNeutral,24,4.05,1.0,1,Pellet,Left,27,65,27,0,1.64,238.0,
2023-09-24 21:28:05,1.17.0,RevNeutral,24,4.05,,1,Left,Left,28,65,27,0,,,0.12
2023-09-24 21:32:53,1.17.0,RevNeutral,24,4.05,1.0,1,Pellet,Left,28,65,28,0,Timed_out,339.0,
2023-09-24 21:40:08,1.17.0,RevNeutral,24,4.05,,1,Left,Left,29,65,28,0,,,0.21
2023-09-24 21:40:10,1.17.0,RevNeutral,24,4.05,1.0,1,Pellet,Left,29,65,29,0,1.01,437.0,
2023-09-24 21:40:37,1.17.0,RevNeutral,24,4.05,,1,Right,Left,29,66,29,0,,,0.25
2023-09-24 21:40:39,1.17.0,RevNeutral,24,4.05,,1,Right,Left,29,67,29,0,,,0.19
2023-09-24 21:40:43,1.17.0,RevNeutral,24,4.05,,1,Right,Left,29,68,29,0,,,0.3
2023-09-24 21:40:47,1.17.0,RevNeutral,24,4.05,,1,Left,Left,30,68,29,0,,,0.03
2023-09-24 21:40:50,1.17.0,RevNeutral,24,4.05,2.0,1,Pellet,Left,30,68,30,0,0.37,40.0,
2023-09-24 21:41:28,1.17.0,RevNeutral,24,4.05,,1,Left,Right,31,68,30,0,,,0.1
2023-09-24 21:41:34,1.17.0,RevNeutral,24,4.06,,1,Left,Right,32,68,30,0,,,0.15
2023-09-24 21:46:26,1.17.0,RevNeutral,24,4.06,,1,Right,Right,32,69,30,0,,,0.04
2023-09-24 21:46:27,1.17.0,RevNeutral,24,4.05,1.0,1,Pellet,Right,32,69,31,0,0.69,337.0,
2023-09-24 21:46:58,1.17.0,RevNeutral,24,4.06,,1,Right,Right,32,70,31,0,,,0.1
2023-09-24 21:46:59,1.17.0,RevNeutral,24,4.05,1.0,1,Pellet,Right,32,70,32,0,0.31,32.0,
2023-09-24 21:47:27,1.17.0,RevNeutral,24,4.05,,1,Left,Right,33,70,32,0,,,0.06
2023-09-24 21:47:28,1.17.0,RevNeutral,24,4.05,,1,Left,Right,34,70,32,0,,,0.2
2023-09-24 21:47:38,1.17.0,RevNeutral,24,4.05,,1,Left,Right,35,70,32,0,,,0.3
2023-09-24 21:47:39,1.17.0,RevNeutral,24,4.05,,1,Left,Right,36,70,32,0,,,0.22
2023-09-24 21:47:45,1.17.0,RevNeutral,24,4.06,,1,Right,Right,36,71,32,0,,,0.01
2023-09-24 21:47:47,1.17.0,RevNeutral,24,4.05,1.0,1,Pellet,Right,36,71,33,0,0.56,48.0,
2023-09-24 21:48:09,1.17.0,RevNeutral,24,4.05,,1,Right,Right,36,72,33,0,,,0.26
