MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
2024-09-11 12:13:05,1.17.0,RevNeutral,11,4.07,,1,Right,Left,0,1,0,0,,,1.28
2024-09-11 12:15:06,1.17.0,RevNeutral,11,4.07,,1,Left,Left,1,1,0,0,,,0.08
2024-09-11 12:15:06,1.17.0,RevNeutral,11,4.07,,1,LeftDuringDispense,Left,2,1,0,0,,,0.1
2024-09-11 12:15:09,1.17.0,RevNeutral,11,4.07,,1,LeftDuringDispense,Left,3,1,0,0,,,0.33
2024-09-11 12:15:25,1.17.0,RevNeutral,11,4.07,,1,RightWithPellet,Left,3,2,0,0,,,0.33
2024-09-11 12:17:08,1.17.0,RevNeutral,11,4.07,3.0,1,Pellet,Left,3,2,1,0,Timed_out,,
2024-09-11 12:17:36,1.17.0,RevNeutral,11,4.07,,1,Left,Left,4,2,1,0,,,0.15
2024-09-11 12:17:38,1.17.0,RevNeutral,11,4.07,,1,LeftWithPellet,Left,5,2,1,0,,,0.24
2024-09-11 12:18:19,1.17.0,RevNeutral,11,4.07,,1,LeftWithPellet,Left,6,2,1,0,,,0.14
2024-09-11 12:18:20,1.17.0,RevNeutral,11,4.07,,1,LeftWithPellet,Left,7,2,1,0,,,0.1
2024-09-11 12:19:13,1.17.0,RevNeutral,11,4.07,,1,LeftWithPellet,Left,8,2,1,0,,,0.15
2024-09-11 12:19:21,1.17.0,RevNeutral,11,4.07,,1,LeftWithPellet,Left,9,2,1,0,,,0.17
2024-09-11 12:20:04,1.17.0,RevNeutral,11,4.07,,1,RightWithPellet,Left,9,3,1,0,,,0.2
2024-09-11 12:22:44,1.17.0,RevNeutral,11,4.07,,1,RightWithPellet,Left,9,4,1,0,,,0.4
2024-09-11 12:22:52,1.17.0,RevNeutral,11,4.07,,1,RightWithPellet,Left,9,5,1,0,,,0.09
2024-09-11 12:26:06,1.17.0,RevNeutral,11,4.07,,1,LeftWithPellet,Left,10,5,1,0,,,0.07
2024-09-11 12:29:59,1.17.0,RevNeutral,11,4.07,,1,RightWithPellet,Left,10,6,1,0,,,0.28
2024-09-11 13:41:06,1.17.0,RevNeutral,11,4.07,1.0,1,Pellet,Left,10,6,2,0,Timed_out,5038.0,
2024-09-11 14:54:29,1.17.0,RevNeutral,11,4.06,,1,Left,Left,11,6,2,0,,,0.05
2024-09-11 14:54:31,1.17.0,RevNeutral,11,4.06,1.0,1,Pellet,Left,11,6,3,0,0.79,4405.0,
2024-09-11 14:54:47,1.17.0,RevNeutral,11,4.07,,1,Left,Left,12,6,3,0,,,0.06
2024-09-11 14:54:48,1.17.0,RevNeutral,11,4.06,1.0,1,Pellet,Left,12,6,4,0,0.67,17.0,
2024-09-11 14:55:18,1.17.0,RevNeutral,11,4.07,,1,Left,Left,13,6,4,0,,,0.26
