MM:DD:YYYY hh:mm:ss,Library_Version,Session_Type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time,Elapsed_Time,Binary_Pellets,Interpellet_Intervals,Binary_Left_Pokes,Binary_Right_Pokes,Correct_Poke,Concat_#,Mode
2025-02-06 15:15:05,1.16.3,RevNeutral,0,3.89,,1,Poke,Left,1,0,0,0,,,0.43,0 days 00:00:00.000000000,0.0,,1.0,0.0,1.0,0,RevNeutral
2025-02-06 15:15:08,1.16.3,RevNeutral,0,3.89,2.0,1,Pellet,Left,1,0,1,0,0.73,,,0 days 00:00:03.000000000,1.0,,0.0,0.0,,0,RevNeutral
2025-02-06 15:18:23,1.16.3,RevNeutral,0,3.89,,1,Poke,Left,2,0,1,0,,,0.17,0 days 00:03:18.000000000,0.0,,1.0,0.0,1.0,0,RevNeutral
2025-02-06 15:18:26,1.16.3,RevNeutral,0,3.89,1.0,1,Pellet,Left,2,0,2,0,1.77,198.0,,0 days 00:03:21.000000000,1.0,3.3,0.0,0.0,,0,RevNeutral
2025-02-06 15:25:17,1.16.3,RevNeutral,0,3.89,,1,Poke,Left,2,1,2,0,,,0.46,0 days 00:10:12.000000000,0.0,,0.0,1.0,0.0,0,RevNeutral
2025-02-06 15:27:44,1.16.3,RevNeutral,0,3.89,,1,Poke,Left,3,1,2,0,,,0.39,0 days 00:12:39.000000000,0.0,,1.0,0.0,1.0,0,RevNeutral
2025-02-06 15:27:46,1.16.3,RevNeutral,0,3.89,1.0,1,Pellet,Left,3,1,3,0,1.52,560.0,,0 days 00:12:41.000000000,1.0,9.333333333333334,0.0,0.0,,0,RevNeutral
2025-02-06 15:29:08,1.16.3,RevNeutral,0,3.89,,1,Poke,Left,3,2,3,0,,,0.17,0 days 00:14:03.000000000,0.0,,0.0,1.0,0.0,0,RevNeutral
2025-02-06 15:34:20,1.16.3,RevNeutral,0,3.89,,1,Poke,Left,3,3,3,0,,,0.11,0 days 00:19:15.000000000,0.0,,0.0,1.0,0.0,0,RevNeutral
2025-02-06 15:36:58,1.16.3,RevNeutral,0,3.89,,1,Poke,Left,4,3,3,0,,,0.61,0 days 00:21:53.000000000,0.0,,1.0,0.0,1.0,0,RevNeutral
