MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
2023-09-24 17:45:01,1.17.0,RevNeutral,27,3.96,,1,Left,Left,1,0,0,0,,,0.1
2023-09-24 19:16:50,1.17.0,RevNeutral,27,3.96,1.0,1,Pellet,Left,1,0,1,0,Timed_out,,
2023-09-24 19:17:13,1.17.0,RevNeutral,27,3.95,,1,Right,Left,1,1,1,0,,,0.11
2023-09-24 19:17:15,1.17.0,RevNeutral,27,3.95,,1,Right,Left,1,2,1,0,,,0.16
2023-09-24 19:17:17,1.17.0,RevNeutral,27,3.95,,1,Right,Left,1,3,1,0,,,0.46
2023-09-24 19:17:19,1.17.0,RevNeutral,27,3.96,,1,Right,Left,1,4,1,0,,,0.32
2023-09-24 19:17:21,1.17.0,RevNeutral,27,3.96,,1,Right,Left,1,5,1,0,,,0.42
2023-09-24 19:17:22,1.17.0,RevNeutral,27,3.95,,1,Right,Left,1,6,1,0,,,0.54
2023-09-24 19:17:36,1.17.0,RevNeutral,27,3.96,,1,Left,Left,2,6,1,0,,,0.04
2023-09-24 19:17:37,1.17.0,RevNeutral,27,3.96,1.0,1,Pellet,Left,2,6,2,0,0.37,47.0,
2023-09-24 19:17:56,1.17.0,RevNeutral,27,3.95,,1,Left,Left,3,6,2,0,,,0.0
2023-09-24 19:17:57,1.17.0,RevNeutral,27,3.96,1.0,1,Pellet,Left,3,6,3,0,0.06,20.0,
2023-09-24 19:18:17,1.17.0,RevNeutral,27,3.95,,1,Left,Left,4,6,3,0,,,0.3
2023-09-24 19:18:17,1.17.0,RevNeutral,27,3.96,1.0,1,Pellet,Left,4,6,4,0,0.06,20.0,
2023-09-24 19:18:38,1.17.0,RevNeutral,27,3.95,,1,Left,Left,5,6,4,0,,,0.03
2023-09-24 19:18:38,1.17.0,RevNeutral,27,3.95,,1,LeftDuringDispense,Left,5,6,4,0,,,0.03
2023-09-24 19:18:42,1.17.0,RevNeutral,27,3.95,3.0,1,Pellet,Left,5,6,5,0,0.06,25.0,
2023-09-24 19:19:01,1.17.0,RevNeutral,27,3.96,,1,Left,Left,6,6,5,0,,,0.3
2023-09-24 19:19:02,1.17.0,RevNeutral,27,3.96,1.0,1,Pellet,Left,6,6,6,0,0.06,20.0,
2023-09-24 19:19:22,1.17.0,RevNeutral,27,3.95,,1,Left,Left,7,6,6,0,,,0.23
2023-09-24 19:19:22,1.17.0,RevNeutral,27,3.96,1.0,1,Pellet,Left,7,6,7,0,0.12,20.0,
2023-09-24 19:19:41,1.17.0,RevNeutral,27,3.96,,1,Left,Left,8,6,7,0,,,0.22
2023-09-24 19:19:43,1.17.0,RevNeutral,27,3.95,1.0,1,Pellet,Left,8,6,8,0,0.37,21.0,
2023-09-24 19:20:01,1.17.0,RevNeutral,27,3.96,,1,Left,Left,9,6,8,0,,,0.29
2023-09-24 19:20:02,1.17.0,RevNeutral,27,3.95,1.0,1,Pellet,Left,9,6,9,0,0.06,19.0,
2023-09-24 19:20:21,1.17.0,RevNeutral,27,3.95,,1,Left,Left,10,6,9,0,,,0.47
2023-09-24 19:20:22,1.17.0,RevNeutral,27,3.96,1.0,1,Pellet,Left,10,6,10,0,0.06,20.0,
2023-09-24 19:20:42,1.17.0,RevNeutral,27,3.96,,1,Left,Left,11,6,10,0,,,0.19
2023-09-24 19:20:43,1.17.0,RevNeutral,27,3.96,1.0,1,Pellet,Left,11,6,11,0,0.12,21.0,
2023-09-24 19:21:01,1.17.0,RevNeutral,27,3.96,,1,Left,Left,12,6,11,0,,,1.2
2023-09-24 19:21:02,1.17.0,RevNeutral,27,3.96,1.0,1,Pellet,Left,12,6,12,0,0.19,19.0,
2023-09-24 20:17:52,1.17.0,RevNeutral,27,3.95,,1,Right,Left,12,7,12,0,,,0.02
2023-09-24 20:17:53,1.17.0,RevNeutral,27,3.95,,1,Right,Left,12,8,12,0,,,0.34
2023-09-24 20:17:55,1.17.0,RevNeutral,27,3.95,,1,Right,Left,12,9,12,0,,,0.3
2023-09-24 20:17:58,1.17.0,RevNeutral,27,3.95,,1,Right,Left,12,10,12,0,,,0.43
2023-09-24 20:18:03,1.17.0,RevNeutral,27,3.96,,1,Left,Left,13,10,12,0,,,0.3
2023-09-24 20:18:04,1.17.0,RevNeutral,27,3.96,1.0,1,Pellet,Left,13,10,13,0,0.31,3422.0,
2023-09-24 20:18:29,1.17.0,RevNeutral,27,3.95,,1,Left,Left,14,10,13,0,,,0.55
2023-09-24 20:18:30,1.17.0,RevNeutral,27,3.95,2.0,1,Pellet,Left,14,10,14,0,0.44,26.0,
2023-09-24 20:18:49,1.17.0,RevNeutral,27,3.95,,1,Left,Left,15,10,14,0,,,0.27
2023-09-24 20:18:49,1.17.0,RevNeutral,27,3.95,1.0,1,Pellet,Left,15,10,15,0,0.18,19.0,
2023-09-24 20:19:06,1.17.0,RevNeutral,27,3.95,,1,Left,Left,16,10,15,0,,,0.34
2023-09-24 20:19:07,1.17.0,RevNeutral,27,3.95,2.0,1,Pellet,Left,16,10,16,0,0.06,18.0,
2023-09-24 20:19:24,1.17.0,RevNeutral,27,3.95,,1,Left,Left,17,10,16,0,,,0.38
2023-09-24 20:19:25,1.17.0,RevNeutral,27,3.95,2.0,1,Pellet,Left,17,10,17,0,0.06,18.0,
2023-09-24 20:19:43,1.17.0,RevNeutral,27,3.96,,1,Left,Left,18,10,17,0,,,0.43
2023-09-24 20:19:44,1.17.0,RevNeutral,27,3.95,1.0,1,Pellet,Left,18,10,18,0,0.06,19.0,
2023-09-24 20:20:01,1.17.0,RevNeutral,27,3.95,,1,Left,Left,19,10,18,0,,,0.04
2023-09-24 20:20:02,1.17.0,RevNeutral,27,3.96,1.0,1,Pellet,Left,19,10,19,0,0.12,18.0,
2023-09-24 20:49:51,1.17.0,RevNeutral,27,3.95,,1,Left,Left,20,10,19,0,,,0.12
2023-09-24 20:49:53,1.17.0,RevNeutral,27,3.95,1.0,1,Pellet,Left,20,10,20,0,1.45,1791.0,
2023-09-24 20:51:01,1.17.0,RevNeutral,27,3.95,,1,Right,Left,20,11,20,0,,,0.07
2023-09-24 20:58:17,1.17.0,RevNeutral,27,3.95,,1,Right,Left,20,12,20,0,,,0.12
2023-09-24 20:58:20,1.17.0,RevNeutral,27,3.95,,1,Right,Left,20,13,20,0,,,0.79
2023-09-24 20:58:21,1.17.0,RevNeutral,27,3.94,,1,Right,Left,20,14,20,0,,,0.33
2023-09-24 20:58:22,1.17.0,RevNeutral,27,3.95,,1,Right,Left,20,15,20,0,,,0.17
2023-09-24 20:58:27,1.17.0,RevNeutral,27,3.95,,1,Left,Left,21,15,20,0,,,0.06
2023-09-24 20:58:28,1.17.0,RevNeutral,27,3.94,1.0,1,Pellet,Left,21,15,21,0,0.12,514.0,
2023-09-24 20:58:55,1.17.0,RevNeutral,27,3.95,,1,Left,Left,22,15,21,0,,,0.0
2023-09-24 20:58:56,1.17.0,RevNeutral,27,3.95,,1,RightDuringDispense,Left,22,15,21,0,,,0.03
2023-09-24 20:58:59,1.17.0,RevNeutral,27,3.95,2.0,1,Pellet,Left,22,15,22,0,0.37,32.0,
2023-09-24 20:59:17,1.17.0,RevNeutral,27,3.95,,1,Left,Left,23,15,22,0,,,0.19
2023-09-24 20:59:18,1.17.0,RevNeutral,27,3.96,1.0,1,Pellet,Left,23,15,23,0,0.12,19.0,
2023-09-24 20:59:32,1.17.0,RevNeutral,27,3.95,,1,Left,Left,24,15,23,0,,,0.06
2023-09-24 20:59:33,1.17.0,RevNeutral,27,3.95,1.0,1,Pellet,Left,24,15,24,0,0.06,15.0,
2023-09-24 20:59:49,1.17.0,RevNeutral,27,3.95,,1,Left,Left,25,15,24,0,,,0.43
2023-09-24 20:59:50,1.17.0,RevNeutral,27,3.95,1.0,1,Pellet,Left,25,15,25,0,0.19,17.0,
2023-09-24 21:00:06,1.17.0,RevNeutral,27,3.95,,1,Left,Left,26,15,25,0,,,0.42
2023-09-24 21:00:07,1.17.0,RevNeutral,27,3.95,1.0,1,Pellet,Left,26,15,26,0,0.19,17.0,
2023-09-24 21:00:25,1.17.0,RevNeutral,27,3.95,,1,Left,Left,27,15,26,0,,,0.39
2023-09-24 21:00:25,1.17.0,RevNeutral,27,3.95,1.0,1,Pellet,Left,27,15,27,0,0.06,18.0,
2023-09-24 21:00:42,1.17.0,RevNeutral,27,3.95,,1,Left,Left,28,15,27,0,,,0.34
2023-09-24 21:00:56,1.17.0,RevNeutral,27,3.95,2.0,1,Pellet,Left,28,15,28,0,11.80,31.0,
2023-09-24 21:01:23,1.17.0,RevNeutral,27,3.95,,1,Left,Left,29,15,28,0,,,0.21
2023-09-24 21:01:24,1.17.0,RevNeutral,27,3.95,2.0,1,Pellet,Left,29,15,29,0,0.19,28.0,
2023-09-24 21:01:36,1.17.0,RevNeutral,27,3.95,,1,Left,Left,30,15,29,0,,,0.05
2023-09-24 21:01:37,1.17.0,RevNeutral,27,3.94,,1,LeftDuringDispense,Left,30,15,29,0,,,0.03
2023-09-24 21:01:55,1.17.0,RevNeutral,27,3.95,3.0,1,Pellet,Left,30,15,30,0,13.77,31.0,
2023-09-24 21:16:12,1.17.0,RevNeutral,27,3.95,,1,Left,Right,31,15,30,0,,,0.72
2023-09-24 21:16:14,1.17.0,RevNeutral,27,3.95,,1,Left,Right,32,15,30,0,,,0.32
2023-09-24 21:16:15,1.17.0,RevNeutral,27,3.95,,1,Left,Right,33,15,30,0,,,0.08
2023-09-24 21:16:18,1.17.0,RevNeutral,27,3.95,,1,Right,Right,33,16,30,0,,,0.06
2023-09-24 21:16:20,1.17.0,RevNeutral,27,3.95,1.0,1,Pellet,Right,33,16,31,0,0.63,865.0,
