MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
2021-08-14 17:26:38,1.8.1,RevNeutral,1,4.12,1,1,Right,Left,0,1,0,0,,,0.1
2021-08-14 17:28:30,1.8.1,RevNeutral,1,4.11,1,1,Right,Left,0,2,0,0,,,0.96
2021-08-14 17:28:34,1.8.1,RevNeutral,1,4.11,1,1,Right,Left,0,3,0,0,,,0.01
2021-08-14 17:29:32,1.8.1,RevNeutral,1,4.11,1,1,Left,Left,1,3,0,0,,,0.42
2021-08-14 17:32:46,1.8.1,RevNeutral,1,4.11,3,1,Pellet,Left,1,3,1,0,Timed_out,,
2021-08-14 17:34:58,1.8.1,RevNeutral,1,4.11,1,1,Right,Left,1,4,1,0,,,0.53
2021-08-14 17:35:52,1.8.1,RevNeutral,1,4.11,1,1,Right,Left,1,5,1,0,,,0.56
2021-08-14 17:36:19,1.8.1,RevNeutral,1,4.12,1,1,Left,Left,2,5,1,0,,,0.2
2021-08-14 17:36:21,1.8.1,RevNeutral,1,4.12,1,1,Pellet,Left,2,5,2,0,1.16,215.0,
2021-08-14 17:39:29,1.8.1,RevNeutral,1,4.11,1,1,Left,Left,3,5,2,0,,,0.04
2021-08-14 17:39:31,1.8.1,RevNeutral,1,4.11,1,1,Pellet,Left,3,5,3,0,1.65,190.0,
2021-08-14 17:40:21,1.8.1,RevNeutral,1,4.12,1,1,Left,Left,4,5,3,0,,,0.23
2021-08-14 17:40:23,1.8.1,RevNeutral,1,4.11,1,1,Pellet,Left,4,5,4,0,1.28,52.0,
2021-08-14 17:45:20,1.8.1,RevNeutral,1,4.11,1,1,Left,Left,5,5,4,0,,,0.22
2021-08-14 17:46:13,1.8.1,RevNeutral,1,4.11,2,1,Pellet,Left,5,5,5,0,51.83,350.0,
2021-08-14 17:51:04,1.8.1,RevNeutral,1,4.12,1,1,Left,Left,6,5,5,0,,,0.09
2021-08-14 17:51:11,1.8.1,RevNeutral,1,4.11,1,1,Pellet,Left,6,5,6,0,5.39,298.0,
2021-08-14 17:59:20,1.8.1,RevNeutral,1,4.11,1,1,Left,Left,7,5,6,0,,,1.12
2021-08-14 17:59:22,1.8.1,RevNeutral,1,4.11,1,1,Pellet,Left,7,5,7,0,1.09,491.0,
2021-08-14 17:59:55,1.8.1,RevNeutral,1,4.12,1,1,Left,Left,8,5,7,0,,,0.36
2021-08-14 17:59:56,1.8.1,RevNeutral,1,4.12,1,1,Pellet,Left,8,5,8,0,0.55,34.0,
2021-08-14 18:05:43,1.8.1,RevNeutral,1,4.11,1,1,Left,Left,9,5,8,0,,,1.0
2021-08-14 18:05:45,1.8.1,RevNeutral,1,4.12,1,1,Pellet,Left,9,5,9,0,1.10,349.0,
2021-08-14 18:06:14,1.8.1,RevNeutral,1,4.11,1,1,Left,Left,10,5,9,0,,,0.28
2021-08-14 18:06:16,1.8.1,RevNeutral,1,4.11,1,1,Pellet,Left,10,5,10,0,0.55,31.0,
2021-08-14 18:06:40,1.8.1,RevNeutral,1,4.11,1,1,Left,Left,11,5,10,0,,,0.3
2021-08-14 18:06:41,1.8.1,RevNeutral,1,4.11,1,1,Pellet,Left,11,5,11,0,0.61,25.0,
2021-08-14 18:07:03,1.8.1,RevNeutral,1,4.11,1,1,Left,Left,12,5,11,0,,,0.52
2021-08-14 18:07:04,1.8.1,RevNeutral,1,4.11,1,1,Pellet,Left,12,5,12,0,0.48,23.0,
2021-08-14 18:07:33,1.8.1,RevNeutral,1,4.11,1,1,Left,Left,13,5,12,0,,,0.14
2021-08-14 18:07:34,1.8.1,RevNeutral,1,4.11,1,1,Pellet,Left,13,5,13,0,0.48,30.0,
2021-08-14 18:09:30,1.8.1,RevNeutral,1,4.12,1,1,Right,Left,13,6,13,0,,,0.9
2021-08-14 18:11:27,1.8.1,RevNeutral,1,4.11,1,1,Right,Left,13,7,13,0,,,0.01
2021-08-14 18:15:46,1.8.1,RevNeutral,1,4.12,1,1,Right,Left,13,8,13,0,,,0.03
2021-08-14 18:33:07,1.8.1,RevNeutral,1,4.11,1,1,Right,Left,13,9,13,0,,,0.03
2021-08-14 18:57:27,1.8.1,RevNeutral,1,4.11,1,1,Left,Left,14,9,13,0,,,0.44
