MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
2021-11-14 17:44:40,1.8.1,RevNeutral,7,4.08,1,1,Left,Left,1,0,0,0,,,0.0
2021-11-14 17:44:46,1.8.1,RevNeutral,7,4.07,3,1,Pellet,Left,1,0,1,0,0.85,,
2021-11-14 17:45:17,1.8.1,RevNeutral,7,4.07,1,1,Left,Left,2,0,1,0,,,0.51
2021-11-14 17:45:19,1.8.1,RevNeutral,7,4.08,1,1,Pellet,Left,2,0,2,0,0.79,33.0,
2021-11-14 17:45:42,1.8.1,RevNeutral,7,4.07,1,1,Left,Left,3,0,2,0,,,0.19
2021-11-14 17:45:43,1.8.1,RevNeutral,7,4.07,1,1,Pellet,Left,3,0,3,0,0.42,24.0,
2021-11-14 17:46:08,1.8.1,RevNeutral,7,4.08,1,1,Left,Left,4,0,3,0,,,0.04
2021-11-14 17:46:10,1.8.1,RevNeutral,7,4.08,1,1,Pellet,Left,4,0,4,0,0.42,27.0,
2021-11-14 17:47:06,1.8.1,RevNeutral,7,4.08,1,1,Left,Left,5,0,4,0,,,0.39
2021-11-14 17:47:10,1.8.1,RevNeutral,7,4.08,2,1,Pellet,Left,5,0,5,0,0.42,60.0,
2021-11-14 17:47:44,1.8.1,RevNeutral,7,4.08,1,1,Left,Left,6,0,5,0,,,0.19
2021-11-14 17:47:45,1.8.1,RevNeutral,7,4.08,1,1,Pellet,Left,6,0,6,0,0.42,35.0,
2021-11-14 17:48:24,1.8.1,RevNeutral,7,4.08,1,1,Left,Left,7,0,6,0,,,0.34
2021-11-14 17:48:25,1.8.1,RevNeutral,7,4.08,1,1,Pellet,Left,7,0,7,0,0.55,40.0,
2021-11-14 17:48:53,1.8.1,RevNeutral,7,4.08,1,1,Left,Left,8,0,7,0,,,0.07
2021-11-14 17:48:56,1.8.1,RevNeutral,7,4.08,2,1,Pellet,Left,8,0,8,0,0.42,31.0,
2021-11-14 17:49:32,1.8.1,RevNeutral,7,4.07,1,1,Left,Left,9,0,8,0,,,0.43
2021-11-14 17:49:38,1.8.1,RevNeutral,7,4.08,2,1,Pellet,Left,9,0,9,0,3.43,42.0,
2021-11-14 17:50:09,1.8.1,RevNeutral,7,4.07,1,1,Left,Left,10,0,9,0,,,0.23
2021-11-14 17:50:13,1.8.1,RevNeutral,7,4.08,2,1,Pellet,Left,10,0,10,0,0.73,35.0,
2021-11-14 19:43:04,1.8.1,RevNeutral,7,4.07,1,1,Left,Left,11,0,10,0,,,0.02
2021-11-14 19:43:10,1.8.1,RevNeutral,7,4.07,3,1,Pellet,Left,11,0,11,0,0.97,6777.0,
2021-11-14 19:43:37,1.8.1,RevNeutral,7,4.07,1,1,Left,Left,12,0,11,0,,,0.01
2021-11-14 19:43:39,1.8.1,RevNeutral,7,4.07,1,1,Pellet,Left,12,0,12,0,0.91,29.0,
2021-11-14 19:44:06,1.8.1,RevNeutral,7,4.07,1,1,Left,Left,13,0,12,0,,,0.33
2021-11-14 19:44:07,1.8.1,RevNeutral,7,4.07,1,1,Pellet,Left,13,0,13,0,0.48,28.0,
2021-11-14 19:44:30,1.8.1,RevNeutral,7,4.07,1,1,Left,Left,14,0,13,0,,,0.27
2021-11-14 19:44:35,1.8.1,RevNeutral,7,4.07,3,1,Pellet,Left,14,0,14,0,0.36,28.0,
2021-11-14 19:45:01,1.8.1,RevNeutral,7,4.07,1,1,Left,Left,15,0,14,0,,,0.32
2021-11-14 19:45:04,1.8.1,RevNeutral,7,4.07,2,1,Pellet,Left,15,0,15,0,0.36,29.0,
2021-11-14 19:45:25,1.8.1,RevNeutral,7,4.07,1,1,Left,Left,16,0,15,0,,,0.41
2021-11-14 19:45:26,1.8.1,RevNeutral,7,4.07,1,1,Pellet,Left,16,0,16,0,0.42,22.0,
2021-11-14 19:46:50,1.8.1,RevNeutral,7,4.07,1,1,Right,Left,16,1,16,0,,,0.32
2021-11-14 20:22:36,1.8.1,RevNeutral,7,4.07,1,1,Left,Left,17,1,16,0,,,0.37
2021-11-14 20:22:38,1.8.1,RevNeutral,7,4.07,1,1,Pellet,Left,17,1,17,0,1.09,2232.0,
2021-11-14 20:23:03,1.8.1,RevNeutral,7,4.07,1,1,Left,Left,18,1,17,0,,,0.14
2021-11-14 20:23:05,1.8.1,RevNeutral,7,4.07,1,1,Pellet,Left,18,1,18,0,0.67,27.0,
2021-11-14 20:23:25,1.8.1,RevNeutral,7,4.07,1,1,Left,Left,19,1,18,0,,,0.16
2021-11-14 20:23:31,1.8.1,RevNeutral,7,4.07,3,1,Pellet,Left,19,1,19,0,1.22,26.0,
