MM:DD:YYYY hh:mm:ss,Library_Version,Session_Type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time,Elapsed_Time,Binary_Pellets,Interpellet_Intervals,Binary_Left_Pokes,Binary_Right_Pokes,Correct_Poke,Concat_#,Mode
2025-02-06 17:30:03,1.16.3,RevNeutral,8,3.67,,1,Poke,Left,1,0,0,0,,,0.04,0 days 00:00:00.000000000,0.0,,1.0,0.0,1.0,0,RevNeutral
2025-02-06 17:30:37,1.16.3,RevNeutral,8,3.66,,1,Poke,Left,2,0,0,0,,,0.49,0 days 00:00:34.000000000,0.0,,1.0,0.0,1.0,0,RevNeutral
2025-02-06 17:32:35,1.16.3,RevNeutral,8,3.66,,1,Poke,Left,3,0,0,0,,,0.1,0 days 00:02:32.000000000,0.0,,1.0,0.0,1.0,0,RevNeutral
2025-02-06 17:33:10,1.16.3,RevNeutral,8,3.67,,1,Poke,Left,4,0,0,0,,,0.05,0 days 00:03:07.000000000,0.0,,1.0,0.0,1.0,0,RevNeutral
2025-02-06 17:33:12,1.16.3,RevNeutral,8,3.66,,1,Poke,Left,5,0,0,0,,,0.06,0 days 00:03:09.000000000,0.0,,1.0,0.0,1.0,0,RevNeutral
2025-02-06 17:33:26,1.16.3,RevNeutral,8,3.67,,1,Poke,Left,6,0,0,0,,,0.06,0 days 00:03:23.000000000,0.0,,1.0,0.0,1.0,0,RevNeutral
2025-02-06 17:33:42,1.16.3,RevNeutral,8,3.67,2.0,1,Pellet,Left,6,0,1,0,,,,0 days 00:03:39.000000000,1.0,,0.0,0.0,,0,RevNeutral
2025-02-06 17:37:21,1.16.3,RevNeutral,8,3.67,,1,Poke,Left,7,0,1,0,,,0.13,0 days 00:07:18.000000000,0.0,,1.0,0.0,1.0,0,RevNeutral
2025-02-06 17:37:46,1.16.3,RevNeutral,8,3.66,,1,Poke,Left,8,0,1,0,,,0.05,0 days 00:07:43.000000000,0.0,,1.0,0.0,1.0,0,RevNeutral
2025-02-06 17:37:48,1.16.3,RevNeutral,8,3.67,1.0,1,Pellet,Left,8,0,2,0,26.14,246.0,,0 days 00:07:45.000000000,1.0,4.1,0.0,0.0,,0,RevNeutral
2025-02-06 17:37:49,1.16.3,RevNeutral,8,3.67,,1,Poke,Left,9,0,2,0,,,0.08,0 days 00:07:46.000000000,0.0,,1.0,0.0,1.0,0,RevNeutral
2025-02-06 17:38:10,1.16.3,RevNeutral,8,3.67,,1,Poke,Left,10,0,2,0,,,0.06,0 days 00:08:07.000000000,0.0,,1.0,0.0,1.0,0,RevNeutral
2025-02-06 17:38:12,1.16.3,RevNeutral,8,3.67,,1,Poke,Left,11,0,2,0,,,0.09,0 days 00:08:09.000000000,0.0,,1.0,0.0,1.0,0,RevNeutral
2025-02-06 17:38:17,1.16.3,RevNeutral,8,3.67,,1,Poke,Left,12,0,2,0,,,0.5,0 days 00:08:14.000000000,0.0,,1.0,0.0,1.0,0,RevNeutral
2025-02-06 17:38:20,1.16.3,RevNeutral,8,3.67,,1,Poke,Left,13,0,2,0,,,0.13,0 days 00:08:17.000000000,0.0,,1.0,0.0,1.0,0,RevNeutral
2025-02-06 17:38:21,1.16.3,RevNeutral,8,3.66,,1,Poke,Left,14,0,2,0,,,0.01,0 days 00:08:18.000000000,0.0,,1.0,0.0,1.0,0,RevNeutral
2025-02-06 17:38:21,1.16.3,RevNeutral,8,3.67,,1,Poke,Left,15,0,2,0,,,0.01,0 days 00:08:18.000000000,0.0,,1.0,0.0,1.0,0,RevNeutral
2025-02-06 17:38:23,1.16.3,RevNeutral,8,3.67,,1,Poke,Left,16,0,2,0,,,0.16,0 days 00:08:20.000000000,0.0,,1.0,0.0,1.0,0,RevNeutral
2025-02-06 17:38:27,1.16.3,RevNeutral,8,3.67,,1,Poke,Left,16,1,2,0,,,0.04,0 days 00:08:24.000000000,0.0,,0.0,1.0,0.0,0,RevNeutral
2025-02-06 17:38:29,1.16.3,RevNeutral,8,3.67,,1,Poke,Left,17,1,2,0,,,0.0,0 days 00:08:26.000000000,0.0,,1.0,0.0,1.0,0,RevNeutral
2025-02-06 17:38:31,1.16.3,RevNeutral,8,3.67,,1,Poke,Left,18,1,2,0,,,0.39,0 days 00:08:28.000000000,0.0,,1.0,0.0,1.0,0,RevNeutral
2025-02-06 17:38:34,1.16.3,RevNeutral,8,3.67,1.0,1,Pellet,Left,18,1,3,0,44.06,46.0,,0 days 00:08:31.000000000,1.0,0.7666666666666667,0.0,0.0,,0,RevNeutral
2025-02-06 17:38:37,1.16.3,RevNeutral,8,3.66,,1,Poke,Left,19,1,3,0,,,0.17,0 days 00:08:34.000000000,0.0,,1.0,0.0,1.0,0,RevNeutral
