MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
2024-09-11 12:04:30,1.17.0,RevNeutral,1,4.05,,1,Right,Left,0,1,0,0,,,0.26
2024-09-11 12:10:48,1.17.0,RevNeutral,1,4.05,,1,Left,Left,1,1,0,0,,,0.12
2024-09-11 12:10:53,1.17.0,RevNeutral,1,4.05,1.0,1,Pellet,Left,1,1,1,0,3.85,,
2024-09-11 12:13:19,1.17.0,RevNeutral,1,4.05,,1,Left,Left,2,1,1,0,,,0.31
2024-09-11 12:13:20,1.17.0,RevNeutral,1,4.06,1.0,1,Pellet,Left,2,1,2,0,0.55,147.0,
2024-09-11 12:14:03,1.17.0,RevNeutral,1,4.05,,1,Right,Left,2,2,2,0,,,0.07
2024-09-11 12:14:35,1.17.0,RevNeutral,1,4.06,,1,Left,Left,3,2,2,0,,,0.6
2024-09-11 12:14:36,1.17.0,RevNeutral,1,4.06,2.0,1,Pellet,Left,3,2,3,0,0.30,76.0,
2024-09-11 12:17:41,1.17.0,RevNeutral,1,4.06,,1,Left,Left,4,2,3,0,,,0.24
2024-09-11 12:17:46,1.17.0,RevNeutral,1,4.06,1.0,1,Pellet,Left,4,2,4,0,5.08,190.0,
2024-09-11 12:18:10,1.17.0,RevNeutral,1,4.05,,1,Left,Left,5,2,4,0,,,0.16
2024-09-11 12:18:10,1.17.0,RevNeutral,1,4.05,,1,LeftDuringDispense,Left,6,2,4,0,,,0.03
2024-09-11 12:18:13,1.17.0,RevNeutral,1,4.05,3.0,1,Pellet,Left,6,2,5,0,0.06,27.0,
2024-09-11 12:19:08,1.17.0,RevNeutral,1,4.06,,1,Right,Left,6,3,5,0,,,0.19
2024-09-11 12:19:09,1.17.0,RevNeutral,1,4.05,,1,Right,Left,6,4,5,0,,,0.01
2024-09-11 12:19:17,1.17.0,RevNeutral,1,4.05,,1,Right,Left,6,5,5,0,,,0.16
2024-09-11 12:19:22,1.17.0,RevNeutral,1,4.05,,1,Left,Left,7,5,5,0,,,0.11
2024-09-11 12:19:23,1.17.0,RevNeutral,1,4.05,1.0,1,Pellet,Left,7,5,6,0,0.30,70.0,
2024-09-11 12:19:43,1.17.0,RevNeutral,1,4.06,,1,Left,Left,8,5,6,0,,,0.04
2024-09-11 12:19:45,1.17.0,RevNeutral,1,4.06,2.0,1,Pellet,Left,8,5,7,0,0.06,22.0,
2024-09-11 13:46:32,1.17.0,RevNeutral,1,4.05,,1,Left,Left,9,5,7,0,,,0.34
2024-09-11 13:46:33,1.17.0,RevNeutral,1,4.05,1.0,1,Pellet,Left,9,5,8,0,0.30,5208.0,
2024-09-11 13:46:51,1.17.0,RevNeutral,1,4.05,,1,Left,Left,10,5,8,0,,,0.09
2024-09-11 13:46:53,1.17.0,RevNeutral,1,4.05,1.0,1,Pellet,Left,10,5,9,0,0.79,19.0,
2024-09-11 13:47:11,1.17.0,RevNeutral,1,4.06,,1,Left,Left,11,5,9,0,,,0.0
2024-09-11 13:47:12,1.17.0,RevNeutral,1,4.05,1.0,1,Pellet,Left,11,5,10,0,0.48,20.0,
2024-09-11 13:47:32,1.17.0,RevNeutral,1,4.05,,1,Left,Left,12,5,10,0,,,0.08
2024-09-11 13:47:33,1.17.0,RevNeutral,1,4.05,,1,LeftDuringDispense,Left,13,5,10,0,,,0.27
2024-09-11 13:47:37,1.17.0,RevNeutral,1,4.05,2.0,1,Pellet,Left,13,5,11,0,1.52,25.0,
2024-09-11 13:47:58,1.17.0,RevNeutral,1,4.05,,1,Left,Left,14,5,11,0,,,0.02
2024-09-11 13:48:01,1.17.0,RevNeutral,1,4.05,2.0,1,Pellet,Left,14,5,12,0,0.42,24.0,
