MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
2021-11-14 16:17:38,1.8.1,RevNeutral,4,4.04,1,1,Left,Left,1,0,0,0,,,0.08
2021-11-14 16:17:45,1.8.1,RevNeutral,4,4.03,3,1,Pellet,Left,1,0,1,0,2.01,,
2021-11-14 16:18:26,1.8.1,RevNeutral,4,4.04,1,1,Left,Left,2,0,1,0,,,0.16
2021-11-14 16:18:28,1.8.1,RevNeutral,4,4.03,1,1,Pellet,Left,2,0,2,0,0.91,43.0,
2021-11-14 16:23:33,1.8.1,RevNeutral,4,4.03,1,1,Right,Left,2,1,2,0,,,0.17
2021-11-14 16:25:06,1.8.1,RevNeutral,4,4.03,1,1,Right,Left,2,2,2,0,,,0.1
2021-11-14 17:05:10,1.8.1,RevNeutral,4,4.03,1,1,Left,Left,3,2,2,0,,,0.13
2021-11-14 17:05:13,1.8.1,RevNeutral,4,4.03,1,1,Pellet,Left,3,2,3,0,2.32,2805.0,
2021-11-14 17:07:02,1.8.1,RevNeutral,4,4.04,1,1,Left,Left,4,2,3,0,,,0.16
2021-11-14 17:07:03,1.8.1,RevNeutral,4,4.04,1,1,Pellet,Left,4,2,4,0,0.97,110.0,
2021-11-14 17:07:30,1.8.1,RevNeutral,4,4.03,1,1,Left,Left,5,2,4,0,,,0.02
2021-11-14 17:07:32,1.8.1,RevNeutral,4,4.03,1,1,Pellet,Left,5,2,5,0,0.55,29.0,
2021-11-14 17:08:06,1.8.1,RevNeutral,4,4.03,1,1,Left,Left,6,2,5,0,,,0.15
2021-11-14 17:08:10,1.8.1,RevNeutral,4,4.03,2,1,Pellet,Left,6,2,6,0,0.85,37.0,
2021-11-14 17:08:35,1.8.1,RevNeutral,4,4.03,1,1,Left,Left,7,2,6,0,,,0.08
2021-11-14 17:08:36,1.8.1,RevNeutral,4,4.03,1,1,Pellet,Left,7,2,7,0,0.61,27.0,
2021-11-14 17:09:36,1.8.1,RevNeutral,4,4.03,1,1,Left,Left,8,2,7,0,,,0.08
2021-11-14 17:09:38,1.8.1,RevNeutral,4,4.04,1,1,Pellet,Left,8,2,8,0,1.22,62.0,
2021-11-14 17:48:20,1.8.1,RevNeutral,4,4.04,1,1,Left,Left,9,2,8,0,,,0.03
2021-11-14 17:48:22,1.8.1,RevNeutral,4,4.03,1,1,Pellet,Left,9,2,9,0,1.10,2324.0,
2021-11-14 17:48:56,1.8.1,RevNeutral,4,4.04,1,1,Left,Left,10,2,9,0,,,0.06
2021-11-14 17:48:57,1.8.1,RevNeutral,4,4.04,1,1,Pellet,Left,10,2,10,0,0.61,35.0,
2021-11-14 17:49:34,1.8.1,RevNeutral,4,4.03,1,1,Left,Left,11,2,10,0,,,0.18
2021-11-14 17:49:35,1.8.1,RevNeutral,4,4.03,1,1,Pellet,Left,11,2,11,0,0.55,38.0,
2021-11-14 17:50:03,1.8.1,RevNeutral,4,4.03,1,1,Left,Left,12,2,11,0,,,0.15
2021-11-14 17:50:04,1.8.1,RevNeutral,4,4.04,1,1,Pellet,Left,12,2,12,0,0.73,29.0,
2021-11-14 17:50:41,1.8.1,RevNeutral,4,4.03,1,1,Left,Left,13,2,12,0,,,0.14
2021-11-14 17:50:45,1.8.1,RevNeutral,4,4.03,2,1,Pellet,Left,13,2,13,0,1.03,41.0,
2021-11-14 17:51:49,1.8.1,RevNeutral,4,4.03,1,1,Right,Left,13,3,13,0,,,0.27
2021-11-14 17:51:50,1.8.1,RevNeutral,4,4.03,1,1,Right,Left,13,4,13,0,,,0.0
2021-11-14 18:26:13,1.8.1,RevNeutral,4,4.04,1,1,Left,Left,14,4,13,0,,,0.23
2021-11-14 18:26:14,1.8.1,RevNeutral,4,4.04,1,1,Pellet,Left,14,4,14,0,0.61,2129.0,
2021-11-14 18:26:39,1.8.1,RevNeutral,4,4.04,1,1,Left,Left,15,4,14,0,,,0.1
2021-11-14 18:26:40,1.8.1,RevNeutral,4,4.03,1,1,Pellet,Left,15,4,15,0,0.91,26.0,
2021-11-14 18:27:04,1.8.1,RevNeutral,4,4.03,1,1,Left,Left,16,4,15,0,,,0.17
2021-11-14 18:27:05,1.8.1,RevNeutral,4,4.04,1,1,Pellet,Left,16,4,16,0,0.42,25.0,
2021-11-14 18:27:49,1.8.1,RevNeutral,4,4.03,1,1,Left,Left,17,4,16,0,,,0.5
2021-11-14 18:27:50,1.8.1,RevNeutral,4,4.03,1,1,Pellet,Left,17,4,17,0,0.55,45.0,
2021-11-14 18:28:21,1.8.1,RevNeutral,4,4.03,1,1,Left,Left,18,4,17,0,,,0.11
2021-11-14 18:28:22,1.8.1,RevNeutral,4,4.03,1,1,Pellet,Left,18,4,18,0,0.48,32.0,
2021-11-14 18:28:52,1.8.1,RevNeutral,4,4.03,1,1,Left,Left,19,4,18,0,,,0.08
2021-11-14 18:28:53,1.8.1,RevNeutral,4,4.03,1,1,Pellet,Left,19,4,19,0,0.73,31.0,
2021-11-14 18:29:27,1.8.1,RevNeutral,4,4.03,1,1,Left,Left,20,4,19,0,,,0.07
2021-11-14 18:29:29,1.8.1,RevNeutral,4,4.03,1,1,Pellet,Left,20,4,20,0,0.55,36.0,
2021-11-14 18:30:03,1.8.1,RevNeutral,4,4.03,1,1,Left,Left,21,4,20,0,,,0.15
2021-11-14 18:30:04,1.8.1,RevNeutral,4,4.03,1,1,Pellet,Left,21,4,21,0,0.42,35.0,
2021-11-14 18:31:17,1.8.1,RevNeutral,4,4.03,1,1,Right,Left,21,5,21,0,,,0.0
2021-11-14 19:29:43,1.8.1,RevNeutral,4,4.03,1,1,Left,Left,22,5,21,0,,,0.04
2021-11-14 19:29:46,1.8.1,RevNeutral,4,4.03,1,1,Pellet,Left,22,5,22,0,1.89,3582.0,
2021-11-14 19:37:01,1.8.1,RevNeutral,4,4.03,1,1,Left,Left,23,5,22,0,,,0.26
2021-11-14 19:37:02,1.8.1,RevNeutral,4,4.03,1,1,Pellet,Left,23,5,23,0,1.10,436.0,
2021-11-14 19:37:37,1.8.1,RevNeutral,4,4.03,1,1,Left,Left,24,5,23,0,,,0.04
2021-11-14 19:37:38,1.8.1,RevNeutral,4,4.03,1,1,Pellet,Left,24,5,24,0,1.03,36.0,
2021-11-14 19:38:11,1.8.1,RevNeutral,4,4.03,1,1,Left,Left,25,5,24,0,,,0.3
2021-11-14 19:38:13,1.8.1,RevNeutral,4,4.03,1,1,Pellet,Left,25,5,25,0,0.67,35.0,
2021-11-14 19:38:41,1.8.1,RevNeutral,4,4.03,1,1,Left,Left,26,5,25,0,,,0.25
